H10B10/00	スタティックランダムアクセスメモリ［ＳＲＡＭ］装置
H10B10/10	バイポーラ構成部品からなるＳＲＡＭ装置
H10B10/12	｛ＭＯＳＦＥＴ負荷要素からなるもの｝
H10B10/125	｛ＭＯＳＦＥＴが薄膜トランジスタ［ＴＦＴ］であるもの｝
H10B10/15	｛抵抗器負荷要素からなるもの｝
H10B10/18	｛周辺回路領域｝
H10B12/00	ダイナミックランダムアクセスメモリ［ＤＲＡＭ］装置
H10B12/01	｛製造または処理｝
H10B12/02	｛１トランジスタ−１キャパシタ［１T−１C］メモリセルのためのもの｝
H10B12/03	｛キャパシタまたはそれらへの接続の作製｝
H10B12/033	｛キャパシタがトランジスタの上に延在するもの｝
H10B12/0335	｛トランジスタとキャパシタの間の接続の作製，例．プラグ｝
H10B12/036	｛キャパシタがトランジスタの下に延在するもの｝
H10B12/038	｛キャパシタが基板の溝であるもの｝
H10B12/0383	｛トランジスタが垂直であるもの｝
H10B12/0385	｛トランジスタとキャパシタの間の接続，埋設ストラップ｝
H10B12/0387	｛溝の作製｝
H10B12/05	｛トランジスタの作製｝
H10B12/053	｛トランジスタが少なくとも部分的に基板の溝内にあるもの（垂直なトランジスタの基板の溝内で形成されたキャパシタとの組合わせＨ１０Ｂ１２／０３８３）｝
H10B12/056	｛トランジスタがＦｉｎＦＥＴであるもの｝
H10B12/09	｛周辺回路領域とメモリセルの同時の作製をともなうもの｝
H10B12/10	バイポーラ構成部品からなるＤＲＡＭ装置
H10B12/20	｛フローティングボディトランジスタからなるＤＲＡＭ装置，例．フローテジングボディセル｝
H10B12/30	｛１トランジスタ−１キャパシタ［１T−１C］メモリセルであるＤＲＡＭ装置｝
H10B12/31	｛トランジスタ上に積み重ねられた蓄積電極をもつもの｝
H10B12/312	｛キャパシタより高いビット線をともなうもの｝
H10B12/315	｛ビット線より高いキャパシタをともなうもの｝
H10B12/318	｛蓄積電極が多数のセグメントをもつもの｝
H10B12/33	｛キャパシタがトランジスタの下に延在するもの｝
H10B12/34	｛トランジスタが少なくとも部分的に基板の溝内にあるもの｝
H10B12/36	｛トランジスタがＦｉｎＦＥＴであるもの｝
H10B12/37	｛キャパシタが少なくとも部分的に基板の溝内にあるもの｝
H10B12/373	｛キャパシタがトランジスタの下または周りに延在するもの｝
H10B12/377	｛トランジスタにまで位置する貯蔵電極をもつもの｝
H10B12/39	｛キャパシタとトランジスタが同一の溝内にあるもの｝
H10B12/395	｛トランジスタが垂直であるもの｝
H10B12/48	｛それらのためのデータ線または接点｝
H10B12/482	｛ビット線｝
H10B12/485	｛ビット線の接点｝
H10B12/488	｛語線｝
H10B12/50	｛周辺回路領域の構造｝
H10B20/00	読み出し専用メモリ［ＲＯＭ］装置
H10B20/10	バイポーラ構成部品からなるＲＯＭ装置
H10B20/20	電界効果構成部品からなる書き込み可能なＲＯＭ［ＰＲＯＭ］装置（Ｈ１０Ｂ２０／１０が優先）<br><br><u>警告</u><br><br>グループＨ１０Ｂ２０／２０はグループＨ１０Ｂ２０／２５への再分類の影響を受ける。<br>グループＨ１０Ｂ２０／２０およびＨ１０Ｂ２０／２５はコンプリートサーチの完遂のために考慮されるべきである。
H10B20/25	一回のみ書き込み可能なＲＯＭ［ＯＴＰＲＯＭ］装置，例．電気的に溶断可能なリンクを用いるもの<br><br><u>警告</u><br><br>グループＨ１０Ｂ２０／２５はグループＨ１０Ｂ２０／２０からの文献の再分類が未完成であり保留されている。<br>グループＨ１０Ｂ２０／２０およびＨ１０Ｂ２０／２５はコンプリートサーチの完遂のために考慮されるべきである。
H10B20/27	｛ＲＯＭのみ｝
H10B20/30	｛同一レベルでのソース領域とドレイン領域をもつもの，例．横型トランジスタ｝
H10B20/34	｛プログラミングされたソース電極またはドレイン電極｝
H10B20/36	｛プログラミングされたゲート，例．異なるゲート材料またはゲートのないもの｝
H10B20/363	｛プログラミングされたゲート導体｝
H10B20/367	｛誘電的にプログラミングされたゲート，例．異なる厚みのもの｝
H10B20/38	｛プログラミングされたドーピング，例．マスクＲＯＭ｝
H10B20/383	｛ドーピングされたチャネル｝
H10B20/387	｛ドーピングがプログラミングされたソース領域またはドレイン領域｝
H10B20/40	｛異なるレベル，例．垂直チャネル，上のソース領域とドレイン領域をもつもの｝
H10B20/50	｛異なるレベル上のトランジスタをもつもの，例．３Ｄ−ＲＯＭ｝
H10B20/60	｛周辺回路領域｝
H10B20/65	｛ＲＯＭのみの型式のメモリ構造であるもの｝
H10B41/00	フローティングゲートを含む電気的消去・書き込み可能なＲＯＭ［ＥＥＰＲＯＭ］装置
H10B41/10	上から見たレイアウトに特徴のあるもの
H10B41/20	三次元配置，例．異なる高さに配置されたセル，に特徴のあるもの
H10B41/23	異なる高さのソースとドレインを有するもの，例．傾斜チャネルを有するもの
H10B41/27	垂直部分を含むチャネル，例．Ｕ字型チャネル
H10B41/30	メモリコア領域に特徴のあるもの
H10B41/35	セル選択トランジスタを有するもの，例．ＮＡＮＤ
H10B41/40	周辺回路領域に特徴のあるもの
H10B41/41	メモリ領域にセル選択トランジスタを有するもの，例．ＮＡＮＤ
H10B41/42	周辺セルおよびメモリセルの同時製造
H10B41/43	周辺トランジスタを一種類のみ含むもの
H10B41/44	コントロールゲート層を周辺トランジスタの一部としても用いるもの
H10B41/46	ゲート間誘電体層を周辺トランジスタの一部としても用いるもの
H10B41/47	フローティングゲート層を周辺トランジスタの一部としても用いるもの
H10B41/48	フローティングゲート層を周辺トランジスタの一部としても用いるもの
H10B41/49	異なる種類の周辺トランジスタを含むもの
H10B41/50	コアと周辺回路領域との間の境界領域に特徴のあるもの
H10B41/60	コントロールゲートがドープ領域であるもの，例．単層ポリメモリセル
H10B41/70	フローティングゲートが複数の構成部品で共有される電極であるもの
H10B43/00	電荷トラッピングゲート絶縁体を含むＥＥＰＲＯＭ装置
H10B43/10	上から見たレイアウトに特徴のあるもの
H10B43/20	三次元配置，例．異なる高さに配置されたセル，に特徴のあるもの
H10B43/23	異なる高さのソースとドレインを有するもの，例．傾斜チャネルを有するもの
H10B43/27	垂直部分を含むチャネル，例．Ｕ字型チャネル
H10B43/30	メモリコア領域に特徴のあるもの
H10B43/35	セル選択トランジスタを有するもの，例．ＮＡＮＤ
H10B43/40	周辺回路領域に特徴のあるもの
H10B43/50	コアと周辺回路領域との間の境界領域に特徴のあるもの
H10B51/00	強誘電性のメモリトランジスタを含む強誘電体メモリ［ＦｅＲＡＭ］装置
H10B51/10	上から見たレイアウトに特徴のあるもの
H10B51/20	三次元配置，例．異なる高さに配置されたセル，に特徴のあるもの
H10B51/30	メモリコア領域に特徴のあるもの
H10B51/40	周辺回路領域に特徴のあるもの
H10B51/50	コアと周辺回路領域との間の境界領域に特徴のあるもの
H10B53/00	強誘電性のメモリキャパシタを含む強誘電体メモリ［ＦｅＲＡＭ］装置
H10B53/10	上から見たレイアウトに特徴のあるもの
H10B53/20	三次元配置，例．異なる高さに配置されたセル，に特徴のあるもの
H10B53/30	メモリコア領域に特徴のあるもの
H10B53/40	周辺回路領域に特徴のあるもの
H10B53/50	コアと周辺回路領域との間の境界領域に特徴のあるもの
H10B61/00	磁気メモリ装置，例．磁気抵抗ＲＡＭ［ＭＲＡＭ］装置<br><br><u>警告</u><br><br>グループＨ１０Ｂ６１／００はグループＨ１０Ｎ５９／００からの文献の再分類が未完成であり保留されている。<br>グループＨ１０Ｎ５９／００およびＨ１０Ｂ６１／００はコンプリートサーチの完遂のために考慮されるべきである。
H10B61/10	｛２つの電極をもつ構成部品からなるもの，例．ダイオードまたはＭＩＭ構成部品｝
H10B61/20	｛３つ以上の電極をもつ構成部品からなるもの，例.トランジスタ｝
H10B61/22	｛電界効果トランジスタ［ＦＥＴ］型のもの｝
H10B63/00	抵抗変化メモリ装置，例．抵抗ＲＡＭ［ＲｅＲＡＭ］装置<br><br><u>警告</u><br><br>グループＨ１０Ｂ６３／００はグループＨ１０Ｂ６３／１０およびＨ１０Ｎ７９／００への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
H10B63/10	相変化ＲＡＭ［ＰＣＲＡＭ，ＰＲＡＭ］装置<br><br><u>警告</u><br><br>グループＨ１０Ｂ６３／１０はグループＨ１０Ｂ６３／００からの文献の再分類が未完成であり保留されている。<br>グループＨ１０Ｂ６３／００およびＨ１０Ｂ６３／１０はコンプリートサーチの完遂のために考慮されるべきである。
H10B63/20	｛２つの電極をもつ選択的な構成部品からなるもの，例．ダイオード｝
H10B63/22	｛金属−絶縁−金属型のもの｝
H10B63/24	｛オボニックスレッシュホールドスイッチング型のもの｝
H10B63/30	｛３つ以上の電極をもつ選択的な構成部品からなるもの，例．トランジスタ｝
H10B63/32	｛バイポーラ型のもの｝
H10B63/34	｛縦型電界効果トランジスタ型のもの｝
H10B63/80	｛基板に対する平面パネル上の同一の型の双安定または多安定スイッチ構成部品からなる装置，例．クロスポイント配列｝
H10B63/82	｛スイッチ構成部品が共通能動材料層をもつもの｝
H10B63/84	｛基板に対して垂直な方向に配列したもの，例．３Ｄセル配列｝
H10B63/845	｛スイッチ構成部品が共通の垂直な導体に接続されるもの｝
H10B69/00	グループＨ１０Ｂ４１／００〜Ｈ１０Ｂ６３／００に包含されない，消去可能でプログラム可能なＲＯＭ［ＥＰＲＯＭ］装置，例．紫外線による消去可能でプログラム可能なＲＯＭ［ＵＶＥＰＲＯＭ］装置
H10B80/00	このサブクラスに包含される，少なくとも１つの記憶装置を備える，複数の装置の組立体<br><br><u>警告</u><br><br>グループＨ１０Ｂ８０／００はグループＨ０１Ｌ２５／０６５，Ｈ０１Ｌ２５／０６５２，Ｈ０１Ｌ２５／０６５５，Ｈ０１Ｌ２５／０６５７，Ｈ０１Ｌ２５／１６，Ｈ０１Ｌ２５／１６２，Ｈ０１Ｌ２５／１６５，Ｈ０１Ｌ２５／１６７およびＨ０１Ｌ２５／１８からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
H10B99/00	このサブクラスの他のグループに分類されない主題事項
H10B99/10	｛クロスポイント配置をもつメモリセル｝
H10B99/14	｛受動抵抗または受動キャパシタをもつのみのメモリセルからなるもの｝
H10B99/16	｛ダイオードをもつメモリセルからなるもの｝
H10B99/20	｛サイリスタをもつメモリセルからなるもの｝
H10B99/22	｛電界効果構成部品を含むもの｝
