Y02B10/00	エネルギー源の統合または再生可能なエネルギー源
Y02B10/10	光起電
Y02B10/20	太陽熱
Y02B10/30	風力
Y02B10/40	地熱熱ポンプ
Y02B10/50	住居用水力
Y02B10/70	ハイブリッドシステム
Y02B20/00	エネルギー効率の良い照明技術
Y02B20/30	半導体灯，例．半導体ランプ［ＳＳＬ］，発光ダイオード［ＬＥＤ］または有起光ダイオード［ＯＬＥＤ］
Y02B20/40	省エネルギーをもたらす制御技術
Y02B20/72	街灯に
Y02B30/00	エネルギー効率の良い暖房，換気または空調［ＨＶＡＣ］
Y02B30/12	熱ポンプを用いた熱水中央暖房方式
Y02B30/13	
Y02B30/17	
Y02B30/18	回復されたまたは廃棄された熱を用いた家庭用給湯システム
Y02B30/52	熱回収ポンプ，すなわち熱ポンプに基づくシステムまたは建物の一つの場所または施設の一つの部分から別の場所に熱エネルギーを移転することのできる集合体で，全体の熱効率を高めるもの
Y02B30/54	フリークーリングシステム
Y02B30/56	熱回収装置
Y02B30/62	吸収作用に基づいた体系
Y02B30/625	熱と動力を発生させる結合された体系の統合，例．トリジェネレーション
Y02B30/70	効率的な制御または調節技術（空白，サブグループ参照）
Y02B30/90	パッシブハウス；ダブルファサード工法
Y02B40/00	家庭器具の効率性の向上を意図した技術
Y02B40/18	太陽熱調理用コンロまたはかまど
Y02B50/00	エレベーター，エスカレーターおよび動く歩道におけるエネルギー効率化技術
Y02B70/00	エンドユーザーサイドが電力を管理および消費するための技術
Y02B70/10	スイッチモード電源［ＳＭＰＳ）を使用した効率性向上の技術，例．効率的なパワーエレクトロニクス転換
Y02B70/30	住宅または第三の負荷の二酸化炭素排出量の管理を改善するための電力網運営および通信または情報技術に関連する技術を統合する体系，すなわち建築部門における天候変化を軽減する技術としてのスマートグリッドで，配電の最終段階およびローカルレベルでの制御，監視または運営の管理体系をも含む
Y02B70/3225	需要応答システム，例．部分的送電停止，ピークカット
Y02B70/34	建物内におけるエンドユーザーアプリケーションの二酸化炭素を排出しない活動を支持するスマートメータリング
Y02B80/00	建物の熱機能を高める建築的または構造的な要素
Y02B80/10	絶縁
Y02B80/22	うわぐすり
Y02B80/32	屋上庭園方式
Y02B90/00	GHG放出緩和を可能にする技術または潜在的または間接的に貢献する技術
Y02B90/10	建物内燃料電池のアプリケーション
Y02B90/20	家庭または第三負担の二酸化炭素排出量管理の改善をもたらす動力網運用技術および通信または情報技術を統合するシステム，すなわち建築分野においてそれを可能にする技術としてのスマートグリッド（天候変化を軽減する効果をもたない技術を含む，エンドユーザーの定常アプリケーション一般の管理または運営を支持するスマートグリッドの場合は　Ｙ０４Ｓ２０／００）
