Y02W10/00	排水処理技術
Y02W10/10	水，排水または汚水の生物学的処理
Y02W10/20	汚泥処理
Y02W10/30	再生可能エネルギーを用いた排水または汚水処理装置
Y02W10/33	風力の利用
Y02W10/37	太陽光の利用
Y02W10/40	排水，汚水または汚泥の処理の副産物の価値設定化
Y02W30/00	堅実な廃棄物管理のための技術
Y02W30/10	廃棄物収集，輸送，移動または保管，例．分別されたゴミ収集，電気またはハイブリッドの推進
Y02W30/20	廃棄物処理または分別
Y02W30/30	メタン放散を緩和するための埋め立て技術
Y02W30/40	生物有機的画分加工；廃棄物または再利用物の有機画分から作られた肥料の製造
Y02W30/50	再利用，再生利用または修復技術
Y02W30/52	原材料の回収のための廃棄物の機械加工，例．粉砕，破砕，分離または分解
Y02W30/56	車両のもの
Y02W30/58	建設［Ｃ＆Ｄ］廃材
Y02W30/60	ガラスの再生利用
Y02W30/62	プラスチックの再生利用；ゴムの再生利用
Y02W30/64	紙の再生利用
Y02W30/66	再利用のための繊維を得るために繊維含有繊維製品を分解すること
Y02W30/74	脂肪，脂肪油，脂肪酸または他の脂肪性物質の回収，例．ラノリンまたは蝋
Y02W30/78	廃材または廃棄家具の再生利用
Y02W30/80	梱包材料の再利用または再生利用，例．マルチレイヤパッケージングのもの（バイオパッケージング　Ｙ０２Ｗ９０／１０）
Y02W30/82	電子機器や電器製品の廃棄物の再生利用［ＷＥＥＥ］
Y02W30/84	電池または燃料電池の再生利用
Y02W30/91	廃材料のモルタルまたはコンクリート用濾過器としての利用
Y02W90/00	技術または温室効果ガス［ＧＨＧ］排出の緩和への潜在的または間接的貢献のある技術を可能にすること
Y02W90/10	バイオパッケージング，例．再生可能資源または植物性樹脂から作られた梱包容器
