B66F   1/00  \	0	0	3F312	B66F   1/00	121	あらかじめ決められた段階に荷物をもち上げるための装置，例．ジャッキ	Devices, e.g. jacks, for lifting loads in predetermined steps
B66F   1/02  \	1	1	3F312	B66F   1/02	3	支柱と協働する鎖錠要素，例．でこぼこの表面，をもつもの	with locking elements, e.g. washers, co-operating with posts
B66F   1/02  A	1	0	3F312	B66F   1/02	29	支柱と相対的に移動する昇降部材と別体のロツク部材とを持つもの〔例．付加的な落下防止ピン，ストツパワツシヤ〕〔注．支柱に対する昇降部材の位置を一時的に保持するために，多くは手動によつて支柱に差込んだり，取付けたりするロツク部材を分類。１／０４に対し優先〕「図」	with separate locking members different from rising and falling members relatively moving against pillar e.g. additional pins for preventing falling, stopper washers (note: Locking members are mainly classified in this category that are either manually inserted into or mounted on posts for temporarily holding position of rising and falling member.  Takes precedence to 1/04)
B66F   1/02  B	1	0	3F312	B66F   1/02	1	嵌合部や係合部を持たない支柱に対するロツク部材を備えた間欠昇降部材〔例．電磁石により支柱に吸着するもの。真空により支柱に吸着するもの〕「図」	intermittently rising and falling members with locking members relative to posts without having engagements or connections, e.g. adhered to pillar by solenoid, adhered to pillar by vacuum [figure]
B66F   1/02  C	1	1	3F312	B66F   1/02	33	クサビを利用したロツク部材を持つもの〔例．ロツク部材の押圧面，摺動ガイド〕「図」	with locking members using of wedges, e.g. pushing surface of locking members, sliding guides [figure]
B66F   1/02  D	1	2	3F312	B66F   1/02	10	機械的に作動されるもの〔例．レバ−を揺動させて昇降するもの〕「図」	actuated mechanically, e.g. rising and falling by oscillating lever [figure]
B66F   1/02  E	1	2	3F312	B66F   1/02	60	流体的に作動されるもの〔例．上下に一組のクサビ部材を有するシリンダ装置〕	actuated by fluid means, e.g. cylinder devices provided with a set of wedge members on top and bottom
B66F   1/02  H	1	1	3F312	B66F   1/02	10	クサビ以外の摩擦力を利用したロツク部材を持つもの〔例．摩擦ブレ−キの応用，支柱軸に対し偏心した環状部材を用いるもの。支柱に対し可変径の環状部材を用いるもの〕「図」	with locking members using of friction forces excluding wedges, e.g. applications of friction brakes, using of annular member arranged eccentric to pillar axis,  using of annular members with variable diameter relative to pillar [figure]
B66F   1/02  J	1	2	3F312	B66F   1/02	28	機械的に作動されるもの〔例．レバ−を揺動させて昇降するもの〕「図」	mechanically actuated, e.g. rising and falling by oscillating lever [figure]
B66F   1/02  K	1	2	3F312	B66F   1/02	16	流体的に作動されるもの「図」	actuated by fluid means [figure]
B66F   1/02  Z	1	0	3F312	B66F   1/02	16	その他のもの	Others
B66F   1/04  \	2	2	3F312	B66F   1/04	28	歯を刻設した支柱	the posts being toothed
B66F   1/06  \	3	3	3F312	B66F   1/06	2	かつ機械的に作動される装置	and the devices being actuated mechanically
B66F   1/06  A	3	0	3F312	B66F   1/06	66	鉅歯を持つ支柱に対し揺動して係脱するロツク部材を持つもの〔例．ラチエツト部材〕「図」	with locking members engaged and disengaged by oscillating relative to pillar with saw teeth, e.g. ratchet members [figure]
B66F   1/06  B	3	0	3F312	B66F   1/06	27	横溝または横穴を持つ支柱に対し支柱の巾方向に摺動して係脱するロツク部材を持つもの「図」	with locking members engaged and disengaged by sliding along width of pillar relative to the same provided with sideway grooves or holes [figure]
B66F   1/06  Z	3	0	3F312	B66F   1/06	24	その他のもの	Others
B66F   1/08  \	3	3	3F312	B66F   1/08	12	かつ流体圧によって作動される装置	and the devices being operated by fluid pressure
B66F   1/08  A	3	0	3F312	B66F   1/08	54	鉅歯を持つ支柱に対し揺動して係脱するロツク部材を持つもの〔例．ラチエツト部材〕〔注．いわゆるセンタ−ホ−ルジヤツキを分類〕「図」	with locking members engaged and disengaged by oscillating relative to pillar with saw teeth, e.g. ratchet members (note: So called centre hole jacks are classified here.) [figure]
B66F   1/08  B	3	0	3F312	B66F   1/08	75	横溝または横穴を持つ支柱に対し支柱の巾方向に摺動して係脱するロツク部材を持つもの「図」	with locking members engaged and disengaged by sliding along width of pillar relative to the same provided with sideway grooves or holes [figure]
B66F   1/08  C	3	0	3F312	B66F   1/08	83	流体回路の特徴〔例．昇降部材，ロツク部材をシ−ケンシヤルに作動させるための流体制御手段〕「図」	features of fluid circuits, e.g. fluid control means for sequentially actuating rising and falling members or locking members [figure]
B66F   1/08  Z	3	0	3F312	B66F   1/08	57	その他のもの〔例．支柱に刻設したネジ溝に螺合するナツトをロツク部材とするもの〕	Others, e.g. locking member being as a nut engaging in threaded groove formed on pillar
B66F   3/00  \	0	0	3F312	B66F   3/00	202	荷物を連続的にもち上げるために適合する装置，例．ジヤツキ（ガレージ型の移動ジヤツキＢ６６Ｆ５／００）	Devices, e.g. jacks, adapted for uninterrupted lifting of loads (mobile jacks of the garage type B66F 5/00)
B66F   3/02  \	1	1	3F312	B66F   3/02	204	ピニオンによって作動されるラックをもつもの	with racks actuated by pinions
B66F   3/04  \	2	2	3F312	B66F   3/04	35	数個のラックをもつもの	with several racks
B66F   3/06  \	2	2	3F312	B66F   3/06	14	枢軸運動しうる歯を刻設した直線部材または円弧部材，例．２つ１組で配置されているもの，からなるラックをもつもの	with racks comprising pivotable toothed sections or segments, e.g. arranged in pairs
B66F   3/08  \	1	1	3F312	B66F   3/08	24	ネジで操作されるもの（Ｂ６６Ｆ３／４４が優先；伝動装置Ｆ１６Ｈ）	screw-operated (B66F 3/44 takes precedence; gearings F16H)
B66F   3/08  A	1	0	3F312	B66F   3/08	86	ジャッキのフレーム，取付態様の特徴〔例．必要に応じ起伏可能に取付けられたもの。すきまへの挿入が容易な構造等〕「図」	features of jack frames, mounting styles, e.g. mounted to allow raising or laying on an as required basis, structures facilitating insertion into gaps [figure]
B66F   3/08  B	1	1	3F312	B66F   3/08	118	荷係合部の特徴〔例．ベアリング付上皿〕「図」	features of load connections, e.g. upper dish with bearing [figure]
B66F   3/08  C	1	1	3F312	B66F   3/08	83	ジャッキの底部への特徴〔例．すべり止め〕「図」	features at bottom of jacks, e.g. slip stoppers [figure]
B66F   3/08  D	1	1	3F312	B66F   3/08	51	ジャッキの心出し機構〔例．位置あわせのための横行機構，位置あわせのための揺動機構〕「図」	Centring mechanisms for jacks, e.g. traverse mechanisms for positioning, oscillating mechanisms for positioning [figure]
B66F   3/08  G	1	0	3F312	B66F   3/08	59	スリーブの両端に各々ボルトを伸縮自在に螺合したもの，またはその逆の構造〔例．ターンバックル型のジャッキ〕〔注．繰出しスリーブは，３／１０〕「図」	Bolts screwed at both ends of sleeve so that they can be freely extended or contracted or opposite structure thereof, e.g. turnbuckle jack (note: Pay out sleeves 3/10) [figure]
B66F   3/08  J	1	0	3F312	B66F   3/08	81	落下防止機構〔例．スクリューのまわり止め〕〔注．シリンダの戻り止めのためのストップナットは３／３０，安全一般は１７／００〕「図」	Mechanisms for preventing falling, e.g. rotation stoppers for screw (note: Stop nuts for preventing cylinders from returning 3/30, safety in general 17/00) [figure]
B66F   3/08  L	1	0	3F312	B66F   3/08	53	フリーナット機構〔注．ハーフナット等を用いジャッキの初期高さを迅速に設定するため，スクリューとナットとを選択的に係脱できるもの〕「図」	Free nut mechanisms (note: Screw and nut can be selectively attached or detached to promptly set initial jack height using half nut.) [figure]
B66F   3/08  Z	1	0	3F312	B66F   3/08	223	その他のもの	Others
B66F   3/10  \	2	2	3F312	B66F   3/10	263	繰り出しスリーブをもつもの	with telescopic sleeves
B66F   3/12  \	2	2	3F312	B66F   3/12	31	トグルレバーからなるもの（レージイトング機構Ｂ６６Ｆ３／２２）	comprising toggle levers (lazy-tongs mechanisms B66F 3/22)
B66F   3/12  A	2	0	3F312	B66F   3/12	167	リンク機構に特徴を持つもの〔例．バランスを保つため不等辺にしたヒシ形リンク，リンクアームのヒンジ構造，リンクフレームの特徴〕「図」	characterised by linkage mechanisms, e.g. diamond-shaped linkages with scalene for maintaining balance, hinge structures of linkage arms, features of linkage frames [figure]
B66F   3/12  B	2	1	3F312	B66F   3/12	84	特に菱形以外のリンク構造に特徴を持つもの「例．Ｙ型，Ｖ型等のリンク構造〕「図」	characterised by linkage structures in particular with those excluding diamond-shaped, e.g. linkage structures with y-shaped or v-shaped [figure]
B66F   3/12  C	2	0	3F312	B66F   3/12	227	ネジ駆動部の特徴〔例．ネジ杆，ハンドルとの係合部，リンクに設けたナット部〕〔注・動力源を持つ駆動部は，３／４４，７／０８参照〕「図」	features of screw drives, e.g.. screw levers, handle connections, nut provided on linkage (note: See 3/44 and 7/08 for drives with power sources.) [figure]
B66F   3/12  D	2	1	3F312	B66F   3/12	39	早送り，早戻機構〔例．フリーナット機構，すなわちスクリューとナットとの噛合を解除し，リンクを所定高にした後再噛合させる早送り機構〕「図」	Rapid fee or return mechanisms, e.g. free nut mechanisms, that is, rapid feed mechanism releasing engagement between nut and screw, setting linkage to a certain height, and then engaging them once again [figure]
B66F   3/12  E	2	0	3F312	B66F   3/12	67	応用，取付の特徴〔例．物品の特定箇所への取付，傾斜角度微調整のための応用〕「図」	applications or mounting features, e.g. mounting at particular locations on articles, applications for finer adjustment of article angle [figure]
B66F   3/12  F	2	1	3F312	B66F   3/12	131	係合部の特徴〔例．上皿，底板，心出しのための横方向スライド機構〕〔注．３／０８に優先〕「図」	connection features, e.g. upper dishes, bottom plates, sideway sliding mechanism for centring (note: Takes precedence to 3/08) [figure]
B66F   3/12  G	2	1	3F312	B66F   3/12	54	特に収納状態に特徴があるもの〔例．車体へのジャッキの収納〕「図」	characterised by accommodated conditions in particular, e.g. accommodating jack in body [figure]
B66F   3/12  H	2	0	3F312	B66F   3/12	20	落下防止機構〔例．ロック機構〕〔注．３／０８Ｊに優先〕「図」	mechanisms for preventing falling, e.g. locking mechanisms (note: Takes precedence to 3/08J) [figure]
B66F   3/12  Z	2	0	3F312	B66F   3/12	79	その他のもの	Others
B66F   3/14  \	2	2	3F312	B66F   3/14	56	ラチェット機構を介して作動されるもの	actuated through pawl-and-ratchet mechanisms
B66F   3/16  \	2	2	3F312	B66F   3/16	155	ベベルギアを介して作動されるもの	actuated through bevel-wheel gearings
B66F   3/18  \	2	2	3F312	B66F   3/18	114	ウォームギアを介して作動されるもの	actuated through worm gearings
B66F   3/20  \	2	2	3F312	B66F   3/20	25	多数のまたは可変速度の伝動装置を介して作動されるもの	actuated through multiple or change-speed gearings
B66F   3/22  \	1	1	3F312	B66F   3/22	38	レージイトング機構	Lazy-tongs mechanisms
B66F   3/24  \	1	1	3F312	B66F   3/24	21	流体圧力で操作されるもの（水圧機械Ｆ０３Ｂ；流体圧サーボモータＦ１５Ｂ；爆発式アクチュータＦ１５Ｂ１５／１９；流体伝動装置Ｆ１６Ｈ；シリンダ，ピストンＦ１６Ｊ）	fluid-pressure operated (water-pressure machines F03B; fluid-pressure servomotors F15B, e.g. pyrotechnical actuators F15B 15/19; hydraulic gearings F16H; cylinders, pistons F16J)
B66F   3/24  A	1	0	3F312	B66F   3/24	237	ジャッキのフレーム，取付態様の特徴〔例．特殊な分野への応用に適したフレーム構造，ジャッキの支持構造，ガイド，底板〕「図」	features of jack frames or mounting styles, e.g. frame structures adapted for applications to special fields, supporting structures of jack, bottom plates [figure]
B66F   3/24  B	1	0	3F312	B66F   3/24	116	物品を横方向に移動させるための液圧ジャッキ〔注．ガレージ型移動ジャッキは５／００，主に建築物を横に押してスライドさせるようなものを分類〕〔例．横置シリンダの両端に引張用フックまたは押圧力受皿をつけた突張ジャッキ〕「図」	Fluid pressure jack for sliding an object in the horizontal direction [Notes: garage-type movable jack is classified to  5/00. The jacks that make a building to slide mainly by pushing are classified to this place.][e.g. Thrusting jacks equipped with a pulling hook or a pressing tray at the both ends of the horizontal cylinder][figure]
B66F   3/24  C	1	1	3F312	B66F   3/24	122	特に押上用ジャッキとその横方向押進手段とから成るもの〔注．心出し手段は，ここに分類〕「図」	consisting of push-up jack and means for pushing it sideways (note:  cantering means are classified here.) [figure]
B66F   3/24  D	1	0	3F312	B66F   3/24	182	圧縮性流体〔例．空気〕を用いたもの〔注．ベローズ等の特徴は，３／３５〕「図」	using of compressive fluids, e.g. air (note: Features for bellows 3/35) [figure]
B66F   3/24  E	1	0	3F312	B66F   3/24	15	熱による流体の体積変化を応用したもの〔注．爆発ジャッキは，３／４３〕「図」	applications of volumetric changes in fluids due by heat (note: Explosion jacks 3/43) [figure]
