H04S   1/00  \	0	0	5D162	H04S   1/00	1316	２チャンネル方式（Ｈ０４Ｓ５／００，Ｈ０４Ｓ７／００が優先）［３］	Two-channel systems (H04S 5/00, H04S 7/00 take precedence) [3]
H04S   1/00 200 \	1	1	5D162	H04S   1/00	3478	非適応型回路，例．音像や音の空間的な配置を強調するための手動調整型や非調整型のもの（音場の電子的処理のための制御回路Ｈ０４Ｓ７／００，３００）	Non-adaptive circuits, e.g. manually adjustable or static, for enhancing the sound image or the spatial distribution (control circuits for electronic adaptation of the sound field H04S7/00, 300)
H04S   1/00 500 \	2	2	5D162	H04S   1/00	885	ヘッドホン用	For headphones
H04S   1/00 700 \	1	1	5D162	H04S   1/00	406	デジタルマルチチャンネル信号を２つのチャンネルにダウンミックスするもの	downmixing digital multichannel signals to 2 channel signals
H04S   3/00  \	0	0	5D162	H04S   3/00	834	３チャンネル以上，例．４チャンネル，を用いる方式，（Ｈ０４Ｓ５／００，Ｈ０４Ｓ７／００が優先）［３］	Systems employing more than two channels, e.g. quadraphonic (H04S 5/00, H04S 7/00 take precedence) [3]
H04S   3/00 200 \	1	1	5D162	H04S   3/00	844	非適応型回路，例．音像や音の空間的な配置を強調するための，手動調整型や非調整型のもの（音場の電子的処理のための制御回路Ｈ０４Ｓ７／００，３００）	Non-adaptive circuits, e.g. manually adjustable or static, for enhancing the sound image or the spatial distribution (control circuits for electronic adaptation of the sound field H04S7/00, 300)
H04S   3/00 400 \	2	2	5D162	H04S   3/00	64	ヘッドホン用	For headphones
H04S   3/00 600 \	1	1	5D162	H04S   3/00	306	複数のオーディオ信号をオーディオ信号と被変調信号の組合せに変換したもの，例．ＣＤ−４システム	multiple audio signals transformed into a combination between audio signals and modulated signals, e.g. CD-4 system
H04S   3/00 800 \	1	1	5D162	H04S   3/00	139	デジタルマルチチャンネル信号を２つのチャンネルよりも多いチャンネルにダウンミックスするもの，例．ドルビーデジタルまたはＤＴＳ	downmixing digital multichannel signals to two or more channel signals, e.g. Dolby digital or DTS
H04S   3/02  \	1	1	5D162	H04S   3/02	708	マトリクス形式，すなわち．入力信号が代数学的に組み合わされるもの，例．互いに関して位相推移がなされた後組み合わされるもの［３］	of the matrix type, i.e. in which input signals are combined algebraically, e.g. after having been phase shifted with respect to each other [3]
H04S   5/00  \	0	0	5D162	H04S   5/00	721	擬似ステレオ方式，例．付加的なチャンネル信号が，モノラル信号から位相推移，時間遅延または残響によって生じる方式［３］	Pseudo-stereo systems, e.g. in which additional channel signals are derived from monophonic signals by means of phase shifting, time delay or reverberation (arrangements for producing a reverberation or echo sound G10K 15/08) [3]
H04S   5/00 500 \	1	1	5D162	H04S   5/00	173	擬似５チャンネルやそれ以上の擬似チャンネル形式のもの，例．バーチャルサラウンド	Virtual 5 or more channel system, e.g. virtual surround
H04S   5/02  \	1	1	5D162	H04S   5/02	965	擬似４チャンネル形式，例．後チャンネル信号が２チャンネルステレオ信号から生じるもの［３］	of the pseudo four-channel type, e.g. in which rear channel signals are derived from two-channel stereo signals [3]
H04S   7/00  \	0	0	5D162	H04S   7/00	2270	指示装置；制御装置，例．バランス制御［３］	Indicating arrangements; Control arrangements, e.g. balance control [3]
H04S   7/00 300 \	1	1	5D162	H04S   7/00	9400	音場の電子的処理のための制御回路（非適応型回路，すなわち音像や音の空間的な配置を強調する，手動調整型や非調整型のものＨ０４Ｓ１／００，２００，Ｈ０４Ｓ３／００，２００）	Control circuits for electronic adaptation of the sound field (non-adaptive circuits, i.e. manually adjustable or static, for enhancing the sound image or the spatial distribution H04S1/00, 200, H04S3/00, 200)
H04S   7/00 310 \	2	2	5D162	H04S   7/00	563	ステレオサウンドシステムの自動補正，例．テスト用マイクロホンを用いるもの	Automatic calibration of stereophonic sound system, e.g. with test microphones
H04S   7/00 320 \	2	2	5D162	H04S   7/00	1427	リスナーの位置やリスナーの向きへのステレオサウンドシステムの電子的処理（Ｈ０４Ｓ７／００，３１０が優先）	Electronic adaptation of stereophonic sound system to listeners' position or orientation (H04S7/00, 310 take precedence)
H04S   7/00 330 \	3	3	5D162	H04S   7/00	1346	リスナーの位置やリスナーの向きの追跡	Tracking of listeners' position or orientation
H04S   7/00 340 \	4	4	5D162	H04S   7/00	306	ヘッドホン用	For headphones
H04S   7/00 350 \	2	2	5D162	H04S   7/00	1128	リスニング空間の残響へのステレオ音響信号の電子的処理（Ｈ０４Ｓ７／００，３１０が優先）	electronic processes of stereo for reverberation in listening spaces (H04S7/00, 310 take precedence)
H04S   7/00 360 \	3	3	5D162	H04S   7/00	107	ヘッドホン用	For headphones
H04S   7/00 370 \	2	2	5D162	H04S   7/00	468	周波数調整，例．トーンコントロール（Ｈ０４Ｓ７／００，３１０が優先）	adjustment of frequencies, e.g. tone control (H04S7/00, 310 take precedence)
H04S   7/00 380 \	2	2	5D162	H04S   7/00	767	スピーカ接続またはヘッドホン接続に応じた電子的処理	Electronic adaptation dependent on speaker or headphone connection
H04S   7/00 400 \	2	2	5D162	H04S   7/00	799	ステレオ音像の可視表示	Visual indication of stereophonic sound image
