A01M1/00	7	Stationary means for catching or killing insects	A01M1/00	A01M1/00		669
A01M1/02	8	with devices {or substances, e.g. food, pheronones} attracting the insects	A01M1/02	A01M1/02		4309
A01M1/023	9	{Attracting insects by the simulation of a living being, i.e. emission of carbon dioxide, heat, sound waves or vibrations}	A01M1/02	A01M1/02		874
A01M1/026	9	{combined with devices for monitoring insect presence, e.g. termites (bait stations A01M1/2005; detecting other animals in a given area A01M31/002)}	A01M1/02	A01M1/02		1314
A01M1/04	9	{Attracting insects by} using illumination {or colours (A01M1/08 and A01M1/145 take precedence)}	A01M1/04	A01M1/04		4851
A01M1/06	8	{Catching insects by} using a suction effect {(A01M3/00 takes precedence)}	A01M1/06	A01M1/06		914
A01M1/08	8	{Attracting and catching insects by} using combined illumination {or colours} and suction effects	A01M1/08	A01M1/08		1452
A01M1/10	8	{Catching insects by using} Traps {(using suction effect A01M1/06)}	A01M1/10	A01M1/10		793
A01M1/103	9	{for crawling insects}	A01M1/10	A01M1/10		860
A01M1/106	9	{for flying insects}	A01M1/10	A01M1/10		2410
A01M1/12	9	automatically reset	A01M1/12	A01M1/12		113
A01M1/14	8	Catching by adhesive surfaces	A01M1/14	A01M1/14		1708
A01M1/145	9	{Attracting and catching insects using combined illumination or colours and adhesive surfaces}	A01M1/14	A01M1/14		1018
A01M1/16	9	Fly papers or ribbons	A01M1/16	A01M1/16		381
A01M1/165	10	{Hanging or fastening means}	A01M1/16	A01M1/16		115
A01M1/18	9	Adhesive bands or coatings for trees {(protecting plants against climbing insects A01G13/105)}	A01M1/18	A01M1/18		324
A01M1/20	8	Poisoning, narcotising, or burning insects {(fumigation apparatus A01M13/00)}	A01M1/20	A01M1/20		1412
A01M1/2005	9	{Poisoning insects using bait stations (A01M1/10 takes precedence)}	A01M1/20	A01M1/20		399
A01M1/2011	10	{for crawling insects}	A01M1/20	A01M1/20		755
A01M1/2016	10	{for flying insects}	A01M1/20	A01M1/20		645
A01M1/2022	9	{Poisoning or narcotising insects by vaporising an insecticide}	A01M1/20	A01M1/20		217
A01M1/2027	10	{without heating}	A01M1/20	A01M1/20		142
A01M1/2033	11	{using a fan}	A01M1/20	A01M1/20		280
A01M1/2038	11	{Holders or dispensers for pressurized insecticide, e.g. pressurized vessels, cans}	A01M1/20	A01M1/20		265
A01M1/2044	11	{Holders or dispensers for liquid insecticide, e.g. using wicks}	A01M1/20	A01M1/20		788
A01M1/205	12	{using vibrations, e.g. ultrasonic or piezoelectric atomizers}	A01M1/20	A01M1/20		115
A01M1/2055	11	{Holders or dispensers for solid, gelified or impregnated insecticide, e.g. volatile blocks or impregnated pads}	A01M1/20	A01M1/20		819
A01M1/2061	10	{using a heat source}	A01M1/20	A01M1/20		333
A01M1/2066	11	{burning insecticide, e.g. impregnated candles, burning coils}	A01M1/20	A01M1/20		417
A01M1/2072	11	{combined with a fan}	A01M1/20	A01M1/20		202
A01M1/2077	11	{using an electrical resistance as heat source (A01M1/2083 takes precedence)}	A01M1/20	A01M1/20		808
A01M1/2083	11	{using a light bulb as heat source}	A01M1/20	A01M1/20		147
A01M1/2088	11	{using a burner or a flame as heat source}	A01M1/20	A01M1/20		228
A01M1/2094	9	{killing insects by using temperature, e.g. flames, steam or freezing (A01M1/22 takes precedence)}	A01M1/20	A01M1/20		629
A01M1/22	8	{Killing insects} by electric means (electric circuits therefor H05C)	A01M1/22	A01M1/22		417
A01M1/223	9	{by using electrocution}	A01M1/22	A01M1/22		3351
A01M1/226	9	{by using waves, fields or rays, e.g. sound waves, microwaves, electric waves, magnetic fields, light rays}	A01M1/22	A01M1/22		765
A01M1/24	8	Arrangements connected with buildings, doors, windows, or the like	A01M1/24	A01M1/24		739
A01M1/245	9	{for pesticide application or distribution, e.g. using a network of pipes}	A01M1/24	A01M1/24		254
A01M3/00	7	Manual implements, other than sprayers or powder distributors, for catching or killing insects, e.g. butterfly nets	A01M3/00	A01M3/00		467
A01M3/002	8	{Insect nets}	A01M3/00	A01M3/00		170
A01M3/005	8	{Manual suction tools for catching insects}	A01M3/00	A01M3/00		256
A01M3/007	8	{Manual heating or burning apparatus, e.g. using steam, heated elements or waves (flame-throwers A01M15/00)}	A01M3/00	A01M3/00		94
A01M3/02	8	Fly-swatters	A01M3/02	A01M3/02		460
A01M3/022	9	{using adhesives}	A01M3/02	A01M3/02		124
A01M3/025	9	{using electrocution}	A01M3/02	A01M3/02		197
A01M3/027	9	{using resilient means or projectiles}	A01M3/02	A01M3/02		133
A01M3/04	8	with adhesive surfaces	A01M3/04	A01M3/04		81
A01M5/00	7	Catching insects in fields, gardens, or forests by movable appliances	A01M5/00	A01M5/00		221
A01M5/02	8	Portable appliances	A01M5/02	A01M5/02		215
A01M5/04	8	Wheeled machines, with means for stripping-off or brushing-off insects	A01M5/04	A01M5/04		559
A01M5/06	9	with adhesive surfaces	A01M5/06	A01M5/06		30
A01M5/08	9	with fans	A01M5/08	A01M5/08		202
A01M7/00	7	Special adaptations or arrangements of liquid-spraying apparatus for purposes covered by this subclass	A01M7/00	A01M7/00		1663
A01M7/0003	8	{Atomisers or mist blowers (single-unit hand-held apparatus in which flow of contents is produced by the muscular force of the operator at the moment of use B05B11/00)}	A01M7/00	A01M7/00		622
A01M7/0007	9	{mounted on a frame and guided by hand; Atomiser barrow}	A01M7/00	A01M7/00		99
A01M7/001	10	{motor-driven}	A01M7/00	A01M7/00		110
A01M7/0014	9	{Field atomisers, e.g. orchard atomisers, self-propelled, drawn or tractor-mounted}	A01M7/00	A01M7/00		1834
