A22B1/00	7	Apparatus for fettering animals to be slaughtered	A22B1/00	A22B1/00		214
A22B3/00	7	Slaughtering or stunning ({anaesthetising animals A61D7/04}; cutting in general B26)	A22B3/00	A22B3/00		249
A22B3/005	8	{by means of gas}	A22B3/00	A22B3/00		269
A22B3/02	8	by means of bolts, e.g. slaughtering pistols, cartridges {(pistols F41C)}	A22B3/02	A22B3/02		316
A22B3/04	8	Masks for animals to be slaughtered; Masks combined with stunning arrangements	A22B3/04	A22B3/04		9
A22B3/06	8	Slaughtering or stunning by electric current (electric circuits therefor H05C)	A22B3/06	A22B3/06		457
A22B3/08	8	for poultry or fish, e.g. slaughtering pliers, slaughtering shears	A22B3/08	A22B3/08		147
A22B3/083	9	{Stunning devices specially adapted for fish}	A22B3/08	A22B3/08		140
A22B3/086	9	{Stunning devices specially adapted for poultry}	A22B3/08	A22B3/08		294
A22B3/10	8	Slaughtering tools; Slaughtering knives	A22B3/10	A22B3/10		198
A22B3/12	8	Kosher slaughtering devices	A22B3/12	A22B3/12		31
A22B5/00	7	Accessories for use during or after slaughtering	A22B5/00	A22B5/00		298
A22B5/0005	8	{Eviscerating devices, e.g. removing rectum, anus, intestines, brain tissue, hypophysis (for poultry A22C21/06; for fish A22C25/14)}	A22B5/00	A22B5/00		224
A22B2005/0011	9	{Means for closing or removing the vent, rectum, anus or claoca of carcasses}	A22B5/00	A22B5/00		10
A22B5/0017	8	{Apparatus for cutting, dividing or deboning carcasses}	A22B5/00	A22B5/00		122
A22B5/0023	9	{Cutting open the abdominal cavity of a carcass}	A22B5/00	A22B5/00		50
A22B5/0029	9	{Cutting through or detaching portions of a carcass (splitting carcasses A22B5/20)}	A22B5/00	A22B5/00		243
A22B5/0035	9	{Deboning or obtaining boneless pieces of meat from a carcass (devices for deboning meat A22C17/004)}	A22B5/00	A22B5/00		154
A22B5/0041	9	{Electronic, robotic or computer assisted cutting, dividing or deboning carcasses}	A22B5/00	A22B5/00		136
A22B5/0047	9	{Hand-tools for deboning, cutting or dividing carcasses}	A22B5/00	A22B5/00		61
A22B5/0052	9	{Severing the head or the jaw of a carcass, slaughterhouse operations on animal heads}	A22B5/00	A22B5/00		106
A22B5/0058	9	{Removing feet or hooves from carcasses}	A22B5/00	A22B5/00		96
A22B5/0064	8	{for classifying or grading carcasses; for measuring back fat}	A22B5/00	A22B5/00		196
A22B5/007	9	{Non-invasive scanning of carcasses, e.g. using image recognition, tomography, X-rays, ultrasound (analysing meat, e.g. search for foreign embedded objects G01N33/12; image analysis G06T7/00)}	A22B5/00	A22B5/00		283
A22B5/0076	8	{Chilling or lowering the temperature of carcasses}	A22B5/00	A22B5/00		152
A22B5/0082	8	{Cleaning, washing or disinfecting carcasses (disinfecting poultry carcasses A22C21/0061)}	A22B5/00	A22B5/00		240
A22B5/0088	8	{Electric stimulation of carcasses}	A22B5/00	A22B5/00		23
A22B5/0094	8	{Cutting or blocking the rectum of a carcass, e.g. for avoiding fecal contamination}	A22B5/00	A22B5/00		138
A22B5/02	8	Slaughtering pens	A22B5/02	A22B5/02		130
A22B5/04	8	Blood-collecting apparatus; Blood-stirring devices	A22B5/04	A22B5/04		324
A22B5/06	8	Slaughtering stands or spreaders for cattle	A22B5/06	A22B5/06		463
A22B5/08	8	Scalding; Scraping; Dehairing; Singeing (treatment of hides or skins C14B)	A22B5/08	A22B5/08		857
A22B5/10	9	Hand-operated instruments	A22B5/10	A22B5/10		75
A22B5/12	9	Scalding kettles	A22B5/12	A22B5/12		62
A22B5/14	8	Clips for the tongue; Arrangements for closing the throat	A22B5/14	A22B5/14		61
A22B5/16	8	Skinning instruments or knives	A22B5/16	A22B5/16		130
A22B5/161	9	{Methods or means for pulling the hide from carcasses}	A22B5/16	A22B5/16		309
A22B5/163	9	{Skinning knives with disc-shaped blades (disc cutters B26D1/14; motor-driven hand tools with disc blades B26B25/00)}	A22B5/16	A22B5/16		141
A22B5/165	9	{Ring knives specially adapted for skinning (motor driven tools with annular blades B26B25/002)}	A22B5/16	A22B5/16		45
A22B5/166	9	{Drum skinners}	A22B5/16	A22B5/16		146
A22B5/168	9	{Hand tools specially adapted for skinning carcasses}	A22B5/16	A22B5/16		190
A22B5/18	8	Cleaning the stomach of slaughtered animals	A22B5/18	A22B5/18		165
A22B5/20	8	Splitting instruments {(cutting operations on carcasses other than splitting A22B5/0017)}	A22B5/20	A22B5/20		112
A22B5/201	9	{Removing the spinal cord or other nervous tissues}	A22B5/20	A22B5/20		101
A22B5/202	9	{Guides or devices for holding the carcass during the splitting operation}	A22B5/20	A22B5/20		104
A22B5/203	9	{Meat or bone saws for splitting carcasses (cutting meat A22C17/0006)}	A22B5/20	A22B5/20		9
A22B5/205	10	{Manual saws}	A22B5/20	A22B5/20		172
A22B5/206	10	{Disc or circular saws (motor-driven hand tools with disc blades B26B25/00; for skinning A22B5/163)}	A22B5/20	A22B5/20		167
A22B5/207	10	{Reciprocating, percussion or hydraulic cutting means}	A22B5/20	A22B5/20		119
A22B5/208	10	{Band saws}	A22B5/20	A22B5/20		65
A22B7/00	7	Slaughterhouse arrangements	A22B7/00	A22B7/00		234
A22B7/001	8	{Conveying arrangements}	A22B7/00	A22B7/00		574
A22B7/002	9	{Devices for hanging animal carcasses while being conveyed or stored, e.g. gambrels, hooks}	A22B7/00	A22B7/00		305
A22B7/003	9	{Positioning, orienting or supporting carcasses as they are being conveyed (influencing the position of articles during transit by conveyors B65G47/22; during feeding B65G47/14)}	A22B7/00	A22B7/00		109
A22B7/004	9	{Rails for conveying suspended carcasses, e.g. configurations, connections (overhead conveyors B65G17/20)}	A22B7/00	A22B7/00		128
A22B7/005	9	{Means for transferring carcasses from a conveying unit to a different one, e.g. hooking, unhooking (transferring articles between conveyors B65G47/52)}	A22B7/00	A22B7/00		95
A22B7/006	9	{Trolleys or special vehicles for carcass transportation}	A22B7/00	A22B7/00		77
A22B7/007	9	{Means containing information relative to the carcass that can be attached to or are embedded in the conveying means}	A22B7/00	A22B7/00		64
