A22C5/00	7	Apparatus for mixing meat, sausage-meat, or meat products (mixing in general B01F)	A22C5/00	A22C5/00		687
A22C7/00	7	Apparatus for pounding, forming, or pressing meat, sausage-meat, or meat products {(meat patty moulding devices for domestic use A47J43/20; ham boilers A47J27/20)}	A22C7/00	A22C7/00		1042
A22C7/0007	8	{specially adapted for making multi-layered meat products}	A22C7/00	A22C7/00		103
A22C7/0015	8	{specially adapted for making meat-balls}	A22C7/00	A22C7/00		263
A22C7/0023	8	{Pressing means}	A22C7/00	A22C7/00		305
A22C7/003	9	{Meat-moulds}	A22C7/00	A22C7/00		167
A22C7/0038	10	{Demoulding means}	A22C7/00	A22C7/00		98
A22C7/0046	10	{Containers in which meat is pressed and moulded}	A22C7/00	A22C7/00		346
A22C7/0053	11	{Stackable containers}	A22C7/00	A22C7/00		117
A22C7/0061	11	{Containers for moulding and pressing ham}	A22C7/00	A22C7/00		152
A22C7/0069	10	{Pressing and moulding by means of a drum}	A22C7/00	A22C7/00		108
A22C7/0076	10	{Devices for making meat patties}	A22C7/00	A22C7/00		216
A22C7/0084	11	{comprising a reciprocating plate}	A22C7/00	A22C7/00		112
A22C7/0092	8	{with worms or other rotary mounted members (A22C7/0007 takes precedence)}	A22C7/00	A22C7/00		112
A22C9/00	7	Apparatus for tenderising meat, e.g. ham {(tenderising chemically A23L13/00, A23L13/70)}	A22C9/00	A22C9/00		380
A22C9/001	8	{by injection}	A22C9/00	A22C9/00		260
A22C9/002	8	{by electric treatment}	A22C9/00	A22C9/00		63
A22C9/004	8	{by massaging}	A22C9/00	A22C9/00		236
A22C9/005	9	{Tumblers and rotating drums for massaging meat in their interior}	A22C9/00	A22C9/00		199
A22C9/007	8	{by beating}	A22C9/00	A22C9/00		226
A22C9/008	8	{by piercing}	A22C9/00	A22C9/00		648
A22C11/00	7	Sausage making {(chemical aspects A23L13/00); Apparatus for handling or conveying sausage products during manufacture}	A22C11/00	A22C11/00		745
A22C11/001	8	{Machines for making skinless sausages, e.g. Frankfurters, Wieners}	A22C11/00	A22C11/00		227
A22C11/003	9	{Removing casings from sausages during manufacture}	A22C11/00	A22C11/00		168
A22C11/005	9	{Apparatus for binding or tying sausages or meat, e.g. salami, rollades; Filling sausage products into sleeve netting}	A22C11/00	A22C11/00		168
A22C11/006	8	{Separating linked sausages}	A22C11/00	A22C11/00		151
A22C11/008	8	{Conveying sausages in horizontal position (conveying hanging sausages A22C15/001)}	A22C11/00	A22C11/00		123
A22C11/02	8	Sausage filling or stuffing machines {(enclosing material in preformed tubular webs B65B9/10)}	A22C11/02	A22C11/02		763
A22C11/0209	9	{Stuffing horn assembly}	A22C11/02	A22C11/02		201
A22C11/0218	10	{with multiple interchangeable stuffing horns, e.g. magazine arrangements}	A22C11/02	A22C11/02		51
A22C11/0227	9	{Supplying casings to the stuffing device}	A22C11/02	A22C11/02		94
A22C11/0236	10	{from a storage device}	A22C11/02	A22C11/02		36
A22C11/0245	9	{Controlling devices}	A22C11/02	A22C11/02		209
A22C11/0254	10	{Sizing means}	A22C11/02	A22C11/02		53
A22C11/0263	10	{Braking means}	A22C11/02	A22C11/02		110
A22C11/0272	10	{for casing depletion}	A22C11/02	A22C11/02		18
A22C11/0281	9	{for sausages having at least one flat end}	A22C11/02	A22C11/02		32
A22C11/029	9	{with coating or lubricating means}	A22C11/02	A22C11/02		46
A22C11/04	9	with mechanically-operated piston moving to-and-fro	A22C11/04	A22C11/04		133
A22C11/06	9	with piston operated by liquid or gaseous means	A22C11/06	A22C11/06		188
A22C11/08	9	with pressing-worm or other rotary-mounted pressing-members	A22C11/08	A22C11/08		272
A22C11/10	8	Apparatus for twisting {or linking} sausages {(subdividing filled flexible tubes to form packages, involving displacement of contents B65B9/12, by applying pressure and heat successively B65B51/26)}	A22C11/10	A22C11/10		299
A22C2011/101	9	{for pinching and twisting}	A22C11/10	A22C11/10		35
A22C2011/102	10	{and twisting in opposite directions}	A22C11/10	A22C11/10		9
A22C11/104	9	{by means of shear or blade elements}	A22C11/10	A22C11/10		91
A22C11/105	10	{The sheer or blade elements being displaceable parallel to the sausage string in order to create a narrow point free of meat}	A22C11/10	A22C11/10		52
A22C11/107	9	{A string passing between two rotary members comprising dividing elements cooperating with each other}	A22C11/10	A22C11/10		97
A22C11/108	9	{with dividing elements located on the surface of a single rotary member}	A22C11/10	A22C11/10		54
A22C11/12	8	Apparatus for tying sausage skins {; Clipping sausage skins (applying clips or binding material to package folds or closures, e.g. to twisted bag necks B65B51/04, B65B51/08)}	A22C11/12	A22C11/12		252
A22C11/122	9	{by forming knots}	A22C11/12	A22C11/12		150
A22C11/125	9	{by clipping; Removal of clips}	A22C11/12	A22C11/12		305
A22C11/127	9	{Forming a suspension loop}	A22C11/12	A22C11/12		64
A22C13/00	7	Sausage casings {(made of animal intestines A22C17/14)}	A22C13/00	A22C13/00		676
A22C13/0003	8	{Apparatus for making sausage casings, e.g. simultaneously with stuffing artificial casings (enclosing material webs being formed into tubes in situ around filling nozzles B65B9/20)}	A22C13/00	A22C13/00		360
A22C13/0006	9	{Apparatus for making artificial collagen casings (chemical aspects A22C13/0016)}	A22C13/00	A22C13/00		148
A22C13/0009	8	{End closures therefor}	A22C13/00	A22C13/00		103
A22C13/0013	8	{Chemical composition of synthetic sausage casings}	A22C13/00	A22C13/00		1257
A22C13/0016	9	{based on proteins, e.g. collagen}	A22C13/00	A22C13/00		496
A22C2013/002	8	{made by extrusion}	A22C13/00	A22C13/00		138
A22C2013/0023	9	{coextruded together with the food product}	A22C13/00	A22C13/00		83
A22C13/0026	8	{Chemical treatment of natural gut}	A22C13/00	A22C13/00		126
A22C2013/003	8	{with peeling aids, e.g. reducing adhesion between casing and product}	A22C13/00	A22C13/00		28
A22C2013/0033	8	{with at least one layer of a fat impermeable material}	A22C13/00	A22C13/00		5
A22C2013/0036	8	{with features allowing an easy opening and/or removal of the casing}	A22C13/00	A22C13/00		56
A22C2013/004	8	{with at least one layer of a gas, e.g. oxygen, water vapour, impermeable material}	A22C13/00	A22C13/00		39
A22C2013/0043	8	{with at least one layer of a water impermeable material}	A22C13/00	A22C13/00		16
A22C2013/0046	8	{suitable for impregnation with flavouring substances, e.g. caramel, liquid smoke, spices}	A22C13/00	A22C13/00		130
A22C2013/005	8	{monolayer casings}	A22C13/00	A22C13/00		23
A22C2013/0053	8	{multilayer casings}	A22C13/00	A22C13/00		174
A22C2013/0056	8	{nets and similar open structures to hold sausages and meat in general}	A22C13/00	A22C13/00		123
A22C2013/0059	8	{thermoplastic casings, casings with at least one layer of thermoplastic material}	A22C13/00	A22C13/00		135
A22C2013/0063	8	{containing polyamide, e.g. nylon, aramide}	A22C13/00	A22C13/00		101
A22C2013/0066	8	{casings according to the presence or absence of seams}	A22C13/00	A22C13/00		2
A22C2013/0069	9	{seamed casings, casings with at least one longitudinal seam}	A22C13/00	A22C13/00		94
A22C2013/0073	9	{seamless casings made out of a continuous seamless tubular sheet}	A22C13/00	A22C13/00		21
A22C2013/0076	8	{treated in order to be conferred a rough appearance}	A22C13/00	A22C13/00		14
A22C2013/0079	8	{printable sausage casings or sausage casings showing any kind of indicia}	A22C13/00	A22C13/00		41
A22C2013/0083	8	{biaxially oriented}	A22C13/00	A22C13/00		89
A22C2013/0086	8	{shrinkable casings}	A22C13/00	A22C13/00		49
A22C2013/0089	8	{smokable casings, e.g. permeable to liquid smoke or phenol}	A22C13/00	A22C13/00		40
A22C2013/0093	8	{textile casings, casings with at least one layer of textile material}	A22C13/00	A22C13/00		24
A22C2013/0096	8	{cellulosic}	A22C13/00	A22C13/00		184
A22C13/02	8	Shirring of sausage casings {(storing preformed tubular webs on filling nozzles B65B9/15)}	A22C13/02	A22C13/02		311
A22C2013/021	9	{with pressurised air}	A22C13/02	A22C13/02		12
A22C13/023	9	{Holders or packs of shirred casings}	A22C13/02	A22C13/02		186
A22C2013/025	9	{Severing the shired food casing}	A22C13/02	A22C13/02		17
A22C2013/026	9	{Shirring netting onto a tube}	A22C13/02	A22C13/02		34
A22C2013/028	9	{Supplying and shirring casings}	A22C13/02	A22C13/02		20
A22C15/00	7	Apparatus for hanging-up meat or sausages {(filling and conveying sausage products during manufacture A22C11/00; transport through slaughterhouses A22B7/001; poultry shackles A22C21/0007; conveying poultry A22C21/0053)}	A22C15/00	A22C15/00		156
A22C15/001	8	{Specially adapted for hanging or conveying several sausages or strips of meat}	A22C15/00	A22C15/00		325
A22C15/002	9	{Loops, hooks, cords for suspending single sausages; apparatus for making or conveying loops for sausages}	A22C15/00	A22C15/00		156
A22C15/003	8	{Hooks or the like specially adapted for meat or hams or part of carcasses (spreaders for cattle A22B5/06)}	A22C15/00	A22C15/00		237
A22C15/005	9	{Hangers with more hooks penetrating the piece of meat}	A22C15/00	A22C15/00		116
A22C15/006	9	{Apparatus for inserting a cord into a piece of meat}	A22C15/00	A22C15/00		39
A22C15/007	8	{Racks for storing or smoking suspended meat or sausages (racks for pressing meat A22C7/0023)}	A22C15/00	A22C15/00		169
A22C15/008	8	{Cages specially adapted for suspending hams, meat or sausages}	A22C15/00	A22C15/00		35
A22C17/00	7	Other devices for processing meat or bones	A22C17/00	A22C17/00		726
A22C17/0006	8	{Cutting or shaping meat}	A22C17/00	A22C17/00		1204
A22C17/0013	9	{Boards or blocks for cutting or chopping meat}	A22C17/00	A22C17/00		257
A22C17/002	9	{Producing portions of meat with predetermined characteristics, e.g. weight or particular dimensions}	A22C17/00	A22C17/00		416
A22C17/0026	9	{Mincing and grinding meat (mincing machines B02C18/30)}	A22C17/00	A22C17/00		723
A22C17/0033	9	{Cutting slices out of a piece of meat (slicing machines B26D1/143)}	A22C17/00	A22C17/00		527
A22C17/004	8	{Devices for deboning meat (deboning poultry A22C21/0069; deboning operations on carcasses A22B5/0035)}	A22C17/00	A22C17/00		386
A22C17/0046	9	{specially adapted for meat containing ribs}	A22C17/00	A22C17/00		128
A22C17/0053	8	{by injection}	A22C17/00	A22C17/00		248
A22C17/006	8	{Putting meat on skewers}	A22C17/00	A22C17/00		464
A22C17/0066	9	{for "d&#246;ner kebab", "shawarma", "gyros" or the like}	A22C17/00	A22C17/00		155
A22C17/0073	8	{using visual recognition, X-rays, ultrasounds, or other contactless means to determine quality or size of portioned meat}	A22C17/00	A22C17/00		133
A22C17/008	9	{for measuring quality, e.g. to determine further processing}	A22C17/00	A22C17/00		163
A22C17/0086	9	{Calculating cutting patterns based on visual recognition}	A22C17/00	A22C17/00		163
A22C17/0093	8	{Handling, transporting or packaging pieces of meat}	A22C17/00	A22C17/00		776
A22C17/02	8	Apparatus for holding meat or bones while cutting {(holding fish A22C25/06; holding meat for carving A47J43/18)}	A22C17/02	A22C17/02		649
A22C17/04	8	Bone cleaning devices	A22C17/04	A22C17/04		477
A22C17/06	8	Bone-shears; Bone-crushers	A22C17/06	A22C17/06		159
A22C17/08	8	Cleaning, e.g. washing, meat or sausages {(treating offal C11B)}	A22C17/08	A22C17/08		624
A22C17/10	8	Marking meat or sausages {(marking animals A01K11/00; labelling B65C)}	A22C17/10	A22C17/10		292
A22C17/12	8	Apparatus for cutting-off rind {(skinning instruments A22B5/16)}	A22C17/12	A22C17/12		438
A22C17/14	8	Working-up animal intestines {; Treatment thereof for the manufacture of natural sausage casings (making artificial casings A22C13/0003; chemical treatment of natural casings A22C13/0026)}; Apparatus for cutting intestines; Machines for pulling intestines to pieces	A22C17/14	A22C17/14		403
A22C17/16	8	Cleaning of intestines; Machines for removing fat or slime from intestines {(cleaning the stomach of slaughtered animals A22B5/18)}	A22C17/16	A22C17/16		494
A22C18/00	7	Plants, factories, or the like for processing meat (for processing poultry only A22C21/00; for processing fish only A22C25/00)	A22C18/00	A22C18/00		165
A22C21/00	7	Processing poultry	A22C21/00	A22C21/00		740
