A61K6/00	7	Preparations for dentistry<br><br><u>NOTE</u><br><br> In groups A61K6/00 - A61K6/58 and A61K6/887 - A61K6/90, combination sets [C-Sets] are used, e.g. compositions for taking dental impressions containing alginates are classified as (A61K6/90, C08L5/04)	A61K6/00	A61K6/00		271
A61K6/15	8	Compositions characterised by their physical properties	A61K6/15	A61K6/15		360
A61K6/16	9	Refractive index	A61K6/16	A61K6/16		337
A61K6/17	9	Particle size	A61K6/17	A61K6/17		739
A61K6/18	9	causing dental retraction, e.g. compositions for widening the sulcus for making dental impressions or removing teeth	A61K6/18	A61K6/18		70
A61K6/19	9	Self-expanding, e.g. for filling teeth	A61K6/19	A61K6/19		32
A61K6/20	8	Protective coatings for natural or artificial teeth, e.g. sealings, dye coatings or varnish	A61K6/20	A61K6/20		1399
A61K6/25	8	Compositions for detecting or measuring, e.g. of irregularities on natural or artificial teeth	A61K6/25	A61K6/25		83
A61K6/30	8	Compositions for temporarily or permanently fixing teeth or palates, e.g. primers for dental adhesives	A61K6/30	A61K6/30		1608
A61K6/35	9	Preparations for stabilising dentures in the mouth	A61K6/35	A61K6/35		393
A61K6/40	8	Primers (for dental adhesives A61K6/30)	A61K6/40	A61K6/40		228
A61K6/50	8	Preparations specially adapted for dental root treatment	A61K6/50	A61K6/50		135
A61K6/52	9	Cleaning; Disinfecting	A61K6/52	A61K6/52		195
A61K6/54	9	Filling; Sealing	A61K6/54	A61K6/54		662
A61K6/56	9	Apical treatment	A61K6/56	A61K6/56		92
A61K6/58	9	specially adapted for dental implants	A61K6/58	A61K6/58		145
A61K6/60	8	comprising organic or organo-metallic additives	A61K6/60	A61K6/60		381
A61K6/61	9	Cationic, anionic or redox initiators	A61K6/61	A61K6/61		160
A61K6/62	9	Photochemical radical initiators	A61K6/62	A61K6/62		537
A61K6/64	9	Thermal radical initiators	A61K6/64	A61K6/64		44
A61K6/65	9	Dyes	A61K6/65	A61K6/65		146
A61K6/66	10	Photochromic dyes	A61K6/66	A61K6/66		80
A61K6/68	10	Thermochromic dyes	A61K6/68	A61K6/68		10
A61K6/69	9	Medicaments	A61K6/69	A61K6/69		708
A61K6/70	8	comprising inorganic additives	A61K6/70	A61K6/70		200
A61K6/71	9	Fillers	A61K6/71	A61K6/71		536
A61K6/72	10	comprising nitrogen-containing compounds	A61K6/72	A61K6/72		19
A61K6/73	10	comprising sulfur-containing compounds	A61K6/73	A61K6/73		28
A61K6/74	10	comprising phosphorus-containing compounds	A61K6/74	A61K6/74		95
A61K6/75	11	Apatite	A61K6/75	A61K6/75		205
A61K6/76	10	comprising silicon-containing compounds	A61K6/76	A61K6/76		644
A61K6/77	10	Glass	A61K6/77	A61K6/77		535
A61K6/78	9	Pigments	A61K6/78	A61K6/78		549
A61K6/79	9	Initiators	A61K6/79	A61K6/79		53
A61K6/80	8	Preparations for artificial teeth, for filling teeth or for capping teeth	A61K6/80	A61K6/80		406
A61K6/802	9	comprising ceramics	A61K6/802	A61K6/802		509
A61K6/804	10	comprising manganese oxide	A61K6/804	A61K6/804		34
A61K6/807	10	comprising magnesium oxide	A61K6/807	A61K6/807		289
A61K6/809	10	comprising beryllium oxide	A61K6/809	A61K6/809		5
A61K6/811	10	comprising chromium oxide	A61K6/811	A61K6/811		23
A61K6/813	10	comprising iron oxide	A61K6/813	A61K6/813		89
A61K6/816	10	comprising titanium oxide	A61K6/816	A61K6/816		298
A61K6/818	10	comprising zirconium oxide	A61K6/818	A61K6/818		898
A61K6/82	10	comprising hafnium oxide	A61K6/82	A61K6/82		47
A61K6/822	10	comprising rare earth metal oxides	A61K6/822	A61K6/822		388
A61K6/824	10	comprising transition metal oxides	A61K6/824	A61K6/824		248
A61K6/827	10	Leucite	A61K6/827	A61K6/827		84
A61K6/829	9	comprising cermet composites	A61K6/829	A61K6/829		23
A61K6/831	9	comprising non-metallic elements or compounds thereof, e.g. carbon	A61K6/831	A61K6/831		367
A61K6/833	10	Glass-ceramic composites	A61K6/833	A61K6/833		347
A61K6/836	10	Glass	A61K6/836	A61K6/836		380
A61K6/838	10	Phosphorus compounds, e.g. apatite	A61K6/838	A61K6/838		635
A61K6/84	9	comprising metals or alloys	A61K6/84	A61K6/84		625
A61K6/842	10	Rare earth metals	A61K6/842	A61K6/842		106
A61K6/844	10	Noble metals	A61K6/844	A61K6/844		598
A61K6/847	10	Amalgams	A61K6/847	A61K6/847		156
A61K6/849	9	comprising inorganic cements	A61K6/849	A61K6/849		216
A61K6/851	10	Portland cements	A61K6/851	A61K6/851		70
A61K6/853	10	Silicates	A61K6/853	A61K6/853		241
A61K6/856	10	Pozzolans	A61K6/856	A61K6/856		11
A61K6/858	10	Calcium sulfates, e.g, gypsum	A61K6/858	A61K6/858		144
A61K6/86	10	Al-cements	A61K6/86	A61K6/86		60
A61K6/862	10	Ca-Al-sulfate-cements	A61K6/862	A61K6/862		9
A61K6/864	10	Phosphate cements (apatite A61K6/838)	A61K6/864	A61K6/864		260
A61K6/867	10	Ammonium cements	A61K6/867	A61K6/867		8
A61K6/869	10	Zeolites	A61K6/869	A61K6/869		11
A61K6/871	10	Quartz; SiO2	A61K6/871	A61K6/871		64
A61K6/873	10	Carbonates	A61K6/873	A61K6/873		58
A61K6/876	10	Calcium oxide	A61K6/876	A61K6/876		162
A61K6/878	10	Zirconium oxide	A61K6/878	A61K6/878		55
A61K6/88	10	Chromium oxide	A61K6/88	A61K6/88		4
A61K6/882	10	Carbides	A61K6/882	A61K6/882		6
A61K6/884	9	comprising natural or synthetic resins	A61K6/884	A61K6/884		421
A61K6/887	10	Compounds obtained by reactions only involving carbon-to-carbon unsaturated bonds	A61K6/887	A61K6/887		3118
A61K6/889	11	Polycarboxylate cements; Glass ionomer cements	A61K6/889	A61K6/889		598
A61K6/891	10	Compounds obtained otherwise than by reactions only involving carbon-to-carbon unsaturated bonds	A61K6/891	A61K6/891		756
A61K6/893	11	Polyurethanes	A61K6/893	A61K6/893		323
A61K6/896	11	Polyorganosilicon compounds	A61K6/896	A61K6/896		196
A61K6/898	10	Polysaccharides	A61K6/898	A61K6/898		274
