B23B1/00	7	Methods for turning or working essentially requiring the use of turning-machines; Use of auxiliary equipment in connection with such methods	B23B1/00	B23B1/00		1762
B23B3/00	7	General-purpose turning-machines or devices, e.g. centre lathes with feed rod and lead screw; Sets of turning-machines	B23B3/00	B23B3/00		275
B23B3/02	8	Small lathes, e.g. for toolmakers (specially designed for watchmakers G04D3/00)	B23B3/02	B23B3/02		68
B23B3/04	8	Turning-machines in which the workpiece is rotated by means at a distance from the headstock	B23B3/04	B23B3/04		36
B23B3/06	8	Turning-machines or devices characterised only by the special arrangement of constructional units (B23Q37/00 takes precedence; such features of general applicability B23Q)	B23B3/06	B23B3/06		581
B23B3/065	9	{Arrangements for performing other machining operations, e.g. milling, drilling}	B23B3/06	B23B3/06		201
B23B3/08	8	Turning-machines characterised by the use of faceplates	B23B3/08	B23B3/08		60
B23B3/10	9	with the faceplate horizontal, i.e. vertical boring and turning machines	B23B3/10	B23B3/10		183
B23B3/12	9	with the faceplate vertical, i.e. face lathes	B23B3/12	B23B3/12		23
B23B3/14	9	Mountings or drives of faceplates {(rotatable members, e.g. faceplates B23Q1/50)}	B23B3/14	B23B3/14		9
B23B3/16	8	Turret lathes for turning individually-chucked workpieces {(turrets B23B29/24)}	B23B3/16	B23B3/16		301
B23B3/161	9	{lathe with one toolslide carrying one turret head}	B23B3/16	B23B3/16		166
B23B3/162	10	{Arrangements for performing other machining operations, e.g. milling, drilling}	B23B3/16	B23B3/16		92
B23B3/164	9	{lathe with one toolslide carrying two or more turret heads}	B23B3/16	B23B3/16		45
B23B3/165	10	{Arrangements for performing other machining operations, e.g. milling, drilling}	B23B3/16	B23B3/16		11
B23B3/167	9	{lathe with two or more toolslides carrying turrets}	B23B3/16	B23B3/16		126
B23B3/168	10	{Arrangements for performing other machining operations, e.g. milling, drilling}	B23B3/16	B23B3/16		83
B23B3/22	8	Turning-machines or devices with rotary tool heads {(B23B5/08, B23B5/14 and B23B5/16 take precedence)}	B23B3/22	B23B3/22		123
B23B3/24	9	the tools of which do not perform a radial movement; Rotary tool heads therefor	B23B3/24	B23B3/24		131
B23B3/26	9	the tools of which perform a radial movement; Rotary tool heads thereof	B23B3/26	B23B3/26		240
B23B3/265	10	{Surfacing or grooving flanges}	B23B3/26	B23B3/26		195
B23B3/30	8	Turning-machines with two or more working-spindles, e.g. in fixed arrangement	B23B3/30	B23B3/30		418
B23B3/32	9	for performing identical operations simultaneously on two or more workpieces	B23B3/32	B23B3/32		57
B23B3/34	8	Short turning-machines with one or multiple working-spindles attended from the end (B23B3/12 takes precedence)	B23B3/34	B23B3/34		3
B23B3/36	8	Associations of only turning-machines directed to a particular metal-working result (if the metal-working result is not essential B23Q39/00)	B23B3/36	B23B3/36		41
B23B5/00	7	Turning-machines or devices specially adapted for particular work; Accessories specially adapted therefor	B23B5/00	B23B5/00		2134
B23B5/02	8	for turning hubs or brake drums (B23B5/04 takes precedence)	B23B5/02	B23B5/02		278
B23B5/04	8	for reconditioning hubs or brake drums or axle spindles without removing same from the vehicle	B23B5/04	B23B5/04		114
B23B5/06	8	for turning valves or valve bodies {(turning conical surfaces in general B23B5/38; tools for working valve seats B23B51/106)}	B23B5/06	B23B5/06		254
B23B5/08	8	for turning axles, bars, rods, tubes, rolls, i.e. shaft-turning lathes, roll lathes; Centreless turning	B23B5/08	B23B5/08		720
B23B5/10	9	for turning pilgrim rolls	B23B5/10	B23B5/10		48
B23B5/12	9	for peeling bars or tubes by making use of cutting bits arranged around the workpiece (otherwise than by turning B23D79/12)	B23B5/12	B23B5/12		476
B23B5/14	8	Cutting-off lathes ({B23D21/00 takes precedence} shearing B23D)	B23B5/14	B23B5/14		323
B23B5/16	8	for bevelling, chamfering, or deburring the ends of bars or tubes	B23B5/16	B23B5/16		671
B23B5/161	9	{Devices attached to the workpiece}	B23B5/16	B23B5/16		40
B23B5/162	10	{with an internal clamping device}	B23B5/16	B23B5/16		293
B23B5/163	10	{with an external clamping device}	B23B5/16	B23B5/16		243
B23B5/165	9	{Workpieces clamped on a bench, e.g. a vice}	B23B5/16	B23B5/16		108
B23B5/166	9	{Devices for working electrodes}	B23B5/16	B23B5/16		175
B23B5/167	9	{Tools for chamfering the ends of bars or tubes}	B23B5/16	B23B5/16		390
B23B5/168	10	{with guiding devices}	B23B5/16	B23B5/16		505
B23B5/18	8	for turning crankshafts, eccentrics, or cams, e.g. crankpin lathes	B23B5/18	B23B5/18		490
