E05D1/00	7	Pinless hinges; Substitutes for hinges	E05D1/00	E05D1/00		269
E05D1/02	8	made of one piece	E05D1/02	E05D1/02		836
E05D1/04	8	with guide members shaped as circular arcs	E05D1/04	E05D1/04		864
E05D2001/045	9	{for telescopic hinges}	E05D1/04	E05D1/04		39
E05D1/06	8	consisting of two easily-separable parts	E05D1/06	E05D1/06		363
E05D3/00	7	Hinges with pins {(E05D7/08 takes precedence)}	E05D3/00	E05D3/00		213
E05D3/02	8	with one pin	E05D3/02	E05D3/02		5122
E05D3/022	9	{allowing an additional lateral movement, e.g. for sealing}	E05D3/02	E05D3/02		815
E05D2003/025	9	{having three knuckles}	E05D3/02	E05D3/02		264
E05D2003/027	10	{the end knuckles being mutually connected}	E05D3/02	E05D3/02		328
E05D3/04	9	engaging three or more parts, e.g. sleeves, movable relatively to one another for connecting two or more wings to another member	E05D3/04	E05D3/04		277
E05D3/06	8	with two or more pins (E05D7/08 takes precedence)	E05D3/06	E05D3/06		1668
E05D3/08	9	for swing-doors, i.e. openable by pushing from either side	E05D3/08	E05D3/08		191
E05D3/10	9	with non-parallel pins	E05D3/10	E05D3/10		404
E05D3/12	9	with two parallel pins and one arm	E05D3/12	E05D3/12		1128
E05D3/122	10	{Gear hinges}	E05D3/12	E05D3/12		509
E05D3/125	10	{specially adapted for vehicles}	E05D3/12	E05D3/12		106
E05D3/127	11	{for vehicle doors}	E05D3/12	E05D3/12		265
E05D3/14	9	with four parallel pins and two arms	E05D3/14	E05D3/14		429
E05D3/142	10	{with at least one of the hinge parts having a cup-shaped fixing part, e.g. for attachment to cabinets or furniture (E05D11/1021 takes precedence)}	E05D3/14	E05D3/14		382
E05D3/145	10	{specially adapted for vehicles}	E05D3/14	E05D3/14		332
E05D3/147	11	{for vehicle doors}	E05D3/14	E05D3/14		156
E05D3/16	9	with seven parallel pins and four arms	E05D3/16	E05D3/16		567
E05D2003/163	10	{Horizontal pivot-axis}	E05D3/16	E05D3/16		141
E05D2003/166	10	{Vertical pivot-axis}	E05D3/16	E05D3/16		203
E05D3/18	9	with sliding pins or guides	E05D3/18	E05D3/18		937
