F16B1/00	7	Devices for securing together, or preventing relative movement between, constructional elements or machine parts	F16B1/00	F16B1/00		2201
F16B1/02	8	Means for securing elements of mechanisms after operation (means for bringing members to rest F16D)	F16B1/02	F16B1/02		1321
F16B1/04	9	disengaged by movement of the actuating member of the element (locking of actuators G05G, e.g. G05G5/00)	F16B1/04	F16B1/04		742
F16B2/00	7	Friction-grip releasable fastenings (for cables or ropes, e.g. cleats F16G11/00){(connections of rods or tubes, e.g. of non-circular section, mutually, including resilient connections F16B7/00)}	F16B2/00	F16B2/00		299
F16B2/005	8	{Means to increase the friction-coefficient}	F16B2/00	F16B2/00		643
F16B2/02	8	Clamps, i.e. with gripping action effected by positive means other than the inherent resistance to deformation of the material of the fastening	F16B2/02	F16B2/02		1035
F16B2/04	9	internal, i.e. with spreading action (F16B2/14&#160;-&#160;F16B2/18 take precedence)	F16B2/04	F16B2/04		696
F16B2/06	9	external, i.e. with contracting action (F16B2/14&#160;-&#160;F16B2/18 take precedence)	F16B2/06	F16B2/06		1432
F16B2/065	10	{using screw-thread elements (F16B2/08&#160;-&#160;F16B2/12 take precedence)}	F16B2/06	F16B2/06		3577
F16B2/08	10	using bands	F16B2/08	F16B2/08		2944
F16B2/10	10	using pivoting jaws	F16B2/10	F16B2/10		2183
F16B2/12	10	using sliding jaws	F16B2/12	F16B2/12		1612
F16B2/14	9	using wedges	F16B2/14	F16B2/14		1423
F16B2/16	9	using rollers or balls {(clamps for rods or tubes telescopically engaged F16B7/1409; used in anti-theft monitors, e.g. as used for articles of clothing in shops E05B73/0017)}	F16B2/16	F16B2/16		360
F16B2/18	9	using cams, levers, eccentrics, or toggles {(for connections of rods or tubes engaged telescopically F16B7/1418, F16B7/1427, F16B7/1454)}	F16B2/18	F16B2/18		809
F16B2/185	10	{using levers}	F16B2/18	F16B2/18		1025
F16B2/20	8	Clips, i.e. with gripping action effected solely by the inherent resistance to deformation of the material of the fastening	F16B2/20	F16B2/20		1317
F16B2/205	9	{with two stable positions}	F16B2/20	F16B2/20		186
F16B2/22	9	of resilient material, e.g. rubbery material {(F16B2/205 takes precedence)}	F16B2/22	F16B2/22		2346
F16B2/24	10	of metal	F16B2/24	F16B2/24		294
F16B2/241	11	{of sheet metal}	F16B2/24	F16B2/24		621
F16B2/243	12	{internal, i.e. with spreading action}	F16B2/24	F16B2/24		385
F16B2/245	12	{external, i.e. with contracting action}	F16B2/24	F16B2/24		939
F16B2/246	13	{the clip being released by tilting the clip or a part thereof to a position in which the axis of the openings surrounding the gripped elements is parallel to, or coincides with, the axis of the gripped elements}	F16B2/24	F16B2/24		362
F16B2/248	11	{of wire}	F16B2/24	F16B2/24		572
F16B2/26	9	of pliable, non-resilient material, e.g. plant tie	F16B2/26	F16B2/26		73
F16B3/00	7	Key-type connections; Keys (F16B2/00 takes precedence; for rods or tubes mutually F16B7/00)	F16B3/00	F16B3/00		944
F16B3/005	8	{the key being formed by solidification of injected material (joining of preformed parts by applying molten plastics B29C65/40; non-disconnectible pipe joints obtained using a hardenable filler F16L13/11)}	F16B3/00	F16B3/00		135
F16B3/04	8	using keys formed of wire or other flexible material, to be inserted through an opening giving access to grooves in the adjacent surfaces of the parts to be connected	F16B3/04	F16B3/04		168
F16B3/06	8	using taper sleeves	F16B3/06	F16B3/06		273
F16B4/00	7	Shrinkage connections, e.g. assembled with the parts at different temperature; Force fits (restricted to metal parts or objects B23P11/02); Non-releasable friction-grip fastenings (F16B2/00 takes precedence)	F16B4/00	F16B4/00		201
F16B4/002	8	{engaging or disengaging by means of fluid pressure}	F16B4/00	F16B4/00		92
F16B4/004	8	{Press fits, force fits, interference fits, i.e. fits without heat or chemical treatment (F16B4/002 takes precedence)}	F16B4/00	F16B4/00		1285
F16B4/006	8	{Shrinkage connections, e.g. assembled with the parts being at different temperature}	F16B4/00	F16B4/00		192
F16B4/008	9	{using heat-recoverable, i.e. shrinkable, sleeves}	F16B4/00	F16B4/00		80
F16B5/00	7	Joining sheets or plates {, e.g. panels,} to one another or to strips or bars parallel to them ({F16B17/00 takes precedence;} by sticking together F16B11/00; dowel connections F16B13/00; pins, including deformable elements F16B19/00; covering of walls E04F13/00; fastening signs, plates, panels or boards to a supporting structure, fastening readily-detachable elements, e.g. letters to signs, plates, panels, or boards, G09F7/00)	F16B5/00	F16B5/00		1496
F16B5/0004	8	{Joining sheets, plates or panels in abutting relationship (F16B5/01 takes precedence)}	F16B5/00	F16B5/00		551
F16B5/0008	9	{by moving the sheets, plates or panels substantially in their own plane, perpendicular to the abutting edge}	F16B5/00	F16B5/00		186
F16B5/0012	10	{a tongue on the edge of one sheet, plate or panel co-operating with a groove in the edge of another sheet, plate or panel}	F16B5/00	F16B5/00		289
F16B5/0016	11	{with snap action}	F16B5/00	F16B5/00		255
F16B5/002	10	{both sheets, plates or panels having a groove, e.g. with strip-type connector}	F16B5/00	F16B5/00		184
F16B5/0024	10	{the sheets, plates or panels having holes, e.g. for dowel- type connections}	F16B5/00	F16B5/00		206
F16B5/0028	10	{using I-shaped connectors (with flanges moving towards each other F16B5/0068)}	F16B5/00	F16B5/00		168
F16B5/0032	9	{by moving the sheets, plates, or panels or the interlocking key parallel to the abutting edge}	F16B5/00	F16B5/00		107
F16B5/0036	10	{and using hook and slot or keyhole-type connections}	F16B5/00	F16B5/00		197
F16B5/004	10	{and using C-shaped clamps}	F16B5/00	F16B5/00		88
F16B5/0044	10	{and using interlocking keys of circular, square, rectangular or like shape}	F16B5/00	F16B5/00		161
F16B5/0048	11	{hinge-like}	F16B5/00	F16B5/00		78
F16B5/0052	10	{the interlocking key acting as a dovetail-type key}	F16B5/00	F16B5/00		331
F16B5/0056	9	{by moving the sheets, plates or panels or the interlocking key perpendicular to the main plane}	F16B5/00	F16B5/00		197
F16B5/006	10	{and using ring-shaped clamps}	F16B5/00	F16B5/00		25
F16B5/0064	10	{and using C-shaped clamps}	F16B5/00	F16B5/00		107
F16B5/0068	10	{and using I-shaped clamps with flanges moving towards each other}	F16B5/00	F16B5/00		65
F16B5/0072	11	{and using screw-thread}	F16B5/00	F16B5/00		193
F16B5/0076	10	{and using expanding clamps}	F16B5/00	F16B5/00		70
F16B5/008	9	{by a rotating or sliding and rotating movement}	F16B5/00	F16B5/00		291
F16B5/0084	9	{characterised by particular locking means}	F16B5/00	F16B5/00		172
F16B5/0088	10	{with locking means moving substantially perpendicular to the main plane, e.g. pins, screws}	F16B5/00	F16B5/00		264
F16B5/0092	10	{with locking means rotating about an axis parallel to the main plane and perpendicular to the abutting edge, e.g. screw, bayonet}	F16B5/00	F16B5/00		168
F16B5/0096	8	{by using permanent deformation}	F16B5/00	F16B5/00		165
F16B5/01	8	by means of fastening elements specially adapted for honeycomb panels	F16B5/01	F16B5/01		796
F16B5/02	8	by means of fastening members using screw-thread ({F16B5/0004 takes precedence}; construction of screw-threaded connections F16B25/00&#160;-&#160;F16B39/00)	F16B5/02	F16B5/02		8254
F16B5/0208	9	{using panel fasteners, i.e. permanent attachments allowing for quick assembly}	F16B5/02	F16B5/02		847
F16B5/0216	9	{the position of the plates to be connected being adjustable}	F16B5/02	F16B5/02		237
F16B5/0225	10	{allowing for adjustment parallel to the plane of the plates}	F16B5/02	F16B5/02		776
F16B5/0233	10	{allowing for adjustment perpendicular to the plane of the plates}	F16B5/02	F16B5/02		1032
F16B5/0241	9	{with the possibility for the connection to absorb deformation, e.g. thermal or vibrational}	F16B5/02	F16B5/02		742
F16B5/025	9	{specially designed to compensate for misalignement or to eliminate unwanted play}	F16B5/02	F16B5/02		905
F16B5/0258	9	{using resiliently deformable sleeves, grommets or inserts (F16B43/001 takes precedence)}	F16B5/02	F16B5/02		777
F16B5/0266	9	{using springs}	F16B5/02	F16B5/02		424
F16B5/0275	9	{the screw-threaded element having at least two axially separated threaded portions (F16B5/0283 takes precedence)}	F16B5/02	F16B5/02		843
F16B5/0283	9	{with an externally threaded sleeve around the neck or the head of the screw-threaded element for adjustably fastening a plate or frame or the like to a fixed element}	F16B5/02	F16B5/02		286
F16B5/0291	9	{the threaded element being driven through the edge of a sheet plate with its axis in the plane of the plate}	F16B5/02	F16B5/02		209
F16B5/04	8	by means of riveting (rivets F16B19/04)	F16B5/04	F16B5/04		1565
F16B5/045	9	{without the use of separate rivets}	F16B5/04	F16B5/04		329
F16B5/06	8	by means of clamps or clips ({F16B5/0004 takes precedence}; friction-grip releasable fastenings in general F16B2/00)	F16B5/06	F16B5/06		1221
F16B5/0607	9	{joining sheets or plates to each other (F16B5/0692, F16B21/082 take precedence)}	F16B5/06	F16B5/06		481
