F16C1/00	7	Flexible shafts (flexible shafts in dental machines for boring or cutting A61C1/18); Mechanical means for transmitting movement in a flexible sheathing	F16C1/00	F16C1/00		162
F16C1/02	8	for conveying rotary movements	F16C1/02	F16C1/02		436
F16C1/04	9	Articulated shafts	F16C1/04	F16C1/04		314
F16C1/06	9	with guiding sheathing, tube or box (F16C1/04 takes precedence; guiding sheathings F16C1/26)	F16C1/06	F16C1/06		497
F16C1/08	9	End connections	F16C1/08	F16C1/08		407
F16C1/10	8	Means for transmitting linear movement in a flexible sheathing, e.g. "Bowden-mechanisms" (guiding-sheathings F16C1/26)	F16C1/10	F16C1/10		854
F16C1/101	9	{Intermediate connectors for joining portions of split flexible shafts and/or sheathings}	F16C1/10	F16C1/10		463
F16C1/102	9	{Arrangements to mount end fittings of the sheathings to support walls or brackets}	F16C1/10	F16C1/10		111
F16C1/103	10	{to a hole in the wall or bracket}	F16C1/10	F16C1/10		137
F16C1/105	10	{to a slot in the bracket}	F16C1/10	F16C1/10		284
F16C1/106	9	{Plurality of transmitting means, e.g. two or more parallel "Bowden cables"}	F16C1/10	F16C1/10		197
F16C1/107	9	{Sealing details}	F16C1/10	F16C1/10		200
F16C1/108	9	{Reducing or controlling of vibrations, e.g. by resilient damping of noise}	F16C1/10	F16C1/10		274
F16C1/12	9	Arrangements for transmitting movement to or from the flexible member	F16C1/12	F16C1/12		594
F16C1/14	10	Construction of the end-piece of the flexible member; Attachment thereof to the flexible member	F16C1/14	F16C1/14		825
F16C1/145	11	{Attachment of the end-piece to the flexible member}	F16C1/14	F16C1/14		176
F16C1/16	10	in which the end-piece is guided rectilinearly	F16C1/16	F16C1/16		469
F16C1/18	10	in which the end portion of the flexible member is laid along a curved surface of a pivoted member	F16C1/18	F16C1/18		349
F16C1/20	9	Construction of flexible members moved to and fro in the sheathing	F16C1/20	F16C1/20		579
F16C1/205	10	{Details of the outer surface of the flexible member, e.g. coatings}	F16C1/20	F16C1/20		103
F16C1/22	9	Adjusting; Compensating length	F16C1/22	F16C1/22		451
F16C1/223	10	{by adjusting the effective length of the flexible member}	F16C1/22	F16C1/22		307
F16C1/226	10	{by adjusting the effective length of the sheathing}	F16C1/22	F16C1/22		395
F16C1/24	8	Lubrication; Lubricating equipment	F16C1/24	F16C1/24		196
F16C1/26	8	Construction of guiding-sheathings or guiding-tubes	F16C1/26	F16C1/26		777
F16C1/262	9	{End fittings; Attachment thereof to the sheathing or tube}	F16C1/26	F16C1/26		926
F16C1/265	10	{with a swivel tube connected to the end-fitting of a sheathing, e.g. with a spherical joint}	F16C1/26	F16C1/26		212
F16C1/267	9	{Details of the inner surface of the sheathing or tube, e.g. coatings}	F16C1/26	F16C1/26		108
F16C1/28	9	with built in bearings {, e.g. sheathing with rolling elements between the sheathing and the core element}	F16C1/28	F16C1/28		236
F16C3/00	7	Shafts (flexible shafts F16C1/00; marine propeller shafts, paddle wheel shafts B63H23/34); Axles; Cranks; Eccentrics	F16C3/00	F16C3/00		113
F16C3/02	8	Shafts; Axles	F16C3/02	F16C3/02		2890
F16C3/023	9	{made of several parts, e.g. by welding}	F16C3/02	F16C3/02		924
F16C3/026	9	{Shafts made of fibre reinforced resin}	F16C3/02	F16C3/02		691
F16C3/03	9	telescopic (axially displaceable couplings F16D3/06)	F16C3/03	F16C3/03		658
F16C3/035	10	with built-in bearings	F16C3/035	F16C3/035		451
F16C3/04	8	Crankshafts, eccentric-shafts; Cranks, eccentrics	F16C3/04	F16C3/04		86
F16C3/06	9	Crankshafts	F16C3/06	F16C3/06		867
F16C3/08	10	made in one piece (features relating to lubrication F16C3/14, to cooling F16C3/16)	F16C3/08	F16C3/08		491
F16C3/10	10	assembled of several parts, e.g. by welding {by crimping}	F16C3/10	F16C3/10		570
F16C3/12	11	releasably connected	F16C3/12	F16C3/12		503
F16C3/14	10	Features relating to lubrication	F16C3/14	F16C3/14		933
F16C3/16	10	Features relating to cooling	F16C3/16	F16C3/16		56
F16C3/18	9	Eccentric-shafts	F16C3/18	F16C3/18		222
F16C3/20	9	Shape of crankshafts or eccentric-shafts having regard to balancing	F16C3/20	F16C3/20		585
F16C3/22	9	Cranks; Eccentrics (constructional features of crank-pins F16C11/02)	F16C3/22	F16C3/22		288
F16C3/24	10	with return cranks, i.e. a second crank carried by the crank-pin	F16C3/24	F16C3/24		7
F16C3/26	10	Elastic crank-webs; Resiliently-mounted crank-pins	F16C3/26	F16C3/26		27
F16C3/28	10	Adjustable cranks or eccentrics	F16C3/28	F16C3/28		798
F16C3/30	10	with arrangements for overcoming dead-centres	F16C3/30	F16C3/30		24
F16C5/00	7	Crossheads; Constructions of connecting-rod heads or piston-rod connections rigid with crossheads (piston-rods, i.e. rods rigidly connected to the piston, F16J7/00)	F16C5/00	F16C5/00		575
F16C7/00	7	Connecting-rods or like links pivoted at both ends (coupling-rods for locomotive driving-wheels B61C17/10); Construction of connecting-rod heads (heads rigid with crossheads F16C5/00)	F16C7/00	F16C7/00		258
F16C7/02	8	Constructions of connecting-rods with constant length	F16C7/02	F16C7/02		661
F16C7/023	9	{for piston engines, pumps or the like}	F16C7/02	F16C7/02		1372
F16C7/026	9	{made of fibre reinforced resin}	F16C7/02	F16C7/02		557
F16C7/04	8	with elastic intermediate part of fluid cushion	F16C7/04	F16C7/04		450
F16C7/06	8	Adjustable connecting-rods	F16C7/06	F16C7/06		1058
F16C7/08	8	made from sheet metal	F16C7/08	F16C7/08		195
F16C9/00	7	Bearings for crankshafts or connecting-rods; Attachment of connecting-rods (lubrication of connecting-rods in connection with crankshafts F16C3/14; connections to crossheads F16C5/00; to pistons F16J1/14)	F16C9/00	F16C9/00		315
F16C9/02	8	Crankshaft bearings	F16C9/02	F16C9/02		1807
F16C9/03	9	Arrangements for adjusting play	F16C9/03	F16C9/03		76
F16C9/04	8	Connecting-rod bearings; Attachments thereof	F16C9/04	F16C9/04		2142
F16C9/045	9	{the bearing cap of the connecting rod being split by fracturing}	F16C9/04	F16C9/04		330
F16C9/06	9	Arrangements for adjusting play in bearings, operating either automatically or not	F16C9/06	F16C9/06		224
F16C11/00	7	Pivots; Pivotal connections (arrangements of steering linkage connections B62D7/16)	F16C11/00	F16C11/00		238
F16C11/02	8	Trunnions; Crank-pins (fastening crank-pins to webs, crank-pins integral with cranks F16C3/06, F16C3/22)	F16C11/02	F16C11/02		603
F16C11/04	8	Pivotal connections (hinges for doors, windows or wings E05D)	F16C11/04	F16C11/04		5808
F16C11/045	9	{with at least a pair of arms pivoting relatively to at least one other arm, all arms being mounted on one pin (crank-pins F16C11/02)}	F16C11/04	F16C11/04		2597
F16C11/06	9	Ball-joints; Other joints having more than one degree of angular freedom, i.e. universal joints (universal joints in which flexibility is produced by means of pivots or sliding or rolling connecting parts F16D3/16)	F16C11/06	F16C11/06		2236
F16C11/0604	10	{Construction of the male part}	F16C11/06	F16C11/06		1176
F16C11/0609	11	{made from two or more parts}	F16C11/06	F16C11/06		612
F16C11/0614	10	{the female part of the joint being open on two sides}	F16C11/06	F16C11/06		1588
F16C11/0619	10	{the female part comprising a blind socket receiving the male part}	F16C11/06	F16C11/06		817
F16C11/0623	11	{Construction or details of the socket member}	F16C11/06	F16C11/06		738
F16C11/0628	12	{with linings}	F16C11/06	F16C11/06		500
F16C11/0633	13	{the linings being made of plastics}	F16C11/06	F16C11/06		626
F16C11/0638	14	{characterised by geometrical details}	F16C11/06	F16C11/06		517
F16C11/0642	12	{Special features of the plug or cover on the blind end of the socket}	F16C11/06	F16C11/06		357
F16C11/0647	12	{Special features relating to adjustment for wear or play; Wear indicators}	F16C11/06	F16C11/06		467
F16C11/0652	12	{combined with a damper other than elastic linings}	F16C11/06	F16C11/06		195
F16C11/0657	12	{the socket member being mainly made of plastics}	F16C11/06	F16C11/06		418
F16C11/0661	10	{the two co-operative parts each having both convex and concave interfaces}	F16C11/06	F16C11/06		303
F16C11/0666	10	{Sealing means between the socket and the inner member shaft}	F16C11/06	F16C11/06		336
F16C11/0671	11	{allowing operative relative movement of joint parts due to flexing of the sealing means}	F16C11/06	F16C11/06		1002
F16C11/0676	11	{allowing operational relative movement of joint parts due to sliding between parts of the sealing means}	F16C11/06	F16C11/06		238
F16C11/068	10	{Special features relating to lubrication}	F16C11/06	F16C11/06		465
F16C11/0685	10	{Manufacture of ball-joints and parts thereof, e.g. assembly of ball-joints}	F16C11/06	F16C11/06		974
F16C11/069	11	{with at least one separate part to retain the ball member in the socket; Quick-release systems}	F16C11/06	F16C11/06		688
F16C11/0695	10	{Mounting of ball-joints, e.g. fixing them to a connecting rod}	F16C11/06	F16C11/06		815
F16C11/08	10	with resilient bearings	F16C11/08	F16C11/08		162
F16C11/083	11	{by means of parts of rubber or like materials}	F16C11/08	F16C11/08		201
F16C11/086	12	{with an elastomeric member in the blind end of a socket}	F16C11/08	F16C11/08		91
F16C11/10	9	Arrangements for locking	F16C11/10	F16C11/10		2327
F16C11/103	10	{frictionally clamped}	F16C11/10	F16C11/10		690
F16C11/106	11	{for ball joints}	F16C11/10	F16C11/10		613
F16C11/12	9	incorporating flexible connections, e.g. leaf springs	F16C11/12	F16C11/12		1392
F16C13/00	7	Rolls, drums, discs, or the like (guide rollers in feeding webs B65H27/00; calender rolls, bearings therefor D21G1/02; rotary drums or rollers for heat-exchange or heat-transfer apparatus F28F5/02); Bearings or mountings therefor	F16C13/00	F16C13/00		2435
F16C13/003	8	{Bowed or curved rolls (rollers with a bowed axis as tentering devices for tensioning, smoothing or guiding webs B65H23/0258)}	F16C13/00	F16C13/00		127
F16C13/006	8	{Guiding rollers, wheels or the like, formed by or on the outer element of a single bearing or bearing unit, e.g. two adjacent bearings, whose ratio of length to diameter is generally less than one}	F16C13/00	F16C13/00		2154
F16C13/02	8	Bearings	F16C13/02	F16C13/02		1982
F16C13/022	9	{supporting a hollow roll mantle rotating with respect to a yoke or axle}	F16C13/02	F16C13/02		450
F16C13/024	10	{adjustable for positioning, e.g. radial movable bearings for controlling the deflection along the length of the roll mantle}	F16C13/02	F16C13/02		261
F16C13/026	11	{by fluid pressure}	F16C13/02	F16C13/02		266
F16C13/028	12	{with a plurality of supports along the length of the roll mantle, e.g. hydraulic jacks}	F16C13/02	F16C13/02		542
