F28D1/00	7	Heat-exchange apparatus having stationary conduit assemblies for one heat-exchange medium only, the media being in contact with different sides of the conduit wall, in which the other heat-exchange medium is a large body of fluid, e.g. domestic or motor car radiators (F28D5/00 takes precedence)	F28D1/00	F28D1/00		452
F28D1/02	8	with heat-exchange conduits immersed in the body of fluid	F28D1/02	F28D1/02		417
F28D1/0206	9	{Heat exchangers immersed in a large body of liquid (apparatus using liquid heat storage material F28D20/0034)}	F28D1/02	F28D1/02		133
F28D1/0213	10	{for heating or cooling a liquid in a tank}	F28D1/02	F28D1/02		588
F28D1/022	10	{for immersion in a natural body of water, e.g. marine radiators}	F28D1/02	F28D1/02		236
F28D1/0226	9	{with an intermediate heat-transfer medium, e.g. thermosiphon radiators}	F28D1/02	F28D1/02		297
F28D1/0233	9	{with air flow channels}	F28D1/02	F28D1/02		515
F28D1/024	10	{with an air driving element}	F28D1/02	F28D1/02		1609
F28D1/0246	9	{heat-exchange elements having several adjacent conduits forming a whole, e.g. blocks}	F28D1/02	F28D1/02		485
F28D2001/0253	9	{Particular components}	F28D1/02	F28D1/02		28
F28D2001/026	10	{Cores}	F28D1/02	F28D1/02		42
F28D2001/0266	11	{Particular core assemblies, e.g. having different orientations or having different geometric features}	F28D1/02	F28D1/02		275
F28D2001/0273	11	{having special shape, e.g. curved, annular}	F28D1/02	F28D1/02		345
F28D2001/028	11	{with empty spaces or with additional elements integrated into the cores}	F28D1/02	F28D1/02		91
F28D2001/0286	10	{Radiating plates;  Decorative panels}	F28D1/02	F28D1/02		84
F28D2001/0293	11	{with grooves for integration of conduits}	F28D1/02	F28D1/02		21
F28D1/03	9	with plate-like or laminated conduits {(stacked plates having one or more openings therein to form tubular heat-exchange passages F28F3/086)}	F28D1/03	F28D1/03		619
F28D1/0308	10	{the conduits being formed by paired plates touching each other (F28D1/0358 takes precedence)}	F28D1/03	F28D1/03		725
F28D1/0316	11	{Assemblies of conduits in parallel (F28D1/0325, F28D1/035 take precedence)}	F28D1/03	F28D1/03		542
F28D1/0325	11	{the plates having lateral openings therein for circulation of the heat-exchange medium from one conduit to another}	F28D1/03	F28D1/03		263
F28D1/0333	12	{the plates having integrated connecting members}	F28D1/03	F28D1/03		700
F28D1/0341	13	{with U-flow or serpentine-flow inside the conduits}	F28D1/03	F28D1/03		601
F28D1/035	11	{with U-flow or serpentine-flow inside the conduits (F28D1/0341 takes precedence)}	F28D1/03	F28D1/03		413
F28D1/0358	10	{the conduits being formed by bent plates}	F28D1/03	F28D1/03		487
F28D1/0366	10	{the conduits being formed by spaced plates with inserted elements (F28D1/0358 takes precedence)}	F28D1/03	F28D1/03		185
F28D1/0375	11	{the plates having lateral openings therein for circulation of the heat-exchange medium from one conduit to another}	F28D1/03	F28D1/03		59
F28D1/0383	11	{with U-flow or serpentine-flow inside the conduits}	F28D1/03	F28D1/03		83
F28D1/0391	10	{a single plate being bent to form one or more conduits}	F28D1/03	F28D1/03		845
F28D1/04	9	with tubular conduits {(F28D1/0246 takes precedence)}	F28D1/04	F28D1/04		777
F28D1/0408	10	{Multi-circuit heat exchangers, e.g. integrating different heat exchange sections in the same unit or heat exchangers for more than two fluids (F28F9/0234 takes precedence)}	F28D1/04	F28D1/04		326
F28D1/0417	11	{with particular circuits for the same heat exchange medium, e.g. with the heat exchange medium flowing through sections having different heat exchange capacities or for heating/cooling the heat exchange medium at different temperatures}	F28D1/04	F28D1/04		414
