G04G3/00	7	Producing timing pulses (driving circuits for stepping motors G04C3/14; producing preselected time intervals for use as timing standards G04F5/00; pulse technique in general H03K; control, synchronisation, or stabilisation of generators in general H03L)	G04G3/00	G04G3/00		237
G04G3/02	8	Circuits for deriving low frequency timing pulses from pulses of higher frequency (pulse frequency dividers in general H03K23/00&#160;-&#160;H03K29/00)	G04G3/02	G04G3/02		260
G04G3/022	9	{the desired number of pulses per unit of time being obtained by adding to or substracting from a pulse train one or more pulses (in general G06F7/68)}	G04G3/02	G04G3/02		236
G04G3/025	9	{by storing time-date which are periodically investigated and modified accordingly, e.g. by using cyclic shift-registers}	G04G3/02	G04G3/02		60
G04G3/027	9	{by combining pulse-trains of different frequencies, e.g. obtained from two independent oscillators or from a common oscillator by means of different frequency dividing ratios (sychronisation of electric time pieces G04G7/00, G04C11/00)}	G04G3/02	G04G3/02		62
G04G3/04	8	Temperature-compensating arrangements	G04G3/04	G04G3/04		76
G04G5/00	7	Setting, i.e. correcting or changing, the time-indication (radio-controlled time-pieces G04R)	G04G5/00	G04G5/00		628
G04G5/002	8	{brought into action by radio}	G04G5/00	G04G5/00		113
G04G5/005	8	{Debouncing circuits}	G04G5/00	G04G5/00		29
G04G5/007	8	{by using a separate register into which the entire correct setting is introduced, which is thereafter transferred to the time counters}	G04G5/00	G04G5/00		18
G04G5/02	8	by temporarily changing the number of pulses per unit time, e.g. quick-feed method	G04G5/02	G04G5/02		212
G04G5/022	9	{quick-feed method}	G04G5/02	G04G5/02		36
G04G5/025	10	{the time-counters first being reset to zero}	G04G5/02	G04G5/02		5
G04G5/027	9	{by adding or suppressing individual pulses, e.g. for step-motor}	G04G5/02	G04G5/02		15
G04G5/04	8	by setting each of the displayed values, e.g. date, hour, independently	G04G5/04	G04G5/04		232
G04G5/041	9	{Correction of the minutes counter in function of the seconds&apos; counter position at zero adjustment of the latter}	G04G5/04	G04G5/04		31
G04G5/043	9	{using commutating devices for selecting the value, e.g. hours, minutes, seconds, to be corrected}	G04G5/04	G04G5/04		46
G04G5/045	10	{using a sequential electronic commutator}	G04G5/04	G04G5/04		87
G04G5/046	11	{by using a separate register into which the correct setting of one of the counters is introduced which is thereafter transferred to the selected time-counter to be reset}	G04G5/04	G04G5/04		4
G04G5/048	10	{by using a separate register into which the correct setting of the selected time-counter is introduced which is thereafter transferred to the time-counter to be reset}	G04G5/04	G04G5/04		9
G04G7/00	7	Synchronisation (radio-controlled time-pieces G04R)	G04G7/00	G04G7/00		657
G04G7/005	8	{provided with arrangements to prevent synchronisation by interfering signals (G04G7/023 takes precedence)}	G04G7/00	G04G7/00		20
G04G7/02	8	{by radio}	G04G7/00	G04G7/02		236
G04G7/023	9	{provided with arrangements to prevent synchronisation by interfering signals}	G04G7/00	G04G7/02		10
G04G7/026	9	{the time-piece preparing itself on set times on the reception of the synchronising signal}	G04G7/00	G04G7/02		36
G04G9/00	7	Visual time or date indication means	G04G9/00	G04G9/00		748
G04G9/0005	8	{Transmission of control signals}	G04G9/00	G04G9/00		160
G04G9/0011	9	{using coded signals (synchronisation combined with automatic setting at regular intervals, e.g. by coded signals G04G7/00)}	G04G9/00	G04G9/00		91
G04G9/0017	8	{in which the light emitting display elements may be activated at will or are controlled in accordance with the ambient light}	G04G9/00	G04G9/00		155
G04G9/0023	8	{by light valves in general (G04G9/06, G04G9/12 takes precedence; electro-, magneto- or acousto-optic devices in general G02F1/00)}	G04G9/00	G04G9/00		49
G04G9/0029	9	{Details}	G04G9/00	G04G9/00		42
G04G9/0035	10	{constructional}	G04G9/00	G04G9/00		241
G04G9/0041	11	{Illumination devices}	G04G9/00	G04G9/00		201
G04G9/0047	10	{electrical, e.g. selection or application of the operating voltage}	G04G9/00	G04G9/00		183
G04G9/0052	11	{using means to adjust the display in accordance with the ambient light, e.g. switching or controlling a supplementary light source}	G04G9/00	G04G9/00		44
G04G9/0058	8	{using a cathode ray tube as display device (displaying supplementary informative, e.g. time on TV screen H04N5/445)}	G04G9/00	G04G9/00		32
G04G9/0064	8	{in which functions not related to time can be displayed (digital output to display devices of digital computers G06F3/14)}	G04G9/00	G04G9/00		1046
G04G9/007	9	{combined with a calculator or computing means}	G04G9/00	G04G9/00		411
G04G9/0076	8	{in which the time in another time-zone or in another city can be displayed at will}	G04G9/00	G04G9/00		610
