G06E1/00	7	Devices for processing exclusively digital data	G06E1/00	G06E1/00		118
G06E1/02	8	operating upon the order or content of the data handled	G06E1/02	G06E1/02		94
G06E1/04	9	for performing computations using exclusively denominational number representation, e.g. using binary, ternary, decimal representation	G06E1/04	G06E1/04		124
G06E1/045	10	{Matrix or vector computation}	G06E1/04	G06E1/04		76
G06E1/06	9	for performing computations using a digital non-denominational number representation, i.e. number representation without radix; using combinations of denominational and non-denominational number representations	G06E1/06	G06E1/06		3
G06E1/065	10	{using residue arithmetic}	G06E1/06	G06E1/06		19
G06E3/00	7	Devices not provided for in group G06E1/00, e.g. for processing analogue or hybrid data	G06E3/00	G06E3/00		162
G06E3/001	8	{Analogue devices in which mathematical operations are carried out with the aid of optical or electro-optical elements (optical elements per seG02B; electro-, magneto- or acousto-optics, non-linear optics G02F1/00; graph reading G06K11/00)}	G06E3/00	G06E3/00		472
G06E3/003	9	{forming integrals of products, e.g. Fourier integrals, Laplace integrals, correlation integrals; for analysis or synthesis of functions using orthogonal functions}	G06E3/00	G06E3/00		190
G06E3/005	9	{using electro-optical or opto-electronic means}	G06E3/00	G06E3/00		464
G06E3/006	8	{Interconnection networks, e.g. for shuffling}	G06E3/00	G06E3/00		32
G06E3/008	8	{Matrix or vector computation}	G06E3/00	G06E3/00		125
