G06K1/00	7	Methods or arrangements for marking the record carrier in digital fashion	G06K1/00	G06K1/00		251
G06K1/02	8	by punching	G06K1/02	G06K1/02		367
G06K1/025	9	{Details, e.g. construction of the punching mechanism}	G06K1/02	G06K1/02		58
G06K1/04	9	controlled by sensing markings on the record carrier being punched	G06K1/04	G06K1/04		75
G06K1/05	9	High-speed punches, e.g. controlled by electric computer	G06K1/05	G06K1/05		26
G06K1/06	9	Manually-controlled devices	G06K1/06	G06K1/06		216
G06K1/08	10	Card punches	G06K1/08	G06K1/08		44
G06K1/10	10	Tape punches	G06K1/10	G06K1/10		20
G06K1/12	8	otherwise than by punching	G06K1/12	G06K1/12		664
G06K1/121	9	{by printing code marks (applying code marks to labels B65C9/46; marking or coding completed packages B65B61/26)}	G06K1/12	G06K1/12		1423
G06K1/123	10	{for colour code marks}	G06K1/12	G06K1/12		97
G06K1/125	9	{by magnetic means}	G06K1/12	G06K1/12		321
G06K1/126	9	{by photographic or thermographic registration (recording apparatus for measuring instruments G01D15/00)}	G06K1/12	G06K1/12		711
G06K1/128	9	{by electric registration, e.g. electrolytic, spark erosion (recording apparatus for measuring instruments G01D15/06; information storage in general G11)}	G06K1/12	G06K1/12		199
G06K1/14	8	by transferring data from a similar or dissimilar record carrier	G06K1/14	G06K1/14		102
G06K1/16	9	by reproducing data from one punched card on to one or more punched cards without the code representation, i.e. duplicating	G06K1/16	G06K1/16		25
G06K1/18	9	by transferring data from one type of record carrier on to another type of record carrier, e.g. from magnetic tape to punched card	G06K1/18	G06K1/18		118
G06K1/20	8	Simultaneous marking of record carrier and printing-out of data, e.g. printing-punch	G06K1/20	G06K1/20		112
G06K1/22	9	Simultaneous marking and printing on different record carriers, e.g. on different types of record carrier	G06K1/22	G06K1/22		37
G06K3/00	7	Methods or arrangements for printing of data in the shape of alphanumeric or other characters from a record carrier, e.g. interpreting, printing-out from a magnetic tape	G06K3/00	G06K3/00		68
G06K3/02	8	Translating markings on a record carrier into printed data on the same record carrier, i.e. interpreting	G06K3/02	G06K3/02		32
G06K5/00	7	Methods or arrangements for verifying the correctness of markings on a record carrier; Column detection devices	G06K5/00	G06K5/00		678
G06K5/02	8	the verifying forming a part of the marking action	G06K5/02	G06K5/02		217
G06K5/04	8	Verifying the alignment of markings	G06K5/04	G06K5/04		55
