G07F1/00	7	Coin inlet arrangements; Coins specially adapted to operate coin-freed mechanisms	G07F1/00	G07F1/00		256
G07F1/02	8	Coin slots	G07F1/02	G07F1/02		502
G07F1/04	8	Coin chutes	G07F1/04	G07F1/04		502
G07F1/041	9	{with means, other than for testing currency, for dealing with inserted foreign matter, e.g. "stuffing", "stringing" or "salting"}	G07F1/04	G07F1/04		152
G07F1/042	10	{the foreign matter being a long flexible member attached to a coin}	G07F1/04	G07F1/04		14
G07F1/043	11	{Cutting or trapping of the flexible member or the attached coin}	G07F1/04	G07F1/04		152
G07F1/044	11	{Automatic detection of the flexible member}	G07F1/04	G07F1/04		116
G07F1/045	10	{the foreign matter being in the form of liquids}	G07F1/04	G07F1/04		61
G07F1/046	9	{with means for dealing with jamming, e.g. by bent wires}	G07F1/04	G07F1/04		66
G07F1/047	9	{with means for temporarily storing coins}	G07F1/04	G07F1/04		270
G07F1/048	9	{with means for damping coin motion}	G07F1/04	G07F1/04		129
G07F1/06	8	Coins specially adapted to operate coin-freed mechanisms	G07F1/06	G07F1/06		525
G07F5/00	7	Coin-actuated mechanisms; Interlocks	G07F5/00	G07F5/00		303
G07F5/02	8	actuated mechanically by coins, e.g. by a single coin	G07F5/02	G07F5/02		867
G07F5/04	9	wherein two or more coins of the same denomination are required for each transaction	G07F5/04	G07F5/04		226
G07F5/06	9	wherein two or more coins of different denominations are required for each transaction	G07F5/06	G07F5/06		180
G07F5/08	9	wherein the use of two or more coins or an equivalent single coin is optional for each transaction; wherein the use of two or more coins or an alternative equivalent combination of coins is optional for each transaction	G07F5/08	G07F5/08		161
G07F5/10	8	actuated electrically by the coin, e.g. by a single coin	G07F5/10	G07F5/10		460
G07F5/12	9	wherein two or more coins of the same denomination are required for each transaction	G07F5/12	G07F5/12		46
G07F5/14	9	wherein two or more coins of different denominations are required for each transaction	G07F5/14	G07F5/14		31
G07F5/16	9	wherein the use of two or more coins or an equivalent single coin is optional for each transaction; wherein the use of two or more coins or an alternative equivalent combination of coins is optional for each transaction	G07F5/16	G07F5/16		58
G07F5/18	8	specially adapted for controlling several coin-freed apparatus from one place	G07F5/18	G07F5/18		944
G07F5/20	8	specially adapted for registering coins as credit, e.g. mechanically actuated	G07F5/20	G07F5/20		176
G07F5/22	9	electrically actuated	G07F5/22	G07F5/22		380
G07F5/24	8	with change-giving	G07F5/24	G07F5/24		1511
G07F5/26	8	Interlocks, e.g. for locking the doors of compartments other than that to be used	G07F5/26	G07F5/26		417
G07F7/00	7	Mechanisms actuated by objects other than coins to free or to actuate vending, hiring, coin or paper currency dispensing or refunding apparatus	G07F7/00	G07F7/00		1098
G07F7/005	8	{Details or accessories}	G07F7/00	G07F7/00		367
G07F7/02	8	by keys or other credit registering devices	G07F7/02	G07F7/02		1660
G07F7/025	9	{by means, e.g. cards, providing billing information at the time of purchase, e.g. identification of seller or purchaser, quantity of goods delivered or to be delivered}	G07F7/02	G07F7/02		1230
G07F7/04	8	by paper currency	G07F7/04	G07F7/04		921
G07F7/06	8	by returnable containers {, i.e. reverse vending systems in which a user is rewarded for returning a container that serves as a token of value}, e.g. bottles	G07F7/06	G07F7/06		914
G07F7/0609	9	{by fluid containers, e.g. bottles, cups, gas containers}	G07F7/06	G07F7/06		1155
G07F7/0618	9	{by carts}	G07F7/06	G07F7/06		152
G07F7/0627	10	{in which the trolleys or carts are kept fixed or linked onto a rail or barrier}	G07F7/06	G07F7/06		79
G07F7/0636	10	{in which the trolleys or carts are kept in a restricted zone such as a coral-like enclosure, or are passing a gate before use is possible}	G07F7/06	G07F7/06		192
G07F7/0645	11	{in which the trolleys or carts are kept in a box or container designed to transport or store a row of trolleys or carts as a whole}	G07F7/06	G07F7/06		31
G07F7/0654	10	{in which the lock functions according to a "pinching of the token" principle, i.e. the token is held between two members}	G07F7/06	G07F7/06		131
G07F7/0663	10	{Constructional details of the housing of the coin or token activated lock, or of mounting of the coin-lock on the trolley or cart}	G07F7/06	G07F7/06		180
G07F7/0672	10	{Special lock-activating tokens, serving as replacement of a payment or of a coin}	G07F7/06	G07F7/06		143
G07F7/0681	11	{in which a card, pay-card or card-like object is used as the special token required to get permission or activate the lock to use the trolley or cart}	G07F7/06	G07F7/06		83
G07F7/069	9	{by box-like containers, e.g. videocassettes, books}	G07F7/06	G07F7/06		376
G07F7/08	8	by coded identity card or credit card {or other personal identification means (without personal verification means G07F7/02)}	G07F7/08	G07F7/08		2818
G07F7/0806	9	{Details of the card (record carriers per seG06K)}	G07F7/08	G07F7/08		195
G07F7/0813	10	{Specific details related to card security}	G07F7/08	G07F7/08		229
G07F7/082	11	{Features insuring the integrity of the data on or in the card}	G07F7/08	G07F7/08		554
G07F7/0826	11	{Embedded security module}	G07F7/08	G07F7/08		146
G07F7/0833	10	{Card having specific functional components}	G07F7/08	G07F7/08		498
G07F7/084	11	{Additional components relating to data transfer and storing, e.g. error detection, self-diagnosis}	G07F7/08	G07F7/08		346
G07F7/0846	10	{On-card display means}	G07F7/08	G07F7/08		236
G07F7/0853	10	{On-card keyboard means}	G07F7/08	G07F7/08		109
G07F7/086	9	{by passive credit-cards adapted therefor, e.g. constructive particularities to avoid counterfeiting, e.g. by inclusion of a physical or chemical security-layer (for security documents G07D7/00; for the reading of record-carriers in general G06K7/00; for the design of coded credit-cards G06K19/10)}	G07F7/08	G07F7/08		872
G07F7/0866	9	{by active credit-cards adapted therefor (G07F7/1008 takes precedence)}<br><br><u>NOTE</u><br><br> Attention is drawn to the note after group G07F7/1008. <br>The cards referred to in this group are transferable like regular cash money. They contain a monetary value represented by a coded number in a protected memory, to be loaded by cash payment or from account	G07F7/08	G07F7/08		1639
G07F7/0873	9	{Details of the card reader}	G07F7/08	G07F7/08		849
G07F7/088	10	{the card reader being part of the point of sale [POS] terminal or electronic cash register [ECR] itself}	G07F7/08	G07F7/08		354
G07F7/0886	11	{the card reader being portable for interacting with a POS or ECR in realizing a payment transaction}	G07F7/08	G07F7/08		1026
G07F7/0893	10	{the card reader reading the card in a contactless manner}	G07F7/08	G07F7/08		508
G07F7/10	9	together with a coded signal {, e.g. in the form of personal identification information, like personal identification number [PIN] or biometric data}	G07F7/10	G07F7/10		1676
G07F7/1008	10	{Active credit-cards provided with means to personalise their use, e.g. with PIN-introduction/comparison system}<br><br><u>NOTE</u><br><br>In this group, the term "active credit card" embraces any portable, self-contained device, provided with circuits enabling it to exchange data with a partner in order to conduct a transaction.	G07F7/10	G07F7/10		6091
G07F7/1016	10	{Devices or methods for securing the PIN and other transaction-data, e.g. by encryption (arrangements for secret communication, seeH04L9/00)}	G07F7/10	G07F7/10		827
G07F7/1025	10	{Identification of user by a PIN code}	G07F7/10	G07F7/10		559
G07F7/1033	11	{Details of the PIN pad}	G07F7/10	G07F7/10		227
G07F7/1041	12	{PIN input keyboard gets new key allocation at each use}	G07F7/10	G07F7/10		156
G07F7/105	11	{Only a part of the PIN is required to be input}	G07F7/10	G07F7/10		7
G07F7/1058	11	{PIN is checked locally}	G07F7/10	G07F7/10		132
G07F7/1066	12	{PIN data being compared to data on card}	G07F7/10	G07F7/10		199
G07F7/1075	11	{PIN is checked remotely}	G07F7/10	G07F7/10		228
G07F7/1083	11	{Counting of PIN attempts}	G07F7/10	G07F7/10		188
G07F7/1091	11	{Use of an encrypted form of the PIN}	G07F7/10	G07F7/10		119
G07F7/12	9	Card verification	G07F7/12	G07F7/12		756
G07F7/122	10	{Online card verification}	G07F7/12	G07F7/12		349
G07F7/125	10	{Offline card verification}	G07F7/12	G07F7/12		277
G07F7/127	10	{in which both online and offline card verification can take place}	G07F7/12	G07F7/12		92
G07F9/00	7	Details other than those peculiar to special kinds or types of apparatus (coin inlet arrangements G07F1/00; coin-actuated mechanisms, interlocks G07F5/00)	G07F9/00	G07F9/00		1036
G07F9/001	8	{Interfacing with vending machines using mobile or wearable devices}	G07F9/00	G07F9/00		1624
G07F9/002	8	{Vending machines being part of a centrally controlled network of vending machines}	G07F9/00	G07F9/00		3228
G07F9/003	8	{displaying the inserted coins}	G07F9/00	G07F9/00		95
G07F9/006	8	{Details of the software used for the vending machines}	G07F9/00	G07F9/00		1505
G07F9/009	8	{User recognition or proximity detection}	G07F9/00	G07F9/00		696
G07F9/02	8	Devices for alarm or indication, e.g. when empty; Advertising arrangements in coin-freed apparatus (alarms or warning devices indicating the interruption of flow to be metered G07F15/10)	G07F9/02	G07F9/02		1961
G07F9/023	9	{Arrangements for display, data presentation or advertising}	G07F9/02	G07F9/02		1574
G07F9/0235	10	{the arrangements being full-front touchscreens}	G07F9/02	G07F9/02		481
G07F9/026	9	{for alarm, monitoring and auditing in vending machines or means for indication, e.g. when empty}	G07F9/02	G07F9/02		2872
G07F9/04	8	Means for returning surplus or unused coins	G07F9/04	G07F9/04		494
G07F9/06	8	Coin boxes	G07F9/06	G07F9/06		1259
G07F9/08	8	Counting total of coins inserted	G07F9/08	G07F9/08		394
G07F9/10	8	Casings {or parts thereof}, e.g. with means for heating or cooling	G07F9/10	G07F9/10		2648
G07F9/105	9	{Heating or cooling means, for temperature and humidity control, for the conditioning of articles and their storage (dispensers for food articles requiring a processing by temperature treatment or conditioning before they are ready for dispensing G07F17/0064)}	G07F9/10	G07F9/10		2747
G07F11/00	7	Coin-freed apparatus for dispensing, or the like, discrete articles	G07F11/00	G07F11/00		2176
G07F11/004	8	{Restocking arrangements therefor}	G07F11/00	G07F11/00		439
G07F11/005	8	{Special arrangements for insuring that only one single article may be dispensed at a time}	G07F11/00	G07F11/00		494
G07F11/007	8	{wherein the storage and dispensing mechanism are configurable in relation to the physical or geometrical properties of the articles to be stored or dispensed}	G07F11/00	G07F11/00		616
G07F11/02	8	from non-movable magazines	G07F11/02	G07F11/02		698
G07F11/04	9	in which magazines the articles are stored one vertically above the other	G07F11/04	G07F11/04		905
G07F11/045	10	{for sheet shaped or pliable articles}	G07F11/04	G07F11/04		950
G07F11/06	10	supported individually on pivotally-mounted flaps or shelves	G07F11/06	G07F11/06		348
G07F11/08	10	arranged in two columns in staggered relationship	G07F11/08	G07F11/08		138
G07F11/10	10	two or more magazines having a common delivery chute	G07F11/10	G07F11/10		851
G07F11/12	10	with means for automatically changing to reserve stacks	G07F11/12	G07F11/12		121
G07F11/14	10	with means for raising the stack of articles to permit delivery of the topmost	G07F11/14	G07F11/14		383
G07F11/16	10	Delivery means	G07F11/16	G07F11/16		2403
G07F11/163	11	{characterised by blocking access to the output bins}	G07F11/16	G07F11/16		347
G07F11/165	11	{using xyz-picker or multi-dimensional article picking arrangements}	G07F11/16	G07F11/16		757
G07F11/1653	12	{the picking arrangements being collecting buckets}	G07F11/16	G07F11/16		110
G07F11/1657	12	{the picking arrangements using suction}	G07F11/16	G07F11/16		347
G07F11/18	11	Recessed drawers	G07F11/18	G07F11/18		315
G07F11/20	11	Pushers actuated directly by hand	G07F11/20	G07F11/20		185
G07F11/22	11	Pushers actuated indirectly by hand, e.g. through cranks or levers	G07F11/22	G07F11/22		307
G07F11/24	11	Rotary or oscillatory members	G07F11/24	G07F11/24		1330
G07F11/26	11	Endless bands	G07F11/26	G07F11/26		494
G07F11/28	9	in which the magazines are inclined	G07F11/28	G07F11/28		384
G07F11/30	10	two or more magazines having independent delivery	G07F11/30	G07F11/30		149
G07F11/32	10	two or magazines having a common delivery chute	G07F11/32	G07F11/32		303
G07F11/34	9	in which the magazines are of zig-zag form	G07F11/34	G07F11/34		278
G07F11/36	9	in which the magazines are of helical or spiral form	G07F11/36	G07F11/36		345
G07F11/38	9	in which the magazines are horizontal	G07F11/38	G07F11/38		251
G07F11/40	10	the articles being delivered by hand-operated means	G07F11/40	G07F11/40		141
G07F11/42	10	the articles being delivered by motor-driven means	G07F11/42	G07F11/42		1064
G07F11/44	9	in which magazines the articles are stored in bulk	G07F11/44	G07F11/44		1524
G07F11/46	8	from movable storage containers or supports	G07F11/46	G07F11/46		338
G07F11/48	9	the storage containers or supports, e.g. magazine, being pivotally mounted	G07F11/48	G07F11/48		127
G07F11/50	9	the storage containers or supports being rotatably mounted	G07F11/50	G07F11/50		204
G07F11/52	10	about horizontal axes	G07F11/52	G07F11/52		351
G07F11/54	10	about vertical axes	G07F11/54	G07F11/54		986
G07F11/56	11	the storage containers or supports both rotating and moving axially	G07F11/56	G07F11/56		99
G07F11/58	9	the articles being supported on or by endless belts or like conveyors	G07F11/58	G07F11/58		1092
G07F11/60	9	the storage containers or supports being rectilinearly movable	G07F11/60	G07F11/60		357
G07F11/62	8	in which the articles are stored in compartments in fixed receptacles	G07F11/62	G07F11/62		1567
G07F11/64	8	in which the articles are individually suspended from stationary supports	G07F11/64	G07F11/64		236
G07F11/66	8	in which the articles are dispensed by cutting from a mass	G07F11/66	G07F11/66		100
G07F11/68	8	in which the articles are torn or severed from strips or sheets	G07F11/68	G07F11/68		644
G07F11/70	8	in which the articles are formed in the apparatus from components, blanks, or material constituents	G07F11/70	G07F11/70		642
G07F11/72	8	Auxiliary equipment, e.g. for lighting cigars, opening bottles	G07F11/72	G07F11/72		794
G07F13/00	7	Coin-freed apparatus for controlling dispensing or fluids, semiliquids or granular material from reservoirs	G07F13/00	G07F13/00		912
G07F13/02	8	by volume	G07F13/02	G07F13/02		847
G07F13/025	9	{wherein the volume is determined during delivery}	G07F13/02	G07F13/02		1283
G07F13/04	8	by weight	G07F13/04	G07F13/04		266
