H01M4/00	7	Electrodes<br><br><u>NOTE</u><br><br>In classifying electrodes of hybrid cells, the individual half-cells of the hybrid cell are considered separately, e.g. an electrode in the primary half of a primary/fuel type hybrid cell is considered to be a primary-cell electrode covered by H01M4/06.	H01M4/00	H01M4/00		614
H01M4/02	8	Electrodes composed of, or comprising, active material	H01M4/02	H01M4/02		5166
H01M2004/021	9	{Physical characteristics, e.g. porosity, surface area}	H01M4/02	H01M4/02		19537
H01M2004/022	9	{Electrodes made of one single microscopic fiber}	H01M4/02	H01M4/02		119
H01M2004/023	9	{Gel electrode}	H01M4/02	H01M4/02		170
H01M2004/024	9	{Insertable electrodes}	H01M4/02	H01M4/02		228
H01M2004/025	9	{with shapes other than plane or cylindrical}	H01M4/02	H01M4/02		409
H01M2004/026	9	{characterised by the polarity}	H01M4/02	H01M4/02		47
H01M2004/027	10	{Negative electrodes}	H01M4/02	H01M4/02		23455
H01M2004/028	10	{Positive electrodes}	H01M4/02	H01M4/02		24556
H01M2004/029	10	{Bipolar electrodes}	H01M4/02	H01M4/02		509
H01M4/04	9	Processes of manufacture in general	H01M4/04	H01M4/04		7512
H01M4/0402	10	{Methods of deposition of the material}	H01M4/04	H01M4/04		2027
H01M4/0404	11	{by coating on electrode collectors}	H01M4/04	H01M4/04		10758
H01M4/0407	11	{by coating on an electrolyte layer}	H01M4/04	H01M4/04		604
H01M4/0409	11	{by a doctor blade method, slip-casting or roller coating}	H01M4/04	H01M4/04		1114
H01M4/0411	11	{by extrusion}	H01M4/04	H01M4/04		426
H01M4/0414	11	{by screen printing}	H01M4/04	H01M4/04		238
H01M4/0416	11	{involving impregnation with a solution, dispersion, paste or dry powder (H01M4/0438 takes precedence)}	H01M4/04	H01M4/04		1642
H01M4/0419	11	{involving spraying}	H01M4/04	H01M4/04		904
H01M4/0421	11	{involving vapour deposition}	H01M4/04	H01M4/04		582
H01M4/0423	12	{Physical vapour deposition}	H01M4/04	H01M4/04		480
H01M4/0426	13	{Sputtering}	H01M4/04	H01M4/04		649
H01M4/0428	12	{Chemical vapour deposition}	H01M4/04	H01M4/04		865
H01M4/043	10	{involving compressing or compaction}	H01M4/04	H01M4/04		2043
H01M4/0433	11	{Molding}	H01M4/04	H01M4/04		710
H01M4/0435	11	{Rolling or calendering}	H01M4/04	H01M4/04		3649
H01M4/0438	10	{by electrochemical processing (electroless electrochemical plating C23C18/54)}	H01M4/04	H01M4/04		554
H01M4/044	11	{Activating, forming or electrochemical attack of the supporting material}	H01M4/04	H01M4/04		130
H01M4/0442	12	{Anodisation, Oxidation (electrolytic coating by anodisation C25D9/00)}	H01M4/04	H01M4/04		134
H01M4/0445	12	{Forming after manufacture of the electrode, e.g. first charge, cycling}	H01M4/04	H01M4/04		452
H01M4/0447	13	{of complete cells or cells stacks}	H01M4/04	H01M4/04		773
H01M4/045	11	{Electrochemical coating; Electrochemical impregnation}	H01M4/04	H01M4/04		337
H01M4/0452	12	{from solutions}	H01M4/04	H01M4/04		707
H01M4/0454	12	{from melts}	H01M4/04	H01M4/04		30
H01M4/0457	12	{from dispersions or suspensions; Electrophoresis}	H01M4/04	H01M4/04		153
H01M4/0459	11	{Electrochemical doping, intercalation, occlusion or alloying}	H01M4/04	H01M4/04		408
H01M4/0461	12	{Electrochemical alloying}	H01M4/04	H01M4/04		189
H01M4/0464	11	{Electro organic synthesis}	H01M4/04	H01M4/04		16
H01M4/0466	12	{Electrochemical polymerisation}	H01M4/04	H01M4/04		146
H01M4/0469	11	{Electroforming a self-supporting electrode; Electroforming of powdered electrode material}	H01M4/04	H01M4/04		59
H01M4/0471	10	{involving thermal treatment, e.g. firing, sintering, backing particulate active material, thermal decomposition, pyrolysis}	H01M4/04	H01M4/04		7783
