H05B1/00	7	Details of electric heating devices	H05B1/00	H05B1/00		352
H05B1/02	8	Automatic switching arrangements specially adapted to apparatus {; Control of heating devices}(thermally-actuated switches H01H37/00)	H05B1/02	H05B1/02		2844
H05B1/0202	9	{Switches}	H05B1/02	H05B1/02		1819
H05B1/0205	10	{using a fusible material}	H05B1/02	H05B1/02		455
H05B1/0208	10	{actuated by the expansion or evaporation of a gas or liquid}	H05B1/02	H05B1/02		772
H05B1/0211	10	{using the expansion of an electric conductive liquid}	H05B1/02	H05B1/02		88
H05B1/0213	10	{using bimetallic elements}	H05B1/02	H05B1/02		1284
H05B1/0216	10	{actuated by the expansion of a solid element, e.g. wire or rod}	H05B1/02	H05B1/02		372
H05B1/0219	10	{actuated by modification of the magnetic properties of a material}	H05B1/02	H05B1/02		52
H05B1/0222	10	{actuated by changing weight, level or centre of gravity}	H05B1/02	H05B1/02		224
H05B1/0225	10	{actuated by timers}	H05B1/02	H05B1/02		528
H05B1/0227	9	{Applications}	H05B1/02	H05B1/02		828
H05B1/023	10	{Industrial applications}	H05B1/02	H05B1/02		755
H05B1/0233	11	{for semiconductors manufacturing}	H05B1/02	H05B1/02		519
H05B1/0236	11	{for vehicles}	H05B1/02	H05B1/02		1580
H05B1/0238	12	{For seats}	H05B1/02	H05B1/02		174
H05B1/0241	11	{For photocopiers}	H05B1/02	H05B1/02		133
H05B1/0244	11	{Heating of fluids (H05B1/0247 takes precedence)}	H05B1/02	H05B1/02		926
H05B1/0247	11	{For chemical processes}	H05B1/02	H05B1/02		129
H05B1/025	11	{For medical applications}	H05B1/02	H05B1/02		299
H05B1/0252	10	{Domestic applications}	H05B1/02	H05B1/02		802
H05B1/0255	11	{Irons}	H05B1/02	H05B1/02		93
H05B1/0258	11	{For cooking}	H05B1/02	H05B1/02		177
H05B1/0261	12	{of food}	H05B1/02	H05B1/02		412
H05B1/0263	13	{Ovens}	H05B1/02	H05B1/02		345
H05B1/0266	13	{Cooktops}	H05B1/02	H05B1/02		731
H05B1/0269	12	{For heating of fluids}	H05B1/02	H05B1/02		331
H05B1/0272	11	{For heating of fabrics}	H05B1/02	H05B1/02		636
H05B1/0275	11	{Heating of spaces, e.g. rooms, wardrobes}	H05B1/02	H05B1/02		262
H05B1/0277	12	{Electric radiators}	H05B1/02	H05B1/02		305
H05B1/028	12	{Airconditioning}	H05B1/02	H05B1/02		63
H05B1/0283	12	{For heating of fluids, e.g. water heaters}	H05B1/02	H05B1/02		370
H05B1/0286	12	{Heat storages}	H05B1/02	H05B1/02		33
H05B1/0288	10	{for non specified applications}	H05B1/02	H05B1/02		94
H05B1/0291	11	{Tubular elements}	H05B1/02	H05B1/02		132
H05B1/0294	11	{Planar elements}	H05B1/02	H05B1/02		151
H05B1/0297	10	{Heating of fluids for non specified applications}	H05B1/02	H05B1/02		391
H05B3/00	7	Ohmic-resistance heating	H05B3/00	H05B3/00		3634
H05B3/0004	8	{Devices wherein the heating current flows through the material to be heated (Circuit arrangements for heating by passing the current directly across the material to be heated H05B3/0023; granular, powdered or fluid material H05B3/60)}	H05B3/00	H05B3/00		1121
H05B3/0009	9	{the material to be heated being in motion}	H05B3/00	H05B3/00		240
H05B3/0014	8	{Devices wherein the heating current flows through particular resistances}	H05B3/00	H05B3/00		1008
