H05K1/00	7	Printed circuits	H05K1/00	H05K1/00		550
H05K1/02	8	Details	H05K1/02	H05K1/02		5739
H05K1/0201	9	{Thermal arrangements, e.g. for cooling, heating or preventing overheating}	H05K1/02	H05K1/02		2475
H05K1/0203	10	{Cooling of mounted components (H05K1/0272 takes precedence)}	H05K1/02	H05K1/02		4073
H05K1/0204	11	{using means for thermal conduction connection in the thickness direction of the substrate (H05K1/0207 takes precedence)}	H05K1/02	H05K1/02		1807
H05K1/0206	12	{by printed thermal vias}	H05K1/02	H05K1/02		1914
H05K1/0207	11	{using internal conductor planes parallel to the surface for thermal conduction, e.g. power planes}	H05K1/02	H05K1/02		829
H05K1/0209	11	{External configuration of printed circuit board adapted for heat dissipation, e.g. lay-out of conductors, coatings}	H05K1/02	H05K1/02		2076
H05K1/021	11	{Components thermally connected to metal substrates or heat-sinks by insert mounting}	H05K1/02	H05K1/02		1118
H05K1/0212	10	{Printed circuits or mounted components having integral heating means}	H05K1/02	H05K1/02		519
H05K1/0213	9	{Electrical arrangements not otherwise provided for}	H05K1/02	H05K1/02		1344
H05K1/0215	10	{Grounding of printed circuits by connection to external grounding means}	H05K1/02	H05K1/02		1212
H05K1/0216	10	{Reduction of cross-talk, noise or electromagnetic interference (grounding H05K1/0215)}	H05K1/02	H05K1/02		2554
H05K1/0218	11	{by printed shielding conductors, ground planes or power plane (H05K1/0236 takes precedence)}	H05K1/02	H05K1/02		2875
H05K1/0219	12	{Printed shielding conductors for shielding around or between signal conductors, e.g. coplanar or coaxial printed shielding conductors}	H05K1/02	H05K1/02		1271
H05K1/0221	13	{Coaxially shielded signal lines comprising a continuous shielding layer partially or wholly surrounding the signal lines}	H05K1/02	H05K1/02		276
H05K1/0222	13	{for shielding around a single via or around a group of vias, e.g. coaxial vias or vias surrounded by a grounded via fence}	H05K1/02	H05K1/02		454
H05K1/0224	12	{Patterned shielding planes, ground planes or power planes (H05K1/0253 takes precedence)}	H05K1/02	H05K1/02		765
H05K1/0225	13	{Single or multiple openings in a shielding, ground or power plane (H05K1/0227 takes precedence)}	H05K1/02	H05K1/02		382
H05K1/0227	13	{Split or nearly split shielding or ground planes}	H05K1/02	H05K1/02		189
H05K1/0228	11	{Compensation of cross-talk by a mutually correlated lay-out of printed circuit traces, e.g. for compensation of cross-talk in mounted connectors (balanced signal pairs H05K1/0245)}	H05K1/02	H05K1/02		729
H05K1/023	11	{using auxiliary mounted passive components or auxiliary substances (printed passive components H05K1/16)}	H05K1/02	H05K1/02		446
H05K1/0231	12	{Capacitors or dielectric substances}	H05K1/02	H05K1/02		1535
H05K1/0233	12	{Filters, inductors or a magnetic substance}	H05K1/02	H05K1/02		797
H05K1/0234	12	{Resistors or by disposing resistive or lossy substances in or near power planes (H05K1/0246 takes precedence)}	H05K1/02	H05K1/02		185
H05K1/0236	11	{Electromagnetic band-gap structures}	H05K1/02	H05K1/02		285
H05K1/0237	10	{High frequency adaptations (H05K1/0216 takes precedence)}	H05K1/02	H05K1/02		2262
H05K1/0239	11	{Signal transmission by AC coupling}	H05K1/02	H05K1/02		282
H05K1/024	11	{Dielectric details, e.g. changing the dielectric material around a transmission line}	H05K1/02	H05K1/02		1097
H05K1/0242	11	{Structural details of individual signal conductors, e.g. related to the skin effect}	H05K1/02	H05K1/02		373
H05K1/0243	11	{Printed circuits associated with mounted high frequency components}	H05K1/02	H05K1/02		1795
H05K1/0245	11	{Lay-out of balanced signal pairs, e.g. differential lines or twisted lines}	H05K1/02	H05K1/02		1141
H05K1/0246	11	{Termination of transmission lines}	H05K1/02	H05K1/02		201
H05K1/0248	11	{Skew reduction or using delay lines}	H05K1/02	H05K1/02		248
H05K1/025	11	{Impedance arrangements, e.g. impedance matching, reduction of parasitic impedance (H05K1/024 and H05K1/0243 take precedence; for semiconductor devices H01L23/66)}	H05K1/02	H05K1/02		1094
H05K1/0251	12	{related to vias or transitions between vias and transmission lines}	H05K1/02	H05K1/02		743
H05K1/0253	12	{Impedance adaptations of transmission lines by special lay-out of power planes, e.g. providing openings (H05K1/0251 takes precedence)}	H05K1/02	H05K1/02		501
H05K1/0254	10	{High voltage adaptations; Electrical insulation details; Overvoltage or electrostatic discharge protection (electrostatic discharge protection for electric apparatus in general H05K9/0067, H05K9/0079); Arrangements for regulating voltages or for using plural voltages}	H05K1/02	H05K1/02		588
H05K1/0256	11	{Electrical insulation details, e.g. around high voltage areas}	H05K1/02	H05K1/02		531
H05K1/0257	11	{Overvoltage protection}	H05K1/02	H05K1/02		201
H05K1/0259	12	{Electrostatic discharge [ESD] protection}	H05K1/02	H05K1/02		797
H05K1/026	12	{Spark gaps}	H05K1/02	H05K1/02		163
H05K1/0262	11	{Arrangements for regulating voltages or for using plural voltages}	H05K1/02	H05K1/02		385
H05K1/0263	10	{High current adaptations, e.g. printed high current conductors or using auxiliary non-printed means; Fine and coarse circuit patterns on one circuit board (H05K1/0293 takes precedence)}	H05K1/02	H05K1/02		1332
H05K1/0265	11	{characterized by the lay-out of or details of the printed conductors, e.g. reinforced conductors, redundant conductors, conductors having different cross-sections}	H05K1/02	H05K1/02		672
H05K1/0266	9	{Marks, test patterns or identification means}	H05K1/02	H05K1/02		2681
H05K1/0268	10	{for electrical inspection or testing}	H05K1/02	H05K1/02		1754
H05K1/0269	10	{for visual or optical inspection}	H05K1/02	H05K1/02		1890
