A01K1/00	畜舎；そのための施設
A01K1/0005	｛畜舎の仕切り（動物けい留具Ａ０１Ｋ１／０６；放牧柵Ａ０１Ｋ３／００）｝
A01K1/0011	｛小区画の仕切り｝
A01K1/0017	｛ゲート，扉｝
A01K1/0023	｛選別ゲート｝
A01K1/0029	｛密集ゲートまたは柵｝
A01K1/0035	｛運搬可能または移動可能な動物シェルター｝
A01K1/0041	｛環状，丸形または円状の動物の小屋｝
A01K1/0047	｛畜舎の空調，例．通風｝
A01K1/0052	｛扇風機または送風機の配置｝
A01K1/0058	｛屋根の空気の出入口の構造｝
A01K1/0064	｛壁部の空気の出入口の構造｝
A01K1/007	｛カーテン装置の配置｝
A01K1/0076	｛加温器または熱交換器の配置｝
A01K1/0082	｛水の噴霧または冷却機構｝
A01K1/0088	｛若い牛，すなわち，子牛を飼うために特に適合した動物シェルター｝
A01K1/0094	｛馬を飼うために特に適合した動物のシェルターまたは小屋｝
A01K1/01	糞尿の除去，｛例．畜舎からの｝（Ａ０１Ｋ１／０１５が優先；｛家禽舎からのＡ０１Ｋ３１／０４｝）
A01K1/0103	｛液体の堆厩肥のもの（堆厩肥の取り扱いＡ０１Ｃ３／００；水，廃水，下水または汚泥の処理Ｃ０２Ｆ）｝
A01K1/0107	｛猫用便器トレー；犬用蓄尿器；ペット用トイレ｝
A01K1/011	｛排泄物を除去する手段を有するもの（Ａ０１Ｋ１／０１１４およびＡ０１Ｋ１／０１１７が優先）｝
A01K1/0112	
A01K1/0114	｛ゴミから排泄物を分離するための篩を有するゴミ箱｝
A01K1/0116	
A01K1/0117	｛排泄物除去のための運搬ベルトを有するもの｝
A01K1/0121	｛従来のトイレへの取付けに適合したもの｝
A01K1/0125	｛折畳み可能なまたは組立式のゴミ箱｝
A01K1/0128	｛連続移動する掻取器または類似のものによるもの｝
A01K1/0132	｛往復移動または段階的移動する掻取器または類似のものによるもの｝
A01K1/0135	｛運搬ベルトによるもの｝
A01K1/0139	｛スクリュー運搬によるもの｝
A01K1/0142	｛移動ピストンによるもの｝
A01K1/0146	｛屋内除去機構と連携する堆厩肥積込機，堆厩肥用斜面または堆厩肥昇降機によるもの（独立した堆厩肥積込機Ａ０１Ｃ３／０４）｝
A01K1/015	床覆い，例．寝床用シーツ；｛畜舎の床｝
A01K1/0151	｛格子；すのこ；羽根板付の床｝
A01K1/0152	｛ゴミ｝
A01K1/0154	｛無機物質からなるもの｝
A01K1/0155	｛有機物質からなるもの｝
A01K1/0156	
A01K1/0157	｛マット；シート｝
A01K1/01577	
A01K1/0158	｛床の加温または冷却機構｝
A01K1/02	豚舎，犬子屋，兎小屋または類似物
A01K1/0209	｛豚または牛用の給餌舎｝
A01K1/0218	｛分娩または離乳箱｝
A01K1/0227	｛子豚用の一連の檻｝
A01K1/0236	｛動物輸送用の箱，袋，檻，篭，装着帯；そのための付属品（家禽用Ａ０１Ｋ３１／００２；鳩用Ａ０１Ｋ３１／０７）｝
A01K1/0245	｛箱または檻｝
A01K1/0254	｛袋または篭｝
A01K1/0263	｛装着帯｝
A01K1/0272	｛自動車の中または上での輸送に特に適合した箱，袋，檻，篭，装着帯｝
A01K1/0281	｛自転車または自動二輪車の中または上での輸送に特に適合した箱，袋，檻，篭，装着帯｝
A01K1/029	｛人体上での輸送に特に適合した箱，袋，檻，篭，装着帯（幼児運搬具Ａ４７Ｄ１３／０２）｝
A01K1/03	家畜または実験動物のための畜舎
A01K1/031	｛実験動物のための檻；動物の代謝測定のための檻｝
A01K1/0313	
A01K1/0317	
A01K1/032	｛兎の小屋または檻｝
A01K1/033	｛猫または犬の小屋｝
A01K1/0335	
A01K1/034	｛犬小屋｝
A01K1/035	家畜を飼育するために用いる装置，例．畜舎の付属品または犬用のベット
A01K1/0353	｛犬用のベッド｝
