A22B1/00	屠殺される動物を束縛するための装置
A22B3/00	屠殺または気絶させるもの　｛麻酔をした動物Ａ６１Ｄ７／０４｝；　切断一般Ｂ２６）
A22B3/005	｛ガスによるもの｝
A22B3/02	ボルト，例．屠殺用ピストル，屠殺用ボルト，によるもの　｛（ピストルＦ４１Ｃ）｝
A22B3/04	屠殺される動物のためのマスク；気絶させる装置と結合されたマスク
A22B3/06	電流による屠殺または気絶（そのための電気回路Ｈ０５Ｃ）
A22B3/08	家禽または魚用のもの，例．屠殺用ペンチ，屠殺用大ばさみ
A22B3/083	｛特に魚に適合した気絶装置｝
A22B3/086	｛特に家禽に適合した気絶装置｝
A22B3/10	屠殺具；屠殺用ナイフ
A22B3/12	清浄な屠殺器具
A22B5/00	屠殺中または屠殺後に使用する付属具
A22B5/0005	｛内蔵抜き装置，例．直腸，肛門，腸，脳組織，脳下垂体（鶏肉用Ａ２２Ｃ２１／０６；魚肉用Ａ２２Ｃ２５／１４）｝
A22B2005/0011	死骸の肛門，直腸，肛門または排泄肛をふさぐまたは取り除くための手段
A22B5/0017	｛屠殺体の切断，分割または脱骨用の装置｝
A22B5/0023	｛屠殺体の腹腔の切開するもの｝
A22B5/0029	｛屠殺体を切り開くものまたは屠殺体の一部を分離するもの（屠殺体を分割するものＡ２２Ｂ５／２０）｝
A22B5/0035	｛屠殺体を脱骨するものまたは屠殺体から骨なしの肉を得るもの（肉の脱骨用装置Ａ２２Ｃ１７／００４）｝
A22B5/0041	｛電子，ロボットまたはコンピュータにより屠殺体を切断，分割または脱骨するもの｝
A22B5/0047	｛屠殺体の脱骨，切断または分割のための手工具｝
A22B5/0052	｛屠殺体の頭または顎を切断するもの，屠殺場での動物の頭の手術｝
A22B5/0058	｛屠殺体から足や蹄を除去するもの｝
A22B5/0064	｛屠殺体を分類または評価するためのもの；背脂を計測するためのもの｝
A22B5/007	｛屠殺体の非侵襲的スキャン，例．画像認識，断層撮影，Ｘ線，超音波の使用（肉の分析，例．内部の異物の探索，Ｇ０１Ｎ３３／１２；画像解析Ｇ０６Ｔ７／００）｝
A22B5/0076	｛屠殺体を冷却するまたは温度を下げるもの｝
A22B5/0082	｛屠殺体を清掃，洗浄または消毒するもの（家禽の屠殺体の消毒Ａ２２Ｃ２１／００６１）｝
A22B5/0088	｛屠殺体の電気刺激｝
A22B5/0094	｛屠殺体の直腸を切断または遮断するもの，例．糞便汚染を回避するためのもの｝
A22B5/02	屠殺囲い
A22B5/04	採血装置；血液攪拌具
A22B5/06	牛のための屠殺台またはスプレッター
A22B5/08	湯剥ぎ；こすり道具；脱毛；毛焼（皮の処理Ｃ１４Ｂ）
A22B5/10	手動器具
A22B5/12	湯剥釜
A22B5/14	舌ばさみ；のどを閉めるための装置
A22B5/16	皮を剥ぐ器具またはナイフ
A22B5/161	｛屠殺体から皮を剥ぐ方法または手段｝
A22B5/163	｛円盤状の刃を備えた皮剥ぎナイフ（ディスクカッターＢ２６Ｄ１／１４；ディスク状の刃を備えたモータ駆動の手工具Ｂ２６Ｂ２５／００）｝
A22B5/165	｛特に皮剥ぎに適合したリングナイフ（環状の刃を備えたモータ駆動の道具Ｂ２６Ｂ２５／００２）｝
A22B5/166	｛ドラム状の皮剥ぎ｝
A22B5/168	｛特に屠殺体の皮剥ぎに適合した手工具｝
A22B5/18	屠殺動物の胃の洗浄
A22B5/20	分割器具；　｛肉または骨鋸｝
A22B5/201	｛脊髄または他の神経組織を除去するもの｝
A22B5/202	｛分割作業中に屠殺体を保持するための案内または装置｝
A22B5/203	｛屠殺体を分割するための肉または骨ののこぎり｝肉の切断Ａ２２Ｃ１７／０００６
A22B5/205	｛手動のこぎり｝
A22B5/206	｛ディスク状または円形ののこぎり（ディスク状の刃を備えたモータ駆動の手工具Ｂ２６Ｂ２５／００；皮剥用Ａ２２Ｂ５／１６３）｝
A22B5/207	｛往復式，振動または油圧の切断手段｝
A22B5/208	｛帯のこ｝
A22B7/00	屠殺場の装備
A22B7/001	｛運搬装備｝
A22B7/002	｛運搬または保存の間に動物の屠殺体を吊り下げるための装置，例．肉つりかぎ，フック｝
A22B7/003	｛運搬されている間に屠殺体を位置合わせ，配向または支持するもの（コンベヤにより搬送中の品物の位置に影響を与えるものＢ６５Ｇ４７／２２；供給中Ｂ６５Ｇ４７／１４）｝
A22B7/004	｛つるした屠殺体を運搬するためのレール，例．構造，接続（オーバーヘッドコンベヤＢ６５Ｇ１７／２０）｝
A22B7/005	｛運搬ユニットから異なるユニットへ屠殺体を移送する手段（コンベヤ間の移送Ｂ６５Ｇ４７／５２）｝
A22B7/006	｛屠殺体の輸送のためのトロリーまたは特殊車両｝
A22B7/007	｛運搬手段に取り付けまたは内蔵され得る屠殺体に関連する情報を含む手段｝
A22B7/008	｛解剖用の死体，死肉，臓物または類似する屠殺場廃棄物の一時保存，廃棄，冷却または除去用のもの｝
