A23F3/00	茶；茶の代用品；それらの調製品
A23F3/06	抽出前の茶の処理（アルカロイドの低減または除去　Ａ２３Ｆ３／３６）；　それによって得られた調製品（茶抽出物調製品　Ａ２３Ｆ３／１６）
A23F3/08	酸化；発酵
A23F3/10	微生物または酵素の添加による発酵
A23F3/12	茶葉の揉捻または細断
A23F3/14	茶調製品，例．添加物を使用するもの　（フレーバー付与　Ａ２３Ｆ３／４０）
A23F3/16	茶の抽出；茶抽出物；茶抽出物の処理；インスタント茶の製造
A23F3/163	｛液体または半液体茶抽出物調製品，例．　ゲル，固形カプセル入り液体抽出物｝
A23F3/166	｛酵素もしくは微生物の添加，またはそれによる処理｝
A23F3/18	水溶性の茶成分の抽出　（｛Ａ２３Ｆ３／１６６が優先｝:　茶フレーバーまたはティーオイルの分離　Ａ２３Ｆ３／４２）
A23F3/20	不要物質の除去　（｛Ａ２３Ｆ３／１６６が優先｝；　アルカロイドの低減または除去　Ａ２３Ｆ３／３８）
A23F3/205	｛凝集剤または吸着剤を用いたもの｝
A23F3/22	茶抽出物の乾燥または濃縮　｛（Ａ２３Ｆ３／１６６が優先）｝
A23F3/225	｛蒸発によるもの，例．　薄層における乾燥，泡沫乾燥　（Ａ２３Ｆ３／２６およびＡ２３Ｆ３／２８が優先）｝
A23F3/24	凍結により水分を分離することによるもの
A23F3/26	凍結真空乾燥によるもの
A23F3/28	ガス流中への噴霧によるもの
A23F3/30	乾燥された茶抽出物のその後の処理；それによって得られた調製品，例．インスタント茶　（｛Ａ２３Ｆ３／１６６が優先｝；　フレーバー付与　Ａ２３Ｆ３／４０）
A23F3/32	集塊化，フレーク化またはタブレット化　｛粒状化｝
A23F3/34	茶代用品，例．マテ茶；その抽出物または煎出物
A23F3/36	アルカロイドの低減または除去；それによって得られた調製品；その抽出物または煎出物
A23F3/363	｛アルカロイド中和剤または錯化剤の添加によるもの　（Ａ２３Ｆ３／１６６が優先）｝
A23F3/366	｛選択的溶媒を用いた葉の抽出によるもの｝
A23F3/38	茶抽出物からのアルカロイドの低減または除去
A23F3/385	｛凝集剤，沈殿剤，吸着剤もしくは錯体生成剤，またはイオン交換体を使用するもの｝
A23F3/40	茶フレーバー；　ティーオイル；茶または茶抽出物のフレーバー付与　（合成茶フレーバー　Ａ２３Ｌ１／２２６）
A23F3/405	｛天然茶フレーバーまたはティーオイル以外のフレーバーによるフレーバー付与｝
A23F3/42	分離　｛または回復｝　ティーフレーバーまたはティーオイルが有するもの
A23F3/423	｛溶媒抽出法によるもの；　ティーオイルからのティーフレーバー｝
A23F3/426	｛蒸溜によるもの，例．　葉の剥ぎ取り，揮発性ガスの回収　（ティーオイルからのフレーバー　Ａ２３Ｆ３／４２３）｝
A23F5/00	コーヒー；コーヒー代用品；それらの調製品
A23F5/02	未焙煎コーヒー豆の処理；　それによって得られた調製品（焙煎　Ａ２３Ｆ５／０４；《要物質の除去　Ａ２３Ｆ５／１６；　アルカロイドの低減または除去　Ａ２３Ｆ５／２０；　抽出　Ａ２３Ｆ５／２４）
A23F5/04	コーヒーの焙煎方法（それに使用する機械　Ａ２３Ｎ１２／００）
A23F5/043	｛不活性粒子の存在下におけるもの｝
A23F5/046	｛ガスによる豆の撹拌または輸送をともなうもの；　流動床焙煎また焙煎後の流動床冷却　（Ａ２３Ｆ５／０４３が優先）｝
A23F5/06	コーヒー抽出物の焙煎；　｛コーヒー抽出物のカラメル化｝　
A23F5/08	コーヒー豆の粉砕方法（コーヒーひき器　Ａ４７Ｊ４２／００）
A23F5/10	焙煎されたコーヒー豆の処理；　それによって得られた調製品　（不要物質の除去　Ａ２３Ｆ５／１６；　アルカロイドの低減または除去　Ａ２３Ｆ５／２０；　コーヒーの抽出，インスタントコーヒーの製造　Ａ２３Ｆ５／２４）
A23F5/105	｛真空内でのまたは不活性ガスもしくは希ガスを用いた処理；　ガス雰囲気中における貯留；　包装｝
A23F5/12	集塊化，フレーク化またはタブレット化（コーヒー抽出物またはインスタントコーヒーに関するもの５／３８）
A23F5/125	｛錠剤またはその他の類似する固体形状｝
A23F5/14	添加物，例．ミルク，砂糖の使用；コーティング，例．保存のためのもの　（フレーバー付与　Ａ２３Ｆ５／４６）
A23F5/145	｛層による豆全体のコーティング｝
A23F5/16	不要物質の除去（アルカロイドの低減または除去　Ａ２３Ｆ５／２０）
A23F5/163	｛酵素または微生物を使用するもの｝
A23F5/166	｛超臨界ガスを含む，水以外の選択的溶媒または水性豆抽出物を用いた，粉砕済みまたは未粉砕の豆の抽出によるもの｝
A23F5/18	コーヒー抽出物からのもの　｛（Ａ２３Ｆ５／１６３が優先）｝　
A23F5/185	｛凝集剤，沈殿剤，吸着剤もしくは錯体生成剤，またはイオン交換体を使用するもの｝
A23F5/20	アルカロイドの低減または除去；それによって得られた調製品；その抽出物または煎出物
A23F5/202	｛アルカロイド中和剤または錯化剤の添加によるもの｝
A23F5/204	｛酵素または微生物を使用するもの｝
A23F5/206	｛超臨界ガスを含む，水以外の選択的溶媒または水性豆抽出物を用いた豆の抽出によるもの｝
A23F5/208	｛有機もしくは無機溶媒，または水性コーヒー抽出物を用いない，水，水溶液による豆の抽出によるもの｝
A23F5/22	コーヒー抽出物からのアルカロイドの低減または除去
A23F5/223	｛凝集剤，沈殿剤，吸着剤もしくは錯体生成剤，またはイオン交換体を使用するもの｝
A23F5/226	｛選択的溶媒による抽出によるもの｝
A23F5/24	コーヒーの抽出；　コーヒー抽出物　（アルカロイド含有量が減少しているもの　Ａ２３Ｆ５／２０）；　インスタントコーヒーの製造　（コーヒー抽出物の焙煎　Ａ２３Ｆ５／０６）
A23F5/243	｛液体，半液体または非乾燥半固体コーヒー抽出物調製品；　コーヒーゲル；　固形カプセル入り液体コーヒー　（Ａ２３Ｆ５／２４６が優先）｝　
A23F5/246	｛酵素もしくは微生物の添加，またはそれによる処理　（Ａ２３Ｆ５／１６３およびＡ２３Ｆ５／２０４が優先）｝　
A23F5/26	水溶性成分の抽出　｛（Ａ２３Ｆ５／２４６が優先｝；　コーヒーフレーバーまたはコーヒーオイルの分離　Ａ２３Ｆ５／４８）　
A23F5/262	｛固体物質の固定床を通じた抽出液流れ，例．　浸透カラムにおけるもの｝
A23F5/265	｛抽出サイクル中の装置を通じた固体物質の輸送｝
A23F5/267	｛添加物，特定抽出媒体または特定コーヒー混合物を使用するもの｝
A23F5/28	コーヒー抽出物の乾燥または濃縮　｛（Ａ２３Ｆ５／２４６が優先）｝　
A23F5/285	｛蒸発によるもの，例．　薄層における乾燥，泡沫乾燥　（Ａ２３Ｆ５／３２およびＡ２３Ｆ５／３４が優先）｝
A23F5/30	凍結により水分を分離することによるもの
A23F5/32	凍結真空乾燥によるもの
A23F5/34	ガス流中への噴霧によるもの
A23F5/36	乾燥したコーヒー抽出物のその後の処理；　それによって得られた調製品，例．インスタントコーヒー　（｛Ａ２３Ｆ５／２４６が優先｝；《要物質の除去　Ａ２３Ｆ５／１８；　フレーバーの付与　Ａ２３Ｆ５／４６）　
A23F5/38	集塊化，フレーク化またはタブレット化　｛または粒状化｝
A23F5/385	｛錠剤またはその他の類似する固体形状｝
A23F5/40	有機添加物，例．ミルク，砂糖の使用
A23F5/405	｛粉砕済みコーヒー豆または粉砕済みコーヒー豆代用粒子からなるもの｝
A23F5/42	無機添加物の使用
A23F5/44	コーヒー代用品
