A23P10/00	製造物によって特徴付けられる，食品材料の成形または加工
A23P10/10	食用でない支持部材への食品材料の固定
A23P10/20	塊状化；粒状化；錠剤化
A23P10/22	固形粒子の微粉化による塊状化または粒状化，例．フリーフォーリングカーテンによる
A23P10/25	押出しまたはプレスによる塊状化または粒状化，例．小孔，ふるいまたは面の間を通すことによる
A23P10/28	錠剤化；乾燥粉末混合物の圧縮による棒状食品の製造
A23P10/30	粒子，例．食品添加物，のカプセル化
A23P10/35	油，脂質，モノグリセリドまたはジグリセリドを有するもの
A23P10/40	流動自在な粉末またはインスタント粉末，すなわち液体ですぐに戻る粉末，の製造（Ａ２３Ｐ１０／２０，Ａ２３Ｐ１０／３０が優先）
A23P10/43	粉末の形成中または形成後に加えられる，固化防止剤または流動性改良剤を使用するもの
A23P10/47	添加物，例．乳化剤，湿潤剤または粉末結合剤，を使用するもの
A23P20/00	食品材料の被覆；そのための被覆物；積層した，多層の，中身が詰まったまたは中空の食品材料の製造
A23P20/10	可食の被覆物，例．油脂，による被覆
A23P20/105	｛野菜または微生物発酵ガムを含有する組成物で被覆するもの，例．セルロースまたは誘導体；食用重合体で被覆するもの，例．ポリビニールアルコール｝
A23P20/11	｛大量の油，脂肪，モノ／ジグリセリド，脂肪酸，鉱石油，ワックスまたはパラフィンを含有する組成物で被覆するもの｝
A23P20/12	粉末または粒子を食品材料に塗布するための装置，例．パン粉をつける装置；予め湿らせる手段または衣をつける手段と組合せられるような装置
A23P20/13	回転装置，例．ドラム，内での食品材料の撹拌を伴うもの
A23P20/15	液体または半液体の物質で被覆するための装置またはプロセス<br><br><u><br><br><u>警告</u><br><br>/u><br>グループＡ２３Ｐ２０／１５は不完全でありグループＡ２３Ｐ／１８からの文献の再分類は未完成である。<br>グループＡ２３Ｐ２０／１５およびＡ２３Ｐ２０／１８は完全な調査を行うため検討されるべきである。
A23P20/17	槽の中に浸けることによるもの
A23P20/18	吹き付け，流動床または一体成形によるもの（パン粉つけとの組合せＡ２３Ｐ２０／１２）<br><br><u><br><br><u>警告</u><br><br>/u><br>グループＡ２３Ｐ２０／１５はグループＡ２３Ｐ２０／１８からの文献の再分類に影響される。<br>グループＡ２３Ｐ２０／１８およびＡ２３Ｐ２０／１５は完全な調査を行うため検討されるべきでる。
A23P20/19	｛非食用被覆で被覆するもの｝
A23P20/20	積層した，多層の，中身が詰まったまたは中空の食品材料の製造，例．予め形成された可食のシート状の生地の中または可食の食品容器の中に包むことによるもの
A23P20/25	くりぬかれた食品片に具を挟むまたは詰め込むもの，例．くりぬきまたは空洞形成との組合せ
A23P2020/251	｛天ぷらの衣；発酵または空気抱込の衣または被覆｝
A23P2020/253	｛食品への印字により被覆するもの；食品の印字層｝
A23P30/00	プロセスまたは装置により特徴付けられる，食品材料の成形または加工（Ａ２３Ｐ１０／００，Ａ２３Ｐ２０／００が優先）
A23P30/10	モールド成形
A23P30/20	押出し成形
A23P30/25	異なる食品材料の共押出し成形
A23P30/30	膨化または膨張
A23P30/32	圧力解放によるもの，例．破裂膨化；真空処理によるもの
A23P30/34	押出して膨張させることによるもの
A23P30/36	断続的に作動する装置によるもの
A23P30/38	加熱によるもの（圧力解放または真空処理を伴うものはＡ２３Ｐ３０／３２）
A23P30/40	発泡または泡立て
A23P2030/405	｛超音波処理により発泡食品を形成するもの｝
