A42C1/00	ハットの製造
A42C1/02	ハットの芯の製造；芯形成機；円錐形芯形成機；芯形成器具
A42C1/04	型どり；押しつけ；蒸気あて；伸ばし
A42C1/06	ハットのつばの細工
A42C1/08	ハットの仕上，例．つやだし，アイロンがけ，ならし，ブラシかけ，しみこませ，こわばらせ，かざりつけ
A42C2/00	他に分類されない工程によるヘルメットの製造
A42C2/002	｛型内形成｝
A42C2/005	｛固体シートからの形成｝
A42C2/007	｛カスタムサイズのヘルメットの製造｝
A42C3/00	ハット製造のための，例．針金でハットの枠を作るための，種々の装置（麦わら製ハットの縫成機Ｄ０５Ｂ；ハットのつばの縫成機Ｄ０５Ｂ）；仕上ったハットの形または寸法を変えるための装置
A42C3/02	ハットの形の保持具
A42C3/04	婦人用ハットの仕立台
A42C3/06	ハットの寸法を測る装置
A42C5/00	ハットの付属品または装飾品，例．ハットのバンド
A42C5/02	汗バンド
A42C5/04	頭を覆うものの通風装置の配置（ヘルメット用Ａ４２Ｂ３／２８）
A42C99/00	このサブクラスの他のグループに分類されない主題事項
