A46B1/00	一体に成形されたブラシ台と毛
A46B3/00	ブラシ台または支持体に毛を固定または接合することに特徴のあるブラシ（そのための機械または装置Ａ４６Ｄ）
A46B3/005	｛一体に成形された毛の支持体と毛（Ａ４６Ｂ１／００が優先）｝
A46B3/02	ピッチ，レジン，セメントまたは他の接着剤によるもの
A46B3/04	成形できる材料，例．金属，繊維素誘導物，合成樹脂，によるもの（Ａ４６Ｂ１／００が優先）
A46B3/06	針金または合成樹脂からなる毛を一体に溶融接着することによるもの
A46B3/08	締め付けによるもの
A46B3/10	環またはそれに類似したものによるもの
A46B3/12	特に塗料用ブラシに適用させたもの
A46B3/14	特に道路またはレールの清掃ほうきに適用させたもの
A46B3/16	特にＵ形の毛のふさに対して針金または他の定着手段によるもの
A46B3/18	ベルトまたは針金の上または間に毛を固定したもの
A46B3/20	ゴム，例．軟質ゴム，の間に毛を固定または接合したもの
A46B3/22	ブラシ台の上または中にゴムの毛を固定したもの
A46B5/00	ブラシ台；ブラシ製品と一体の柄
A46B5/0004	｛付属のブラシ頭部｝
A46B5/0008	｛柄の同じ端部に同時の使用を意図していない２つ以上の頭部のあるブラシ｝
A46B5/0012	｛柄の同じ端部に同時に使用するための２つ以上の頭部のあるブラシ，例．互いに協働するもの｝
A46B5/0016	｛柄の両端部に同時の使用を意図していない２つ以上の頭部のあるブラシ｝
A46B5/002	｛関節，継ぎ目または可撓部のあるもの｝
A46B5/0025	｛使用中に形状を変化させる弾性変形可能な頭部のあるブラシ｝
A46B5/0029	｛頭部が軟質樹脂，ゴムまたは樹脂母材にゴムが挿入されたものからなるもの｝
A46B5/0033	｛曲げられるまたは伸びるまたは折りたためるもの（A46B7／023が優先）｝
A46B5/0037	｛母材の塑性変形による可撓弾力性｝
A46B5/0041	｛いくつかの構成要素からなる機械的接合またはヒンジ｝
A46B5/0045	｛１つ以上のヒンジで連結されたブラシ｝
A46B5/005	｛入れ子式または同様の可動部分のあるブラシ｝
A46B5/0054	｛胴体への頭部の相対的な位置決めができるように設計されたもの｝
A46B5/0058	｛いくつかの構成要素からなる機械的接合またはヒンジ｝
A46B5/0062	｛使用中に可撓性または弾力性のあるもの｝
A46B5/0066	｛母材の塑性変形による可撓弾力性｝
A46B5/007	｛異なる材料で作られた挿入物，例．ばね，平板｝
A46B5/0075	｛使用中に調節可能であり安定するもの｝
A46B5/0079	｛調節可能であり安定する軸または柄，例．全体的に一つの部材のもの｝
A46B5/0083	｛少なくとも１つの平面内で調節が行える機械的接合｝
A46B5/0087	｛玉継ぎ手で特徴づけられている機械的接合｝
