A61H1/00	他動運動装置（Ａ６１Ｈ５／００が優先）；バイブレーション装置
A61H1/001	｛全身運動用作動用装置（Ａ６１Ｈ１／００Ｂ(ＥＣＬＡ)が優先）｝
A61H1/003	｛身体を横断する水平軸を中心とする振動または往復｝
A61H1/005	
A61H1/006	｛骨格構造に圧縮応力を加えるため圧力や衝撃を与えるための装置，例．骨粗しょう症の予防や緩和のためのもの｝
A61H1/008	｛胴体や四肢の軸に対してほとんど垂直に圧力や衝撃を与える装置，例．背骨の整復や変形修復のためのカイロプラクティック装置｝
A61H1/02	伸長または屈曲｛または捻転｝訓練装置．<br><br><u>｛注</u><br><br>このグループにおいては，複数のサブグループに関連した文献は，その組み合わせのための特定のグループがある場合を除き，階層が上位のグループのみに分類する。｝
A61H2001/0203	胴体縦軸を中心とする胴体の回転
A61H2001/0207	関節接合を中心とする胴体の旋回運動
A61H2001/0211	腕と脚の歩行時の共同作用
A61H1/0214	｛回転循環運動によるもの｝
A61H1/0218	｛伸長装置（患者を直立歩行または立位姿勢に支持する懸垂装置Ａ６１Ｈ３／００８；患者が着装可能な装置Ａ６１Ｆ５／０１；骨折した四肢の引き伸ばしＡ６１Ｆ５／０４）｝
A61H1/0222	｛懸引台（Ａ６１Ｈ１／０２Ｄ２(ＥＣＬＡ)，Ａ６１Ｈ１／０２２９が優先）｝
A61H1/0229	｛普段身体にかかる重力を軽減することのよるもの，例．身体またはその一部を持ち上げたりつるしたりすることによるもの（Ａ６１Ｈ１／０２Ｄ２(ＥＣＬＡ)，Ａ６１Ｈ１／０２Ｄ１０(ＥＣＬＡ)およびＡ６１Ｈ１／０２Ｄ１１(ＥＣＬＡ)が優先）｝
A61H2001/0233	脈動，交替，変動
A61H1/0237	｛下肢用のもの｝
A61H1/024	｛膝（Ａ６１Ｈ１／０２５５が優先）｝
A61H1/0244	｛腰部（Ａ６１Ｈ１／０２５５が優先）｝
A61H2001/0248	
A61H2001/0251	
A61H1/0255	｛足が身体相称平面と実質的に平行な平面に動いているときの，例．仰向けまたは座った状態の，患者の膝と腰部（Ａ６１Ｈ１／０２１４が優先）｝
A61H1/0259	｛併進によって動かされるもの｝
A61H1/0262	
A61H1/0266	｛足｝
A61H2001/027	つま先
A61H1/0274	｛上肢用｝
A61H1/0277	｛肘｝
A61H1/0281	｛肩部｝
A61H1/0285	｛手｝
A61H1/0288	｛指｝
A61H1/0292	｛脊柱用のもの（Ａ６１Ｈ１／０２１８が優先）｝
A61H1/0296	｛頚部｝
A61H3/00	病弱者歩行補助器具（幼児歩行補助装置Ａ４７Ｄ１３／０４；　｛肢の変形修正または支持用整形外科装置Ａ６１Ｆ５／０１０２｝；足または足指用訓練装置Ａ６３Ｂ２３／１０；　｛階段または傾斜路Ｅ０４Ｆ１１／００｝）
A61H2003/001	上がり段または階段上のもの
A61H2003/002	物品輸送手段が付いているか組み込まれているもの
A61H2003/003	傘
A61H2003/004	盆
A61H2003/005	膝，脚または義足置き台付のもの
A61H2003/006	前腕置き台付のもの，すなわち使用しない腕用のもの
A61H2003/007	患者にしっかり，例．ベルトで，取り付けられているもの
A61H3/008	｛身体を直立歩行または立位姿勢に支持する懸垂装置，例．ハーネス（伸長装置Ａ６１Ｈ１／０２１８）｝
A61H3/02	松葉づえ
A61H2003/0205	使用中に軸支運動をしない松葉づえ，例．三脚台
A61H2003/0211	地面と咬みあう湾曲した手段，すなわち，揺り子，付のもの
A61H2003/0216	単一平面上の旋回だけに運動が制限されている松葉杖，例．２点支持具
A61H2003/0222	物品を把持または拾い上げ手段を持つもの
A61H2003/0227	脇の下モデルから前腕モデルへの変換可能のもの
A61H2003/0233	脇の下型杖からステッキに変換可能のもの
A61H2003/0238	肩杖からステッキに変換可能のもの
A61H3/0244	｛使用しない時は直立状態で格納または保持する配置｝
A61H2003/025	一組の松葉杖を結び合わせる装置付のもの
A61H2003/0255	壁，家具等に取り付けられるか支持されるための単一支持具上のもの
A61H2003/0261	単一支持具を受け入れるための壁または家具上のもの
A61H2003/0266	磁力固定式のもの
A61H2003/0272	単一支持具が使用中でない場合直立状態を保つことができるようにする単一松葉杖のもの，例．格納式三脚台（Ａ６１Ｈ２００３／０２０５が優先）
A61H3/0277	｛そのための緩衝器｝
A61H2003/0283	エラストマー材を使用するもの
A61H3/0288	｛石突または先端そのため（歩行用ステッキまたは傘Ａ４５Ｂ９／０４）｝
A61H2003/0294	玉継手よりなるもの
A61H3/04	病弱者のための車輪のついた歩行補助具　｛（Ａ６１Ｈ３／００８，Ａ６１Ｈ３／０６が優先）｝
A61H2003/043	
A61H2003/046	
A61H3/06	歩行　｛または誘導｝盲目者のための補助具（歩行ステッキ｛一般｝Ａ４５Ｂ；直接的視力による知覚を他の知覚方法に交換することＡ６１Ｆ９／０８）
A61H3/061	｛電子検出手段によるもの｝
A61H2003/063	触覚によるもの
A61H2003/065	点字の形をなすもの
A61H3/066	
A61H3/068	
A61H5/00	目の訓練器具
A61H5/005	
A61H7/00	吸引もみ式マッサージ用具；他の用途を持たない摩擦またはブラッシングにより皮膚をマッサージする用具（ブラシ一般Ａ４６；特にマッサージ用でない浴用海綿状物，ブラシ，手袋または同様の清浄または摩擦用具Ａ４７Ｋ７／０２；看護のための吸引装置Ａ６１Ｍ１／０６，Ａ６１Ｍ１／０８）
A61H7/001	｛皮膚と装置の間には実質的な動きはないもの｝
A61H7/002	｛摩擦またはブラッシングによるもの｝
A61H7/003	｛携帯用か手動式の装置｝
A61H7/004	｛動力駆動式，例．電動式｝
A61H7/005	｛携帯用｝
A61H7/006	｛頭部マッサージ用ヘルメット（頭部用沐浴Ａ６１Ｈ３５／００８；洗浄，すすぎ，乾燥Ａ４５Ｄ）｝
A61H7/007	
A61H7/008	
A61H2007/009	
