A61Q1/00	メイクアップ剤，ボディーパウダー；メイクアップの除去剤
A61Q1/02	皮膚着色剤を含有する製剤，例．顔料（粉末剤Ａ６１Ｑ１／１２）
A61Q1/025	｛半永久の入れ墨，ステンシル，例．永久メイクアップ｝
A61Q1/04	唇用のもの
A61Q1/06	棒口紅
A61Q1/08	ほお用のもの，例．ほおべに
A61Q1/10	目用のもの，例．アイライナー，マスカラ
A61Q1/12	装飾または吸収用のおしろいまたはボディパウダー
A61Q1/14	メイクアップの除去剤
A61Q1/145	｛入れ墨の除去剤｝
A61Q3/00	マニキュアまたはペディキュア剤
A61Q3/02	爪被覆剤
A61Q3/04	爪被覆剤除去剤
A61Q5/00	毛髪手入れ用製剤
A61Q5/002	｛毛髪修復用の製剤｝
A61Q5/004	｛着色後の毛髪の保護に用いる製剤｝
A61Q5/006	｛ふけを防止する製剤｝
A61Q5/008	｛脂性毛髪用の製剤｝
A61Q5/02	毛髪洗浄剤
A61Q5/04	毛髪パーマネントウェーブ剤または縮毛矯正剤
A61Q5/06	整髪剤，例．一時的な整形または着色
A61Q5/065	｛一時的な毛髪の着色用の製剤，例．直接染料｝
A61Q5/08	毛髪脱色剤
A61Q5/10	永久染毛剤
A61Q5/12	ヘアーコンディショナーを含む製剤
A61Q7/00	発毛促進あるいは発毛抑制をする剤
A61Q7/02	発毛抑制剤または発毛不活性剤
A61Q9/00	除毛剤，または除毛補助剤
A61Q9/02	ひげそり剤
A61Q9/04	脱毛剤
A61Q11/00	歯，口腔または入れ歯の手入れ用製剤，例．歯磨剤，練り歯磨き；口内洗浄剤
A61Q11/02	入れ歯の防臭，漂白，または消毒用製剤
A61Q13/00	香料用の製剤または添加剤（精油または香料それ自体Ｃ１１Ｂ９／００）
A61Q15/00	制汗剤または身体の防臭剤（空気の脱臭用品Ａ６１Ｌ９／００）
A61Q17/00	防護剤；外部の影響，例．日光，Ｘ線もしくは他の有害光線，腐食物質，バクテリア，またはこん虫の針，から防護するため皮膚に直接接触させる製剤（有害な化学的物質に抵抗するための化学的手段Ａ６２Ｄ３／００）
A61Q17/005	｛抗菌剤｝
A61Q17/02	虫よけ剤を含むもの<br><br><u>注</u><br><br>以下の参照は優先するグループに包含される主題事項の観点でサーチを実行する際に関連し得るＩＰＣの場所を示す：害虫よけ剤Ａ０１Ｎ
A61Q17/04	日光または他の光線から保護するための局所用製剤；局所用日焼け剤
A61Q19/00	スキンケア剤
A61Q19/001	｛唇をケアするための製剤｝
A61Q19/002	｛ひげそり後の製剤｝
A61Q19/004	｛日焼け後の製剤｝
A61Q19/005	｛敏感肌のための製剤｝
A61Q19/007	｛乾燥肌のための製剤｝
A61Q19/008	｛脂性肌のための製剤｝
A61Q19/02	化学的に皮膚を漂白または白化するためのもの
A61Q19/04	化学的に皮膚を日焼けさせるためのもの（局所用日焼け剤Ａ６１Ｑ１７／０４）
A61Q19/06	抗セルライト用のもの
A61Q19/08	老化防止剤
A61Q19/10	洗浄または浴用剤
A61Q90/00	このサブクラスの他のグループには分類されない特殊用途のための化粧品または類似化粧品製剤
