A62B1/00	建造物などから人体を降ろすための器具
A62B1/02	救出かご，袋などを用いるもの（エレベーター，エスカレーター，あるいは動く歩道Ｂ６６Ｂ）
A62B1/04	簡単部品，例．縛りつける器具
A62B1/06	索降下装置を用いるもの（キャプスタン，ウインチＢ６６Ｄ）．<br><br><u>｛注</u><br><br>グループＡ６２Ｂ１／００の前およびグループＡ６２Ｂ１／１６中の見出しの中の参考文献とは逆にこのグループは登山用のロープ降下装置も含んでいる｝
A62B1/08	巻揚機または滑車に制動機構を有するもの
A62B1/10	機械的に操作されるもの
A62B1/12	水圧で操作されるもの
A62B1/14	索の上を滑動するブレーキを有するもの
A62B1/16	救命索または救命帯（安全ベルトＡ６２Ｂ３５／００；山岳用支え綱Ａ６３Ｂ２９／０２；海上で使用する救命帯Ｂ６３Ｃ）
A62B1/18	索で降下する装置の他の簡単な部品，例．索の滑車，索を放出する装置
A62B1/20	滑降索，滑降桿または滑降路を用いることによるもの，例．ホース，管，滑り溝，滑りシート
A62B1/22	跳躍装置を用いることによるもの，例．跳躍シート，跳躍マットレス
A62B3/00	建造物などからの避難を容易にするための器具または簡単な道具，例．防護物，遮へい幕；建造物の別の部分へ煙が侵入することを防ぐ可搬式器具（Ａ６２Ｂ１／００が優先）
A62B3/005	｛強制作用つき救助装置｝
A62B5/00	火災から救助する他の器具（はしごＥ０６Ｃ）
A62B7/00	呼吸用装置（医療用のものＡ６１Ｍ１６／００）
A62B7/02	圧縮した酸素または空気を有するもの
A62B7/04	さらに肺制御の酸素または空気の弁をもつもの
A62B7/06	液体酸素を有するもの　｛または空気を有するもの；極低温システム｝
A62B7/08	酸素を発生する化学薬品を含むもの
A62B7/10	ろ過部を有するもの
A62B7/12	新鮮空気管を有するもの
A62B7/14	高空の航空機用
A62B9/00	呼吸装置用の構成部品（Ａ６２Ｂ１９／００，Ａ６２Ｂ２１／００，Ａ６２Ｂ２３／００が優先）
A62B9/003	｛呼吸ガスの温度または湿度に影響を与える手段｝
A62B9/006	｛指示装置または警告装置，例．低圧，汚染のためのもの｝
A62B9/02	弁　｛（呼吸マスクまたはヘルメットに装着される逆止弁Ａ６２Ｂ１８／１０）｝
A62B9/022	｛呼吸要求量調節器（スキューバダイビング調節器Ｂ６３Ｃ１１／２２）｝
A62B9/025	｛傾斜開口動作を有するもの｝
A62B9/027	｛誘導操作によるもの，すなわち下流への圧力減少に敏感な弁手段に管理されるもの｝
A62B9/04	接合子；支持枠
A62B9/06	マウスピース；鼻挾み具（医療目的のものＡ６１Ｍ１５／００）
A62B11/00	密室における吸気の再調整装置（空気の化学的浄化，消毒，殺菌Ａ６１Ｌ；航空機または潜水艦におけるもの，搭乗物の構成に影響をおよぼすものまたは構成によって影響を受けるもののかぎりにおいては，それぞれＢ６４Ｄ，Ｂ６３Ｂ；空調一般Ｆ２４Ｆ）
A62B13/00	ガスを防ぐために遮へいされた部屋を換気するための特別な装置（換気一般Ｆ２４Ｆ）
A62B15/00	有毒または有害な物質を防ぐことのできる設備，例．分離した呼吸装置を有するもの　（｛埃や煙蒸気が発生場所Ｂ０８Ｂ１５／００から逃げるのを防ぐこと｝；建造物Ｅ０４Ｈ９／００　｛空気流を遮蔽のために使うことＦ２４Ｆ９／００｝）
A62B17/00	熱または有害な化学剤からの防護のためのまたは高所での使用のための防護服（作業用または運動用防護服Ａ４１Ｄ１３／００，　｛例．オーバーオールＡ４１Ｄ１３／０２，手術服Ａ４１Ｄ１３／１２；防護服用素材Ａ４１Ｄ３１／００１１｝；目または耳の防護Ａ６１Ｆ９／００；防護服のための材料組成Ａ６２Ｄ５／００；海上で使用する救命衣Ｂ６３Ｃ；潜水服Ｂ６３Ｃ１１／０２；飛行服，　｛対加速度服｝Ｂ６４Ｄ１０／００；宇宙服Ｂ６４Ｇ６／００；防弾服Ｆ４１Ｈ１／０２）
A62B17/001	｛着装，調節または可動性増大に適合すること，例．閉塞部，結合部｝
A62B17/003	｛消防士用防火服｝
A62B17/005	｛活動できるまたはできない身体の体温調節｝
A62B17/006	｛化学物質や，有毒で悪性の環境による汚染に対抗するもの；ＡＢＣスーツ｝
A62B17/008	｛高高度加圧服｝
A62B17/04	フード
A62B17/08	動物用の防護カバー　｛（作業用防護カバーＢ６８Ｃ　５／００）｝
A62B18/00	呼吸マスクまたはヘルメット，例．化学薬品防護用または高所使用用のもの　｛または吸入労作軽減のためのポンプまたは圧縮機を組み込んだもの｝（Ａ６２Ｂ１７／００が優先；麻酔マスクＡ６１Ｍ１６／０６）
A62B18/003	｛新鮮なエアーカーテンを生じさせる手段を有するもの｝
A62B18/006	｛強制換気用のポンプを有するもの（Ａ６２Ｂ１８／０４５が優先）｝
A62B18/02	マスク（動物用ガスマスクＡ６２Ｂ１８／０６；溶接用マスクＡ６１Ｆ９／０６）
A62B18/025	｛半マスク（Ａ６２Ｂ２３／０２が優先；外科用顔面マスクＡ４１Ｄ１３／００Ｆ(ＥＣＬＡ)）｝
A62B18/04	ガスヘルメット
A62B18/045	｛ヘルメットの内部または上に取り付けられた呼吸用空気を送るためのファンを有するもの｝
A62B18/06	動物用のガスマスク
A62B18/08	ガスマスクまたはガスヘルメットの部分品，例．窓，紐，会話伝達装置，信号装置（塵よけ眼鏡の接眼レンズＡ６１Ｆ９／０２；窓または他の透明な部分の材料の組成Ａ６２Ｄ７／００）
A62B18/082	｛接眼鏡，レンズまたは視力矯正手段をガスマスクの中または上に組み込むこと｝
A62B18/084	｛頭部またはヘルメットにガスマスクを取り付ける手段｝
A62B18/086	｛マスクをはずさずに軽食を食べることに適合すること｝
A62B18/088	｛ろ過器の飽和状態を表示する装置｝
A62B18/10	弁
A62B19/00	呼吸装置用の吸着物質を有する容器　｛（二酸化炭素吸収装置Ａ６１Ｍ１６／２２）｝
A62B19/02	酸化剤を有するもの
A62B21/00	呼吸装置用に化学物質から酸素を発生させる装置
A62B23/00	呼吸を維持するためのろ過器（気体のろ過器一般Ｂ０１Ｄ）
A62B23/02	呼吸のためのもの
A62B23/025	｛実質的にマスクの形をしたろ過器（外科用顔面マスクＡ４１Ｄ１３／００Ｆ(ＥＣＬＡ)）｝
A62B23/04	防毒避難所のためのもの
A62B23/06	鼻のろ過器
A62B25/00	貯蔵用装置　｛または保持または運搬すること｝呼吸装置
A62B25/005	｛高高度用のもの｝
A62B27/00	呼吸装置を試験する方法または装置　｛高高度用のもの｝（機密性を試験する装置一般Ｇ０１Ｍ）
A62B29/00	有害な化学物質を無害にするまたは隔離する装置（呼吸装置Ａ６２Ｂ７／００；防毒扉，窓，シャッターＥ０６Ｂ）
A62B31/00	呼気を再調整したり，換気する装置を有する呼吸保護のための容器または移動式キャビン　｛特に虚弱者や幼児に適したもの｝（防毒避難所の換気Ａ６２Ｂ１３／００；防護服または被覆Ａ６２Ｂ１７／００；医療目的の治療部屋Ａ６１Ｇ１０／００）
A62B33/00	仮死者が脱出または注意を引かせるための装置；事故による埋没者のための呼吸装置
A62B35/00	安全ベルトまたは身体ハーネス；身体の変位を制限するための同種の装備，特に動きが急変する場合のためのもの（バックルＡ４４Ｂ１１／００；子供用家具の付属品Ａ４７Ｄ１５／００；子供用座席Ｂ６０Ｎ２／２４；陸上車両用の安全ベルトまたは身体装着具Ｂ６０Ｒ２２／００；パラシュートの装着具Ｂ６４Ｄ１７／３０；航空機内の装着具Ｂ６４Ｄ２５／０６；開放可能の締め付け具Ｆ１６Ｂ）
A62B35/0006	
A62B35/0012	
A62B35/0018	
A62B35/0025	
A62B35/0031	
A62B35/0037	
A62B35/0043	
A62B35/005	
A62B35/0056	
A62B35/0062	
A62B35/0068	
A62B35/0075	
A62B35/0081	
A62B35/0087	
A62B35/0093	
A62B35/04	エネルギー吸収手段を取入れたもの
A62B99/00	このサブクラスの他のグループには分類されない主題事項
