A63H1/00	こま（飛ぶこまＡ６３Ｈ２７／１２）
A63H1/02	取りはずし可能の巻きかけ装置を有するもの
A63H1/04	糸またはひもによる巻きかけ装置を有するもの
A63H1/06	一体的な巻きかけ装置を有するもの
A63H1/08	吹込によって巻き揚げるための装置を有するもの
A63H1/10	両手で軸を回転させて回すことができるもの
A63H1/12	むちあてこま；こま用むち
A63H1/16	はね飛んだり，ダンスしたり，または曲線を画くこま
A63H1/18	二重こま；互に中または上にすえ付けられた複数式こま
A63H1/20	形象に似た特徴を有するもの；可動物，特に可動の形象を有するもの
A63H1/22	着色こま
A63H1/24	照明装置を有するもの
A63H1/26	爆風または爆音を発するもの
A63H1/28	音響こま
A63H1/30	上昇こま，例．ヨーヨー
A63H1/32	ねじられたコードによって駆動される旋回式または回転式円盤
A63H3/00	人形｛（見せ物用または劇場用の指人形または操り人形Ａ６３Ｊ１９／００６）｝<br><br><u>注</u><br><br>このグループにおいては，下記の用語は以下の意味で用いる:―人形は動物玩具を包含する。
A63H3/001	｛生理的過程を模したもの，例．心臓の鼓動，呼吸または熱（流動体の摂取または排出を伴うものＡ６３Ｈ３／２４）｝
A63H3/003	｛人形と接続していない特別な機能に特に適用されるもの（電気的照明装置としてＡ６３Ｈ３／００６）｝
A63H3/005	｛容器として使用するもの（容器Ｂ６５Ｄ）｝
A63H3/006	｛電気照明を備えるもの（電気照明Ｆ２１）｝
A63H3/008	｛妊娠または出生を模することができる人形｝
A63H3/02	布地で作られたものまたは詰め物を入れられたもの
A63H3/04	変形可能の構造を有するもの
A63H3/06	空気の入ったまたはふくらまし形象玩具（ふくらむ弾性体への弁の取付けＢ６０Ｃ２９／００）
A63H3/08	裁断し，折りたたみ，または着せるための平らな紙の人形
A63H3/10	起き上がるための装置を有する有しないにかかわらず手足を備えた平らな形象玩具（Ａ６３Ｈ３／０８が優先）
A63H3/12	２つの顔を有する人形
A63H3/14	手の指を差し込むことができるもの，例．指人形
A63H3/16	組み立てることができる部分から作られたもの　｛（顔部材はＡ６３Ｈ３／３６５のみ）｝
A63H3/18	踊り人形
A63H3/20	他の部分，例．足，の運動によって動かされる部分を有するもの
A63H3/24	飲物を飲む人形；涙を出す人形；小便をする人形
A63H3/26	浮遊人形
A63H3/28	人形内の発声手段の装置；音を出すための人形内の手段
A63H3/31	音を出すためのふいご，シリンダまたは類似のもの
A63H3/36	細部；付属品
A63H3/365	｛顔の特徴を選択できるもの，例．顔の表情を変えるもの（アニメーションで表情を変化するものＡ６３Ｈ３／４８，自動のものＡ６３Ｈ１３／００５；可動な目Ａ６３Ｈ３／４０）｝
A63H3/38	人形の眼
A63H3/40	動くもの
A63H3/42	眼の製作（人間用の義眼Ａ６１Ｆ２／１４）
A63H3/44	人形の髪またはかつら；まつ毛；まゆ毛（人間用の，かつら，まつ毛，まゆ毛Ａ４１Ｇ）
A63H3/445	｛まつげ；眉毛｝
A63H3/46	手足の連結部
A63H3/48	人形への部品のとりつけ，例．自動の眼　｛アニメーション用の部品（自分で動くものＡ６３Ｈ１３／００）｝
A63H3/50	人形または動物玩具のための台わく，台，または車輪
A63H3/52	人形の家，家具，またはその他の装備品　｛（液体の流れを模したものＡ６３Ｈ３３／３０２２）｝；人形の被服類（人形の履物Ａ４３Ｂ３／２８）
A63H5/00	音響上以外の付加的玩具効果を有する音楽または騒音発生装置（音楽こまＡ６３Ｈ１／２８；　｛音を発する人形Ａ６３Ｈ３／２８；音楽乗物玩具Ａ６３Ｈ１７／２６８；音響車両信号装置Ａ６３Ｈ１７／３２；汽笛機関車玩具装置Ａ６３Ｈ１９／１４｝；音楽，サウンドまたはノイズ生成装置一般Ｇ１０）
A63H5/04	起爆薬なしで作動するピストルまたは機関銃；クラッカー　｛（クラッカーボンボンＡ６３Ｈ３７／００）｝
A63H7/00	使用者によって導かれまたは推進される形象玩具
A63H7/02	押したりまたは引いたりするもの
A63H7/04	乗物玩具と一緒に動くもの　｛または車輪と一緒に地面を転がるもの，すなわち乗物または車輪により駆動されるもの｝
A63H7/06	回転部材で形成された足を有するもの
A63H9/00	人形，動物玩具，形象玩具，またはそれらの部品を製作するための特殊な方法または組成物
A63H11/00	自動式形象玩具
A63H11/02	偏心のおもりを回転することによってつくられる振動で動くもの
A63H11/04	上下動するのぼり形象
A63H11/06	飛び上がり玩具
A63H11/08	とんぼ返りをする玩具
A63H11/10	床上を動くとき，形象が実物そっくりに走る動作をするように，一軸または多軸の下部構造を備えた形象玩具
A63H11/12	動くときに揺動する形象を有する車輪付玩具
A63H11/14	ジヤイロスタットの効果によってバランスを保ち機械的に動かされる歩行形象玩具
A63H2011/16	亀のような動きをする複数対の足を持った動物玩具
A63H11/18	実際的な歩行運動をする形象玩具
A63H11/20	数対の足を有するもの，例．馬
A63H11/205	｛亀のような動作をするもの｝
A63H13/00	全体として玩具の動きを有する有しないにかかわらず，自動の部分を有する形象玩具
A63H13/005	｛自動的に動く頭または顔立ちを有するもの（表情の選択を有するものＡ６３Ｈ３／３６５；動く目玉Ａ６３Ｈ３／４０）｝
A63H13/02	実物の動きに似せたもの，例．ねこがねずみを捕えるもの，動物をけとばすもの
A63H13/03	卵を生む動物玩具
A63H13/04	演者または作業者の動作に似せた機械的形象玩具
A63H13/045	｛サーフィンを模したもの｝
A63H13/06	ボクシングまたは格闘に似せたもの
A63H13/08	軍隊の演習を演ずることができるもの
A63H13/10	矢またはその他の飛道具を射るもの
A63H13/12	体操または曲芸をする形象玩具
A63H13/14	なわとび形象玩具
A63H13/15	絵を画いたり字を書く真似をするもの（変り絵または隠し絵Ｂ４４Ｆ１／１０）
A63H13/16	ビックリ箱
A63H13/18	ゆりいす玩具；揺動形象玩具
A63H13/20	動く形象を有する回転木馬玩具；動く形象を有する祭または類似のものの模型玩具　｛（Ａ６３Ｈ７／０４が優先）｝
A63H15/00	その他の重力で動かされる形象玩具
A63H15/02	重力の作用で傾斜した道をよろめきながら下る形象人形
A63H15/04	重心上の一点の周りに揺動する形象玩具
A63H15/06	自力で起上がる玩具
A63H15/08	中にはめこまれた球によって動かされるとんぼ返り形象玩具
A63H17/00	乗物玩具，例．自走するもの；　｛（他の玩具に改造できるものＡ６３Ｈ３３／００３）；クレーン，ウインチまたは類似のもの；｝そのための付属品（遊戯者によって動かされる形象を有した交通ゲームＡ６３Ｆ９／１４）
A63H17/002	｛組み立てるための部品から製造されるもの｝
A63H17/004	｛スタントカー，例．前輪を持ち上げるもの，ロールオーバーまたは反転できる車両｝
A63H17/006	｛乗物玩具上のミサイル発射手段｝
A63H17/008	｛非動力乗物玩具の発射装置（軌道用の発進機構Ａ６３Ｈ１８／０２６；飛行機玩具用Ａ６３Ｈ２７／１４）｝
A63H17/02	衝突または激突の作用のもとで他の形に変えられるもの，例．模倣事故のための装置
A63H17/045	装甲車，特車または類似のもの
A63H17/05	トラック；貨物自動車
A63H2017/055	農業用に使用するためのもの
A63H17/06	傾く車体を有するもの
A63H17/08	機械的に上がるはしごを携帯するもの
A63H17/10	液体を輸送するためのタンクを携帯するもの
A63H17/12	起重機，巻上げ機または類似の装置を持つもの
A63H17/14	無端軌道自動車またはトラック
A63H17/16	乗る人を有する有しないにかかわらず，自転車の形態をしたもの
A63H17/18	三輪車，例．動く人形を有するもの
A63H17/21	形象を有する有しないにかかわらず，オートバイの形態をしたもの
A63H17/22	車輪によってまたは形象の動きによって動かされる運転形象を有するスクーター
A63H17/24	形象を有する有しないにかかわらず，そりまたは二連ぞりの形態をしたもの
A63H17/25	動く形象を有するその他の車輪付乗物　｛（乗物玩具と一緒に動く形象玩具，遊戯者によって誘導または推進されるものＡ６３Ｈ７／０４；車輪付き車台により駆動される自走式形象玩具Ａ６３Ｈ１１／１０）｝
A63H17/26	細部；付属品（駆動装置Ａ６３Ｈ２９／００）
A63H17/262	｛シャーシ；車輪の取り付け；車輪；車軸；懸架手段；車体部をシャーシに合わせること｝
A63H17/264	｛連結機構（模型鉄道車両Ａ６３Ｈ１９／１８）｝
A63H17/266	｛車輪で駆動される，形象玩具以外の可動部品｝
A63H17/268	｛音楽乗物玩具｝
A63H17/28	電気的点灯系
A63H17/30	方向指示器
A63H17/32	音または光による信号装置
A63H17/34	モーターの音を模倣するための装置
A63H17/36	乗物玩具のための方向変換装置
A63H17/38	手によって動かされるもの
A63H17/395	プログラムにより操縦されるもの
A63H17/40	障害物との衝突によって自動的に方向変換する乗物玩具
A63H17/42	自動停止またはブレーキ装置
A63H17/44	乗物玩具を収容するためのガレージ玩具；給油所
A63H18/00	玩具のためのハイウエイまたは軌道（鉄道Ａ６３Ｈ１９／３０；特殊な鉄道のためのものＡ６３Ｈ２１／００）；乗物と軌道間の特殊な相互作用によって走行するもの
A63H18/002	｛空気で動作する軌道システム，例．エアクッションを伴うもの｝
A63H18/005	｛レースの勝者を表示するための付属具，例．ラップカウンター，速度計｝
A63H18/007	｛振動によって駆動する車両｝
A63H18/02	軌道の構造または装置
A63H18/021	｛可撓性軌道；流体圧で作動する軌道｝
A63H18/023	｛軌道の制御手段，例．スイッチ（Ａ６３Ｈ１８／０２５が優先）｝
A63H18/025	｛車両による軌道部品の作動｝
