B	処理操作；運輸
B01	物理的または化学的方法または装置一般<br>以下に示す注は，分類表のこの部分での使用を助ける；これらは，いかなる場合にも修正して読むべきでない。<br>（１）このサブセクションにおいて，異なる材料，例．異なる物質，大きさ，または状態，に関する分離は次のサブクラスに優先的に分類される:<br>Ｂ０１Ｄ<br>Ｂ０３Ｂ，Ｂ０３Ｃ，Ｂ０３Ｄ<br>Ｂ０４Ｂ，Ｂ０４Ｃ<br>Ｂ０７Ｂ，Ｂ０７Ｃ<br>（２）これらのサブクラスの分類上の特徴は，以下のごとくである:<br>（ｉ）分離されるべき物質の物理的状態<br>（ｉｉ）採用される方法の原理<br>（ｉｉｉ）特別な種類の装置<br>これらの特徴の第１番目のものは，３つのグループに集められる６つの異なった観点を含んでいる。<br>（ａ）液体―液体または液体―気体および気体―気体<br>（ｂ）固体―液体または固体―気体<br>（ｃ）固体―固体<br>（３）これらのサブクラスは，以下の一般的規則に従って用いられる:<br>―Ｂ０１Ｄは，固体―固体以外の分離が関係するかぎり最も一般的なサブクラスとなる。<br>―固体から固体を分離する装置は，たとえその装置が空気力のもの，特に風力テーブルまたは風力ジグ，であってもその関係する工程が鉱山技術の意味で洗鉱に相当するものとみなされる場合はＢ０３Ｂに包含される。ふるいそれ自体はこのサブクラスには包含されず，たとえそれが湿式法に用いられても，Ｂ０７Ｂに分類される。乾式法による固体から固体を分離するすべての他の装置はＢ０７Ｂに分類される。<br>―もし，分離が，選別されるべき材料または物品のある特性を検出または測定した結果として起こるならば，それはＢ０７Ｃに分類される。<br>―また，同位元素の分離は，どのような方法または装置が用いられようとも，Ｂ０１Ｄ５９／００に分類することに注意すべきである。<br>液体／液体，液体／気体，または気体／気体の分離<br>方法<br>一般　Ｂ０１Ｄ<br>遠心力によるもの，遠心分離器または自由渦装置を用いるもの　Ｂ０１Ｄ<br>磁気または静電気効果を用いるもの　Ｂ０３Ｃ<br>装置<br>一般　Ｂ０１Ｄ<br>遠心力によるもの，遠心分離器または自由渦装置を用いるもの　Ｂ０４Ｂ，Ｂ０４Ｃ<br>磁気または静電気効果を用いるもの　Ｂ０３Ｃ<br>固体／液体または固体／気体の分離<br>方法<br>一般　Ｂ０１Ｄ<br>遠心力によるもの　Ｂ０１Ｄ<br>遠心分離器または自由渦装置を用いるもの　Ｂ０１Ｄ<br>磁気または静電気効果を用いるもの　Ｂ０３Ｃ<br>装置<br>一般　Ｂ０１Ｄ<br>遠心力によるもの　Ｂ０１Ｄ<br>遠心分離器または自由渦装置を用いるもの　Ｂ０４Ｂ，Ｂ０４Ｃ<br>磁気または静電気効果を用いるもの　Ｂ０３Ｃ<br>固体／固体の分離<br>方法<br>乾式法<br>一括分級一般　Ｂ０７Ｂ<br>個別分級　Ｂ０７Ｃ<br>篩にかけるもの，空気力分級　Ｂ０７Ｂ<br>風力テーブルまたは風力ジグを用いるもの　Ｂ０３Ｂ<br>磁気効果または静電気効果によるもの　Ｂ０３Ｃ<br>遠心力によるもの　Ｂ０７Ｂ<br>遠心分離器または自由渦装置を用いるもの　Ｂ０７Ｂ<br>湿式法<br>一般　Ｂ０３Ｂ<br>浮遊選別，差別沈降　Ｂ０３Ｄ<br>篩にかけるもの　Ｂ０７Ｂ<br>結合＝乾式法−湿式法　Ｂ０３Ｂ<br>固体／固体の分離<br>装置<br>乾式法<br>一括分級一般　Ｂ０７Ｂ<br>個別分級　Ｂ０７Ｃ<br>篩にかけるもの，空気力分級　Ｂ０７Ｂ<br>風力テーブルまたは風力ジグを用いるもの　Ｂ０３Ｂ<br>磁気効果または静電気効果によるもの　Ｂ０３Ｃ<br>遠心力によるもの　Ｂ０７Ｂ<br>遠心分離器または自由渦装置を用いるもの　Ｂ０４Ｂ，Ｂ０４Ｃ<br>湿式法<br>一般　Ｂ０３Ｂ<br>浮遊選別，差別沈降　Ｂ０３Ｄ<br>篩にかけるもの　Ｂ０７Ｂ<br>結合＝乾式法−湿式法　Ｂ０３Ｂ
B01B	沸騰；沸騰装置；｛蒸発；蒸発装置｝
B01D	分離（湿式法による固体と固体の分離Ｂ０３Ｂ，Ｂ０３Ｄ；風力ジグまたは風力テーブルによるものＢ０３Ｂ；他の乾式法によるものＢ０７；磁気または静電気による分離，高圧電界による分離Ｂ０３Ｃ；遠心分離機，渦装置Ｂ０４；液体含有物から液体を絞り出すためのプレスそれ自体Ｂ３０Ｂ９／０２；水の処理Ｃ０２Ｆ，例．イオン交換による軟化Ｃ０２Ｆ１／４２；｛ガスタービン設備における空気を取入れ浄化する装置Ｆ０２Ｃ７／０５｝；空気調和，空気加湿または換気におけるフィルターの配置または取り付けＦ２４Ｆ１３／２８）<br><br><u>注</u><br><br>１．このサブクラスは以下のものを包含する：<br>―蒸発，蒸留，晶析，ろ過，粉末の沈降，気体の洗浄，吸収，吸着；<br>―吸収または吸着の場合を除いた，分離に関係ないかまたはそれのみに制限されない類似の方法を含む。<br>２．このサブグラスにおいては，下記の用語または表現は以下に示す意味で用いる：<br>―ろ過および類似した用語は流体から固体を濾すことを含む。ろ過とは，通常，ろ過媒体を用いた処理である。；<br>―ろ過媒体は流体から固体をろ過するため用いられる多孔性物質または物質の多孔性配列である；<br>―ろ過体は媒体が取り外し自在にまたは永続的に取付けられる部品のほか，ろ過媒体の一部分であって，媒体の他の部分，末端のふた，外周の枠または端近の細片を含む。ただし，ハウジングは除く；<br>―ろ過装置のハウジングは流体を閉じこめる不浸透容器で，開放または閉鎖を問わず，その内部に１つ以上のろ過体またはろ過媒体を含み，または含むために設けられるものである；<br>―ろ過室はハウジング内の空間であり，ろ過体またはろ過媒体が入れられる。仕切りによって単一のハウジングが複数の室に分割されている；<br>―ろ過装置はハウジングと組み合わされたろ過体，清掃装置，モーターまたは類似の部品からなり，それらは装置の特殊な型を特徴づけている。ポンプまたはバルブのような付属装置はろ過装置内部にあるときはその部品と考えられる。粉砕機，混合機または非ろ過分離機のような類似または異なる単位操作を行なう付属装置は，ろ過装置内にあろうとなかろうと，その部品とは考えない。用語は例えば，ろ過機がその一部品にすぎない洗濯機のような装置にまでは及ばない。<br>３．乾燥または蒸発に用いる装置に関しては，クラスＦ２６が，このサブクラスに優先する。<br>４．グループＢ０１Ｄ５９／００は，このサブクラスの他のグループおよびクラスＢ０１の他のサブクラスに優先する。<br><br><u>警告</u><br><br>１．以下のＩＰＣグループはＣＰＣの分類表にはない。これらのグループに分類される主題事項は以下のグループに分類される：<br>B01D15/04 は B01J 39/00〜B01J 49/90 に分類される<br>B01D17/022 は B01D17/0202 に分類される<br>B01D17/025 は B01D17/0208 に分類される<br>B01D17/028 は B01D17/0211 に分類される<br>B01D17/032 は B01D17/0214 に分類される<br>B01D17/035 は B01D17/0205 に分類される<br>B01D17/038 は B01D17/0217 に分類される<br>B01D17/05 は B01D17/047 に分類される<br>B01D17/09 は B01D17/005 に分類される<br>B01D25/133 は B01D25/285 に分類される<br>B01D25/168 は B01D25/285 に分類される<br>B01D29/075 は B01D29/62，B01D29/76 に分類される<br>B01D29/37 は B01D29/336，B01D29/356 に分類される<br>B01D33/052 は B01D33/64 に分類される<br>B01D35/01 は B01D36/001 に分類される<br>B01D61/26 は A61M1/1656 に分類される<br>B01D61/34 は A61M1/16 に分類される<br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B01F	混合，例．溶解，乳化，分散（｛食品を調製するための種々の器具，例．混合のための家庭用機械，卵泡立器；クリームかきまぜ器Ａ４７Ｊ４３／００｝；ペイントの混合Ｂ４４Ｄ３／０６；｛放射線汚染物質の混合に特に適合する装置Ｇ２１Ｆ９／００８｝）<br><br><u>注</u><br><br>このサブクラスでは下記の用語または表現は以下に示す意味で用いる：<br>−混合は単一材料のカキマゼも包含する。<br><br><u>警告</u><br><br>１．以下のＩＰＣグループはＣＰＣ分類表にはない。これらのＩＰＣグループに関する主題事項は以下のグループに分類される：<br>Ｂ０１Ｆ１７／０２〜Ｂ０１Ｆ１７／５６はＢ０１Ｆ１７／００〜Ｂ０１Ｆ１７／００９２に包含される<br>２．このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B01J	化学的または物理的方法，例．触媒またはコロイド化学；それらの関連装置<br><br><u>注</u><br><br>１．このサブクラスにおいては，下記の用語または表現は以下に示す意味で用いる：<br>−固体粒子は，固体，半固体またはペースト状の触媒，反応体または不活性体のような粒子を包含する；<br>−流動化粒子は，流体流により上昇され，かく乱され，そして細分された固体粒子を意味する；<br>−流動床技術は，流体−固体接触技術であって，細分された固体粒子が流体の上昇流により上昇され，かく乱され，そして，該上昇流が流動化粒子の下部濃密層（該床）と上部希薄層とを形成するような流速をもつものを意味する；<br>−固体粒子の存在下での処理プロセスには，存在する固体粒子が，反応によって形成されたもののみであるようなプロセスは含まない。<br>２．このサブクラスでは，グループの範囲を正確に定義するために，科学文献および特許文献でしばしば使われる商品名が使用されている。<br><br><u>警告</u><br><br>１．以下のＩＰＣグループはＣＰＣ分類表にはない。これらのグループに分類される主題事項は，以下の各ＣＰＣグループに包含される：<br>Ｂ０１Ｊ３７／０２５はＢ０１Ｊ３７／０２に包含される<br>Ｂ０１Ｄ３２／００はＢ０１Ｊ２１／００−Ｂ０１Ｊ２９／９０，Ｂ０１Ｊ３３／００〜Ｂ０１Ｊ３８／７４に包含される<br>２．このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B01L	一般的に使用される化学または物理研究装置（医学および薬学用装置Ａ６１；工業用装置，または工業用装置に類似する構造および性能を有する研究装置は，工業用装置の関連するサブクラス，特にＢ０１およびＣ１２を参照；分離または蒸留装置Ｂ０１Ｄ；混合または攪拌装置Ｂ０１Ｆ；アトマイザーＢ０５Ｂ；｛振動装置，例．振動テーブル，｝ふるいＢ０７Ｂ；栓Ｂ６５Ｄ；一般的な液体の取扱いＢ６７；真空ポンプＦ０４；サイホンＦ０４Ｆ１０／００；タップ，止めコックＦ１６Ｋ；管，管継手Ｆ１６Ｌ；材料の調査または分析に特に適した装置Ｇ０１，特にＧ０１Ｎ；電気的または光学的装置はＧおよびＨセクションにおける関連したクラスを参照）<br><br><u>注</u><br><br>このサブクラスはもっぱら実験のみに使用されるか，またはその簡単な構造と用途のために工業用には適しないような実験装置のみを包含する。<br><br><u>警告</u><br><br>１．以下のＩＰＣグループはＣＰＣの分類表にはない。これらのＩＰＣグループに関する主題事項は以下のＣＰＣグループに分類される：<br>−Ｂ０１Ｌ３／１４はＢ０１Ｌ３／５０に包含される<br>２．このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B02	破砕，または粉砕；製粉のための穀粒の前処理
B02B	製粉のための穀粒の前処理；表面加工によって粒状果実を商品に精製すること（穀類から直接練り粉を作ることＡ２１Ｃ；穀類の保存または殺菌Ａ２３Ｂ；果実の洗浄Ａ２３Ｎ；麦芽の調製Ｃ１２Ｃ）<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B02C	破砕，または粉砕一般；穀粒の粉砕（｛家庭用の食料品粉砕用の道具または機械，例．コーヒーひき器および香辛料ひき器Ａ４７Ｊ４２／００；医療用モルタルＡ６１Ｊ３／０２；廃物およびゴミの機械的処理Ｂ０３Ｂ９／０６；粉砕によるモールド材料の調整Ｂ２２Ｃ５／０４｝；破砕，研磨または粉砕による金属粉の製造Ｂ２２Ｆ９／０４；｛粉砕によるプラスチックの回収Ｂ２９Ｂ１７／００；澱粉の製造における原料の破砕Ｃ０８Ｂ３０／０２製紙用打撃子Ｄ２１Ｄ１／０２；特に鉱山における輸送のための破砕装置Ｅ２１Ｆ１３／００２；スラグの破砕装置Ｆ２３Ｊ１／００；燃焼装置における燃料粉砕装置Ｆ２３Ｋ１／００；石炭を破砕するための家庭用装置Ｆ２４Ｂ１５／０２；氷粉砕装置Ｆ２５Ｃ５／０２｝）<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
B03	液体による，または，風力テーブルまたはジグによる固体物質の分離；固体物質または流体から固体物質の磁気または静電気による分離，高圧電界による分離
