B03C1/00	磁気分離
B03C1/002	｛高勾配磁気分離｝
B03C1/005	磁気分離に特に適合した前処理
B03C1/01	磁気補助剤の添加によるもの
B03C1/015	分離すべき物質に磁気特性を付与する化学的処理によるもの，例．焙焼，還元，酸化
B03C1/02	分類される物質に直接作用するもの
B03C1/021	マイスナー効果を利用する分離，すなわち，磁界における超伝導粒子の偏向
B03C1/023	ローレンツ力を利用する分離，すなわち，磁界における荷電粒子の偏向
B03C1/025	高勾配磁気分離装置
B03C1/027	往復運動する小型金属容器を有するもの
B03C1/029	円運動をするマトリックスまたはマトリックス要素を有するもの（マトリックス要素Ｂ０３Ｃ１／０３４）
B03C1/03	回転するもの，例．円型コンベヤ型 
B03C1/031	構成部品；補助的操作
B03C1/032	マトリックス洗浄装置
B03C1/033	磁気回路に特徴のあるもの
B03C1/0332	｛永久磁石を使用するもの｝
B03C1/0335	｛コイルを使用するもの｝
B03C1/0337	｛超伝導性｝
B03C1/034	マトリックス要素に特徴のあるもの
B03C1/035	開放勾配型磁気分離装置，すなわち間隙をさえぎるものがなく，間隙の形状に特徴のある分離装置
B03C1/0355	超伝導コイルを用いるもの
B03C1/04	盆または盤状の材料搬送装置を有するもの
B03C1/06	作動中動く磁石を有するもの
B03C1/08	固定磁石を有するもの
B03C1/10	円筒状の材料搬送装置を有するもの（Ｂ０３Ｃ１／２４７が優先）
B03C1/12	作動中動く磁石を有するもの；可動磁極片を有するもの
B03C1/14	固定磁石を有するもの
B03C1/145	｛回転する環状または円盤状の材料搬送装置を有するもの｝
B03C1/16	ベルト状の材料搬送装置を有するもの
B03C1/18	作動中動く磁石を有するもの
B03C1/20	ベルト状であるもの，例．交さベルト型
B03C1/22	固定磁石を有するもの
B03C1/23	材料が振動磁界によって搬送されるもの；材料が移動磁界によって搬送されるもの，例．固定磁石コイルによって発生されるもの；渦電流分離装置，例．スライディング傾斜路
B03C1/24	材料が移動磁界によって搬送されるもの
B03C1/247	回転磁気ドラムにより得られるもの
B03C1/253	リニアモーターにより得られるもの
B03C1/26	材料を自由に落下させるもの（Ｂ０３Ｃ１／０３５が優先）
B03C1/28	磁気栓および浸漬棒
B03C1/282	｛堆積物表示器を有するもの，例．ホールセンサー｝
B03C1/284	｛洗浄手段を有するもの，例．引込み式非磁気スリーブ｝
B03C1/286	｛容器の内周に配置されるもの，例．磁気ドレンボルト｝
B03C1/288	｛容器の外周に配置されるもの｝
B03C1/30	他の装置との組合せであって他に分類されないもの
B03C1/32	分離される物質を含む媒体に作用するもの，例．磁石式比重分離，磁石式静水力学的分離，または磁石式流体力学的分離｛（重液または懸濁液を用いる浮沈分離Ｂ０３Ｂ５／３０）｝
B03C3/00	気体または蒸気，例．空気，からの分散粒子の静電力による分離｛（機械または内燃機関からの排気と組み合わせた静電分離器の使用Ｆ０１Ｎ３／０１）｝
B03C3/01	静電沈降における気体の前処理
B03C3/011	前ろ過；流量制御
B03C3/013	化学的添加物により調整するもの，例．ＳＯ３による調整
B03C3/014	水の添加；熱交換，例．凝縮による
B03C3/016	音響エネルギーまたは電磁気エネルギーによるもの，例．紫外線
B03C3/017	静電分離と他の方法との組合せで，他に分類されないもの
B03C3/0175	｛電界による粒子の凝集，例．塊状集積｝
B03C3/019	ガスの後処理
B03C3/02	外部電源を有するプラントまたは装置（電極構造Ｂ０３Ｃ３／４０）
B03C3/025	｛静電分離器の組み合わせ，例．並列または直列接続，積層分離器，湿式／乾式分離器の組み合わせ｝
B03C3/04	乾式
