B26B1/00	調整可能な刃をもった手持ちナイフ；ポケットナイフ（Ｂ２６Ｂ１１／００が優先）
B26B1/02	枢着された刃をもつもの
B26B1/04	調整した位置に固定できるもの
B26B1/042	
B26B1/044	
B26B1/046	
B26B1/048	
B26B1/06	ゆるく挿入されたバネをもつもの
B26B1/08	滑動する刃をもつもの　｛（取はずしのできる刃をもつものＢ２６Ｂ５／００１）｝
B26B1/10	柄
B26B3/00	固定した刃を持った手持ちのナイフ　｛（柄，柄の取付けＢ２５Ｇ）｝
B26B3/02	テーブルナイフ（Ｂ２６Ｂ９／０２が優先）
B26B3/03	一つずつ薄片に切断するために特別に適応させたもの
B26B3/04	同時に複数の切込みを行うためのもの；多数刃ナイフ
B26B3/06	スカウト型ナイフまたはそれに類似したさやのナイフ（そのためのさやＢ２６Ｂ２９／０２）
B26B3/08	板紙，または壁，床，または同様の被覆材料を切断するために特別に適応させたもの
B26B5/00	一個または複数個の分離できる刃をもった手持ちナイフ
B26B5/001	｛刃が使用する直前に柄から滑り出るもの｝
B26B5/002	
B26B5/003	
B26B5/005	｛板紙，または壁，床または類似の被覆材料を切断するために特別に適応させたもの｝
B26B5/006	｛刃としてかみそり刃を使用するために特に適応させたもの（Ｂ２６Ｂ５／００１が優先）｝
B26B5/007	｛一つずつ薄片に切断するためのもの｝
B26B5/008	｛同時に複数の切込みを行うためのもの；立方体を切断するためのもの｝
B26B7/00	モータ駆動の往復運動する刃をもつた手持ちナイフ
B26B7/005	
B26B9/00	手持ちナイフ用の刃
B26B9/02	切刃の形状，例．波形，を特徴とするもの
B26B11/00	他の道具と結合している手持ちナイフ，例．コルク抜きをもつもの，はさみをもつもの，筆記具をもつもの（結合した食卓用具Ａ４７Ｇ２１／０６）
B26B11/001	
B26B11/003	
B26B11/005	
B26B11/006	
B26B11/008	
B26B13/00	手持ちせん断機；はさみ
B26B13/005	｛ポケットはさみまたは折りたたみはさみ｝
B26B13/02	鋳造した刃をもつもの
B26B13/04	取はずしのできる刃をもつもの
B26B13/06	刃の形状を特徴とするもの
B26B13/08	刃の面に波形または歯形の切刃をもつもの
B26B13/10	波形，ジグザグ形，またはそれに類似した切断を行うためのもの
B26B13/12	柄の形状を特徴とするもの
B26B13/14	柄に把持用の彎曲をもたないもの
B26B13/16	バネが負荷されたもの，例．刃または柄を動かなくするための装備をもつもの
B26B13/18	接合部のないもの，すなわち弾性部材で相互に連結された刃をもつもの
