B27M1/00	サブクラスＢ２７ＢからＢ２７Ｌに分類されない木材の加工，例．引張りによるもの
B27M1/003	｛機械的表面処理｝
B27M1/006	｛深い切込みによる含浸処理のためのもの｝
B27M1/02	圧搾によるもの
B27M1/04	打ち抜きによるもの
B27M1/06	燃焼または黒焦げにするもの，例．加熱線による切断（表面処理Ｂ４４Ｂ）　｛加熱工具による合成材料の切断３９ＣＣ１Ｂ，Ｂ２６Ｆ３／０６からＢ２６Ｆ３／１２｝
B27M1/08	多段階の工程によるもの
B27M3/00	特定の半仕上または仕上製品の製造または修理（倣い装置の形状Ｂ２３Ｑ；合板またはベニヤの製造，合板またはベニヤから製品の製作Ｂ２７Ｄ；合板用中心層の製造Ｂ２７Ｄ１／０６；くぎ打ちまたはステープル打ち機一般Ｂ２７Ｆ７／００；たる製造または車輪製造用部材のものＢ２７Ｈ）　｛そのためのプレス機Ｂ２７Ｄ３／００｝
B27M3/0006	｛取付物を穴の中に固定する装置｝
B27M3/0013	｛合成物または化合物（突板またはベニヤ板の加工Ｂ２７Ｄ）｝
B27M3/002	｛その端部で接続された長方形の部材に特徴のあるもの（Ｂ２７Ｍ３／００６が優先）｝
B27M3/0026	｛横に接続された長方形の部材に特徴のあるもの（Ｂ２７Ｍ３／００６が優先；針金で接続された棒よりなるフェンスその他同類のものを作成Ｂ２１Ｆ２９／０２；ストランドまたは撚線で接合したとうまたは類似の材料Ｂ２７Ｊ１／００６）｝
B27M3/0033	｛各々が類似の製品と共に用いられ，また各々が時間差をつけ類似の機能をする複数のクランプによるもの｝
B27M3/004	｛くぎ，ステープルまたはネジによるもの｝
B27M3/0046	｛ロッドまたは固定用ワイヤによるもの｝
B27M3/0053	｛接着剤を使用するもの｝
B27M3/006	｛その横方向両端に接続された長方形の部材に特徴のあるもの｝
B27M3/0066	｛さねはぎ継ぎまたはタップ穴接合に特徴のあるもの｝
B27M3/0073	｛くぎ打ち，ステープル打ちまたはネジ止め接合に特徴のあるもの｝
B27M3/008	｛棒材またはグリル接合に特徴のあるもの｝
B27M3/0086	｛接着剤を用いた接着に特徴のあるもの｝
B27M3/0093	｛組立パネル，すなわち特定の形状表面を持つパネル｝
B27M3/02	屋根部材，例．屋根板
B27M3/04	床張り部材，例．寄木張り板（他の材料の裏打ちによる木製要素の組立Ｂ３２Ｂ，　｛例．Ｂ３２Ｂ３１／００Ｆ４(ＥＣＬＡ)，Ｅ０４Ｆ１５／１６；家具接合部Ｆ１６Ｂ１２／００｝）
B27M3/06	寄木張り板を組合せまたは接合することにより組立てた床板それ自体
B27M3/08	特定形状の木製木ずりまたは帯状物　｛突板で成形品を覆うものＢ２７Ｄ１／０８｝
B27M3/10	プロペラ板　｛プロペラ羽根のフライス削り４９ＢＢ１５Ａ，Ｂ２３Ｃ３／１６｝
B27M3/12	木さく，階段，階段のがわげた，はしごまたはそれらの部品
B27M3/14	鉄道のまくら木
B27M3/16	工具の柄または工具，例．木製のつち
B27M3/18	家　具　｛または扉のもの（Ｂ２７Ｄ５／００３が優先）｝
B27M3/20	靴型；靴，例．木ぐつ；靴の部品，例．かかと
B27M3/22	運動具，例．ボーリングのピン，テニス用ラケットの枠，スキー，かい
B27M3/24	家庭用器具，例．スプーン，えもん掛け，洋服掛けくぎ
B27M3/26	喫煙用具，例．パイプ
B27M3/28	合せくぎまたはボルト　｛木ネジＢ２３Ｇ｝
B27M3/30	糸　巻
B27M3/32	先き細の棒，例．鉱山の支柱
B27M3/34	柔かにしなければ充分に曲げられない木材または同質の材料のケース，トランクまたは箱（くぎ打ちまたはステップル打ち加工一般Ｂ２５Ｃ，Ｂ２７Ｆ；板紙，紙，または類似の方法で加工できる材料Ｂ３１Ｂ）　｛そのためのクリートの製造（管，木篭または樽の製造Ｂ２７Ｄ１／００，Ｂ２７Ｄ１／０８；溝付きパネルの巻締めによるものＢ２７Ｇ５／００）｝
B27M3/36	材料を一緒に装着するための機械および装置，例．針金で結束する箱を製作するためのもの　｛針金で結束する木製チューブの製作Ｂ２７Ｈ５／０２｝
B27M3/38	ステッキまたは傘の棒状部材
