B41B1/00	手組用要素あるいは用具；チエース，クオインあるいはゲラ
B41B1/02	活字
B41B1/025	｛ラテン語のアルファベット用には使用しない｝
B41B1/04	クワタ:スペースまたは他のジョス
B41B1/06	特殊目的用
B41B1/08	最新ニュースの挿入用
B41B1/10	広告の挿入用
B41B1/12	楽譜の設定用
B41B1/14	けい線，例．真ちゅう製のもの
B41B1/16	インテル
B41B1/18	チェース
B41B1/20	クオインまたは他の結合用具
B41B1/22	植字台；活字ケース；収蔵キャビネット；そのための洗浄または清掃装置
B41B1/24	洗浄または清掃装置
B41B1/26	ステッキ
B41B1/28	ゲラ
B41B3/00	既製活字を使用した機械的植字用装置，例．鋳造装置のないもの
B41B3/02	単一活字または連結活字を使用し，そのためのスライドマガジンを有する機械的植字機，例．フラット状，シリンダー状，放射状，または単一なマガジン
B41B3/04	解版用装置
B41B3/06	行そろえ装置
B41B5/00	活字または行製造用装置（機械的植字用Ｂ４１Ｂ７／００，Ｂ４１Ｂ９／００，Ｂ４１Ｂ１１／００）
B41B5/02	母型
B41B5/04	鋳造装置
B41B5/06	機械的に操作されるもの
B41B5/08	工具または補助装置
B41B5/10	活字の磨きまたは仕上げをするためのもの（研摩一般Ｂ２４Ｂ）
B41B5/12	行の形で活字製造するためのもの，例．引張りまたは鋳造によるもの
B41B5/14	スペース断裁機
B41B7/00	活字が母型から鋳造または成形される機械的植字用装置の種類または型式
B41B7/02	固定された組合せ母型を操作するもの（細部Ｂ４１Ｂ９／００）
B41B7/04	個々の文字またはスペース鋳造用，例．モノタイプ機
B41B7/06	母型の完全な行の植字，行そろえおよび鋳造するためのもの，例．モノライン装置
B41B7/08	選択および組合された個々の文字またはスペース用に分離母型を操作するもの（細部Ｂ４１Ｂ１１／００）
B41B7/10	母型が１行に組まれて，単一活字またはスペースが鋳造されるもの，例．ストリンガー型
B41B7/12	母型が行そろえされた１行に組まれて，活字の１行が１個として鋳造されるもの
B41B7/14	手組みされる母型
B41B7/16	機械操作により母型の行が植字，行そろえされるもの，例．ライノタイプ，インタータイプ機
B41B7/18	ワイヤーによって案内される母型，例．タイポグラフ機
B41B9/00	活字が鋳造される固定組合せ母型を使用する機械的植字用装置の細部または付属装置
B41B9/02	組合せ母型
B41B9/04	組合せ母型用担体，例．ブロック，円筒，車輪，バー
B41B9/06	文字またはスペース選択用の母型担体および鋳型の相対運動を生じさせる機構
B41B9/08	鋳造装置
B41B9/10	鋳　型
B41B9/12	行そろえ装置
B41B9/14	湯を供給する装置
B41B9/16	鋳造後の活字処理用装置
B41B9/18	放出機構
B41B9/20	縁削り装置
B41B11/00	活字鋳造用に選択および組合された個々の文字用母型を使用した機械的植字用機械の細部または付属装置
B41B11/02	母　型
B41B11/04	スペースバンド
B41B11/06	母型またはスペースバンド用収蔵装置
B41B11/08	母型用マガジン
B41B11/10	手組用のもの
B41B11/12	機械に対するマガジンの固定装置；マガジン選択またはマガジン入れ換え機構（選択または入れ換え制御Ｂ４１Ｂ２７／４２）
B41B11/14	エスケープ装置をもつもの
B41B11/16	スペースバンド用箱；スペースバンド取りはずし用のエスケープまたはガイド
B41B11/18	母型およびスペースバンド組立用の装置（そのための制御装置Ｂ４１Ｂ２７／４４）
B41B11/20	組立案内溝
B41B11/22	組立おおい板または骨組
B41B11/24	組立ガイドと協同するベルトコンベアー
B41B11/26	スペースバンドを母型と組合うように供給またはガイドする装置
B41B11/28	母型およびスペースバンド用の星形車または他の積重ね装置；それらと組合さったガイド
B41B11/30	組立エレベータ，あるいは組合せ機構，例．制動装置，止づめ，並び線の保持，送出しスライド
B41B11/32	移動溝または並び線―送出し車
B41B11/34	第一番エレベーターまたは組合せ機構
B41B11/36	母型またはスペースバンドを直接鋳型に提供するもの
B41B11/38	母型の並び線およびスペースバンドを，整列または締付けるための装置
B41B11/40	口締金；そのための操作装置
B41B11/42	込めるためまたは中心に集めるためのもの
B41B11/44	行そろえ用のもの
