B41N1/00	印刷版またはフォイル；その材料
B41N1/003	｛インク不粘着剤または不粘着剤の形成手段，例えば，不粘着剤シロキサンまたはフルオロ化合物，を有するもの，例．乾式平版印刷のためのもの｝
B41N1/006	｛天然の石または金属以外の無機材料によりすべてが作られるもの，例．セラミック，炭化物材料，強誘電性材料｝
B41N1/02	石
B41N1/04	金属
B41N1/06	凸版印刷または凹版印刷用
B41N1/08	平版印刷用　｛（Ｂ４１Ｎ１／００３，Ｂ４１Ｎ３／０３が優先；画像形成層の組成物Ｂ４１Ｃ１／１０）｝
B41N1/083	｛アルミニウムまたはアルミニウム合金から作られるもの，または，そのような表面層を有するもの（Ｂ４１Ｎ１／０８６が優先）｝
B41N1/086	｛紙またはプラスチックの支持体に薄板にされたもの｝
B41N1/10	多層
B41N1/12	石以外の非金属，　｛例．有機マトリックス中に無機材料を含む印刷板またはフォイル（Ｂ４１Ｎ１／００３，Ｂ４１Ｎ１／００６が優先）｝
B41N1/14	平版印刷フォイル　｛（Ｂ４１Ｎ１／００３，Ｂ４１Ｎ３／０３が優先；画像形成層の組成物Ｂ４１Ｃ１／１０）｝
B41N1/16	わん曲印刷版，特にシリンダー　｛（Ｂ４１Ｎ１／００３，Ｂ４１Ｎ１／００６が優先）｝
B41N1/18	石から成るもの
B41N1/20	金属から成るもの　｛または類似の無機化合物，例．プラズマ被覆されたセラミック，炭化物｝
B41N1/22	他の物質から成るもの
B41N1/24	ステンシル；ステンシル材料；その支持体（事務用または他の商業用孔版印刷装置Ｂ４１Ｌ１３／００）
B41N1/241	｛接着材により特徴付けられるもの｝
B41N1/242	｛裏紙；表紙；差込みシート，例．クッションシート；離層または被覆；対比画像を得るための手段，例．カーボンシートまたは被覆を有するもの｝
B41N1/243	｛インク透過性シート，例．吉野和紙，により特徴付けられるもの｝
B41N1/245	｛熱穿孔可能な高分子フィルムにより特徴付けられるもの，熱吸収手段，またはそのための被覆の除去｝
B41N1/246	｛導電手段または添加剤により特徴付けられるもの｝
B41N1/247	｛メッシュ，ガーゼ，織布または類似のスクリーン材料；そのための調製，例．プラズマ処理によるもの｝
B41N1/248	｛機械的細部，例．固定孔，補強またはガイド手段；穿孔線；インク保持手段；目視またはそれ以外の検出マーキング手段；ステンシルユニット｝
B41N3/00	印刷版の使用準備および保存
B41N3/003	｛凹版用，例．既に刻印された板または円筒上における，クロムなどの対摩擦被覆の適用；再使用のための準備，例．バラードシェルの除去；刻印の訂正｝
B41N3/006	｛凹版以外の印刷版のクリーニング，洗浄，すすぎ，再生（Ｂ４１Ｎ３／０６が優先）｝
B41N3/03	化学的または電気的前処理
B41N3/032	｛レーザ，アークまたはプラズマ手段による砂目立｝
B41N3/034	｛アルミニウム支持体の電気化学的処理に特徴付けられるもの，例．陽極酸化，電気的な砂目立；陽極酸化された層の密封；無機化合物による陽極層の処理；陽極層の着色｝
B41N3/036	｛高分子親水性被膜の存在により特徴付けられるもの｝
B41N3/038	｛クロム化合物，ケイ素化合物，リン化合物またはＩＶＢ族の金属化合物を用いる処理；有機金属化合物の加水分解により得られる親水性被覆｝
B41N3/04	機械的手段による砂目立または研磨（化学的砂目立Ｂ４１Ｎ３／０３）
B41N3/06	洗浄剤を使用するもの
B41N3/08	湿し；平板印刷版の中和化処理または類似の差異化処理；　｛流体の調整または除去（銀塩を含む材料の処理Ｇ０３Ｆ７／０６３）｝
B41N6/00	台付板；メイクレディ装置，例．下張り紙，上張り紙；化学的手段により取付けるもの，例．硬化
B41N6/02	台付板上へ印刷版を固定する化学的手段
B41N7/00	印刷機のローラー用シエル
B41N7/005	｛組成物の被覆；成形；再生；仕上げ；トリミング｝
B41N7/02	レザー
B41N7/04	湿しローラー用
B41N7/06	インキ付けローラー用
B41N10/00	ブランケットまたは類似の被覆；凹版印刷用ワイパーのための被覆（凹版印刷用ワイパーＢ４１Ｆ９／０８）
B41N10/005	｛ワイパー用被複｝
B41N10/02	ブランケット構造
B41N10/04	多層
B41N10/06	支持体への固定または位置選定を容易にするもの
B41N11/00	鉛版用紙型
B41N99/00	このサブクラスの他のグループに分類されない主題事項
B41N2207/00	
B41N2207/02	
B41N2207/04	
B41N2207/06	
B41N2207/10	
B41N2207/12	
B41N2207/14	
B41N2210/00	
B41N2210/02	
B41N2210/04	
B41N2210/06	
B41N2210/10	
B41N2210/12	
B41N2210/14	
