B42P2201/00	特殊な書類または特殊な目的のための本またはファイリング用具
B42P2201/02	写真文書用，例．印刷物，ネガシート
B42P2201/04	有価証券用，例．債券，紙幣，株券
B42P2201/06	綴じ込みカード用
B42P2201/08	文房具用，例．筆記用紙，封筒
B42P2201/10	大型文書用，例．図面，青写真
B42P2201/12	郵送用，輸送用，書類の発送用
B42P2221/00	付加装置を有する本またはファイリング用具
B42P2221/02	表示手段を有するもの
B42P2221/04	索引手段を有するもの
B42P2221/06	情報搬送手段を有するもの，例．広告
B42P2221/08	においまたは芳香を有するもの
B42P2221/10	シートを挿入するための道具を有するもの，例．ポケットに入れるラベル
B42P2241/00	本またはファイリング用具のための部品，細部または付属品
B42P2241/02	締め具；閉鎖具
B42P2241/04	帯様または細長い帯様の締め具，例．結び紐
B42P2241/06	取手；把持手段
B42P2241/08	鉤爪，リングまたは類似物のようなファイリング手段と協働可能な穿孔または細孔
B42P2241/10	吊り下げ用手段
B42P2241/12	装置を直立に位置することを可能にするための手段
B42P2241/14	隣接装置を接続するための手段
B42P2241/16	他の物品と結合した本またはファイリング用具
B42P2241/18	筆記具を有するもの
B42P2241/20	保護；補強；変形防止
B42P2241/22	プリンターへ簡単に供給することのできる付加手段を備えたシートまたはカード
B42P2241/24	積載または包装を容易にするための手段
B42P2241/26	環境的観点
B42P2241/28	材料，例．生物分解性
B42P2241/30	リサイクルのために容易に取り外し可能なもの
B42P2261/00	製造；形成
B42P2261/02	まちの形成
B42P2261/04	注文に従ってシートを印刷することによる製本，例．インターネット経由による注文用
