B43M1/00	書類へのシールの取付け（打出しダイスＢ４４Ｂ；紋章それ自体Ｇ０９Ｆ３／００）
B43M1/02	封ろうホルダー
B43M3/00	封筒内に書類を差入れるためのもの（書類の差入れと閉封を兼ねたものＢ４３Ｍ５／００）
B43M3/02	書類折り曲げ手段を備えたもの（Ｂ４３Ｍ３／０４が優先）
B43M3/04	自動的なもの
B43M3/045	｛ただ１つの垂れ蓋を有する封筒用｝
B43M5/00	封筒を閉じるためのもの
B43M5/02	封筒の蓋片に粘着ゴムを塗って手で封を閉じるためのもの
B43M5/025	｛携帯手動具｝
B43M5/04	自動的なもの
B43M5/042	｛ただ１つの垂れ蓋を有する封筒用｝
B43M5/045	｛感熱接着剤を用いるもの｝
B43M5/047	｛感圧性接着剤を用いるもの｝
B43M7/00	封筒を開くためのもの（切断具一般Ｂ２６）
B43M7/001	｛磨耗または鋸状ホイールを有するもの｝
B43M7/002	｛手動具｝
B43M7/004	｛非機械的手段を含むもの｝
B43M7/005	｛少なくとも２つの切断円板を有するもの｝
B43M7/007	｛切削刃を有するもの｝
B43M7/008	｛円筒状カッターを有するもの｝
B43M7/02	開封し中味を取出すためのもの
B43M9/00	ぶんちん
B43M11/00	事務室のまたは個人用のインク以外の液体を表面に接触させることにより用いる机上具，例．のり用のもの（封筒閉じ具を持つものＢ４３Ｍ５／０２；ブラシ受けＡ４６Ｂ１１／００；表面に液体または流動体を作用させる装置一般Ｂ０５Ｃ；液体容器Ｂ６５Ｄ）
B43M11/02	ローラをもつもの
B43M11/04	パッドをもつもの（Ｂ４３Ｍ１１／０６が優先）
B43M11/06	保持具
B43M11/08	万年筆型のもの
B43M11/085	｛ボールペン先を有するもの｝
B43M13/00	物品に証紙を付設する様調整されたものであって，機構を有しない一枚毎の証紙配布機（手で操作するラベル，スタンプの押し具Ｂ６５Ｃ１１／００）
B43M15/00	製図用ピン，画鋲（抜取器Ｂ２５Ｃ１１／００）
B43M2017/00	他の机上付属具
B43M99/00	このサブクラスの他のグループに分類されない主題事項
B43M99/001	｛デスクセット（インクスタンドを有するものＢ４３Ｌ２７／０２）｝
B43M99/002	｛円筒形状の万年筆ホルダー（筆記具のためのホルダーＢ４３Ｋ２３／００）｝
B43M99/003	｛一つだけのホルダーを有するもの｝
B43M99/004	｛磁気保持手段を有するもの｝
B43M99/005	｛吸着保持手段を有するもの｝
B43M99/006	｛二つ以上のホルダーを有するもの｝
B43M99/007	｛円筒形状または中空の筆記点のペンのためのスタンド｝
B43M99/008	｛筆記具を保持するための机容器｝
B43M99/009	｛ペーパーチップディスペンサーまたはホルダー｝
