B60Y2200/00	車種
B60Y2200/10	道路走行用車両
B60Y2200/11	乗用車；自動車
B60Y2200/112	都市型車両，小型都市モーター車
B60Y2200/114	レーシング車両，例．フォーミュラワン，カート
B60Y2200/116	救急車
B60Y2200/12	オートバイ，トライク；四輪バギー；スクーター
B60Y2200/122	トライク
B60Y2200/124	バギー，四輪バギー
B60Y2200/126	スクーター
B60Y2200/13	自転車；三輪車
B60Y2200/132	不整地走行車
B60Y2200/134	レーシングバイク
B60Y2200/14	トラック；貨物車両，バス
B60Y2200/141	軽トラック
B60Y2200/142	重量トラック
B60Y2200/1422	多軸トラック
B60Y2200/143	バス
B60Y2200/1432	低床バス
B60Y2200/144	ゴミ収集車
B60Y2200/145	運搬車両，トレーラー
B60Y2200/146	サイロまたは流体運搬車両
B60Y2200/147	トレーラー，例．フルトレーラーまたはキャラバン
B60Y2200/148	セミトレーラー，関節付られた車両
B60Y2200/15	フォークリフトトラック，工業車両
B60Y2200/16	床またはシャシーを，例．荷積みを容易化するために，低下できる車両
B60Y2200/20	オフロード車両
B60Y2200/22	農業車両
B60Y2200/221	トラクター
B60Y2200/222	刈り取り機
B60Y2200/223	搭乗可能な芝刈り機
B60Y2200/224	ブーム保持車両，例．灌水用
B60Y2200/225	歩行型車両，例．動力手押し車両
B60Y2200/23	搭乗可能なゴルフカー
B60Y2200/24	軍用車（軌陸車Ｌ６０Ｙ２２０／５０，戦車Ｌ６０Ｙ２２０／５４）
B60Y2200/25	軌陸車
B60Y2200/252	スノーモービル
B60Y2200/254	戦車
B60Y2200/30	レールを走行する車両
B60Y2200/31	機関車
B60Y2200/33	レールカー；貨車
B60Y2200/34	モノレール
B60Y2200/37	ローラーコースター
B60Y2200/39	横方向安定性のための軌跡追従メカニズムを有するもの
B60Y2200/40	特別な車両
B60Y2200/41	建設車両，例．地ならし機，掘削機
B60Y2200/411	ブルドーザー，地ならし機
B60Y2200/412	掘削機
B60Y2200/413	圧縮機
B60Y2200/414	舗装機
B60Y2200/415	ホイールローダー
B60Y2200/416	クレーン
B60Y2200/417	関節フレームを有する車両
B60Y2200/42	水陸両用車両
B60Y2200/43	可変トラックまたはホイールベース車両
B60Y2200/44	独立して駆動または操向可能な車輪を持つ，多軸を有する長い車両
B60Y2200/45	垂直に運動するコラムにマウントされた操向可能な車輪を有する車両
B60Y2200/46	北極／地球圏外探検車
B60Y2200/47	登山車両，例．正面登山デバイス
B60Y2200/48	階段を登る車両
B60Y2200/49	可動プラットフォーム，荷物ランプ，例．作業プラットフォーム
B60Y2200/50	飛行機，ヘリコプター
B60Y2200/51	飛行機
B60Y2200/52	ヘリコプター
B60Y2200/60	産業上の利用，パイプ検査車両
B60Y2200/62	コンベヤ，フロアコンベヤ
B60Y2200/64	ホイストビーム
B60Y2200/66	容器；パレット；スキッド
B60Y2200/80	グループＢ６０Ｙ２２１０／１０〜Ｂ６０Ｙ２２００／６０に分類されないその他の車両
B60Y2200/81	おもちゃ
B60Y2200/83	ベビーカー
B60Y2200/84	車椅子
B60Y2200/86	カート；ゴルフカート
B60Y2200/90	電気原動機を有する車両
B60Y2200/91	電気自動車
B60Y2200/912	外部電力源から車両に給電される電気自動車，例．トローリーバスまたはトラム
B60Y2200/92	ハイブリッド自動車
