B61F1/00	台枠（鍛造またはプレス加工による鉄道車両の台枠の製造Ｂ２１Ｋ７／１２）
B61F1/02	中央に一本のはりをもつもの
B61F1/04	三角形状のもの
B61F1/06	特に機関車またはモーター駆動軌道車に用いられるもの
B61F1/08	細部
B61F1/10	端部の構造
B61F1/12	横はり
B61F1/14	車体構造の支持
B61F3/00	台車の形式（Ｂ６１Ｆ５／００が優先）
B61F3/02	２軸以上もつもの
B61F3/04	駆動軸，駆動車輪をもつもの
B61F3/06	３軸またはそれ以上もつもの
B61F3/08	駆動軸，駆動車輪がないもの
B61F3/10	３軸またはそれ以上もつもの
B61F3/12	連接列車の隣接した車体を支えるために特に修正したもの
B61F3/125	｛２以上の軸または車輪の組をもつもの｝
B61F3/14	空気抵抗を減じるために特に修正したもの
B61F3/16	各輪用離軸をもつもの
B61F5/00	台車構造の細部；台車と車両台枠との接続；曲線通過時に車軸または台車を調整するかまたは自動調整を可能にするための配置または装置
B61F5/02	車両台枠またはボルスタと台車間の横方向相対運動の制限許容装置；台枠と台車との接続
B61F5/04	ボルスタ支持または取付け（側受Ｂ６１Ｆ５／１４）
B61F5/06	金属性ばねを組みこんだもの
B61F5/08	ゴム性ばねを組みこんだもの
B61F5/10	流体性ばねを組みこんだもの
B61F5/12	ダンパを組みこんだもの
B61F5/122	｛摩擦面をもつもの｝
B61F5/125	｛ゴム性要素をもつもの（Ｂ６１Ｆ５／０８が優先）｝
B61F5/127	｛減衰媒体として流体をもつもの｝
B61F5/14	側受
B61F5/142	｛ゴム性要素，黒鉛または類似のもので作られたもの｝
B61F5/144	｛流体減衰装置からなるもの（Ｂ６１Ｆ５／１４６が優先）｝
B61F5/146	｛油槽式のもの；側受用の潤滑装置｝
B61F5/148	｛ボルスタレス台車と台枠との間のもの（Ｂ６１Ｆ５／１４２−Ｂ６１Ｆ５／１４６が優先）｝
B61F5/16	台枠とボルスタまたは台車間の心皿または他の回転連結
B61F5/18	心皿ピン
B61F5/20	横の動きを許容するばねをもつもの
B61F5/22	台車に関して車両台枠を案内するもの
B61F5/24	車両台枠の傾斜，ゆがみ，ピッチングまたは突進運動を最小にする方法
B61F5/245	｛能動的な制振，すなわち，特に高速域において，軌道または車両の誘導反応に従い減衰特性を変更する手段をもつもの｝
B61F5/26	車両または台車枠における軸箱の固定または取付け
B61F5/28	車両または台車枠に直接固定された軸箱全体
B61F5/30	車両または台車枠の弾性制御下の動きのための軸箱｛（Ｂ６１Ｆ５／３６がＢ６１Ｆ５／３０５−Ｂ６１Ｆ５／３４に優先）｝
B61F5/301	｛金属性ばねを組みこんだもの｝
B61F5/302	｛板ばね｝
B61F5/304	｛ねじり棒ばね｝
B61F5/305	｛ゴム性ばねを組み込んだもの｝
B61F5/307	｛流体性ばねを組みこんだもの｝
B61F5/308	｛制動装置を組み込んだもの｝
B61F5/32	案内装置，例．軸箱用板
B61F5/325	｛車軸の平行度を確保するための揺動アームまたは類似のものを含む案内装置｝
B61F5/34	台枠と車軸間の空隙の調節用くさび機構
B61F5/36	車輪またはばね上の負荷を調節または等しくするための装置，例．ヨーク
B61F5/38	曲線通過時の車軸または台車を調整または自動調整を可能にするための配列または装置，例．摺動軸，ゆれ軸
B61F5/383	｛機械的でない装置，例．軌道側の要素の照査，により制御される調整｝
B61F5/386	｛流体により作動されるもの｝
B61F5/40	長手方向の相対移動のための側枠をもつ台車
B61F5/42	緩衝器または連結装置による制御調節
B61F5/44	車体の運動による制御調節
B61F5/46	同じ車両台枠下の摺動軸による制御調節
B61F5/48	機関車または動力車用の牽引台車または先導台車（Ｂ６１Ｆ５／４０が優先）
B61F5/50	他の細部
B61F5/52	台車枠
B61F5/523	｛繊維補強母材で作られた部品からなるもの｝
B61F5/526	｛騒音低減装置からなるもの｝
B61F7/00	異なる軌間に使用するために装備される鉄道車両
B61F9/00	脱線防止装置に特徴のある鉄道車両，例．案内車輪を用いるもの
B61F9/005	｛機械的でない手段，例．音響または電磁装置，の使用によるもの｝
B61F11/00	車輪以外の装置による軌道との結合に特徴のある鉄道車両，例．ボールによるもの
B61F13/00	車輪装置に特徴のある鉄道車両で他に分類されないもの
B61F15/00	軸箱（軸箱の固定または取付Ｂ６１Ｆ５／２６；潤滑Ｂ６１Ｆ１７／００；軸受一般Ｆ１６Ｃ）
B61F15/02	ジャーナル軸受をもつもの
B61F15/04	機関車用のもの
B61F15/06	その他車両用のもの
B61F15/08	軸受において摺動または傾斜可能な車軸
B61F15/10	そのような運動に対向するばねをもつもの
B61F15/12	コロ，ニードル，球軸受をもつもの
B61F15/14	軸圧を取り去るための構造
B61F15/16	軸受において摺動または傾斜可能な車軸
B61F15/18	そのような運動に対向するばねをもつもの
