B62H1/00	車体の一部を形成するかまたはそれに取付られた自転車の支持具またはスタンド
B62H1/02	関節接合型スタンド，例．揺動アーム型のもの（Ｂ６２Ｈ１／１０が優先）
B62H1/04	後輪を完全に取囲んだ実質的にＵ字状スタンド
B62H1/06	伸縮型スタンド，例．望遠鏡型部材をもつもの（Ｂ６２Ｈ１／１０が優先）
B62H1/08	ペダル支持具
B62H1/10	安定乗車のための装置を含むもの（サイクリングのための練習用器具または装置　Ａ６３Ｂ６９／１６）
B62H1/12	付加車輪を用いるもの
B62H1/14	氷雪上を走行するための滑走部を用いるもの（氷雪上の走行を容易にする駆動輪をもった車両の滑走部　Ｂ６２Ｂ１９／００）
B62H3/00	自転車の駐車または貯蔵のための分離型支持または保持具（整備中に使用する自転車支持具Ｂ２５Ｈ；建物を利用するものＥ０４Ｈ）
B62H2003/005	｛自転車のレンタルのための手段に関連した支持具またはホルダー｝
B62H3/02	ハンドル杆または車体の上方部分を把持するための装置を含むもの
B62H3/04	車輪保持用の二又支持具またはブラケットを含むもの（Ｂ６２Ｈ３／０８が優先）
B62H3/06	折畳み用
B62H3/08	車輪の底部を取囲む凹部またはチャンネル型レールを含むもの
B62H3/10	車体の底部を取囲む二又支持具またはブラケットを含むもの
B62H3/12	吊懸装置
B62H5/00	自転車の不許可使用または盗難を防止したり表示する器具；自転車錠（一般車両の使用または盗難の防止または表示設備Ｂ６０Ｒ；一般的鎖錠装置Ｅ０５Ｂ）
B62H5/001	｛自転車で使用される部品又は付属品の盗難を防止するもの，例．　ランプ，ダイナモ　（Ｂ６２Ｈ５／００６が優先；　自転車にポンプを取り付ける装置　Ｂ６２Ｊ１１／０２）｝
B62H5/003	｛チェーン又はケーブルを使用するもの　（チェーン又はケーブル鎖錠装置そのもの　Ｅ０５Ｂ６７／００３；　警報機を持つもの　Ｅ０５Ｂ４５／００５）｝
B62H5/005	｛スタンドに作用するもの｝
B62H5/006	｛サドルに作用するもの｝
B62H2005/008	｛自転車のＵロックを支持するための装置または適用｝
B62H5/02	転向機構を鎖錠するもの
B62H5/04	ハンドル杆または同種のものに作用するもの
B62H5/06	前車輪のフォークまたはヘッドパイプに作用するもの
B62H5/08	走行不能にするもの（動力駆動装置に作用するものＢ６２Ｍ）
B62H5/10	ペダルクランクに作用するもの
B62H5/12	チェン車またはチエンに作用するもの
B62H5/14	車輪の回転を不能にするもの　｛Ｂ６２Ｈ５／００３が優先｝
B62H5/141	｛滑るボルトによるもの（移動できるもの　Ｂ６２Ｈ５／１４５）｝
B62H5/142	｛ボルトをピボット上に置く又はピボット上に置き滑らせることによるもの｝
B62H5/144	｛ペンチのようなもの　（ペンチのようなパドロック　Ｅ０５Ｂ６７／３２）｝
B62H5/145	｛移動可能なボルトによるもの，例．　Ｓｔｅｃｈｓｃｈｌｏｓｓ｝
B62H5/147	｛円形ボルトによるもの　（パドロック　Ｅ０５Ｂ６７／２８）｝
B62H5/148	｛ハブに作用するもの｝
B62H5/18	ブレーキ装置に作用するもの（自転車制動装置の作動機構の鎖錠装置　Ｂ６２Ｌ３／０６）
B62H5/20	不許可使用を表示するもの，例．信号装置に作用するもの　｛（警報鎖錠装置一般　Ｅ０５Ｂ４５／００，　例．　警報ケーブル又はチェーンロック　Ｅ０５Ｂ４５／００５）｝
B62H7/00	他に分類されない自転車練習装置，例．平衡を助けるもの
B62H2700/00	２輪車両用の支持装置またはスタンド
B62H2700/005	自転車ペダルに取り付けられるスタンドまたは支持装置，　旋錠装置に連携するスタンドまたは支持装置，荷物搬送具として用いられるスタンド
