B62J1/00	サドル、自転車またはモーターサイクル用のその他のシート；その配置；構成部品
B62J1/002	｛中央に空洞または凹部のある座部を備えたサドル｝
B62J1/005	｛複数に分かれた体重支持面のある座部を備えたサドル｝
B62J1/007	｛人体の構造に特別に適合するサドル｝
B62J1/02	フレームに弾性的に取付けられたサドル；それに関連する装置，例．スプリング
B62J1/04	水平ピボットの回りに旋回可能なサドル
B62J1/06	上下に平行に可動なサドル
B62J1/065	｛平行四辺形のリンクで支えられたサドル｝
B62J1/08	サドルのフレーム；サドルフレームとシートポストとの連結具；シートポスト（自転車フレームへのシートポストの取付けＢ６２Ｋ１９／３６）
B62J2001/085	｛シートの高さを変更するための，自転車のフレームから独立した機構をもつシートポスト｝
B62J1/10	サドルの内部調節機構
B62J1/12	ボックス形状のシート；ベンチタイプのシート，例．複座式シート
B62J1/14	分離した後部同乗者席
B62J1/16	子供用のもの
B62J1/162	｛モーターサイクルに特に適合されたチャイルドシート｝
B62J1/165	｛ハンドルバーに取り付け可能なチャイルドシート｝
B62J1/167	｛運転者用のサドルの前に取り付け可能なチャイルドシート｝
B62J1/18	サドルまたはその他のシート用カバー；パッド
B62J1/20	取外し自在のカバー；取外し自在のパッド
B62J1/22	はめ込み式パッドをもつカバー
B62J1/24	ねじれ式または曲げ式スプリングをもつパッド
B62J1/26	他の弾性材料をもつパッド，例．膨脹し得る区画室をもつスポンジラバー
B62J1/28	他の付加装置，例．子供用の背もたれ
B62J3/00	音警シグナル装置（不許可使用を表示するものＢ６２Ｈ５／２０）；自転車またはモーターサイクルに関連するこのような装置の配置<br><br><u>注</u><br><br>グループＢ６２Ｊ３／００は自転車での使用に特有のシグナルまたは照明装置に適合されたものに限定されていると理解される<br><br><u>警告</u><br><br>グループＢ６２Ｊ３／００はグループＢ６２Ｊ３／０２，Ｂ６２Ｊ３／０４，Ｂ６２Ｊ３／０６，Ｂ６２Ｊ３／０８，Ｂ６２Ｊ３／１０，Ｂ６２Ｊ３／１２，およびＢ６２Ｊ３／１４への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B62J3/02	機械式装置<br><br><u>警告</u><br><br>グループＢ６２Ｊ３／０２−Ｂ６２Ｊ３／０８はグループＢ６２Ｊ３／００からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B62J3/04	運転者によって作動されるもの，例．ベルまたはホーン
B62J3/06	自転車またはモーターサイクルの回転部品によって作動されるもの，例．スポークに打ち付けるもの
B62J3/08	走行風によって作動するもの，例．笛
B62J3/10	電気的装置<br><br><u>警告</u><br><br>グループＢ６２Ｊ３／１０−Ｂ６２Ｊ３／１４はグループＢ６２Ｊ３／００からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B62J3/12	ブザー；電気的に駆動される気流を伴うホーン
B62J3/14	他の装置が機能していることを示すもの，例．ライトが点灯していることを示す音響警告
B62J6/00	自転車またはモーターサイクルの光学的信号または照明装置；その取付けまたは支持；そのための回路<br><br><u>警告</u><br><br>グループＢ６２Ｊ６／００はグループＢ６２Ｊ６／２２，Ｂ６２Ｊ６／２４，およびＢ６２Ｊ６／２６への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
B62J6/01	電気回路
B62J6/015	自転車またはモーターサイクルの発電機から供給されない電力を用いるもの，例．バッテリーまたはピエゾ要素を用いるもの
B62J6/02	前照灯<br><br><u>警告</u><br><br>グループＢ６２Ｊ６／０２はグループＢ６２Ｊ６／０２２，Ｂ６２Ｊ６／０２３，Ｂ６２Ｊ６／０２４，Ｂ６２Ｊ６／０２５，Ｂ６２Ｊ６／０２６，Ｂ６２Ｊ６／０２７，Ｂ６２Ｊ６／０２８，Ｂ６２Ｊ６／０２９，およびＢ６２Ｊ６／０３への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
