B64B1/00	軽航空機
B64B1/005	｛着陸または離陸のための装置，例．降着装置｝
B64B1/02	軟式飛行船（Ｂ６４Ｂ１／５８が優先；気球Ｂ６４Ｂ１／４０）
B64B1/04	対向表面を連結する連結材または索条によって保持される形状
B64B1/06	硬式飛行船；半硬式飛行船（Ｂ６４Ｂ１／５８が優先）
B64B1/08	骨組構造
B64B1/10	尾部構造（Ｂ６４Ｂ１／１２が優先）
B64B1/12	可動操縦翼面
B64B1/14	外部被覆
B64B1/16	硬質のもの
B64B1/18	枠体への装着
B64B1/20	翼または安定板を備えたもの
B64B1/22	船室またはゴンドラの配置
B64B1/24	推進装置の配置（Ｂ６４Ｂ１／３４が優先）
B64B1/26	ダクトの中に収納されたもの
B64B1/28	ナセルの中に収納されたもの
B64B1/30	プロペラの配置
B64B1/32	船体の周りに設けられたもの
B64B1/34	揚力発生用プロペラの配置
B64B1/36	推進又は方向転換用ジェット反動装置の配置
B64B1/38	重心の位置の制御
B64B1/40	気球（Ｂ６４Ｂ１／５８が優先；おもちゃの気球Ａ６３Ｈ２７／１０）
B64B1/42	安定板の構造または装着
B64B1/44	一定の高度で浮遊するもの
B64B1/46	破裂装置と協働するもの
B64B1/48	積載重量物を落下傘により降下するようにしたもの
B64B1/50	係留気球
B64B1/52	阻塞索を有するもの
B64B1/54	二個以上の気球を上下方向に連結したもの
B64B1/56	回転運動により安定を保つもの
B64B1/58	気嚢の設備または構造；気体充填装置
B64B1/60	複数個に分割された不活性気体容器を周囲に備える気嚢
B64B1/62	気体圧力の制御，加熱，冷却，または気体の放出
B64B1/64	気体制御弁の操作機構
B64B1/66	係留用付属装置（係留用マストＢ６４Ｆ）
B64B1/68	水面浮上装置
B64B1/70	バラスト調整装置
B64B2201/00	ハイブリッド航空機，すなわち，揚力が空気力学的におよび静的に生起される航空機
