C05F1/00	動物の死体またはその一部から造られた肥料
C05F1/002	｛魚または魚の廃棄物からのもの｝
C05F1/005	｛肉の廃棄物または動物由来の他の廃棄物，例．皮，毛髪，ひづめ，羽毛，血，からのもの｝
C05F1/007	｛動物由来またはその廃棄物の誘導物質，例．皮革，乳製品，からのもの｝
C05F1/02	製造装置
C05F3/00	人間または動物の排せつ物，例．厩肥，からの肥料
C05F3/02	グアノ
C05F3/04	人ぷんから造られたもの
C05F3/06	製造装置
C05F5/00	蒸留残留物，糖蜜，酒類の蒸留かす，製糖工場の廃物または同様な廃物または残留物から造られた肥料，　｛例．農業起源の原材料またはその誘導物質の工業プロセスから生じる廃棄物からのもの｝
C05F5/002	｛材料の機械的処理による固体廃棄物，例．種皮，オリーブの種，アーモンドの殻，果物の残滓，籾殻｝
C05F5/004	｛材料の機械的処理による液体廃棄物，例．洗浄水，製粉流体，ろ液｝
C05F5/006	｛材料の化学的処理による廃棄物，例．蒸留，焙焼，調理｝
C05F5/008	｛材料の生化学的な処理からの廃棄物，例．発酵，醸造｝
C05F7/00	廃水，下水スラッジ，海のへどろ，軟泥または類似の塊から造られた肥料（スラッジの脱水，乾燥または灰化の方法または装置Ｃ０２Ｆ１１／００）
C05F7/005	｛農業由来でも動物由来でもない材料の工業的処理からの廃水｝
C05F7/02	亜硫酸パルプ廃液またはセルロース製造からのその他の廃液から造られたもの
C05F7/04	カリウム工業の廃液から造られたもの
C05F9/00	家庭または都市のじんかいから造られた肥料
C05F9/02	製造装置
C05F9/04	生物的たい肥
C05F11/00	他の有機質肥料
C05F11/02	でい炭，かっ炭または同様の植物質埋蔵物から造られたもの
C05F11/04	でい炭から造られた園芸用土（ガルトナーリーシェ　エルデン）
C05F11/06	製造装置
C05F11/08	添加された微生物の培養物，菌糸体または同じようなものを含む有機質肥料
C05F11/10	植物ビタミンまたは植物ホルモンを含む肥料
C05F17/00	たい肥にする方法に特徴がある肥料の製造
C05F17/05	
C05F17/10	
C05F17/15	
C05F17/20	
C05F17/30	
C05F17/40	
C05F17/50	
C05F17/60	
C05F17/70	
C05F17/80	
C05F17/90	
C05F17/907	
C05F17/914	
C05F17/921	
C05F17/929	
C05F17/936	
C05F17/939	
C05F17/943	
C05F17/95	
C05F17/955	
C05F17/957	
C05F17/964	
C05F17/971	
C05F17/979	
C05F17/986	
C05F17/989	
C05F17/993	
