C08K3/00	無機配合成分の使用
C08K3/01	
C08K3/011	
C08K3/012	
C08K3/013	
C08K3/014	
C08K3/015	
C08K3/016	
C08K3/017	
C08K3/02	元素
C08K2003/023	
C08K2003/026	
C08K3/04	炭素
C08K3/041	
C08K3/042	
C08K3/043	
C08K3/044	
C08K3/045	
C08K3/046	
C08K3/06	いおう
C08K3/08	金属
C08K2003/0806	
C08K2003/0812	
C08K2003/0818	
C08K2003/0825	
C08K2003/0831	
C08K2003/0837	
C08K2003/0843	
C08K2003/085	
C08K2003/0856	
C08K2003/0862	
C08K2003/0868	
C08K2003/0875	
C08K2003/0881	
C08K2003/0887	
C08K2003/0893	
C08K3/10	金属化合物
C08K3/105	
C08K3/11	
C08K3/12	水素化物
C08K3/14	炭化物
C08K3/16	ハロゲン含有化合物
C08K2003/162	
C08K2003/164	
C08K2003/166	
C08K2003/168	
C08K3/18	酸素含有化合物，例．金属カルボニル
C08K3/20	酸化物；水酸化物
C08K3/22	金属の
C08K2003/2203	
C08K2003/2206	
C08K2003/221	
C08K2003/2213	
C08K2003/2217	
C08K2003/222	
C08K2003/2224	
C08K2003/2227	
C08K2003/2231	
C08K2003/2234	
C08K2003/2237	
C08K2003/2241	
C08K2003/2244	
C08K2003/2248	
C08K2003/2251	
C08K2003/2255	
C08K2003/2258	
C08K2003/2262	
C08K2003/2265	
C08K2003/2268	
C08K2003/2272	
C08K2003/2275	
C08K3/2279	｛アンチモンの｝
C08K2003/2282	
C08K2003/2286	
C08K2003/2289	
C08K2003/2293	
C08K2003/2296	
C08K3/24	酸；その塩　｛（Ｃ０８Ｋ３／１６　が優先）｝
C08K3/26	炭酸塩；重炭酸塩
C08K2003/262	
C08K2003/265	
C08K2003/267	
C08K3/28	窒素含有化合物
C08K2003/282	
C08K2003/285	
C08K2003/287	
C08K3/30	いおう，セレンまたはテルル含有化合物
C08K2003/3009	
C08K2003/3018	
C08K2003/3027	
C08K2003/3036	
C08K2003/3045	
C08K2003/3054	
C08K2003/3063	
C08K2003/3072	
C08K2003/3081	
C08K2003/309	
C08K3/32	りん含有化合物
C08K2003/321	
C08K2003/322	
C08K2003/323	
C08K2003/324	
C08K2003/325	
C08K2003/326	
C08K2003/327	
C08K2003/328	
C08K2003/329	
C08K3/34	けい素含有化合物
C08K2003/343	
C08K3/346	｛粘土｝
C08K3/36	シリカ
C08K3/38	ほう素含有化合物
C08K2003/382	
C08K2003/385	
C08K2003/387	
C08K3/40	ガラス
C08K5/00	有機配合成分の使用
C08K5/0008	｛Ｃ０８Ｋ５／０１〜Ｃ０８Ｋ５／５９の１ドットのグループの２つ以上にわたる有機配合成分｝
C08K5/0016	｛可塑剤｝
C08K5/0025	｛架橋剤または加硫剤；　促進剤を含む｝．．<br><br><u>｛注</u><br><br>このグループにおいては，＋ＩＤＴという表現は以下の内容を意味する。．．　−　ここに分類される文献は，　促進剤を含む加硫剤に関連するＩＤＴに分類されていた。．．　−　それらは，管理上，前述のＩＤＴグループからこのグループに再分類された　｝
C08K5/0033	｛高分子化合物の劣化を促進する添加剤｝
C08K5/0041	｛蛍光増白剤，有機顔料｝
C08K5/005	｛酸化，熱，光，オゾンに対する安定剤｝
C08K5/0058	｛防生物剤；　（防生物材料の担体としての高分子物質　４５Ｌ３Ｋ３）｝
C08K5/0066	｛防炎剤または燃焼遅延化剤｝
C08K5/0075	｛静電防止剤｝
C08K5/0083	｛ポリマーマトリックスの結晶化を促進する核剤｝　
C08K5/0091	｛金属ーヘテロ原子結合を有する錯体｝
C08K5/01	炭化水素　｛（Ｃ０８Ｋ５／００９１　が優先）｝　
C08K5/02	ハロゲン化炭化水素　｛（Ｃ０８Ｋ５／００９１　が優先）｝　
C08K5/03	芳香族，　｛例．　Ｃ６Ｈ５−ＣＨ２−Ｃ１｝
C08K5/04	酸素含有化合物　｛（Ｃ０８Ｋ５／００９１　が優先）｝
C08K5/05	アルコール；金属アルコラート
C08K5/053	多価アルコール
C08K5/057	金属アルコラート　｛（金属エノレート　Ｃ０８Ｋ５／００９１）｝
C08K5/06	エーテル；アセタール；ケタール；オルト―エステル
C08K5/07	アルデヒド；ケトン
C08K5/08	キノン
C08K5/09	カルボン酸；その金属塩；その無水物
C08K5/092	ポリカルボン酸
C08K5/095	ハロゲン含有カルボン酸
C08K5/098	カルボン酸の金属塩
C08K5/10	エステル；エーテルエステル
C08K5/101	モノカルボン酸の
C08K5/103	多価アルコールとの
C08K5/105	フェノールとの
C08K5/107	多価フェノールとの
C08K5/109	炭酸の，　｛例．【式】｝　
C08K5/11	非環式ポリカルボン酸
C08K5/12	環式ポリカルボン酸
C08K5/13	フェノール類；フェノラート類
C08K5/132	ケト基含有フェノール，　｛例．ベンゾフェノン｝　
C08K5/134	エステル基含有フェノール
C08K5/1345	｛フェノールカルボン酸のカルボン酸エステル｝　
C08K5/136	ハロゲン含有フェノール
C08K5/138	フェノラート
C08K5/14	過酸化物
C08K5/15	異項原子として酸素を有する複素環式化合物
C08K5/151	異項原子として１個の酸素を有するもの
C08K5/1515	３員環
C08K5/1525	４員環
C08K5/1535	５員環
C08K5/1539	環状無水物
C08K5/1545	６員環
C08K5/156	異項原子として２個の酸素を有するもの
C08K5/1565	５員環
C08K5/1575	６員環
C08K5/159	異項原子として３個以上の酸素を有するもの
C08K5/16	窒素含有化合物　｛（Ｃ０８Ｋ５／００９１　が優先）｝
C08K5/17	アミン；第四級アンモニウム化合物
C08K5/175	｛ＣＯＯＨ基を含有するもの；　そのエステルまたは塩｝　
C08K5/18	芳香族アミノ基を有するもの
C08K5/19	第四級アンモニウム化合物
C08K5/20	カルボン酸アミド
C08K5/205	[ｆｏｒｍｕｌａ:ｆｉｇ６００．ｇｉｆ｝基を含有する化合物，例．カルバミン酸塩
C08K5/21	尿素；その誘導体，例．ビューレット
C08K5/22	他の１個の窒素原子に結合する窒素原子を含有する化合物
C08K5/23	アゾ化合物
C08K5/235	｛ジアゾ化合物およびポリアゾ化合物｝
C08K5/24	ヒドラジンの誘導体
C08K5/25	カルボン酸ヒドラジド
C08K5/26	セミカルバジド
C08K5/27	他の２個の窒素原子に結合する窒素原子を含有する化合物，例．ジアゾアミノ化合物
C08K5/28	アジド
C08K5/29	｛１個以上の｝炭素−窒素二重結合を含有する化合物
C08K5/30	ヒドラゾン；セミカルバゾン
C08K5/31	グアニジン；その誘導体
C08K5/315	炭素−窒素三重結合を含有する化合物
C08K5/3155	｛ジシアンジアミド｝　
C08K5/32	窒素―酸素結合を有する化合物
C08K5/33	オキシム
C08K5/34	異項原子として窒素を有する複素環式化合物
C08K5/3412	異項原子として１個の窒素を有するもの
C08K5/3415	５員環
C08K5/3417	炭素環で縮合されたもの
C08K5/3432	６員環
C08K5/3435	ピペリジン
C08K5/3437	炭素環で縮合されたもの
C08K5/3442	異項原子として２個の窒素を有するもの
C08K5/3445	５員環
C08K5/3447	炭素環で縮合されたもの
C08K5/3462	６員環
C08K5/3465	炭素環で縮合されたもの
C08K5/3467	異項原子として３個以上の窒素を有するもの
C08K5/3472	５員環
C08K5/3475	炭素環で縮合されたもの
C08K5/3477	６員環
C08K5/3492	トリアジン
C08K5/34922	｛メラミン；　その誘導体｝　
C08K5/34924	｛シアヌレート基を含有するもの；　その互変異性体｝　
C08K5/34926	｛さらにトリアジン基以外の複素環基を含有するもの｝　
C08K5/34928	｛塩｝　
C08K5/3495	炭素環で縮合されたもの
C08K5/35	異項原子として更に酸素を有するもの
C08K5/353	５員環
C08K5/357	６員環
C08K5/36	いおう，セレンまたはテルル含有化合物　｛（Ｃ０８Ｋ５／００９１　が優先）｝
C08K5/37	チオール　
C08K5/372	硫化物，　｛例．　Ｒ−（Ｓ）ｘ−Ｒ｀｝　　
C08K5/3725	｛窒素を含有するもの｝　
C08K5/375	６員環芳香族を含有するもの　｛（Ｃ０８Ｋ５／３７２５　が優先）｝　
C08K5/378	複素環を含有するもの
C08K5/38	チオ炭酸；その誘導体，例．キサントゲン酸塩:　｛すなわち，基【式】を含有する化合物，　Ｘ　は酸素またはいおうで，少なくとも１個のＸはいおう｝
C08K5/39	チオカルバミン酸；その誘導体，例．ジチオカルバミン酸塩
C08K5/40	チウラム，　｛すなわち，基[ｆｏｒｍｕｌａ:ｆｉｇ６０１．ｇｉｆ｝を有する化合物｝
C08K5/405	チオ尿素；その誘導体
C08K5/41	いおう―酸素結合を有する化合物
C08K5/42	スルホン酸；その誘導体
C08K5/43	いおう―窒素結合を有する化合物
C08K5/435	スルホンアミド　
C08K5/44	スルフエンアミド
C08K5/45	異項原子としていおうを有する複素環式化合物
C08K5/46	異項原子として酸素または窒素を有するもの
C08K5/47	チアゾール
C08K5/48	セレンまたはテルル含有化合物
C08K5/49	りん含有化合物　｛（Ｃ０８Ｋ５／００９１　が優先）｝
C08K5/50	りん―炭素結合のみを有するもの
C08K5/51	りん―酸素結合を有するもの
C08K5/52	りん―酸素結合のみを有するもの
C08K5/5205	｛りん酸と窒素塩基との塩｝　
C08K5/521	りん酸エステル，例．Ｈ３ＰＯ４のエステル
C08K5/523	ヒドロキシアリール化合物との
C08K5/524	亜りん酸エステル，例．Ｈ３ＰＯ３のエステル
C08K5/526	ヒドロキシアリル化合物を有するもの
C08K5/527	環状エステル
C08K5/529	りん酸または亜りん酸の環状エステルを表さない複素環を含有するエステル
C08K5/53	酸素および炭素との結合のみを有するもの
C08K5/5313	ホスフィン酸化合物，例．Ｒ２＝Ｐ（:０）ＯＲ｀
C08K5/5317	ホスフォン酸化合物，例．Ｒ−Ｐ（:０）（ＯＲ｀）２
C08K5/5333	ホスフォン酸エステル
C08K5/5337	更にハロゲンも含有するもの
C08K5/5353	更に窒素も含有するもの
C08K5/5357	環状
C08K5/5373	ホスフォン酸の環状エステル以外の複素環を含有するもの
C08K5/5377	亜ホスフィン酸化合物，例．Ｒ２＝Ｐ−ＯＲ｀
C08K5/5393	亜ホスフォン酸化合物，例．Ｒ−Ｐ（ＯＲ｀）２
C08K5/5397	ホスフィンオキサイド
C08K5/5398	りん―いおう結合を有するもの
C08K5/5399	りん―窒素結合を有するもの
C08K5/54	けい素含有化合物　｛（Ｃ０８Ｋ５／００９１　が優先）｝　
C08K5/5403	｛炭素と水素以外の元素を含有しないもの｝
C08K5/5406	｛酸素と窒素以外の元素を含有するもの｝
C08K5/541	酸素を含有するもの
C08K5/5415	１個以上のＳｉ−Ｏ結合を含有するもの
C08K5/5419	１個以上のＳｉ−Ｃ結合を含有するもの
C08K5/5425	１個以上のＣ＝Ｃ結合を含有するもの
C08K5/5435	環中に酸素を含有するもの
C08K5/544	窒素を含有するもの
C08K5/5445	
C08K5/5455	１個以上の基[ｆｏｒｍｕｌａ:ｆｉｇ７０４．ｇｉｆ｝を含有するもの　｛（Ｃ０８Ｋ５／５４４２　が優先）｝　
C08K5/5465	１個以上のＣ＝Ｎ結合を含有するもの　｛（Ｃ０８Ｋ５／５４４２　が優先）｝　
C08K5/5475	１個以上のＣ−Ｎ｛三重｝結合を含有するもの｛（Ｃ０８Ｋ５／５４４２が優先）｝
C08K5/5477	
C08K5/548	いおうを含有するもの　｛（Ｃ０８Ｋ５／５４４２　が優先）｝　
C08K5/549	環中にけい素を含有するもの
C08K5/55	ほう素含有化合物　｛（Ｃ０８Ｋ５／００９１　が優先）｝　
C08K5/56	有機金属化合物，すなわち，金属―炭素結合を有する有機化合物
C08K5/57	有機すず化合物
C08K5/58	いおうを含有するもの
C08K5/59	ひ素またはアンチモン含有化合物
C08K7/00	形状に特徴を有する配合成分の使用
C08K7/02	繊維またはウィスカ
C08K7/04	無機物
C08K7/06	元素
C08K7/08	酸素含有化合物
C08K7/10	けい素含有化合物
C08K7/12	石綿
C08K7/14	ガラス
C08K7/16	固体球状物
C08K7/18	無機物
C08K7/20	ガラス
C08K7/22	発泡状，多孔状，中空状の粒子
C08K7/24	無機物
C08K7/26	けい素含有化合物
C08K7/28	ガラス
C08K9/00	前処理された配合成分の使用
C08K9/02	無機物質で処理された配合成分
C08K9/04	有機物質で処理された配合成分　｛高分子化合物で処理されたもの　Ｃ０８Ｋ９／０８｝
C08K9/06	けい素含有化合物による処理
C08K9/08	結合剤処理によって集塊された配合成分
C08K9/10	カプセル化された配合成分
C08K9/12	吸着された配合成分　｛例．担体上の配合成分｝
C08K11/00	構造未知の配合成分の使用，例．未確定反応生成物
C08K11/005	｛廃棄物，例．　処理されたまたは処理されない汚水スラッジ｝
C08K13/00	上記したメイングループのいずれの１つにも包含されない配合成分であって，そのいずれの化合物も本質的な配合成分からなる混合物の使用
C08K13/02	有機および無機の配合成分
C08K13/04	形状によって特徴づけられた配合成分および有機または無機の配合成分
C08K13/06	前処理された配合成分およびメイングループＣ０８Ｋ３／００〜Ｃ０８Ｋ７／００に包含される配合成分
C08K13/08	構造未知の配合成分およびメイングループＣ０８Ｋ３／００〜Ｃ０８Ｋ９／００に包含される配合成分
C08K2201/00	
C08K2201/001	
C08K2201/002	
C08K2201/003	
C08K2201/004	
C08K2201/005	
C08K2201/006	
C08K2201/007	
C08K2201/008	
C08K2201/009	
C08K2201/01	
C08K2201/011	
C08K2201/012	
C08K2201/013	
C08K2201/014	
C08K2201/015	
C08K2201/016	
C08K2201/017	
C08K2201/018	
C08K2201/019	
