C09J1/00	無機成分に基づく接着剤
C09J1/02	水溶性けい酸アルカリ塩をもつもの
C09J4/00	少なくとも１つの重合性炭素―炭素不飽和結合をもつ有挙高分子化合物に基づく接着剤　｛グループＣ０９Ｊ１８３／００から　Ｃ０９Ｊ１８３／１６の高分子化合物のモノマーに基づく接着剤｝
C09J4/06	｛少なくとも１つの重合性炭素−炭素不飽和結合を持つ有挙高分子化合物｝　グループＣ０９Ｊ１５９／００からＣ０９Ｊ１８７／００の不飽和重合体以外の高分子化合物と組み合わせたもの
C09J5/00	一般的接着方法；他の分類に規定されない接着方法（接合面ににかわを適用する装置Ｂ０５，Ｂ２７Ｇ１１／００）
C09J5/02	接合面の前処理を含むもの
C09J5/04	接合各面に接着成分を別々に適用するもの
C09J5/06	適用接着剤の加熱を含むもの
C09J5/08	発泡した接着剤を用いるもの
C09J5/10	可塑性物質をそう入し，重ね合せた端を溶着させることにより物質を接合するもの
C09J7/00	フィルム状または箔状の接着剤<br><br><u>｛注</u><br><br>　このグループでは，サブクラスＭ０９Ｊ　のインデキシングコードが使用される｝
C09J7/10	
C09J7/20	
C09J7/201	
C09J7/203	
C09J7/205	
C09J7/21	
C09J7/22	
C09J7/24	
C09J7/241	
C09J7/243	
C09J7/245	
C09J7/25	
C09J7/255	
C09J7/26	
C09J7/28	
C09J7/29	
C09J7/30	
C09J7/32	
C09J7/35	
C09J7/38	
C09J7/381	
C09J7/383	
C09J7/385	
C09J7/387	
C09J7/40	
C09J7/401	
C09J7/403	
C09J7/405	
C09J7/50	
C09J9/00	物理的性質または生ずる効果に特徴のある接着剤　
C09J9/005	
C09J9/02	導電性接着剤
C09J11/00	その他の特徴，例．添加剤
C09J11/02	非高分子添加剤
C09J11/04	無機物
C09J11/06	有機物
C09J11/08	高分子添加剤
C09J101/00	セルロース，変性セルロースまたはセルロース誘導体に基づく接着剤
C09J101/02	セルロース；変性セルロース
C09J101/04	酸化セルロース；ヒドロセルロース
C09J101/06	水和セルロース
C09J101/08	セルロース誘導体
C09J101/10	有機酸のエステル
C09J101/12	酢酸セルロース
C09J101/14	混合エステル，例．酢酸酪酸セルロース
C09J101/16	無機酸のエステル
C09J101/18	硝酸セルロース
C09J101/20	有機酸と無機酸の混合エステル
C09J101/22	セルロースザンテート
C09J101/24	ビスコース
C09J101/26	セルロースエーテル
C09J101/28	アルキルエーテル
C09J101/282	｛ハロゲン置換炭化水素基を持つもの｝
C09J101/284	｛水酸基含有炭化水素基を持つもの｝
C09J101/286	｛酸基で置換されたもの　（Ｃ０９Ｊ１０１／２８２が優先）｝
C09J101/288	｛窒素含有基で置換されたもの｝
C09J101/30	アリ―ルエーテル；アラルキルエーテル
C09J101/32	セルロースエーテルエステル
C09J103/00	でん粉，アミロース，もしくはアミロペクチンまたはそれらの誘導体もしくは分解生成物に基づく接着剤
C09J103/02	でん粉；その分解生成物，例．デキストリン
C09J103/04	でん粉誘導体
C09J103/06	エステル
C09J103/08	エーテル
C09J103/10	酸化でん粉
C09J103/12	アミロース；アミロペクチン；それらの分解生成物
C09J103/14	アミロース誘導体；アミロペクチン誘導体
C09J103/16	エステル
C09J103/18	エーテル
C09J103/20	酸化アミロース；酸化アミロペクチン
C09J105/00	グループＣ０９Ｊ１０１／００またはＣ０９Ｊ１０３／００に属さない多糖類またはその誘導体に基づく接着剤
C09J105/02	デキストラン；その誘導体
C09J105/04	アルギン酸；その誘導体
C09J105/06	ペクチン；その誘導体
C09J105/08	キチン；コンドロイチン硫酸；ヒアルロン酸；それらの誘導体
C09J105/10	ヘパリン；その誘導体
C09J105/12	寒天；その誘導体
C09J105/14	ヘミセルロース；その誘導体
C09J105/16	シクロデキストリン；その誘導体
C09J107/00	天然ゴムに基づく接着剤
C09J107/02	ラテックス
C09J109/00	共役ジエン炭化水素の単独重合体または共重合体に基づく接着剤
C09J109/02	アクリロニトリルとの共重合体
C09J109/04	ラテックス
C09J109/06	スチレンとの共重合体
C09J109/08	ラテックス
C09J109/10	ラテックス　（Ｃ０９Ｊ１０９／０４，　Ｃ０９Ｊ１０９／０８が優先）
C09J111/00	クロロプレンの単独重合体または共重合体に基づく接着剤
C09J111/02	ラテックス
C09J113/00	カルボキシル基を含有するゴムに基づく接着剤
C09J113/02	ラテックス
C09J115/00	ゴムの誘導体に基づく接着剤（Ｃ０９Ｊ１１１／００，　Ｃ０９Ｊ１１３／００が優先）
C09J115/005	｛水素化ニトリルゴム｝
C09J115/02	ハロゲンを含有するゴム誘導体
C09J117/00	再生ゴムに基づく接着剤
C09J119/00	グループＣ０９Ｊ１０７／００から　Ｃ０９Ｊ１１７／００に属さないゴムに基づく接着剤
C09J119/003	｛あらかじめ架橋されたゴム；　ゴム屑；　使用済み硫化ゴム｝
C09J119/006	｛官能基に特徴があるゴム，例．　テレケリックジエン重合体｝
C09J119/02	ラテックス
C09J121/00	特定化されていないゴムに基づく接着剤
C09J121/02	ラテックス
C09J123/00	ただ１個の炭素―炭素二重結合を有する不飽和脂肪族炭化水素の単独重合体または共重合体に基づく接着剤；そのような重合体の誘導体に基づく接着剤
C09J123/02	化学的な後処理により変性されていないもの
C09J123/025	｛特定されないオレフィンとオレフィン以外のモノマーとの共重合体｝
C09J123/04	エテンの単独重合体または共重合体
C09J123/06	ポリエテン
C09J123/08	エテンの共重合体（Ｃ０９Ｊ１２３／１６が優先）
C09J123/0807	｛エテンと４個以上の炭素原子を持つ不飽和炭化水素のみとの共重合体｝　
C09J123/0815	｛エテンと脂肪族１−オレフィンとの共重合体｝　
C09J123/0823	｛エテンと脂肪族環式オレフィンとの共重合体｝　
C09J123/083	｛エテンと脂肪族ポリエン，すなわち，２個以上の不飽和結合を含むもの，との共重合体｝　
C09J123/0838	｛エテンと芳香族モノマーとの共重合体｝　
C09J123/0846	｛エテンと炭素または水素原子以外の原子を含む不飽和炭化水素との共重合体｝　
C09J123/0853	｛酢酸ビニル｝　
C09J123/0861	｛鹸化された酢酸ビニル｝　
C09J123/0869	｛酸またはその誘導体｝　
C09J123/0876	｛中和された重合体，すなわち，イオノマー｝　
C09J123/0884	｛エポキシ含有エステル｝　
C09J123/0892	｛炭素，水素または酸素原子以外の原子を持つ単量体を含むもの｝　
C09J123/10	プロペンの単独重合体または共重合体
C09J123/12	ポリプロペン
C09J123/14	プロペンの共重合体（Ｃ０９Ｊ１２３／１６が優先）
C09J123/142	｛少なくとも部分的に結晶化したプロペンと他のオレフィンとの共重合体｝　
C09J123/145	｛プロペンと２個以上の　Ｃ＝Ｃ二重結合を持つモノマーとの共重合体｝　
C09J123/147	｛プロペンと炭素または水素原子以外の原子を持つモノマーとの共重合体｝　
C09J123/16	｛エラストマー系｝　エチレン−プロペン共重合体またはエチレン−プロペン−ジエン共重合体，｛例．　ＥＰＲゴムおよびＥＰＤＭゴム｝　．．[Ｎ:<br><br><u>注</u><br><br>このグループはエチレンとプロピレンの両方からなる重合体に使用される。]
C09J123/18	４以上の炭素原子を有する炭化水素の単独重合体または共重合体
C09J123/20	炭素数が４〜９のもの
C09J123/22	イソブテンの共重合体；ブチルゴム　｛このグループには，他のイソオレフィンの単独重合体または共重合体も分類される｝
C09J123/24	炭素数が１０以上のもの
C09J123/26	化学的な後処理によって変性されたもの
C09J123/28	ハロゲンまたはハロゲン含有化合物との反応による（Ｃ０９Ｊ１２３／３２が優先）
