C09K3/00	物質であって，他に分類されないもの
C09K3/10	｛鋳造可能または押し出し可能な形の物質｝　ジョイントまたはカバーを，シールまたはパッキングするためのもの　｛充填用ペーストＣ０９Ｄ５／３４｝
C09K3/1003	｛純粋な無機混合物｝
C09K3/1006	｛成分の１つの化学的性質に特徴があるもの｝
C09K3/1009	｛ふっ素化重合体，例．　ＰＴＦＥ｝
C09K3/1012	｛いおう含有重合体，例．　ポリスルフィド｝
C09K3/1015	｛多糖類またはその誘導体｝
C09K3/1018	｛１個以上の炭素−けい素結合を持つ高分子化合物｝
C09K3/1021	｛ポリウレタンまたはその誘導体｝
C09K3/1025	｛１個以上の成分の非化学的性質に特徴があるもの｝
C09K3/1028	｛繊維｝
C09K3/1031	｛シールワックス，例．　手紙，びんまたは類似物のシール｝
C09K2003/1034	特定の性質に特徴がある物質または成分
C09K2003/1037	膨張物質
C09K2003/104	水膨潤性物質
C09K2003/1043	水非膨潤性物質
C09K2003/1046	吸水性物質
C09K2003/105	水溶性物質
C09K2003/1053	弾性物質
C09K2003/1056	湿分硬化性物質
C09K2003/1059	熱硬化性物質
C09K2003/1062	紫外線硬化性物質
C09K2003/1065	嫌気性硬化性物質
C09K2003/1068	架橋性物質
C09K2003/1071	チキソトロピー物質
C09K2003/1075	射出成形物質
C09K2003/1078	耐火性，耐熱性物質
C09K2003/1081	防水性物質
C09K2003/1084	ラミネート
C09K2003/1087	特定の使用に特徴がある物質または成分
C09K2003/109	王冠
C09K2003/1093	ケーブル
C09K2003/1096	シリンダーヘッドガスケット
C09K3/12	漏れ防止のためのもの，例．ラジエーター，タンクにおいて（充てん用ペーストＣ０９Ｄ５／３４）
C09K3/14	スリップ防止物質；研摩材｛研磨工具，研磨体または研磨紙の製造，あるいはサンドブラスト処理およびバレル研磨のような工程を特に対象とした製品Ｂ２４Ｂ３１／１４，　Ｂ２４Ｃ１／００；　研磨剤または研削剤を含有する研磨組成物　Ｃ０９Ｇ１／０２；‐導体の研磨　Ｈ０１Ｌ；　ブレーキまたはクラッチのための摩擦組成物　Ｆ１６Ｄ６９／０２｝）　．<br><br><u>注</u><br><br>このサブグループのために，ホウ素およびケイ素は金属と見なす。同様に，炭素と金属の結合，例．炭化物，も金属と見なす。
C09K3/1409	｛研磨粒子そのもの　（ダイヤモンドの製造　Ｃ０１Ｂ３１／０６）｝　
C09K3/1418	｛焼結によって塊状化した塊の分割によって得られたもの｝
C09K3/1427	｛溶融によって少なくとも部分的に塊状化した塊の分割によって得られたもの，例．　粘結剤によるもの｝
C09K3/1436	｛複合材粒子，例．￥覆粒子｝
C09K3/1445	｛被覆が金属のみからなるもの｝
C09K3/1454	｛つや出しのための研磨粉，懸濁物またはペースト｝
C09K3/1463	｛水性液状懸濁物｝
C09K3/1472	｛非水性液状懸濁物｝
C09K3/1481	｛ペースト，ブロツクまたは棒状の形でもよい｝
C09K3/149	｛滑り止め組成物｝
C09K3/16	帯電防止物質
C09K3/18	氷，霧，水の付着を減少させるために表面に適用するもの（粒状物を自由流動性にするもの一般，例．粒状物を疎水性にするものＢ０１Ｊ２／３０）；表面に適用する解氷（雪）用あるいは凍結防止用物質（伝熱，熱交換，蓄熱用の液体，または燃焼によらない熱または冷気を発生するためのもの，例．ラジエーター液の中で用いるものＣ０９Ｋ５／００）
C09K3/185	｛解氷用物質｝
C09K3/20	非化学的用途における，グリセロールの代用物としてのもの，例．トイレットクリームまたは軟膏の基材としてのもの
C09K3/22	塵埃落着用または塵埃吸収用のもの
C09K3/24	擬氷または擬雪用のもの
C09K3/30	エアロゾル用のもの（エアロゾル容器Ｂ６５Ｄ８３／１４）
C09K3/32	汚染物，例．油，ガソリン，脂肪，を除去するための吸収液体用のもの
C09K5/00	伝熱物質，熱交換物質または蓄熱物質，例．冷却剤；燃焼以外の化学反応によって熱または冷気を発生させる物質
C09K5/02	使用時に物理的状態の変化を伴う物質（Ｃ０９Ｋ５／１６，　Ｃ０９Ｋ５／２０が優先）
C09K5/04	液体から気体またはその逆の状態変化によるもの
C09K5/041	｛圧縮型冷凍システムのためのもの｝
C09K5/042	｛炭素と水素のみを含有する化合物からなるもの｝　
C09K5/044	｛ハロゲン化化合物からなるもの｝　
C09K5/045	｛ハロゲンとしてふっ素のみを含むもの｝　
C09K5/047	｛吸収型冷凍システムのためのもの｝
C09K5/048	｛熱伝達物質としての沸騰液｝
C09K5/06	液体から固体またはその逆の状態変化によるもの
C09K5/063	｛結晶化の際に熱を吸収または放出する物質；　蓄熱物質｝
C09K5/066	｛冷却混合物；　着氷防止組成物｝
