C10B1/00	レトルト
C10B1/02	固定式レトルト
C10B1/04	垂直式レトルト
C10B1/06	水平式レトルト
C10B1/08	傾斜式レトルト
C10B1/10	回転式レトルト
C10B3/00	垂直室をもつコークス炉
C10B3/02	熱交換装置をもつもの
C10B5/00	水平室をもつコークス炉
C10B5/02	垂直な加熱用煙道をもつもの
C10B5/04	横断煙道をもつもの
C10B5/06	水平な加熱用煙道をもつもの
C10B5/08	水平なおよび垂直な加熱用煙道をもつもの
C10B5/10	熱交換装置をもつもの
C10B5/12	蓄熱室をもつもの
C10B5/14	炭化室の長さ方向に配置されているもの
C10B5/16	炉団別々の煙道をもつもの
C10B5/18	炉団方向に配置されているもの
C10B5/20	換熱器をもつもの
C10B7/00	炉内に原料を送り込む機械的手段をもつコークス炉
C10B7/02	回転式かき取り装置をもつもの
C10B7/04	動揺または震動装置をもつもの
C10B7/06	エンドレス・コンベヤをもつもの
C10B7/08	垂直方向式のもの
C10B7/10	コンベヤスクリュウをもつもの
C10B7/12	傾注または揺動突き上げ手段を有するもの
C10B7/14	トロッコ，コンテナまたは台車をもつもの
C10B9/00	ビーハイブ炉
C10B11/00	傾斜室をもつコークス炉
C10B13/00	機械的な圧力下に原料を運搬および保持する手段をもつコークス炉
C10B15/00	その他のコークス炉
C10B15/02	炉底加熱のもの
C10B17/00	コークス炉の予熱
C10B19/00	電気的手段によるコークス炉の加熱
C10B21/00	可燃性ガスによるコークス炉の加熱
C10B21/02	貧ガスによるもの
C10B21/04	富ガスによるもの
C10B21/06	貧ガスまたは富ガスの使用に適したコークス炉の加熱
C10B21/08	特殊な加熱用ガスを使用するもの
C10B21/10	燃焼を調節および制御するもの
C10B21/12	バーナ
C10B21/14	ドラフトを逆転させる装置
C10B21/16	加熱用煙道と蓄熱室との間の開度を制御または変化させるもの
C10B21/18	煙道ガスを再循環させるもの
C10B21/20	室式炉の加熱方法
C10B21/22	加熱用ガスおよび空気を種々の高さで導入する方法
C10B21/24	垂直の加熱用煙突の頂部および底部に導入するもの
C10B21/26	垂直の加熱煙道の頂部にのみ加熱用ガスおよび空気を導入する方法
