C25F1/00	電解清浄，電解脱脂，電解酸洗い，または電解脱スケール
C25F1/02	酸洗い；脱スケール
C25F1/04	溶液中において
C25F1/06	鉄または鋼
C25F1/08	耐火金属
C25F1/10	アクチニド
C25F1/12	溶融物中において
C25F1/14	鉄または鋼
C25F1/16	耐火金属
C25F1/18	アクチニド
C25F3/00	電解エッチングまたは電解研摩
C25F3/02	エッチング
C25F3/04	軽金属
C25F3/06	鉄または鋼
C25F3/08	耐火金属
C25F3/10	アクチニド
C25F3/12	半導体材料
C25F3/14	部分的エッチング
C25F3/16	研摩
C25F3/18	軽金属
C25F3/20	アルミニウム
C25F3/22	重金属
C25F3/24	鉄または鋼
C25F3/26	耐火金属
C25F3/28	アクチニド
C25F3/30	半導体材料
C25F5/00	金属層または金属被覆の電解ストリッピング
C25F7/00	材料の電気分解除去用槽の構造部品またはその組立体（電解被覆および電解除去の併用Ｃ２５Ｄ）；保守または操作
C25F7/02	処理液の再生
