D01F1/00	人造フィラメントあるいはその類似物の製造の一般的な方法
D01F1/02	紡糸液，または溶融物への物質の添加（ビスコースへの物質の添加Ｄ０１Ｆ２／０８）
D01F1/04	顔料
D01F1/06	染料
D01F1/07	防火性または防炎性フィラメント製造用
D01F1/08	中空フィラメント製造用
D01F1/09	導電性または制電性フィラメント製造用
D01F1/10	変性特性のための他の添加剤
D01F1/103	｛微細組織の成長を阻害する添加剤｝
D01F1/106	｛放射を遮蔽する添加剤，例．吸収，反射する添加剤｝
D01F2/00	セルロースまたはセルロース誘導体の単一成分人造フィラメントまたはその類似物；その製造
D01F2/02	セルローズの酸，塩基または塩の溶液からのもの
D01F2/04	銅アンモニウム溶液からのもの
D01F2/06	ビスコースからのもの
D01F2/08	紡糸液または浴の調合
D01F2/10	紡糸液または紡糸浴に混合していづれにおいても同じ程度に効果を生じる物質の添加
D01F2/12	紡糸液へのつや消し剤の添加
D01F2/14	顔料の添加
D01F2/16	紡糸液への染料の添加
D01F2/18	紡糸液への熟成に影響を与える物質の添加
D01F2/20	中空糸を製造するためのもの
D01F2/22	乾式紡糸工程によるもの
D01F2/24	セルロース誘導体からなるもの
D01F2/26	ニトロセルロースからのもの
D01F2/28	有機セルロースエステルまたはエーテル，例．セルロースアセテート，からのもの
D01F2/30	乾式紡糸工程によるもの
D01F4/00	蛋白質の単一成分人造フィラメントまたはその類似物；その製造
D01F4/02	フイブロインからのもの
D01F4/04	カゼインからのもの
D01F4/06	グロブリン，例．落花生蛋白質，からのもの
D01F6/00	合成重合体の単一成分人造フィラメントまたはその類似物；その製造<br><br><u>注</u><br><br>このグループにおいては，主成分を決めるパーセントはモルパーセントで表わされている。
D01F6/02	不飽和化合物の単一付加重合生成物からのもの
D01F6/04	ポリオレフィンからのもの
D01F6/06	ポリプロピレンからのもの
D01F6/08	ハロゲン化炭化水素の重合体からのもの
D01F6/10	ポリ塩化ビニルまたはポリ塩化ビニリデンからのもの
D01F6/12	ふっ化炭化水素の重合体からのもの
D01F6/14	不飽和アルコールの重合体，例．ポリビニルアルコール，またはそのアセタールまたはケタールの重合体からのもの
D01F6/16	不飽和カルボン酸または不飽和有機エステルの重合体，例．ポリアクリル酸エステル，ポリビニルアセテート，からのもの
D01F6/18	不飽和ニトリルの重合体，例．ポリアクリロニトリル，ポリビニリデンシアニド，からのもの
D01F6/20	側鎖に１個の炭素間二重結合をもつ環状化合物の重合体からのもの
D01F6/22	ポリスチレンからのもの
D01F6/24	二個以上の炭素間二重結合をもつ脂肪族化合物の重合体からのもの
D01F6/26	他の重合体からのもの
