D03C1/00	ドビー
D03C1/005	｛電子ドビー｝
D03C1/02	単動式ドビー，すなわちナイフまたは同様の物がピックごとに作動するドビー（Ｄ０３Ｃ１／１０が優先）
D03C1/04	全開口単動式ドビー
D03C1/06	複動式ドビー，すなわち分離ナイフまたは同様の物が１ピックおきに交互に作動するドビー
D03C1/08	逆転可能なもの，すなわち織機が逆転するとき開口を自動的に修正するもの
D03C1/10	中口開口ドビー，すなわち中口閉口位置からの糸条の上下運動による開口
D03C1/12	ナイフのかわりにのこ歯状の歯車を使用したドビー
D03C1/14	種々の形のドビーに共通した事項（開口機構の不完全作動による停止機構Ｄ０３Ｄ５１／４６）
D03C1/142	｛レベリング機構｝
D03C1/144	｛そうこう枠へのリンク｝
D03C1/146	｛独立駆動モータ｝
D03C1/148	｛偏心｝
D03C1/16	織機におけるドビーの配置
D03C1/18	ナイフ；ナイフ枠
D03C1/20	フック；リフタ
D03C1/22	ニードル；ニードル箱；ニードル板
D03C1/24	シリンダ；シリンダバッタン
D03C1/26	ナイフと昇降フックとのかみ合いの助成
D03C1/28	フックとナイフの間にバックラッシを生ぜしめ，次にこれを排除することによるもの
D03C1/30	全フックがナイフから離され，そして次に選択されたフックが再びからみ合うもの
D03C1/32	全フックがナイフとかみ合い，そして次に選択されないフックがはずれるもの
D03C1/34	からまりを避けるため種々の高さからたて糸が互いに通過するための装置
D03C1/36	紋紙またはチェーンの節約装置，例．クロスボーダードビー
D03C3/00	ジャカード（模様を走査することによりジャカードを制御するものＤ０３Ｃ１７／０６；グリッパーアキスミンスター織機用Ｄ０３Ｄ３９／０８）
D03C3/02	単動式ジャカード
D03C3/04	全開口形のもの
D03C3/06	複動式ジャカード
D03C3/08	全開口形のもの
D03C3/10	中口開口ジャカード
D03C3/12	多開口ジャカード，すなわちたて糸を種々の高さに移動するジャカード，例．パイル織物を織成するためのもの
D03C3/14	昇降フックを用いないジャカード，例．キイホールスロットに関連して節付き通糸を使用するもの
D03C3/16	ニードルと昇降フック間に作動ニードルを介したベルドール式ジャカードまたはその他のジャカード
D03C3/18	耳織成ジャカード
D03C3/20	電気的作動によるジャカード
D03C3/205	｛独立して動作する通糸｝
D03C3/22	流体作動によるジャカード
D03C3/24	種々の形式のジャカードの共通事項
D03C3/26	ジャカードの一般的配置，すなわち機械における位置決め
D03C3/28	口出し装置；織機の停止中に次の開口が開かれるのを防止する装置
D03C3/30	フックが積極的に閉口を作動する装置
D03C3/32	ジャカード駆動機構
D03C3/34	シリンダ作動機構
D03C3/36	グリッフ作動機構
D03C3/38	目板
D03C3/40	通糸の構成
D03C3/42	通糸の配置
D03C3/44	矢金
