D03J1/00	織機に付随している補助装置
D03J1/001	｛布またはたて糸ビームの交換｝
D03J1/002	｛糸屑またはほこりの気候による調整または除去｝
D03J1/003	｛機械部品の注油のための装置｝
D03J1/004	｛切れたたて糸構成糸の検出および修理｝
D03J1/005	｛表示器またはデータの表示｝
D03J1/006	｛織機のグループの制御｝
D03J1/007	｛織機および関連する織機制御についての織物の検査｝
D03J1/008	｛冷却システム｝
D03J1/02	たて糸処理のためのもの，例．ちりよけ，給湿
D03J1/04	よこ糸処理のためのもの
D03J1/06	織物処理のためのもの（織機上でのパイル切断Ｄ０３Ｄ３９／２４）
D03J1/08	織物をたてに切断するためのもの
D03J1/10	織工に模様を指示するためのもの
D03J1/12	織機とよこ管巻き装置間のよこ管の移送（よこ管巻きＢ６５Ｈ）
D03J1/13	たて糸の綾取りのためのもの（綾取り一般Ｄ０２Ｈ９／００）
D03J1/14	ドロッパ，そうこう，おさへのたて糸引き込み装置
D03J1/16	たて糸継ぎ装置（ノッタＤ０３Ｊ３／００）
D03J1/18	これから織られるたて糸とすでに織られたたて糸との接合，例．結び継ぎ
D03J1/20	織り上げ長さまたはよこ打ち込み数の測定
D03J1/22	テンプル
D03J1/223	｛布の全幅における作動｝
D03J1/226	｛糸切りを備える｝
D03J1/24	織機の部品の検査のための鏡またはその他の装置
D03J3/00	織成用の工具，例．ノッタ
D03J3/02	おさとそうこう保持具
D03J3/04	ひの糸通し具（ひの中の導糸装置Ｄ０３Ｊ５／２０）
D03J5/00	ひ（縫い取り織機用ひＤ０３Ｄ３１／００；細幅織機用ひＤ０３Ｄ３５／００；環状織機用ひＤ０３Ｄ３７／００；耳用ひＤ０３Ｄ４７／４６）
D03J5/02	ひ体の構造
D03J5/04	チップ
D03J5/06	ダミーシャットル；グリッパーシャットル
D03J5/065	｛移動波開口織機用のもの｝
D03J5/08	よこ管の支持
D03J5/10	トングまたはスピンドル
D03J5/12	移動可能のもの
D03J5/14	回動可能のもの
D03J5/16	よこ管は持具，例．自動管替え織機用ひ
D03J5/18	芯のないコップ用のもの，すなわちトングまたはよこ管は持具のないひ
D03J5/20	ひの中の導糸装置（ひに糸通しするためのひとは別体の用具Ｄ０３Ｊ３／０４）
D03J5/22	自動糸通しのためのもの，すなわちひがよこ入れされたとき自動的に糸通しされるもの
D03J5/24	張力調整装置
D03J2700/00	織機と関連した補助装置；他の操作と結合した織成；ひ
D03J2700/02	織機上の織物材料の処理，例．サイジング，加湿，クリーニング
D03J2700/04	織機の効率制御
D03J2700/06	点検，計数又は測定のための補助装置
D03J2700/10	ひ
D03J2700/12	自動ボビン交換のためのもの
D03J2700/14	グリッパーシャトル
D03J2700/16	たて糸またはよこ糸の停止動作を伴うもの
