E05F1/00	このサブクラスの中で他に分類されないウィング用開閉器
E05F1/002	｛自動作動手段により制御されるもの（動力駆動式機構のためのものＥ０５Ｆ１５／２０）　｝[Ｃ９９０６　｝
E05F1/004	｛サーモスタット，雨，風，または雑音によるもの（Ｅ０５Ｆ１／００６が優先）　｝[Ｎ９９０６　｝
E05F1/006	｛緊急事態，例．火災，によるもの（物理的防火障壁用の操作または制御機構Ａ６２Ｃ２／２４）　｝[Ｎ９９０６　｝
E05F1/008	｛時間制御によるもの　｝[Ｎ９９０６　｝
E05F1/02	重力操作のもの　｛例．平衡おもりを使用するもの　｝[Ｃ９７０７　｝
E05F1/025	｛直線的に動く平衡おもりを備えるもの　｝[Ｎ９７０７　｝
E05F1/04	移動中上昇するウィング用のもの　｛自重により操作されるもの　｝[Ｃ９７０７　｝
E05F1/043	｛カム，螺旋状軌道を有するもの（Ｅ０５Ｆ１／０６１が優先）　｝[Ｎ９７０７　｝
E05F1/046	｛滑動ウイング用の直線的に傾斜した軌道を有するもの　[Ｎ９７０７　｝
E05F1/06	ウィングの重量で操作される蝶番または枢軸形状物の機構
E05F1/061	｛カムまたは螺旋状軌道を有するもの　｝　[Ｎ９７０５　｝
E05F1/063	｛相補的で実質的に同一物であり滑りながら相互に協働するカム表面を有するもの（Ｅ０５Ｆ１／０６６が優先）｝　[Ｎ９７０５　｝
E05F1/065	｛カムとホイールで構成される装置　｝　[Ｎ９７０５　｝
E05F1/066	｛螺旋溝，スロット，ねじ山またはその類似物　｝　[Ｎ９７０５　｝
E05F1/068	｛傾斜した枢着軸を備えるもの　｝　[Ｎ９７０５　｝
E05F1/08	ばね操作のもの　｛例．水平滑動ウイング用のもの（平衡式滑動ウイングまたは上下動ウイングＥ０５Ｄ；ばね自体Ｆ１６Ｆ，例．ガスばねＦ１６Ｆ９／００）｝
E05F1/10	揺動ウィング用のもの　｛例．釣り合いおもり（廃棄物容器の蓋やカバーをばねの補助で動作させるものＢ６５Ｆ１／１６２３）　｝　[Ｃ９４１０　｝
E05F1/1008	｛枢着軸と平行なコイルばねを有するもの（Ｅ０５Ｆ１／１２０７が優先）　｝　[Ｎ９７０８　｝
E05F1/1016	｛傾斜コイルねじりばねを有するもの　｝　[Ｎ９７０８　｝
E05F1/1025	
E05F1/1033	｛ねじり棒を有するもの（Ｅ０５Ｆ１／１２３が優先）　｝　[Ｎ９７０８　｝
E05F1/1041	｛枢着軸と直交するコイルばねを有するもの（Ｅ０５Ｆ１／１２４６が優先）　｝　[Ｎ９７０８　｝
E05F1/105	｛圧縮コイルばねを有するもの　｝　[Ｎ９７０８　｝
E05F1/1058	｛平衡用のもの　｝　[Ｎ９７０８　｝
E05F1/1066	｛引張りばねを有するもの　｝　[Ｎ９７０８　｝
E05F1/1075	｛平衡用のもの　｝　[Ｎ９７０８　｝
E05F1/1083	｛ばね板または類似のばねを有するもの（Ｅ０５Ｆ１／１２８４が優先）　｝　[Ｎ９７０８　｝
E05F1/1091	｛ガスばねを有するもの（Ｅ０５Ｆ１／１２９２が優先）　｝　[Ｎ９７０８　｝
E05F1/12	ばねで操作される蝶番または枢軸形状物の機構｛二本以上のピンを備える蝶番用のものＥ０５Ｄ３／０６｝．．．<br><br><u>｛注</u><br><br>．このグループにおいては，＋ＩＤＴという表現は以下の内容を意味する:．．．―ここに分類された文献は関連するＩＤＴグループ:扉閉鎖用のばね付き蝶番に分類された。．．．―これらは当該ＩＤＴ−グループからこのグループへ管理上再分類された。｝
E05F1/1207	｛枢着軸と平行なコイルばねを有するもの　｝
E05F1/1215	｛傾斜コイルねじりばねを有するもの　｝　[Ｎ９５１０　｝
E05F1/1223	｛圧縮コイルばねまたは引張りばねを有するもの　｝　[Ｎ９５１０　｝
E05F1/123	｛ねじり棒を有するもの｝
E05F1/1238	｛特に車両に適合するもの　｝　[Ｎ９７０１　｝
E05F1/1246	｛枢着軸と直交するコイルばねを有するもの　｝
E05F1/1253	｛圧縮コイルバネを有するもの　｝　[Ｎ９７０１　｝[Ｃ９７０８　]
E05F1/1261	｛平衡用のもの　｝　[Ｎ９７０８　｝
E05F1/1269	｛引張りばねを有するもの　｝　[Ｎ９７０８　｝
E05F1/1276	｛平衡用のもの　｝　[Ｎ９７０８　｝
E05F1/1284	｛ばね板または類似のばねを有するもの　｝　[Ｎ９７０５　｝
E05F1/1292	｛ガスばねを有するもの　｝　[Ｎ９７０５　｝
E05F1/14	複式バネをもったもの，例．開閉用または徐閉用　｛重要ではないもの　｝
E05F1/16	滑動ウィング用のもの
E05F3/00	制動装置をもつ開閉器，例．チェック；空気圧または液圧制動装置の構造（非空気圧あるいは非液圧の制動装置の構造Ｅ０５Ｆ５／００；蝶番の摩擦装置Ｅ０５Ｄ１１／０８）
E05F3/02	空気圧ピストン制動器をもつもの（回転式のものＥ０５Ｆ３／１４）
E05F3/04	液圧ピストン制動器をもつもの（回転式のものＥ０５Ｆ３／１４）
E05F3/06	捩（ねじ）りばねによって部材がピストン軸に垂直な軸の周りに回転するもの
E05F3/08	捩りばねによって部材がピストン軸と同方向の軸の周りを回転するもの
E05F3/10	捩りばね以外のばねとピストンをもつもので両者の軸が共通であるかまたは方向が同一であるもの
E05F3/102	｛閉鎖戸ハウジングに収納された駆動軸とピストンの間のラックピ二オン式の伝送によるもの　｝
E05F3/104	｛閉鎖戸ハウジングに収納された駆動軸とピストンの間のカム‐スライド式の伝送によるもの｝
E05F3/106	｛閉鎖戸ハウジングに収納された駆動軸とピストンの間のクランク‐アーム式の伝送によるもの｝
E05F3/108	｛閉鎖戸ハウジングから突出するピストンロッドを有するもの；伸縮閉鎖戸｝
E05F3/12	液体の循環を制御する特殊装置，例．バルブ装置　（｛Ｅ０５Ｆ３／２２３が優先　｝；バルブ自体Ｆ１６Ｋ）　[Ｃ９７０７　｝
E05F3/14	回転式の液圧制動器をもつもの
E05F3/16	摩擦制動器をもつもの
E05F3/18	反動ばねをもつもの（複式ばねＥ０５Ｆ１／１４）
E05F3/20	蝶番におけるもの
E05F3/22	閉鎖戸の付属設備，例．開き位置または他の位置にウィングを保持するためのもの
E05F3/221	｛機械式動力式錠，例．開放域または自由可動域にウイングを保持するためのもの｝　[Ｎ９７０７　｝
E05F3/222	｛電動式のもの｝　[Ｎ９７０７　｝
E05F3/223	｛液圧式錠，例．電動弁を有するもの｝　[Ｎ９７０７　｝
E05F3/224	｛ウイングの開放を補助するためのもの｝　[Ｎ９７０７　｝
E05F3/225	
E05F3/226	
E05F3/227	
E05F2003/228	
E05F5/00	制動装置，例．チェック；停止具；緩衝器；　｛緩衝作用を有する蟻継ぎ｝；（空気圧あるいは液圧制動装置の構造Ｅ０５Ｆ３／００；ウィングを開放状態に保持する装置と組み合わせたものＥ０５Ｃ１７／００；フレームとウィングとの間に伸びる移動可能な部材によってウィングの開放を制限またはウィングを開放状態に保持する装置Ｅ０５Ｃ１７／０４）
E05F5/003	｛滑動ウイング用のもの（Ｅ０５Ｄ１３／０４が優先）｝　[Ｎ０００４　｝
E05F5/006	
E05F5/02	特に｛揺動｝ウィングの荒閉まりを防ぐために用いるもの｛最終閉止動作時のためのもの，例．抱き停止具｝　[Ｃ０００４　]
E05F5/022	｛特に車両に適合するもの，例．ボンネットまたはトランク用のもの｝　[Ｎ０００４　｝
E05F5/025	｛特に車両ドアに適合するもの｝　[Ｎ０００４　｝
E05F5/027	｛閉止動作を伴うもの｝　[Ｎ９９０１　｝
E05F5/04	手動のもの，　｛例．取り外しできるもの｝；遠心力により操作するもの｛または高速閉止動作によるもの｝　
E05F2005/043	
E05F2005/046	
E05F5/06	緩衝器　｛または揺動ウイングの開放を制限する停止具，例．床または壁の停止具｝（Ｅ０５Ｆ５／０２が優先）
E05F5/08	ばねをもつもの
E05F5/10	ピストン制動器をもつもの
E05F5/12	特に他のウィングが閉められる前に一方のウィングが閉じるのを防ぐために用いるもの
E05F7/00	ウィング用の種々の付属品（特に家具に用いられるものＡ４７Ｂ９５／００；ドア昇降機Ｂ６６Ｆ，Ｅ０４Ｆ２１／００；握りまたはハンドルＥ０５Ｂ）
E05F7/005	｛ウイング用位置合わせ装置｝
E05F7/02	回転前にウィングをもち上げるためのもの　｛スライドする前に持ち上げるものＥ０５Ｄ１５／５６５｝
E05F7/04	がたつきを防止する装置（緩衝作用をもつものＥ０５Ｆ５／００）
E05F7/06	蝶番軸から離れた位置におかれ，ウィングの重みを軽減する装置
E05F7/08	縦方向と横方向の滑り棒，ロッドまたはケーブル間の運動を伝える特殊な手段　｛（Ｅ０５Ｄ１５／５２０８が優先）｝
E05F9/00	固定具を共に操作するものも含む枠の内または外で案内されない操作棒によりウィングを操作する手段（ウィング用のボルトまたは固定装置Ｅ０５Ｃ）
E05F11/00	固定具を共に操作するものも含む，ウィング操作のための手動機構（複数個のウィングを連結する機構Ｅ０５Ｆ１７／００）<br><br><u>｛注</u><br><br>このグループにおいては，＋ＩＤＴという表現は以下の内容を意味する。　−ここに分類されている文献は，すべり窓用の操作機構に関連するＩＤＴ−グループに分類されていた:　−それらは管理上の理由で前記ＩＤＴ−グループからこのグループに再分類された。　−それらの文献については以下のインデキシングコードが使用される:Ｅ０５Ｆ２７００／０２，Ｅ０５Ｆ２７００／０４｝
E05F11/02	ウィング用一般，例．明り取り窓（Ｅ０５Ｆ１１／３６が優先；縦方向に下げられる窓用のものＥ０５Ｆ１１／３８；ドア用のものＥ０５Ｆ１１／５４）
E05F11/04	コード，鎖またはケーブルをもつもの
E05F11/06	案内溝（こう）中のもの
E05F11/08	枠の内または上において案内される，長手方向に動く棒をもつもの，例．枢着リンクにより案内されるもの
E05F11/10	ハンドルが棒を動かす機構
E05F11/12	棒がウィングを移動させる機構
E05F11/14	直接，すなわちリンクを用いることなく，ウィングを移動させるもの，例．ラックと歯車またはピンとみぞ穴によるもの[Ｃ９９０１　｝
E05F11/145	｛ピンとみぞ穴によるもの｝
E05F11/16	枢着連結部材によりウィングを移動させるもの　｛ウイングの枢着軸に垂直な平面内において（移動するもの）｝
E05F11/18	てこ，例．山形てこ，のみよりなるもの　｛重要ではないもの　｝
E05F11/20	てこ，例．山形てこ，および一個の付加的なリンクのみよりなるもの　｛重要ではないもの　｝
E05F11/22	てこ，例．山形てこ，および二つ以上の付加的連続リンクよりなるもの　｛重要ではないもの　｝
E05F11/24	枢着連結部材によりウィングを移動させるもの　｛ウイングの枢着軸に平行な平面内において（移動するもの）｝
E05F11/26	てこ，例．山形てこ，のみよりなるもの　｛重要ではないもの　｝
E05F11/28	てこ，例．山形てこ，および一個またはそれ以上の付加リンクよりなるもの　｛重要ではないもの　｝
E05F11/30	菱形リンクからなるもの　｛重要ではないもの　｝
E05F11/32	枠内に案内される回転棒をもつもの（Ｅ０５Ｆ１１／３４が優先）
E05F11/34	ねじ機構をもつもの
E05F11/36	壁を貫通するように特別に設計されたもの
E05F11/38	すべり窓用のもの，例．垂直に開閉される車両窓用のもの
E05F11/382	｛車両窓用のもの（Ｅ０５Ｆ１１／４０からＥ０５Ｆ１１／５２が優先）｝
E05F11/385	｛操作機構のキャリアーに窓ガラスを固定するもの｝　[Ｎ９９０３　｝
E05F2011/387	
E05F11/40	ねじ機構により操作されるもの
E05F11/405	｛車両窓用のもの｝
E05F11/42	ラックと歯車により操作されるもの　｛または他のプッシュプル機構によるもの｝　[Ｃ９５１０　｝
E05F11/423	｛車両窓用のもの｝
E05F11/426	｛可撓性ラックピ二オン装置｝　[Ｎ９５１０　｝
E05F11/44	一個またはそれ以上のもち上げ腕により操作されるもの
E05F11/445	｛車両窓用のもの｝
E05F11/46	伸縮腕機構により操作されるもの
E05F11/465	｛車両窓用のもの｝
E05F11/48	コードまたは鎖により操作されるもの　｛または他の可撓性長尺状引張り部材，例．テープ，によるもの｝　[Ｃ９５１０　｝
E05F11/481	｛車両窓用のもの｝
E05F11/483	｛ケーブルによるもの｝　[Ｎ９５１０　｝
E05F11/485	｛ケーブルテンショナを有するもの｝　[Ｎ９６０２　｝
E05F11/486	｛窓ガラスへ接続されたケーブルを１本有するもの｝　[Ｎ０２０８　｝
E05F11/488	｛窓ガラスへ接続されたケーブルを２本有するもの｝　[Ｎ０２０８　｝
E05F11/50	窓機構を操作するためのクラッチまたは保持ブレーキをもつクランク歯車
E05F11/505	｛車両窓用のもの｝
E05F11/52	付加的運動を付与する手段と組み合わされたもの，例．水平または回転運動
E05F11/525	｛車両窓用のもの｝
E05F11/53	水平移動により開閉するすべり窓，例．車両窓，用のもの
E05F11/535	｛車両窓用のもの｝
E05F11/54	ドア用のもの
E05F13/00	人または車両の動きまたは重みによって操作する機構（動力により操作するウィングの操作機構Ｅ０５Ｆ１５／００）
E05F13/02	使用者の運動により作動される装置によるもの，例．てこ腕
E05F13/04	使用者の重みにより下降する台によるもの
E05F15/00	ウィング用動力操作機構　｛（ハッチカバー用のものＢ６３Ｂ１９／１４；エレベーター扉用のものＢ６６Ｂ１３／００；ウイングの閉止動作の完了または開放動作の始動のための電動装置Ｅ０５Ｂ１７／００２９；リミットスイッチＨ０１Ｈ３／１６）｝　[Ｃ９６１１　｝
E05F15/40	
E05F15/41	
E05F15/42	
E05F15/43	
E05F15/431	
E05F2015/432	
E05F2015/433	
E05F2015/434	
E05F2015/435	
E05F2015/436	
E05F2015/437	
E05F15/44	
E05F15/443	
E05F2015/447	
E05F15/46	
E05F15/47	
E05F15/48	
E05F2015/483	
E05F2015/487	
E05F15/49	
E05F15/50	
E05F15/51	
E05F15/53	
E05F15/54	
E05F15/56	
E05F15/565	
E05F15/57	
E05F15/59	
E05F15/60	
E05F15/603	
E05F15/605	
E05F15/608	
E05F15/611	
E05F15/614	
E05F15/616	
E05F15/619	
E05F15/622	
E05F15/624	
E05F15/627	
E05F15/63	
E05F2015/631	
E05F15/632	
E05F15/635	
E05F15/638	
E05F15/641	
E05F15/643	
E05F15/646	
E05F15/649	
E05F15/652	
E05F15/655	
E05F15/657	
E05F15/659	
E05F15/662	
E05F15/665	
E05F15/668	
E05F15/67	
E05F15/673	
E05F15/676	
E05F15/678	
E05F15/681	
E05F15/684	
E05F15/686	
E05F15/689	
E05F15/6892	
E05F15/6894	
E05F15/6896	
E05F15/6899	
E05F15/6901	
E05F15/6903	
E05F15/6905	
E05F15/6907	
E05F15/6909	
E05F15/6911	
E05F15/6914	
E05F15/6916	
E05F15/6918	
E05F15/692	
E05F15/695	
E05F15/697	
E05F15/70	
E05F15/71	
E05F15/72	
E05F15/73	
E05F15/74	
E05F15/75	
E05F15/76	
E05F2015/763	
E05F2015/765	
E05F2015/767	
E05F15/77	
E05F15/78	
E05F15/79	
E05F17/00	同時に操作される多数のウイングを移動させるための特殊装置（多数の相互に連絡させた換気薄板を同時に動かすためのものＥ０６Ｂ７／０８６）
E05F17/001	｛刑務所独房の扉のもの｝
E05F17/002	｛閉じたときに一方が他方の背後に来るウイング用｝
E05F17/004	｛閉じたときに各ウイングが隣接するウイング用｝
E05F2017/005	
E05F2017/007	
E05F2017/008	
