F	機械工学；照明；加熱；武器；爆破
F01	機械または機関一般；機関設備一般；蒸気機関<br>このサブセクション（クラスＦ０１からＦ０４）の利用のための手引き<br>以下の注は，この部分の分類体系の利用を助けるためのものである；これらはいかなる場合にも分類体系を変更するものとして解釈すべきではない。<br>（１）このサブセクションにおいては，機関またはポンプを明示するサブクラスまたはグループは，他に特に分類されない限りそれらの操作方法を包含する。<br>（２）このサブセクションにおいては，下記の用語または表現は以下に示す意味で用いる:<br>―機関は流体エネルギを連続的に機械的動力に変換する装置を意味する。それ故，この語はそれ自体で，たとえば蒸気ピストン機関，蒸気タービン，または，内燃機関を含むが，一行程装置を除外する。機関はまた，それが特に計器に用いるのに適しているものを除き計器の流体作動部分をも包含する；<br>―ポンプは機械的または他の手段によって流体を連続的に押し揚げ，押圧し，圧縮または排出する装置を意味する；そしてこの用語はファンまたは送風機を含む；<br>―機械は同様に機関およびポンプであり得る装置を意味し，かつ機関に限定された装置またはポンプに限定されたものを意味しない；<br>―下線のある語およびは主題事項が語およびによって結合されたどちらかの語の一方に限定されない場合にのみ引用する；<br>―容積形は，作動流体エネルギの機械的エネルギへの変換およびその逆の変換において，作動流体の内容積変化が機械部材の変位に相当し，流体の動的影響が重要でないエネルギ変換方法を意味する；<br>―非容積形は，作動流体エネルギの運動エネルギへの変換によって，作動流体のエネルギを機械的エネルギに変換する方法を意味する；その逆の変換の場合も同様である；<br>―揺動ピストン機械とは流体と係合する仕事伝達部材が揺動する容積形機械を意味する。この定義は機関またはポンプに同様に適用する；<br>―回転ピストン機械とは流体と係合する仕事伝達部材が固定軸のまわりに，もしくは円または同様の軌道に沿って移動する軸のまわりに，回転する容積形機械を意味する。この定義は機関またはポンプに同様に適用する；<br>―回転ピストンとは回転ピストン機械の仕事伝達部材を意味し，適当な形式のもの，例．歯車のようなもの，でよい；<br>―共動部材とは揺動ピストンまたは回転ピストンと，駆動作用またはポンプ作用を補助する他の部材，例．作動室壁，とを意味する；<br>―共動部材の運動は，相対的，すなわち，たとえ文面上は回転軸とされていても，共動部材の一方は静止していることもあり，両方とも動くこともあると解釈すべきである；<br>―歯または歯に相当する部分とは突出部，突起部，または係合部を含む；<br>―内部軸形式とは内外の共動部材の回転軸がつねに外側部材内にあることを意味する，例．環状歯車の内歯とかみ合うピニオンと類似の態様であるもの<br>―自由ピストンは行程の長さがそれによって駆動される部材によって限定されないピストンを意味する；<br>―シリンダは容積形作動室一般を意味し，そしてこの用語は円形断面のシリンダに限定されない；<br>―主軸はピストンの往復運動を回転運動にまたはその反対に変換する軸を意味する；<br>―設備は機関と機関を運転するのに必要な付加的装置を一緒にした意味である。たとえば，蒸気機関設備は蒸気機関および蒸気発生装置を含む；<br>―作動流体はポンプにおける被駆動流体または機関における駆動流体を意味する。作動流体は圧縮性流体と呼ばれる圧縮性のガス体、例．蒸気、または液体でありうる。あるいは圧縮性流体と液相の共存も可能である。<br>―蒸気は凝縮性蒸気一般を含み，また特殊蒸気は水蒸気以外の場合に用いる；<br>―非容積形機械または機関に適用される反動形は圧力―速度変換が完全にまたは部分的に回転子において行なわれる機械または機関を意味し；回転子内における圧力―速度変換が全くないかわずかである機械または機関は衝動形と称する。<br>（３）このサブセクションにおいては:<br>―周期的に作動する弁，潤滑，ガス流消音器もしくは排気装置，または冷却はそれらの記述された応用に関係なくＦ０１Ｌ，Ｆ０１Ｍ，Ｆ０１Ｎ，Ｆ０１Ｐに分類する。ただしその分類の特徴がその応用に独特のものであるならば，その場合Ｆ０１ないしＦ０４の関連したサブクラスのみに分類する；<br>―機械または機関の潤滑，ガス流消音器もしくは排気装置，または冷却はＦ０１Ｂに分類される蒸気機関に特有なものを除いてＦ０１Ｍ，Ｆ０１Ｎ，Ｆ０１Ｐに分類する。<br>（４）このサブセクションを十分に理解して利用するため，この骨格をなす，Ｆ０１Ｂ，Ｆ０１Ｃ，Ｆ０１Ｄ，Ｆ０３ＢおよびＦ０４Ｂ，Ｆ０４Ｃ，Ｆ０４Ｄ，に関するかぎり<br>―この分類表に存在する原則；<br>―その要求する分類の特徴；および<br>―その補足<br>を記憶しておくことが肝要である。<br>（ｉ）原則<br>これは上に挙げたサブグラスに本質的に関連している。より限定された事項を包含する他のサブグラス，特にＦ０２のものはここで考慮しない。<br>各サブグラスは基本的に装置（機関またはポンプ）の類を包含し，また拡張によって同種の機械を同様に包含する。それ故に一方が他方より，より一般的性質を有する，２つの異なった主題は同じサブグラスに包含される。<br>サブクラスが包含する２つの異なった主題の範囲をこえて，サブクラスＦ０１Ｂ，Ｆ０３Ｂ，Ｆ０４Ｂはさらに関連した類での異なった種類の装置に関係する他のサブクラスに関して一般性を有する。<br>この一般性は，つねに同じサブクラスに関するものを除いて，異なった２つの主題の取り扱いに対しても同様に適用する。<br>それ故，Ｆ０３Ｂはその機械を扱う部分においてＦ０４Ｂ，Ｆ０４Ｃに関する一般的クラスとして，および，その機関を扱う部分においてＦ０３Ｃに関する一般的クラスとして考えられるべきである。<br>（ｉｉ）特徴<br>（ａ）サブグラスの主要な分類の特徴には機械；機関；ポンプの３つの可能性がある装置を級付けしていることである。<br>（ｂ）上記のごとく，機械はつねに他の２つの一方と関連している。<br>これらの主分類は装置の一般的作動理論に従って:<br>容積形；非容積形<br>に再分類される。<br>（ｃ）容積形装置は作用理論を奏功する方法，すなわち，装置の種類に従って:<br>単純往復ピストン；回転または揺動ピストン；その他<br>にさらに再分類される。<br>（ｄ）他の分類の特徴は，すなわち:<br>液体および圧縮性流体；圧縮性流体；流体の３種の装置が可能である，作動流体に関するものである。<br>（ｉｉｉ）補足<br>これは，装置または作動流体の種類に関し考慮のうえ特徴に従って，上に挙げたサブクラスの対との関連において存在する。<br>種々の原則，特徴，補足と関連するサブクラスが下記のサブセクション内の索引に示されている。<br>次のようなことが索引から理解される。<br>―与えられた類の中の同種の装置に対して，作動流体の特徴が関連している:<br>Ｆ０１ＢおよびＦ０４Ｂ　機械<br>Ｆ０１ＣおよびＦ０４Ｃ　機械<br>Ｆ０１ＤおよびＦ０３Ｂ　機械<br>Ｆ０１ＢおよびＦ０３Ｃ　機関<br>Ｆ０１ＣおよびＦ０３Ｃ　機関<br>Ｆ０１ＤおよびＦ０３Ｂ　機関<br>―同じ種類の作動流体に対して，装置の特徴が相対的一般性から考えて同様にサブクラスに関連する。<br>機械<br>　容積形<br>　回転または揺動ピストン<br>　　液体および弾性流体または弾性流体　Ｆ０１Ｃ<br>　　流体のみ　Ｆ０４Ｃ<br>　往復ピストンまたはその他<br>　　液体および弾性流体または弾性流体　Ｆ０１Ｂ<br>　　流体のみ　Ｆ０４Ｂ<br>％容積形<br>　　液体および弾性流体または弾性流体　Ｆ０１Ｄ<br>　　流体のみ　Ｆ０３Ｂ<br>機関<br>　容積形<br>　回転または揺動ピストン<br>　　液体および弾性流体または弾性流体　Ｆ０１Ｃ<br>　　流体のみ　Ｆ０３Ｃ<br>　往復ピストンまたはその他<br>　　液体および弾性流体または弾性流体　Ｆ０１Ｂ<br>　　流体のみ　Ｆ０３Ｃ<br>％容積形<br>　　液体および弾性流体または弾性流体　Ｆ０１Ｄ<br>　　流体のみ　Ｆ０３Ｂ<br>ポンプ<br>　容積形<br>　　回転または揺動ピストン　Ｆ０４Ｃ<br>　　往復ピストンまたはその他　Ｆ０４Ｂ<br>％容積形　Ｆ０４Ｄ
F01B	機械または機関，例．蒸気機関，一般または容積形のもの（回転形ピストンまたは揺動ピストン形のものＦ０１Ｃ；非容積形のものＦ０１Ｄ；燃焼機関Ｆ０２；往復動ピストン式機関の内部燃焼に関するものＦ０２Ｂ５７／００，Ｆ０２Ｂ５９／００；クランク軸，クロスヘッド，連接棒Ｆ１６Ｃ；はずみ車Ｆ１６Ｆ；回転運動と往復運動の変換用装置一般Ｆ１６Ｈ；機関用ピストン，ピストン棒，シリンダ一般Ｆ１６Ｊ）<br><br><u>注</u><br><br>１．このサブクラスは，サブクラスＦ０１ＣからＦ０１Ｐに分類される事項を除いた以下のものを包含する：<br>−圧縮性流体用機関，例．蒸気機関；<br>−液体および圧縮性流体用機関；<br>−圧縮性流体用機械；<br>−液体および圧縮性流体用機械。<br>２．特に蒸気および特殊蒸気の定義に関しては，クラスＦ０１の前の注に注意すること。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
F01C	回転ピストン式または揺動ピストン式機械または機関（内部燃焼に関するものＦ０２Ｂ５３／００，Ｆ０２Ｂ５５／００）<br><br><u>注</u><br><br>１．このサブクラスは以下のものを包含する：<br>―圧縮性流体．例．水蒸気，を用いる回転ピストン式または揺動ピストン式機関；<br>―液体および圧縮性流体を用いる回転ピストン式または揺動ピストン式機関；<br>―圧縮性流体を用いる回転ピストン式または揺動ピストン式機械；<br>―液体および圧縮性流体を用いる回転ピストン式または揺動ピストン式機械。<br>２．このサブクラスにおいては，下記の表現は以下に示す意味で用いる：<br>―回転ピストン式機械という用語はドイツ語のＤｒｅｈｋｏｌｂｅｎｍａｓｃｈｉｎｅｎＫｒｅｉｓｋｏｌｂｅｎｍａｓｃｈｉｎｅｎおよびＵｍｌａｕｆｋｏｌｂｅｎｍａｓｃｈｉｎｅｎなる表現をも含んでいる。<br>３．特に回転ピストン式機械，揺動ピストン機械，回転ピストン，共動部材，共動部材の運動，歯または歯に相当する部分および内部軸に関する定義についてはクラスＦ０１の前の注に注意すること。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
F01D	非容積形機械または機関，例．蒸気タービン（液体用機械または機関Ｆ０３；非容積形ポンプＦ０４Ｄ）<br><br><u>注</u><br><br>１．このサブクラスは以下のものを包含する；<br>−圧縮性流体用非容積形機関，例．蒸気タービン；<br>−液体および圧縮性流体用非容積形機関；<br>−圧縮性流体用非容積形機械；<br>−液体および圧縮性流体用非容積形機械<br>２．特に反動形例．エアーフォイル形ブレード，及び衝動形，例．バケットタービン，の定義に関して，クラスＦ０１の前の注に注意すること。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
F01K	蒸気機関設備；蒸気アキュムレータ；他に分類されない機関設備；特殊な作動流体またはサイクルを用いた機関（ガスタービンあるいはジェット推進設備Ｆ０２；原子力動力設備，その機関の配設Ｇ２１Ｄ）<br><br><u>注</u><br><br>クラスＦ０１の前の注，特に蒸気および特殊蒸気の定義に注意すること。<br><br><u>警告</u><br><br>このサブクラスにおいては（ＩＰＣ指針第３９段落の意味における）非限定参照も分類表において依然として表示される。
F01L	周期的に作動する機械または機関用弁<br><br><u>注</u><br><br>１．グループＦ０１Ｌ１／００−Ｆ０１Ｌ１３／００は可変流体配分の装備をもたない弁装置または弁配列のみを包含する。<br>２．蒸気機関に特に適合する弁装置または弁配置はグループＦ０１Ｌ１５／００−Ｆ０１Ｌ３５／００に包含される。<br>３．可変作動流体配分のある機械または機関に特に適合した弁配置はグループＦ０１Ｌ１５／００−Ｆ０１Ｌ３５／００に包含される。<br>４．クラスＦ０１の前の注，特に注（３）に注意すること。<br>５．上記注（３）に関して，Ｆ０１Ｂ３／１０，Ｆ０１Ｂ１５／０６，Ｆ０１Ｃ２１／１８，Ｆ０２Ｂ５３／０６，Ｆ０３Ｃ１／０８，Ｆ０４Ｂ１／１８，Ｆ０４Ｂ７／００，Ｆ０４Ｂ３９／０８，Ｆ０４Ｂ３９／１０，およびＦ０４Ｃ１５／０６，Ｆ０４Ｃ２９／１２に注意すること。<br><br><u>警告</u><br><br>以下のＩＰＣグループはＣＰＣ分類表にはない。これらのグループに分類される主題事項は，以下の各ＣＰＣグループに分類される：<br>Ｆ０１Ｌ３１／２０ は Ｆ０１Ｌ３１／０８−Ｆ０１Ｌ３１／１８ に包含される<br>Ｆ０１Ｌ３１／２２ は Ｆ０１Ｌ３１／０８−Ｆ０１Ｌ３１／１８ に包含される<br>Ｆ０１Ｌ３１／２４ は Ｆ０１Ｌ３１／０８−Ｆ０１Ｌ３１／１８ に包含される
F01M	機械または機関の潤滑一般（潤滑一般Ｆ１６Ｎ）；内燃機関の潤滑；クランク室の換気<br><br><u>注</u><br><br>クラスＦ０１の前の注，特に注（３）に注意すること。
F01N	機械または機関のためのガス流消音器または排気装置一般；内燃機関用ガス流消音器または排気装置（｛煙霧が生成される領域からの排気Ｂ０８Ｂ１５／００；衝撃工具上における排気または消音装置の配置Ｂ２５Ｄ１７／１２｝；車両の推進装置の排気に関する配置Ｂ６０Ｋ１３／００；｛船またはその他の船舶におけるものＢ６３Ｈ２１／３２；航空機のものＢ６４Ｄ３３／０４；火器における排気または消音装置の配置Ｆ４１Ａ２１／３０；航空機機関またはジェット雑音を減少させるための地上装置Ｂ６４Ｆ１／２６；特に蒸気機関に応用される消音器Ｆ０１Ｂ３１／１６；ガスタービンまたはジェット推進設備のための空気入口消音器Ｆ０２Ｃ７／０４５:ジェット推進設備のためのジェットパイプまたはノズルＦ０２Ｋ｝；特に内燃機関に応用されまたはその上に配置される燃焼空気入口消音器Ｆ０２Ｍ３５／００；｛容積形装置またはポンプの雑音を防止または消音するものＦ０４Ｂ３９／００２７；回転ピストン装置またはポンプにおけるものＦ０４Ｃ２９／０６，非容積形ポンプにおけるものＦ０４Ｄ２９／６６；雑音を吸収する弁におけるものＦ１６Ｋ４７／０２；パイプ系統の雑音吸収器Ｆ１６Ｌ５５／０２；多様な場所から煙または煙霧を外部に導くものＦ２３Ｊ１１／００；空気調整または排気装置の雑音を防止または抑制する手段Ｆ２４Ｆ１３／２４｝；雑音の防止あるいは軽減一般Ｇ１０Ｋ１１／１６）<br><br><u>注</u><br><br>　クラスＦ０１の前の注，特に注（２ｂ）に注意すること。[Ｎ:<br><br><u>注</u><br><br>このサブクラスにおいては，２００４年３月１日以降の新規文献は，リフォームされたＥＣＬＡ分類手順に従って分類する。すなわち，重要な情報（発明情報）にはＥＣＬＡ分類記号，例．Ｆ０１Ｎ１／００３，を付与し，他の（二次）情報には，ＩＣＯ分類記号，例．Ｆ０１Ｎ１／００３(ＥＣＬＡ)，を付与する。]
F01P	機械またはエンジンの冷却一般；内燃機関の冷却（車両の推進装置の冷却に関する配置Ｂ６０Ｋ１１／００；伝熱，熱交換，または蓄熱用の物質Ｃ０９Ｋ５／００；｛ガスタービンエンジンの冷却Ｆ０２Ｃ７／１２｝；　熱交換一般，ラジエーターＦ２８）<br><br><u>注</u><br><br>１．このサブクラスにおいては下記の用語または表現は以下に示す意味で用いる:空気はまた他のガス状冷却流体も含む；液体冷却はまた液体が冷却される部品と空気間の伝熱流体として使用される冷却も含む，例．ラジエータを使うもの；空気冷却は直接空気冷却を意味し，それゆえこれまでに述べられたような液体冷却装置で起こる間接空気冷却を除外する；冷却空気は直接的あるいは間接的に作用する冷却空気を含む。２．クラスＦ０１の前の注，特に注（３）に注意すること。３．潤滑剤による冷却は，潤滑に要旨があるときはサブクラスＦ０１Ｍに，冷却に要旨があるときはサブクラスＦ０１Ｐに分類される。
F02	燃焼機関；熱ガスまたは燃焼生成物を利用する機関設備
