F02F1/00	シリンダ；シリンダヘッド（一般的なものＦ１６Ｊ）
F02F1/002	｛一体成形されたシリンダ及びシリンダヘッド｝
F02F1/004	
F02F2001/006	
F02F2001/008	
F02F1/02	冷却手段があるもの（リンダヘッドＦ０２Ｆ１／２６）
F02F1/04	空気冷却
F02F1/045	[Ｎ．クランクケースへのシリンダの取付｝
F02F1/06	冷却フィンの形または構成；フィン付きシリンダ
F02F1/065	｛冷却媒体を方向付けまたは配分するための手段のあるもの｝
F02F1/08	ライナおよびシリンダ冷却部が別体となったものまたは異種の材料から成るもの
F02F1/10	液体冷却
F02F1/102	｛クランクケースへのシリンダの取付部｝
F02F2001/104	
F02F2001/106	
F02F1/108	｛サイアミーズ型シリンダ，すなわち一体鋳造シリンダ｝
F02F1/12	液体接触面の腐食を防止したもの
F02F1/14	液体の流れを方向付け，案内しまたは配分する手段を有するシリンダ
F02F1/16	湿式シリンダライナ
F02F1/163	｛ライナーが中間支持されているもの｝
F02F1/166	｛スペーサデッキ｝
F02F1/18	他のシリンダ
F02F1/183	｛楕円形または角柱シリンダ｝
F02F1/186	｛同一シリンダ内で往復する２以上のピストンを有する機関で使用するもの（そのような機関自体Ｆ０２Ｂ７５／２８）｝
F02F1/20	潤滑を備えた構成を特徴とするもの
F02F1/22	シリンダ壁に掃気または給気の口があることを特徴とするもの
F02F1/24	シリンダヘッド
F02F2001/241	
F02F1/242	｛スパークプラグまたはインジェクタの構成｝
F02F1/243	｛一体鋳造のシリンダヘッド及び吸気または排気マニホルド｝
F02F2001/244	シリンダヘッドにおける弁軸の構成
F02F2001/245	弁軸がシリンダ軸とある角度で方向づけられているもの
F02F2001/246	および燃焼室表面から放射状に方向づけられているもの
F02F2001/247	弁軸がシリンダ軸と平行に方向づけられているもの
F02F2001/248	弁座の開口間の区域における熱ストレス誘起亀裂を避けるための方法
F02F2001/249	
F02F1/26	冷却手段のあるもの
F02F1/28	空気冷却
F02F1/30	フィン付きシリンダヘッド
F02F1/305	｛シリンダヘッドが側弁形式のもの｝
F02F1/32	シリンダヘッドが頭上弁タイプのもの
F02F1/34	冷却媒体を方向付けまたは配分するための手段をもつもの（Ｆ０２Ｆ１／３２が優先）
F02F1/36	液体冷却
F02F1/365	｛シリンダヘッドが側弁形式のもの｝
F02F1/38	シリンダヘッドが頭上弁形式のもの
F02F1/40	液体の流れを方向付け，案内し，または配分する手段をもつシリンダヘッド（Ｆ０２Ｆ１／３８が優先）
F02F1/42	シリンダヘッドにおける吸気または排気径路の形状または配置
F02F2001/4207	
F02F1/4214	｛特にシリンダあたり４個以上の弁に適用するもの｝
F02F1/4221	｛特に４個以上の吸気弁用のもの（そのような弁駆動用機構Ｆ０１Ｌ１／２６５）｝
F02F1/4228	｛螺旋形流路｝（Ｆ０２Ｂ３１／００が優先）
F02F1/4235	
F02F1/4242	
F02F1/425	
F02F1/4257	
F02F1/4264	
F02F1/4271	
F02F2001/4278	
F02F1/4285	
F02F1/4292	
F02F3/00	ピストン（一般的なものＦ１６Ｊ）
F02F2003/0007	
F02F3/0015	｛多部材ピストン｝
F02F3/0023	｛部品がボルトまたはネジで締め合わされたもの｝
F02F3/003	｛部品が，鋳造，ロウ付，溶接または締め付により接続されているもの｝
F02F2003/0038	
F02F2003/0046	
F02F2003/0053	
F02F2003/0061	
F02F3/0069	｛クラウン及びスカートがガジオンピンにより相互接続されているもの｝
F02F3/0076	｛ピストン内部がリブまたはフィンで設けられているもの｝
F02F3/0084	｛ピストンが特定材料から構成されているもの｝
F02F3/0092	｛材料が鋼板であるもの｝
F02F3/02	熱膨張を調節または制御する手段があるもの
F02F3/022	｛ピストンが楕円形周縁または非筒形スカートを有するもの，例．　楕円ピストン（Ｆ０２Ｆ３／０２５，Ｆ０２Ｆ３／０２７が優先）｝
F02F3/025	｛周辺にスロット状ピストンスカートを有するもの，例．　Ｔ形スロット｝
F02F3/027	｛スカート壁部がキャビティを有するもの｝
F02F3/04	熱膨張を制御する挿入物のあるもの
F02F3/042	｛挿入物が個別の壁部を相互接続するスカート内の補強材を含むもの，例．　棒体または帯体｝
F02F3/045	｛挿入物がクラウン内に位置するもの｝
F02F3/047	｛挿入物がガジオンピン軸受周囲に位置するもの｝
F02F3/06	バイメタル効果のある挿入物
F02F3/08	環状の挿入物
F02F3/10	表面被覆のあるもの（Ｆ０２Ｆ３／０２が優先）
F02F3/105	｛被覆がダブル・スカートを形成するもの｝
F02F3/12	ピストンヘッドにあるもの
F02F3/14	燃焼室内にあるもの
F02F3/16	冷却手段のあるもの
F02F3/18	ピストン内の密閉された空所内にある液体または固体の冷却剤，例．ナトリウム，によるもの
F02F3/20	ピストンに沿うまたは貫通する流体の流れによる冷却手段
F02F3/22	その流体が液体であるもの
F02F3/225	｛液体が有底孔に方向付けられているもの｝
F02F3/24	シリンダ内の気体を案内する手段のあるもの，例．２サイクル機関における掃気を案内する手段
F02F3/26	ピストンヘッドに燃焼室があるもの（その表面の被覆Ｆ０２Ｆ３／１４）
F02F3/28	特殊形状のヘッドをもつ他のピストン
F02F3/285	｛ヘッドが燃焼ガス接触面内またはその面上に位置する挿入物を設けているもの｝
