F05B2200/00	数学的特徴
F05B2200/10	基本関数
F05B2200/11	足し算
F05B2200/12	引き算
F05B2200/13	掛け算
F05B2200/14	割り算
F05B2200/15	逆数
F05B2200/20	特別な関数
F05B2200/21	ルート
F05B2200/211	平方根
F05B2200/212	立方根
F05B2200/22	累乗
F05B2200/221	平方累乗
F05B2200/222	立方累乗
F05B2200/23	対数
F05B2200/24	指数関数
F05B2200/25	双曲線三角法のもの，例．双曲線正弦，双曲線余弦，双曲線正接
F05B2200/26	三角法のもの
F05B2200/261	正弦
F05B2200/262	余弦
F05B2200/263	正接
F05B2200/264	余接
F05B2200/30	その他のもの
F05B2200/31	奇数
F05B2200/32	偶数
F05B2200/33	大きいもの／小さいもの
F05B2200/34	最大のもの／最小のもの
F05B2200/35	最初のもの
F05B2200/36	最後のもの
F05B2210/00	作動流体<br><br><u>注</u><br><br>グループＦ０５Ｂ２２１０／００のインデキシングコードの後には，＋記号に続けて特定の作動流体の名称を続けることができる，例．Ｆ０５Ｂ２２１０／１１＋水。
F05B2210/10	種類または型
F05B2210/11	液体，すなわち非圧縮性のもの
F05B2210/12	気体状のもの，すなわち圧縮性のもの
F05B2210/13	混合されたもの，例．二相流体
F05B2210/132	気相を分離および排出するための手段をもつポンプ
F05B2210/14	特定の特性をもつ冷媒，例．ＨＦＣ−１３４ａ
F05B2210/16	空気または水が区別なく作動流体として用いられるもの，すなわち機械が空気または水を何の調節なく同等に用いて作動できるもの
F05B2210/18	空気および水が作動流体として同時に用いられるもの
F05B2210/20	特性
F05B2210/30	流動の特徴
F05B2210/301	流れに沿って一定に保たれたマッハ数をもつもの
F05B2210/302	流れに沿って一定に保たれた圧力
F05B2210/40	流れの幾何学的形状または方向
F05B2210/401	圧縮空気の浮力により上方へ
F05B2210/402	軸方向の吸入口および径方向の流出口
F05B2210/403	径方向の吸入口および軸方向の流出口
F05B2210/404	双方向性，すなわち反対，交互の方向
F05B2220/00	適用
F05B2220/10	ラムジェット機関またはラムジェットにより駆動される乗り物におけるもの
F05B2220/20	閉鎖された流体導管，例．管，内でのもの
F05B2220/25	広告としてのもの
F05B2220/30	タービンにおけるもの
F05B2220/301	蒸気タービンにおけるもの
F05B2220/302	ガスタービンにおけるもの
F05B2220/31	ラムエアタービン（ＲＡＴＳ）におけるもの
F05B2220/32	水力タービンにおけるもの
F05B2220/40	ターボ過給機におけるもの
F05B2220/50	補助動力装置のためのもの（ＡＰＵ’ｓ）
F05B2220/60	余剰または廃棄エネルギーの使用
F05B2220/602	エネルギー回収タービンをもつもの
F05B2220/604	家庭内集中暖房または発電のためのもの
F05B2220/61	水素および／または酸素の生成のためのもの
F05B2220/62	淡水化のためのもの
F05B2220/64	通気のためのもの
F05B2220/70	以下のものとの組み合わせにおけるもの
F05B2220/702	他の装置が蒸気タービンであるもの
F05B2220/703	他の装置が水力タービンであるもの
F05B2220/704	他の装置がガスタービンであるもの
F05B2220/705	他の装置が風力タービンであるもの
F05B2220/706	発電機
F05B2220/7062	直流（ＤＣ）型のもの
F05B2220/7064	交流（ＡＣ）型のもの
F05B2220/70642	同期型のもの
F05B2220/70644	非同期型，すなわち誘導型のもの
F05B2220/70646	二重給電誘導発電機（ＤＦＩＧ）
F05B2220/7066	直接の接合，すなわち歯車なしでの伝動，を経るもの
F05B2220/7068	永久磁石を装備したもの
F05B2220/707	直線形のもの
F05B2220/708	光電手段，すなわち光電圧または太陽電池
F05B2220/709	圧電手段
F05B2230/00	製造<br><br><u>注</u><br><br>処理，組立または分解方法，修理，取扱いまたは類似のものからなる製造
F05B2230/10	材料の除去によるもの
F05B2230/101	電気化学的な方法によるもの
F05B2230/102	放電加工法によるもの
F05B2230/103	レーザーを用いるもの
F05B2230/104	マイクロ加工
F05B2230/20	本質的に材料の除去をともなわないもの
F05B2230/21	鋳造によるもの
F05B2230/211	精密鋳造によるもの，例．マイクロ溶融または焼流し鋳造
F05B2230/22	焼結によるもの
F05B2230/23	永久的な部品同士の結合によるもの
F05B2230/232	溶接によるもの
F05B2230/233	電子ビーム溶接
F05B2230/234	レーザー溶接
F05B2230/235	ティグ／ミグ溶接
F05B2230/236	拡散接合
F05B2230/237	ろう付け
F05B2230/238	はんだ付け
F05B2230/239	慣性または摩擦溶接
F05B2230/24	押出成形によるもの
F05B2230/25	鍛造によるもの
F05B2230/26	圧延によるもの
F05B2230/30	材料の堆積をともなうもの
F05B2230/31	層堆積
F05B2230/311	灯火または火炎の噴霧によるもの
F05B2230/312	プラズマの噴霧によるもの
F05B2230/313	物理的気相蒸着法によるもの
F05B2230/314	化学的気相蒸着法によるもの
F05B2230/40	熱処理
F05B2230/41	焼入れ；焼きなまし
F05B2230/50	特定の方法での構築または構成
F05B2230/502	既存のまたは在庫のある部品を用いるもの，例．規格化されたターボ過給部品を用いるもの
F05B2230/60	組立方法
F05B2230/601	機械加工により適合可能な限定された数の標準モジュールを用いるもの
F05B2230/604	調心または心出し用の位置決め装置または調心装置，例．ピン，を用いるもの
F05B2230/606	差分膨張を許容する調心保持を用いるもの
F05B2230/608	位置または調心を調整するためのもの，例．楔または傍心
F05B2230/61	持上げまたは保持するための補助装備を用いるもの（構造体自体に装備を備えた静止構造体上への巻き上げＦ０５Ｂ２２４０／９１６）
F05B2230/6102	浮き台の上に乗せて運ばれるもの
F05B2230/70	分解方法
F05B2230/80	修理，新部品の導入または性能向上の方法
F05B2230/90	被覆；表面処理（材料の堆積をともなう製造Ｆ０５Ｂ２２２０／３０）
F05B2240/00	構成部品<br><br><u>注</u><br><br>構成部品は構造体の基本要素である。
F05B2240/10	固定子
F05B2240/11	シュラウドのシール片
F05B2240/12	流体案内手段，例．羽根
F05B2240/121	邪魔板またはリブ
F05B2240/122	混合用の渦発生器，攪拌器，または類似のもの（乱流の生成によるものＦ０５Ｂ２２６０／２２２）
F05B2240/123	ノズル
F05B2240/1231	プラグノズル
F05B2240/124	カスケード，すなわち並列に作用する類似の外形のものの組立体
F05B2240/13	タービンに向かうまたはタービンから離れる流れを集めるまたは引き起こすもの
F05B2240/131	垂直構造物，すなわち煙突，の手段によるもの
F05B2240/132	渦または竜巻効果の生成
F05B2240/133	収束−発散案内構造，例．ベンチュリ導管，をもつもの
F05B2240/14	その内側で組立体を保護または支持するケーシング，ハウジング，ナセル，ゴンドラまたは類似のもの
F05B2240/142	標準ＩＳＯコンテナの形態のもの
F05B2240/20	回転子
F05B2240/201	マグヌス効果を用いるもの
F05B2240/202	遮断された流体の調整可能域をもつもの
F05B2240/2021	伸縮翼によるもの
F05B2240/2022	テザーリングまたはコーニング羽根によるもの
F05B2240/2023	径方向に畳み込まれる羽根によるもの
F05B2240/21	風力タービン用のもの
F05B2240/211	垂直軸をもつもの
F05B2240/212	ダリウス型のもの
F05B2240/213	サボニウス型のもの
F05B2240/214	マスグローブまたはＨ型のもの
F05B2240/215	垂直軸風車または車両換気装置型のもの
F05B2240/216	風速計型のもの
F05B2240/217	交差流型またはバンキ型または複動型のもの
F05B2240/218	垂直に枢動された羽根をもつもの
F05B2240/221	水平軸をもつもの
F05B2240/2211	多翼で低速，例．アメリカンファーム型，のもの
F05B2240/2212	風向きに対して垂直なもの
F05B2240/2213	かつ偏揺れ旋回軸より風下に回転翼をもつもの
F05B2240/231	空力的揚力効果により駆動されるもの
F05B2240/232	抗力により駆動されるもの
F05B2240/24	タービン用
F05B2240/241	衝動型のもの
F05B2240/2411	ペルトン型
F05B2240/242	反動型のもの
F05B2240/243	アルキメデスねじ式のもの
F05B2240/244	交差流型，例．バンキ型，オスバーガー型のもの
F05B2240/30	回転子翼の特徴，すなわち動的流体エネルギーを回転エネルギーにまたは回転エネルギーから動的流体エネルギーに変える要素および回転子に取り付けられる要素のもの
F05B2240/301	断面特性
F05B2240/302	分割型のまたは部分的な翼
F05B2240/303	前縁の細部
F05B2240/304	後援の細部
F05B2240/3042	鋸歯状の後援
F05B2240/305	フラップ，スラットまたはスポイラー
F05B2240/3052	調整可能なもの
F05B2240/306	表面の手段
F05B2240/3062	渦の発生器
F05B2240/307	翼の先端，例．ウィングレット
F05B2240/31	可変の形態または形状のもの
F05B2240/311	可撓性または弾性のもの
F05B2240/312	たたみ込まれることが可能なもの
F05B2240/3121	回転子の回転軸に対して直交する軸の周りでのもの
F05B2240/313	調整可能な流れ遮断域をもつもの（Ｆ０５Ｂ２２４０／３１２が優先）
F05B2240/32	粗面をもつもの
F05B2240/33	回転子の一部であるまたは回転子と共に回転しているシュラウド
F05B2240/37	多数の回転子
F05B2240/372	同軸に配置されたもの
F05B2240/374	主回転子の翼に取り付けられた補助回転子
F05B2240/40	同様の構成部品の多数の使用
F05B2240/50	軸受
F05B2240/51	磁気的なもの
F05B2240/511	永久磁石をもつもの
F05B2240/515	電磁的なもの
F05B2240/52	軸推力軸受
F05B2240/53	動圧または静圧軸受
F05B2240/54	ラジアル軸受
F05B2240/57	シール材
F05B2240/571	ブラシ状シール材
F05B2240/572	板状シール材
F05B2240/60	ｲ
F05B2240/61	中空のもの
F05B2240/62	可撓性のもの
F05B2240/63	流体の軸への進入または軸からの除去のための腺
F05B2240/70	油切り板またはワッシャ
F05B2240/80	静止または可動翼用のプラットフォーム
F05B2240/801	冷却されたプラットフォーム
F05B2240/85	電気的な結合装置
F05B2240/90	支持構造体または支持システムへの取り付け
F05B2240/91	静止構造体上のもの
F05B2240/911	優先する目的のために既に存在するもの
F05B2240/9111	それが煙突であるもの
F05B2240/9112	それが煙突であるもの建物であるもの
F05B2240/9113	それが走行する車両からエネルギーを回収するための道路，鉄軌道，または類似のものであるもの
F05B2240/912	塔上のもの
F05B2240/9121	格子塔上のもの
F05B2240/913	帆柱上のもの
F05B2240/914	膨張式の構造体上のもの
F05B2240/915	垂直に調整可能なもの
F05B2240/9151	伸縮性のもの
F05B2240/9152	枢動によるもの
F05B2240/91521	地表面のもの
F05B2240/916	構造体上に巻き上げるための装備をもつもの
F05B2240/917	鋼索に取り付けられたもの
F05B2240/9172	牽引および被牽引をともなう凧型のもの
F05B2240/9174	タービンおよび飛行パターンをともなう凧型のもの
F05B2240/9176	飛行パターンなく取り付けられたタービンをもつ羽，凧またはブイ体
F05B2240/92	空中構造体上のもの
F05B2240/921	空力効果により空中に保たれているもの
F05B2240/922	浮力効果により空中に保たれているもの
F05B2240/923	乗り物であるもの
F05B2240/93	液面上に浮く構造体上のもの
F05B2240/931	乗り物であるもの
F05B2240/932	双胴船状の構造であるもの
F05B2240/94	可動性の車輪付きの構造体上のもの
F05B2240/941	陸上移動体であるもの
F05B2240/95	沖合いのもの
F05B2240/96	風力タービン発電地帯の一部としてのもの
F05B2240/965	水力タービン発電地帯の一部としてのもの
F05B2240/97	水中構造体上のもの
F05B2240/98	膨張式のもの
F05B2240/99	色または色模様に特徴のあるもの
F05B2250/00	幾何学的形状<br><br><u>注</u><br><br>幾何学的形状とは，機械または設備における構成部品の形状または形態または構成部品の構造または配置を示す。
F05B2250/02	可変
F05B2250/10	二次元
F05B2250/11	三次元
F05B2250/12	矩形
F05B2250/121	正方形
F05B2250/13	台形
F05B2250/131	多角形
F05B2250/132	六角形
F05B2250/14	楕円形
F05B2250/141	円形
F05B2250/15	螺旋形
F05B2250/16	放物線
F05B2250/17	双曲線
