F15D1/00	液体の流れに影響を与えるもの
F15D1/0005	｛邪魔板｝
F15D1/001	｛管，スリーブ，チューブなどの導管からの真空排気表面へ均等分配する流体の流れ｝
F15D1/0015	｛渦巻室｝
F15D1/002	｛境界層の影響によるもの（Ｆ１５Ｄ１／０６およびＦ１５Ｄ１／１２が優先）｝
F15D1/0025	｛受動的手段，例．外部からのエネルギ供給がないもの，を用いるもの｝
F15D1/003	｛表面の機能，例．ギザギザまたは突起，からなるもの（Ｆ１５Ｄ１／００５５，Ｆ１５Ｄ１／００６が優先）｝
F15D1/0035	｛小さなあばら骨の形状のもの｝
F15D1/004	｛流れ方向と本質的に平行に方向付けられるもの｝
F15D1/0045	｛流れ方向と本質的に直角に方向付けられるもの｝
F15D1/005	｛小さなくぼみの形状のもの｝
F15D1/0055	｛流体が流れから引き出されるかまたは流体が流れに向かって注入される表面に設けられた孔からなるもの｝
F15D1/006	｛表面，または少なくともそれらの一部が流体の流れにより移動または変形される，移動する表面からなるもの｝
F15D1/0065	｛能動的手段，例．外部からエネルギが供給されまたは流体が注入されるもの，を用いるもの｝
F15D1/007	｛外部から供給されるエネルギにより移動される表面からなるもの｝
F15D1/0075	｛流体の状態に影響を与える電磁気的または静電気的手段，例．流体のイオン化のものまたはプラズマの生成のためのもの，からなるもの｝
F15D1/008	｛流体の注入または吸引手段からなるもの｝
F15D1/0085	｛境界層に影響を与えるための特徴的な表面を形成するための方法｝
F15D1/009	｛渦環の手段によるもの｝
F15D1/0095	｛流体から注入流体が得られ再び再注入される，流体のジェットパルスの注入の手段，例．合成ジェットアクチュエータ，によるもの（Ｆ１５Ｄ１／００８が優先）｝
F15D1/02	管内または導管内におけるもの
F15D1/025	｛オリフィスまたは絞りの手段によるもの｝
F15D1/04	管路のエルボまたはダクトのベンドの中の案内羽根装置；流れに関連し，とりわけ流れの損失を減少させるための，管路要素またはエルボの構造
F15D1/06	境界層に影響を与えるもの｛（材料，例．表面摩擦を減少させるためのもの，の使用Ｃ０９Ｋ３／００）｝
F15D1/065	｛素子が管内に全長にわたって分散されたことによるものまたはそれぞれの素子が管内に規則的にされたことによるもの｝
F15D1/08	オリフィスからの噴流のもの（噴流を機械的に阻止または偏向するための装置をもつノズルまたは出口Ｂ０５Ｂ，例．Ｂ０５Ｂ１／２６）
F15D1/10	固体物体のまわりのもの
F15D1/12	境界層に影響を与えるもの｛（材料，例．表面摩擦を減少させるためのもの，の使用Ｃ０９Ｋ３／００）｝
F15D1/14	流れを代替流路に転ずるもの（水力学におけるものＥ０２Ｂ）
