F28F1/00	管状要素；管状要素の組み立て（運動用に特に適したものＦ２８Ｆ５／００）
F28F1/003	｛多重壁導管，例．漏れ検出用のもの（金属冷却原子炉の蒸気発生機の漏れ検出Ｆ２２Ｂ１／０６６｝
F28F1/006	｛可変形状をもつもの，例．変形した管端をもつもの，異なる幾何学的特徴をもつもの（Ｆ２８Ｆ１／０２５，Ｆ２８Ｆ１／０６，Ｆ２８Ｆ１／０８，Ｆ２８Ｆ９／１６，Ｆ２８Ｆ９／１８が優先）｝
F28F1/02	横断面が非円形の管状要素（Ｆ２８Ｆ１／０８，Ｆ２８Ｆ１／１０が優先）
F28F1/022	｛多数の溝をもつもの｝
F28F1/025	｛可変形状をもつもの．例．変形した管端をもつもの，異なる幾何学的特徴をもつもの（Ｆ２８Ｆ１／０６，Ｆ２８Ｆ１／０８，Ｆ２８Ｆ９／１６，Ｆ２８Ｆ９／１８が優先）｝
F28F2001/027	｛ディンプル（窪み）をもつもの｝
F28F1/04	多角形，例．長方形｛（Ｆ２８Ｆ１／０２２が優先）｝
F28F1/045	｛積層要素の組み立てをともなうもの｝
F28F1/06	横断面においてちぢらせたまたは波形にしたもの
F28F1/08	縦断面においてちぢらせたまたは波形にした管状要素
F28F1/10	熱伝達面積を増加するための管状要素およびその組み立て，例．ひれをもつもの，突出部をもつもの，凹みをもつもの（ちぢらせたまたは波形にした管状要素Ｆ２８Ｆ１／０６，Ｆ２８Ｆ１／０８）
F28F1/105	｛その手段が管状要素の周囲に延在する波状要素であるもの｝
F28F1/12	管状要素の外面のみにある手段
F28F1/122	｛かつ針金から形成されたもの｝
F28F1/124	｛かつピンから形成されたもの｝
F28F1/126	｛ジグザグ形状のひれからなるもの（Ｆ２８Ｆ１／１０５が優先）｝
F28F1/128	｛開口をもつひれ，例．ルーバーのひれ｝
F28F1/14	縦に延びるもの（Ｆ２８Ｆ１／３８が優先）
F28F1/16	要素と一体に形成される手段，例．押し出しにより形成したもの（Ｆ２８Ｆ１／２２が優先）
F28F1/18	ひれ部分から組み立てられた要素
F28F1/20	要素に付加されうる手段（Ｆ２８Ｆ１／２２が優先） 
F28F1/22	管状要素にさらに係合する部分をもつ手段
F28F1/24	横に延びるもの（Ｆ２８Ｆ１／３８が優先）
F28F1/26	要素と一体に形成される手段（Ｆ２８Ｆ１／３２が優先）
F28F1/28	ひれ部分から組み立てられた要素
F28F1/30	要素に付加される手段（Ｆ２８Ｆ１／３２が優先）
F28F1/32	管状要素にさらに係合する部分をもっている手段
F28F1/325	｛開口をもつひれ｝
F28F1/34	斜めに延びるもの（Ｆ２８Ｆ１／３８が優先）
F28F1/36	ら旋状に巻いたひれ，または針金をもつ手段
F28F1/38	曲りくねった流体通路を作るため互い違いにしたもの
F28F1/40	管状要素の内側のみにある手段
F28F1/405	｛かつ針金から形成されたもの｝
F28F1/42	管状要素の内外両面にある手段
F28F1/422	｛管状要素に一体化された外側手段および管状要素に一体化された内側手段をもつもの（Ｆ２８Ｆ１／４２４が優先）｝
F28F1/424	｛内側部分に一体化された外側部分からなる手段｝
F28F1/426	｛外側部分および内側部分が相補的な形状，例．凹凸，をなすもの｝
F28F2001/428	｛外側または内側のひれを製造するための特定の方法｝
F28F1/44	金網を形成したもの
F28F3/00	板状または積層板状要素；板状または積層板状要素の組み立て（運動用に特に適合する要素Ｆ２８Ｆ５／００）
F28F3/005	｛異なる熱交換媒体間の直接の接触を防ぐための装置（Ｆ２８Ｆ３／１０が優先）｝
F28F3/02	熱伝達面の増加のための要素またはその組み立て，例．ひれをもつもの，凹みをもつもの，波状部のあるもの（Ｆ２８Ｆ３／０８が優先）
F28F3/022	｛針金またはピンである手段｝
F28F3/025	｛波状，板状の要素である手段｝
F28F3/027	｛開口をもつもの，例．ルーバーの波状のひれ；波状の細片の集合体｝
F28F3/04	要素に一体に形成される手段
F28F3/042	｛要素の局部的な変形の形態のもの｝
F28F3/044	｛変形が点状，例．ディンプル（くぼみ），であるもの｝
F28F3/046	｛変形が線状，例．波状，であるもの｝
F28F3/048	｛要素に一体に形成されたリブまたは要素の厚みの局部的な変化，例．溝，マイクロ溝，の形態のもの｝
F28F3/06	要素に付加されうる手段
F28F3/08	集合体を形成するために組み立てられた要素，例．清掃のため分離することができるもの
F28F3/083	｛分離可能であるもの｝
F28F3/086	｛管状の熱交換通路を形成する１つ以上の開口を内部にもつもの｝
F28F3/10	縁部を密封するための装置
F28F3/12	中空パネル状に組み立てられた要素，例．みぞをもつもの｛（Ｆ２８Ｄ１／０２，Ｆ２８Ｄ１／０３が優先）｝
F28F3/14	みぞを形成するために１対の接合板の一部を膨張などにより分離したもの（その製造Ｂ２３Ｐ）
F28F5/00	運動用に特に適合する要素（要素を動かすための装置に関しては，関係装置についてのそれぞれのサブクラスを参照）
F28F5/02	回転ドラムまたはローラ
F28F5/04	中空羽根車，例．かきまぜ羽根
F28F5/06	中空ねじコンベヤ
F28F7/00	グループＦ２８Ｆ１／００，Ｆ２８Ｆ３／００，またはＦ２８Ｆ５／００に包含されない要素
F28F7/02	熱交換媒体の通路が横切る区画｛（Ｆ２８Ｄ７／０００８が優先）｝
F28F9/00	外箱；管寄せ箱；要素の補助支持；外箱の補助部材
F28F9/001	｛板状装置の形状の外箱；熱交換コアを取り囲む枠体｝
F28F9/002	｛他の構造物のための固定手段をもつもの｝
F28F2009/004	｛多数のコアのための共通の枠体要素｝
F28F9/005	｛外箱内の他の補助部材，例．内部充填手段または密封手段｝
F28F9/007	要素用補助支持具
F28F9/0075	｛板または板装置のための支持具｝
F28F9/013	管または管装置用
F28F9/0131	｛板により形成されたもの（Ｆ２８Ｆ９／０１３８が優先）｝
F28F9/0132	｛スレート，タイロッド，関節式のまたは伸縮可能なロッドにより形成されたもの｝
F28F9/0133	｛同心状の細片により形成されたもの｝
F28F9/0135	｛閉じた格子開口毎にただ一つの管をもつ格子により形成されたもの（Ｆ２８Ｆ９／０１３２およびＦ２８Ｆ９／０１３３が優先）｝
F28F9/0136	｛交差する細片により形成されたもの｝
F28F9/0137	｛針金により形成されたもの，例．ら旋状に巻かれたもの（Ｆ２８Ｆ９／０１３５が優先）｝
F28F9/0138	｛ひだ付きの管のためのスリーブにより形成されたもの｝
F28F9/02	管寄せ箱；鏡板
F28F9/0202	｛仕切り板で分割された内部空間をもつ管寄せ箱｝
F28F9/0204	｛長尺の管寄せ箱のためのもの，例．横方向および縦方向の仕切り板をもつもの｝
F28F9/0207	｛縦方向または横方向の仕切板が管寄せ箱に取り付けられた別個の要素であるもの（Ｆ２８Ｆ９／０２１２，Ｆ２８Ｆ９／０２１７が優先）｝
F28F9/0209	｛横方向の仕切板のみをもつもの｝
F28F9/0212	｛仕切板が管寄せ箱に取り付けられた別個の要素であるもの｝
F28F9/0214	｛縦方向の仕切板のみをもつもの｝
F28F9/0217	｛仕切板が管寄せ箱に取り付けられた別個の要素であるもの｝
F28F9/0219	｛外箱または管寄せ箱内に鏡板を密封するための装置；管寄せ箱の副要素（Ｆ２８Ｆ９／０２３６が優先）｝
F28F9/0221	｛積層要素で形成された管寄せ箱または鏡板｝
F28F9/0224	｛覆い内への鏡板の密封により形成された管寄せ箱（Ｆ２８Ｆ９／０２２１が優先）｝
F28F9/0226	｛弾性ガスケットをもつもの｝
F28F9/0229	｛二重鏡板；中空空間をもつ単一の鏡板｝
F28F9/0231	｛拡張室をもつ管寄せ箱｝
F28F9/0234	｛それらの内部に配置された第二の熱交換器，例．オイルクーラ，をもつもの｝
F28F9/0236	｛浮揚要素｝
F28F9/0239	｛浮揚管寄せ箱｝
F28F9/0241	｛浮揚鏡板｝
F28F9/0243	｛円形の断面をもつ管寄せ箱｝
F28F9/0246	｛管寄せ箱を配管と連結するための装置｝
F28F9/0248	｛管寄せ箱に連結器を密封するための装置｝
F28F9/0251	｛大規模な連結器，例．ブロック；板状の連結器｝
F28F9/0253	｛多数の溝をもつもの，例．流入および流出の溝の組み合わせをもつもの｝
F28F9/0256	｛配管に連結器を連結するための装置｝
F28F9/0258	｛迅速作動型のもの，例．スナップ動作をともなうもの｝
F28F9/026	｛静的流量制御手段をもつもの，例．導管内へ熱交換媒体を均一に分配するための手段をもつもの｝
F28F9/0263	｛管寄せ箱の幾何形状または断面形状の変更によるもの｝
F28F9/0265	｛管寄せ箱の内部での案内手段または衝突手段の使用によるもの｝
F28F9/0268	｛熱交換媒体の流路のための多数の偏向器の形態のもの｝
F28F9/027	｛分配管を形成するもの｝
F28F9/0273	｛多数の孔をもつもの｝
F28F9/0275	｛多数の分岐管をもつもの｝
F28F9/0278	｛鏡板上に配置された積層された分配板または穿孔された板の形態のもの｝
F28F9/028	｛管寄せ箱の内部での流れの様式の変調のための挿入物の使用によるもの，例．流れ制限器または透過体または溝をもつブロックの使用によるもの｝
F28F9/0282	｛導管の端部の機械形状の変更によるもの，例．導管の入口または出口における流れの様式の変調のための納入物または取付物の使用によるもの｝
F28F2009/0285	｛他の特定の管寄せまたは鏡板｝
F28F2009/0287	｛別の熱交換媒体のための通路をもつもの｝
F28F2009/029	｛断面の増大または縮小をともなうもの，例．円錐形状をもつもの｝
F28F2009/0292	｛ひれをもつもの｝
F28F2009/0295	｛冷却回路からなるもの｝
F28F2009/0297	｛側部の管寄せ，例．共通の管寄せに側方から連結された導管をもつラジエータのためのもの｝
F28F9/04	管寄せ箱または鏡板内への密封要素のための装置｛（管寄せ箱に流路連結器を密封するための装置Ｆ２８Ｆ９／０２４８）｝
F28F9/06	取りはずしできる継ぎ手によるもの 
F28F9/08	くさび形連結によるもの，例．テーパフェルール
F28F9/10	ねじ形連結によるもの，例．パッキン押え
F28F9/12	フランジ形連結によるもの
F28F9/14	強制接合によるもの
F28F9/16	永久的継ぎ手によるもの，例．圧延によるもの（金属加工方法一般Ｂ２１，Ｂ３２，特にＢ２１Ｄ３９／０６，Ｂ２３Ｋ）
F28F9/162	｛接着または密封物質，例．接着剤，の使用によるもの（Ｆ２８Ｆ９／１８が優先）｝
F28F9/165	｛付加的な予備成形部品，例．スリーブ，ガスケット，の使用によるもの（Ｆ２８Ｆ９／１８５が優先）｝
F28F9/167	｛部品が熱交換導管に挿入されたもの｝
F28F9/18	溶接によるもの
F28F9/182	｛熱交換導管が特定の形状の端部をもつもの，例．変形されたもの；熱交換導管または端部の管が補助的な接続手段，例．接合点，をもつもの｝
F28F9/185	｛付加的な予備成形部品をもつもの｝
F28F9/187	｛少なくとも一つの部品が非金属であるもの，例．熱密封プラスチック要素｝
F28F9/20	熱反射器の配置，例．別個にさし込みうる反射壁
F28F9/22	連続する区画内へ熱交換媒体を導くための装置，例．案内板の配置
F28F2009/222	｛特定の案内板，そらせ板または偏向器，例．細長い外箱または導管に沿った特定の方向をもつもの｝
F28F2009/224	｛縦方向の仕切り｝
F28F2009/226	｛横方向の仕切り｝
F28F2009/228	｛斜め方向の仕切り｝
F28F9/24	熱交換媒体の乱流促進のための装置，例．板によるもの（Ｆ２８Ｆ１／３８が優先；一般的なものＦ１５Ｄ）
F28F9/26	熱交換要素，例．放熱器，の異なった部分を連結するための装置（水加熱器内における異なった部分の連結Ｆ２４Ｈ９／１４，｛管寄せの入口または出口継手との連結Ｆ２８Ｆ９／０２４６）｝
F28F9/262	｛ラジエータ用のもの（Ｆ２８Ｄ１／０４０８が優先）｝
F28F9/264	｛スリーブ，ニップルによるもの｝
F28F9/266	｛ネジ型連結によるもの｝
F28F9/268	｛永久的な接続によるもの，例．溶接によるもの｝
F28F11/00	漏れやすい管および導管を密封するための装置（パイプ内またはパイプからの流れの停止一般Ｆ１６Ｌ５５／１０）
F28F11/02	互いに独立して挿入および操作される閉鎖要素，例．ワッシャ，を用いるもの（Ｆ２８Ｆ１１／０６が優先）
F28F11/04	中央操作棒に取り付けられる対の閉鎖要素，例．ワッシャ，を用いるもの（Ｆ２８Ｆ１１／０６が優先）
F28F11/06	自動管閉鎖装置を用いるもの
F28F13/00	熱伝達を修正，例．増加，減少，するための装置（Ｆ２８Ｆ１／００〜Ｆ２８Ｆ１１／００が優先）
F28F2013/001	｛特定の熱伝導材料，例．超伝導要素（熱的接続用Ｆ２８Ｆ２０１３／００６）｝
F28F13/003	｛透過型物質，穿孔されたまたは多孔質の材料，の使用によるもの（Ｆ２８Ｆ１３／１８が優先）｝
F28F2013/005	｛熱的接続｝
F28F2013/006	｛熱伝導材料｝
F28F2013/008	｛伝導性可変材料：熱スイッチ｝
F28F13/02	流体の境界に影響をおよぼすことによるもの（境界層制御一般Ｆ１５Ｄ）
F28F13/04	熱交換面における凝縮水の連続膜の形成を妨げることによるもの，例．水滴形成を促進することによるもの｛（Ｆ２８Ｆ１３／１８が優先）｝
F28F13/06	熱交換媒体の流れの様式に影響を与えることによるもの｛（Ｆ２８Ｆ１３／００３が優先；管寄せ箱内の静的流量制御手段Ｆ２８Ｆ９／０２６）｝
F28F13/08	流路の横断面を変えることによるもの
F28F13/10	流れに対して脈動を与えることによるもの，例．音波振動による
F28F13/12	乱流を起こすことによるもの，例．かきまぜによるもの，循環力の増加によるもの（Ｆ２８Ｆ１３／０８が優先）
F28F13/125	｛かきまぜによるもの｝
F28F13/14	導管の壁に熱伝導度の異なる帯域をつけることによるもの
F28F13/16	熱交換媒体に静電場を与えることによるもの
F28F13/18	被覆材を適用することによるもの，例．放射熱を吸収，放射熱を反射；表面処理によるもの，例．つや出し
F28F13/182	｛蒸発器または凝縮器の表面に特に適合したもの（Ｆ２８Ｆ１３／１８７が優先）｝
F28F13/185	｛微細構造体または多孔性被覆材を備えた熱交換表面｝
F28F13/187	｛蒸発器の表面または凝縮器の表面に特に適合したもの，例．核を生成する部位をもつもの｝
F28F17/00	熱交換装置から氷または水の除去
F28F17/005	｛熱交換器から，例．蒸発器から，凝縮水を排出するための手段をもつもの（Ｆ２８Ｂ９／０８が優先）｝
F28F19/00	沈積物の形成または腐食の予防，例．ろ過器｛またはスクレーパ｝を用いるもの
F28F19/002	｛挿入品または付属品の使用によるもの｝
F28F19/004	｛保護的な電流，電圧，陰極，陽極，短絡回路の使用によるもの｝
F28F19/006	｛氷の堆積防止｝
F28F19/008	｛スクレーパの使用によるもの｝
F28F19/01	固体物質を熱交換流体から分離するための手段を用いることによるもの，例．フィルタ
F28F19/02	被覆材，例．ガラスまたはエナメル被膜，の使用による
F28F19/04	ゴム；プラスチック物質；ワニスによるもの
F28F19/06	金属によるもの
F28F21/00	特別の材料の選択に特徴のある熱交換装置の構造｛（熱伝達を修正するための被覆材Ｆ２８Ｆ１３／１８；堆積物の形成または腐食を防止するための被覆材Ｆ２８Ｆ１９／０２）｝
F28F21/003	｛家庭用または区域暖房システム用のもの｝
F28F21/006	｛ガラスのもの｝
F28F21/02	炭素，例．黒鉛
F28F21/04	セラミック；コンクリート；天然石
F28F21/045	｛家庭用または区域暖房システム用のもの｝
F28F21/06	プラスチック材料
F28F21/061	｛家庭用または区域暖房システム用のもの｝
F28F21/062	｛熱交換装置が管状導管を採用したもの｝
F28F21/063	｛家庭用または区域暖房システム用のもの｝
F28F21/065	｛熱交換装置が板状のまたは積層された導管を採用したもの｝
F28F21/066	｛家庭用または区域暖房システム用のもの｝
F28F21/067	｛細部｝
F28F21/068	｛家庭用または区域暖房システム用のもの｝
F28F21/08	金属
F28F21/081	｛金属または金属合金から製造された熱交換要素｝
F28F21/082	｛鉄または鉄合金からのもの｝
F28F21/083	｛ステンレス鋼からのもの｝
F28F21/084	｛アルミニウムまたはアルミニウム合金からのもの｝
F28F21/085	｛銅または銅合金からのもの｝
F28F21/086	｛チタンまたはチタン合金からのもの｝
F28F21/087	｛ニッケルまたはニッケル合金からのもの｝
F28F21/088	｛家庭用または区域暖房システム用のもの｝
F28F21/089	｛金属または金属合金から製造された被覆，貼合せまたは接着層（Ｆ２８Ｆ１９／０６が優先）｝
F28F23/00	中間熱交換物質の使用に関する特徴，例．組成の選択（伝熱，熱交換，または保熱用の物質Ｃ０９Ｋ５／００）
F28F23/02	液状態で同様にえられまたは維持できる装置
F28F25/00	散水式冷却器の構成要素（熱伝達を増加するための配置Ｆ２８Ｆ１３／００；制御配置Ｆ２８Ｆ２７／００）
F28F2025/005	｛液体の回収；液体の処理；液体の再循環；補充液体の添加｝
F28F25/02	分配，循環，および流体溜のためのもの（噴射または噴霧一般Ｂ０５Ｂ，Ｂ０５Ｄ）
F28F25/04	分配または受液とい
F28F25/06	噴射ノズルまたは噴射パイプ
F28F25/08	はねかけ板または格子，例．液体噴射を液体膜に変えるためのもの；接触面積を増加させるためのろ過要素またはろ床（充填要素それ自体Ｂ０１Ｊ１９／３０，Ｂ０１Ｊ１９／３２）
F28F25/082	｛離隔した細長い棒材，木摺；それらのための支持具｝
F28F25/085	｛本質的に水平な格子；ブロック｝
F28F25/087	｛垂直なまたは傾斜したシート；支持具またはスペーサ｝
F28F25/10	ガスまたは蒸気を供給するためのもの
F28F25/12	ダクト；案内羽根，例．別の区域へ流れを運ぶためのもの
F28F27/00	熱交換および熱伝達装置のために特に適した制御装置（制御装置一般Ｇ０５）
F28F27/003	｛冷却塔のために特に適合したもの｝
F28F27/006	｛再生式熱交換装置のために特に適合したもの｝
