F41J1/00	標的，例．固定式（Ｆ４１Ｊ２／００，Ｆ４１Ｊ７／００，Ｆ４１Ｊ９／００が優先；矢またはダーツ用Ｆ４１Ｊ３／００；　｛射撃または投擲ゲーム用Ａ６３Ｆ９／０２０４｝）
F41J1/01	材料，構造または表面に特徴のある標的円盤　｛，例．材質を特徴とするクレー標的｝（Ｆ４１Ｊ５／０４４が優先）
F41J1/08	砲，例．大砲，用；航空機による攻撃用；目標，例．戦車，航空機，をまねた実物大模型
F41J1/10	標的台；標的保持器
F41J2/00	反射標的，例．レーダー反射標的；電磁波を発信するアクティブ標的　｛または音響｝波
F41J2/02	赤外放射線を発信するアクティブ標的
F41J3/00	矢またはダーツ用標的，例．スポーツまたは娯楽用　｛（射撃ゲームまたは投擲ゲームの標的Ａ６３Ｆ９／０２０４）｝
F41J3/0004	
F41J3/0009	
F41J3/0014	
F41J3/0019	
F41J3/0023	
F41J3/0028	
F41J3/0033	
F41J3/0038	
F41J3/0042	
F41J3/0047	
F41J3/0052	
F41J3/0057	
F41J3/0061	
F41J3/0066	
F41J3/0071	
F41J3/0076	
F41J3/008	
F41J3/0085	
F41J3/009	
F41J3/0095	
F41J3/02	矢またはダーツ競技用の表示または得点板　｛（Ｆ４１Ｊ５／００が優先；時間表，射撃者の申し込みリストまたは申し込み用紙Ｂ４２Ｄ１５／００６６）｝
F41J5/00	標的表示方式；標的命中または得点検知方式　｛（射撃ゲームまたは投擲ゲームのためのものＡ６３Ｆ９／０２０４；光学手段を用いた発射速度測定装置Ｇ０１Ｐ３／６８５）｝
F41J5/02	光電式命中検知方式　｛（銃の発射をシミュレートするための発光装置からなるものＦ４１Ｇ３／２６２２；光学手段により検知するものＧ０１Ｖ８／１０）｝
F41J5/04	電気式命中表示方式；電気的接触またはスイッチの作動による命中検知
F41J5/041	｛座標系グリッドを形成する２組の電気接点からなる標的｝
F41J5/042	｛発射体の命中によりギャップを埋めるための同一面に配置された電気接点のシステムからなる標的｝
F41J5/044	貫通発射体による短絡用に２つ以上の導電層を有する標的
F41J5/048	層の１つが分割された標的の一部をしているもの
F41J5/052	多数の電気的接点からなり，それぞれが分割された標的の一部に相当し，かつそれらの動きによって作動される標的（Ｆ４１Ｊ５／０５６が優先）
F41J5/056	標的体の命中で発生する機械的振動によるスイッチの作動，例．衝撃または振動変換器を用いるもの
F41J5/06	音響式命中表示方式，すなわち衝撃波の検知（Ｆ４１Ｊ５／０５６が優先）
F41J5/08	赤外線命中表示方式
F41J5/10	映写による命中表示方式（映写標的Ｆ４１Ｊ９／１４）
F41J5/12	射撃誤差距離表示用（Ｆ４１Ｊ５／０２〜Ｆ４１Ｊ５／１０が優先）
F41J5/14	射手に命中または得点を，例．手動による，信号で知らせるための，または標的と射手間の通信のための装置；命中または得点記録用装置
F41J5/16	手動の得点評価器，例．得点プラグまたはゲージを用いるもの；標的保持器から取外した後標的上で得点を評価するための装置
F41J5/18	標的に命中したとき機械的に作動または動く命中表示手段を有する標的，例．円盤または旗（命中時全体として標的が見えなくなりまたは動くものＦ４１Ｊ７／０４）
F41J5/20	標的の命中部分，すなわち得点を表示するもの
F41J5/205	｛命中時，位置がずれるまたは損傷する標的部分を持つもの，例．目視検査用のもの｝
F41J5/22	表示手段が展開装置であるもの
F41J5/24	命中時特殊な効果を生じる標的，例．火工装薬の爆発，ベル，写真
F41J5/26	命中時爆発または分解するもの（Ｆ４１Ｊ９／１６が優先）
F41J7/00	発射の時に静止している移動自在な標的
F41J7/02	検査時に可動のもの
F41J7/04	隠れるもの　｛または移動するもの｝命中するときのもの｛（爆発する標的Ｆ４１Ｊ５／２６；爆発するクレー標的Ｆ４１Ｊ９／１６５）｝
F41J7/06	急に上下に動く標的，すなわち間欠的にまたは不意に現われる標的
F41J9/00	可動標的，すなわち発射時も動いているもの（Ｆ４１Ｊ２／００が優先）
F41J9/02	陸上移動標的　｛例．流体圧により支えられた膨張可能標的｝
F41J9/04	海上移動標的
F41J9/06	えい航されているもの
F41J9/08	空輸標的，例．無人標的機，たこ，気球　｛（標的をえい航する航空機Ｂ６４Ｄ３／０２）｝
F41J9/10	えい航されているもの
F41J9/14	映写標的，例．映画標的　｛（Ｆ４１Ｇ３／２６が優先）｝
F41J9/16	陶製皿状標的；陶製円盤状標的　｛（Ｆ４１Ｊ１／０１が優先）｝
F41J9/165	｛命中マーキングまたは追跡手段を有するもの｝
F41J9/18	そのための標的飛ばし，またはトラップ
F41J9/20	投出腕をバネで作動するもの
F41J9/22	手動式
F41J9/24	電気機械式
F41J9/26	液圧で操作するもの
F41J9/28	手動で操作するもの
F41J9/30	標的用マガジンを使用することに特徴のあるもの
F41J9/32	飛行径路を予測することをさまたげる手段に特徴のあるもの
F41J11/00	射撃場
F41J11/02	そのための安全手段
F41J13/00	弾丸受け
F41J13/02	標的と組み合わせたもの
