F42C1/00	衝撃のみで作動する信管，すなわち着発信管
F42C1/02	信管内部に撃針をもつもの
F42C1/04	衝撃を受けた部品の慣性により作動するもの
F42C1/06	全方向衝撃用　｛電気的接触部品Ｆ４２Ｃ１９／０６｝
F42C1/08	信管の発火後遅延作用のあるもの（時限信管Ｆ４２Ｃ９／００）　｛または衝撃後のもの｝
F42C1/09	弾薬または弾頭を空中に発射するための推進薬を発火させる信管，例．反発発射体におけるもの
F42C1/10	撃針をもたないもの
F42C1/12	信管の発火後遅延作用のあるもの（時限信管Ｆ４２Ｃ９／００）
F42C1/14	突出した部分により地面または標的から定められた距離で作動するもの
F42C3/00	液体に接触することにより作動する信管，例．海水（Ｆ４２Ｃ５／００が優先；時限信管Ｆ４２Ｃ９／００）
F42C5/00	所定の状態の流体圧力により作動する信管　｛（流体圧作動スイッチＨ０１Ｈ３５／２４）｝
F42C5/02	気圧によるもの
F42C7/00	所定の機械力，例．張力，ねじり力，圧力，の利用により作動する信管（弾薬の衝撃によるものＦ４２Ｃ１／００，所定の周囲流体圧力を受けることによるものＦ４２Ｃ５／００）
F42C7/02	接触信管，すなわち設置弾薬，例．地雷，と移動標的，例．人間，との間の機械的接触により作動する信管（Ｆ４２Ｃ７／１２が優先）
F42C7/04	弾頭に圧力を加えることにより作動するもの
F42C7/06	更に気圧または水圧による遅延手段を含むもの
F42C7/08	解放形，すなわち弾頭からの圧力解放により作動するもの
F42C7/10	アンテナ形
F42C7/12	複動の撃発信管，すなわち単一動作で発火準備および発火する信管，例．組み込まれた撃針または撃鉄を引くことによるもの（撃発雷管Ｆ４２Ｃ１９／１０）
F42C9/00	時限信管；時限およ衝撃または圧力を併用する信管；弾薬の時限自爆用信管
F42C9/02	機械作用による時限
F42C9/04	ばね発動機によるもの　｛Ｆ４２Ｃ９／１４１が優先；巻き上げまたは設定に特に適合した信管用ハウジングＦ４２Ｃ１９／０２｝
F42C9/041	｛時計仕掛けが保護装置を作動するもの，例．撃針のロックを解除するためのもの｝
F42C9/043	｛および撃針が衝撃により作動するもの｝
F42C9/045	｛および撃針がバネにより作動するもの｝
F42C9/046	｛および作動バネが時計仕掛け機構のバネであるもの｝
F42C9/048	｛時計仕掛け機構のロックを解除するもの，例．慣性力または遠心力によるもの；時計仕掛け機構を設定機構からはずす手段｝
F42C9/06	流動物質，例．発射物，流体，の流れによるもの
F42C9/08	化学作用による，例．酸による，時限　｛（Ｆ４２Ｃ９／１４が優先）｝
F42C9/10	燃焼による時限　｛（Ｆ４２Ｃ９／１４が優先）｝
F42C9/12	輪状燃焼素子によるもの
F42C9/14	複動信管
F42C9/141	｛時計仕掛けの時限信管と組み合わされた着発信管｝
F42C9/142	｛タイミングが燃焼により引き起こされる時限および撃発信管を組み合わせたもの｝
F42C9/144	｛リング状またはらせん状燃焼要素をもつもの｝
F42C9/145	｛タイミングが化学反応により引き起こされる時限および撃発信管を組み合わせたもの｝
F42C9/147	｛電気式時限信管と組み合わされた着発信管｝
F42C9/148	｛他の信管と組み合わされた近接信管｝
F42C9/16	弾薬の自爆用　｛（Ｆ４２Ｃ９／１４１からＦ４２Ｃ９／１４８が優先）｝
F42C9/18	スピン率が定められた限度以下に落ちるとき，例．ばねの力が遠心力作用ロックの固定作用よりも強いもの
F42C11/00	電気信管　（｛他の信管と組み合わせたものＦ４２Ｃ９／１４｝；近接信管Ｆ４２Ｃ１３／００；　｛電気手段により行われる安全または安全解除Ｆ４２Ｃ１５／４０；信管用電気接触部品Ｆ４２Ｃ１９／０６｝；電気点火装置Ｆ４２Ｃ１９／１２，　[Ｎ:Ｆ４２Ｂ３／１２からＦ４２Ｂ３／１８；光学点火装置Ｆ４２Ｂ３／１１３]）
F42C11/001	｛弾薬の等級または型式を特徴とする信管用電気回路（Ｆ４２Ｃ１１／０２からＦ４２Ｃ１１／０６が優先；手榴弾または水雷用電気点火装置をもつ機械式信管Ｆ４２Ｃ１４／０２５，Ｆ４２Ｃ１４／０４５）｝
F42C11/002	｛高性能信管，すなわち統合された走査，誘導および固定方式をもつもの｝
F42C11/003	｛手榴弾用｝
F42C11/005	｛水雷，例．魚雷，機雷，爆雷｝
F42C11/006	｛投下爆弾用｝
F42C11/007	｛地雷用｝
F42C11/008	
F42C11/02	ピエゾ効果のある結晶体によるもの
F42C11/04	電流の感応によるもの
F42C11/06	電流回路によって遅延するもの
F42C11/065	｛発射体におけるプログラム式電子遅延発火装置｝
F42C13/00	近接信管；遠隔から点火する信管　｛（Ｆ４２Ｃ９／１４８が優先；細部構造Ｆ４２Ｃ１９／００；アンテナの取り付けＦ４２Ｂ３０／００６）｝
F42C13/003	｛静電場の変化により作動するもの｝
F42C13/006	｛非誘導，回転，制動または重力駆動兵器，例．パラシュート制動の副武器用｝
F42C13/02	光線または類似の放射線の強さにより作動するもの
F42C13/023	｛アクティブ距離測定を使用するもの｝
F42C13/026	｛光伝送リンクにより作動する遠隔操作発射体信管｝
F42C13/04	電波により作動するもの
F42C13/042	｛コード化されたレーダ技法による距離決定に基づくもの｝
F42C13/045	｛ＦＭ波の送信を使用するもの｝
F42C13/047	｛無線リンクにより作動する遠隔操作発射体信管｝
F42C13/06	音波により作動するもの
F42C13/08	磁場の変化により作動するもの
