F42D1/00	爆破方法または装置，例．装填または填塞（てんさい）
F42D1/02	組立体をつくるための爆破薬包の設置（そのための爆破薬包の適用Ｆ４２Ｂ３／０２）
F42D1/04	発火のための装置　｛（成形装薬穴あけ機用の発火システムＥ２１Ｂ４３／１１８５；　地震エネルギー発生機用の発火装置　Ｇ０１Ｖ１／０６）｝
F42D1/041	｛起爆筒を取付けるための薬包に適合した工具　（起爆筒の取付けに特に適合した薬包　Ｆ４２Ｂ３／２６）｝
F42D1/042	｛論理爆発回路，例．爆発性ダイオードをもつもの｝　
F42D1/043	｛導爆線と着火管，例．　ノネルチューブ，用のコネクタ（爆破薬包内への起爆筒の取付け　Ｆ４２Ｂ３／２６）｝　
F42D1/045	電気発火のための装置（電動発電機Ｈ０２Ｋ）
F42D1/05	爆破のための電気回路
F42D1/055	複数個の装薬を延時時間で発火させるもの
F42D1/06	複数の装薬の発火間隔　（｛Ｆ４２Ｄ１／０４３　および｝　Ｆ４２Ｄ１／０５５が優先）　
F42D1/08	填塞（てんさい）の方法；ボアホールに爆薬を装填する方法；そのための装置
F42D1/10	粒状またはスラリー爆薬の供給；空気圧または水圧による爆薬の供給
F42D1/12	空気圧または水圧による填塞材料の供給
F42D1/14	手動の填塞または装填
F42D1/16	填塞道具
F42D1/18	ボアホール用栓
F42D1/20	填塞薬包，すなわち填塞材料を含む薬包（曲げられるまたは変形しうる爆破薬包Ｆ４２Ｂ３／０８７）
F42D1/22	爆破薬包または填塞薬包を保持または位置決めする方法
F42D1/24	填塞材料に特徴のあるもの
F42D1/26	泡状薬剤を有するもの
F42D1/28	ゲル状薬剤を有するもの
F42D3/00	爆破技術の特別な応用　｛爆発溶接　Ｂ２３Ｋ２０／０８；　爆発ボルトまたはアクチュエータ　Ｆ４２Ｂ３／００６；　爆発弁　Ｆ１６Ｋ１３／０６；　爆発で作動する切削装置　Ｂ２３Ｄ１５／１４５；　火薬式アクチュエータ　Ｆ１５Ｂ１５／１９；　爆発で作動する切換装置　Ｈ０１Ｈ３９／００）｝
F42D3/02	高層構造物，例．煙突を爆破する場合
F42D3/04	岩石爆破に用いる場合
F42D3/06	地震探鉱を目的とする場合
F42D5/00	保安装置
F42D5/02	不発装薬の探索
F42D5/04	装薬の安全化処理，例．弾薬の破壊　（｛Ｆ４２Ｂ３９／１４　およびＦ４２Ｂ３９／２０が優先｝；　火管の抜取り，弾薬の解体　Ｆ４２Ｂ３３／０４，　Ｆ４２Ｂ３３／０６；　｛爆発物の化学的不活性化　Ｃ０６Ｂ２１／００９１｝）；装薬の爆発の安全化処理
F42D5/045	爆ごう波の吸収または減衰手段
F42D5/05	爆破マット
F42D5/055	爆破作業のための防音手段
F42D5/06	ボアホールからの薬回収
F42D99/00	このサブクラスの他のグループには分類されない主題事項
