G03B1/00	フィルム片の取り扱い
G03B1/02	一端の引張りによるフイルム片の移送
G03B1/04	巻取スプールによる引張り
G03B1/06	レバーで作動される爪車と爪により回転するもの
G03B1/08	ベルト，チェイン，ラック，その他の直線性往復運動の作動により回転するもの
G03B1/10	歯車装置を経てノブにより回転するもの
G03B1/12	モーターの回転によるもの，例．スプリング
G03B1/14	フイルムの一定長さの移動を確保するための特殊な装置
G03B1/16	フイルム係止用ピンによるもの
G03B1/18	フイルム両端末間でフイルム上に作用する手段によるフイルム片の移送
G03B1/20	作動手段
G03B1/22	フイルムの穴部と係合する爪またはピン
G03B1/24	フイルムの穴部と係合するスプロケット
G03B1/26	フイルムにはまらない針車またはピン
G03B1/28	シャトル送り
G03B1/30	ベルト送り
G03B1/32	摩擦挾部材またはローラー
G03B1/34	ビーター
G03B1/36	空気による作動手段
G03B1/38	ジェネバ運動によるもの，例．マルチスクロス
G03B1/40	摩擦継手またはクラッチによるもの
G03B1/42	フイルムをレンズ系に対して必要な位置に案内，フレミングまたは拘束するもの
G03B1/44	フイルム側縁と係合する案内（ゲートＧ０３Ｂ１／４８）
G03B1/46	フイルム面と係合するローラー，例．円筒体，筒体中央を細くしたもの，円錐体（ゲートＧ０３Ｂ１／４８）
G03B1/48	ゲートあるいは圧着装置，例．圧板
G03B1/50	調節式または交換可能なもの，例．フイルム幅の相違に対して
G03B1/52	空気圧着装置
G03B1/54	緊張用またはループ維持装置
G03B1/56	装填；ループ形成
G03B1/58	自動的なもの
G03B1/60	使用済または未使用のフイルムの長さの測定または表示；露出の駒数の計数
G03B1/62	ロック装置または輸動停止装置を含むもの
G03B1/64	スプール上でコイル状に巻かれたフイルムの半径を探知する手段によるもの
G03B1/66	露出の数の計数
G03B3/00	カメラ，映写機または焼付機のために一般的に重要な焦点調節装置
G03B3/02	基板に沿ってレンズを動かすもの
G03B3/04	レンズを動かすことなく像面の位置を調節するもの
G03B3/06	光路の長さを変化させるため可動反射鏡を使用するもの
G03B3/10	パワーフォーカス
G03B3/12	遠隔制御に適用されるもの
G03B5/00	像または被写体面に対する焦点調節以外の光学系の調節
G03B5/02	レンズの横方向調節
G03B5/04	レンズの垂直方向調節；前面をあげるもの
G03B5/06	光軸に対する垂直面内でレンズを振るもの
G03B5/08	後部を振るもの
G03B7/00	シャッター，絞りまたはフィルターを，各単独に，または連動して設定することによる露出の制御（カメラの光学的部分に作用する回路を用いる，テレビジョンカメラの露出の制御Ｈ０４Ｎ５／２３８）
G03B7/003	｛シャッターおよび絞りの設定（Ｇ０３Ｂ７／０２〜Ｇ０３Ｂ７／２２が優先）｝
G03B7/006	｛絞りおよび距離の設定（Ｇ０３Ｂ７／０２〜Ｇ０３Ｂ７／２２が優先）｝
G03B7/01	手動露出制御と自動露出制御との切換
G03B7/02	カメラ本体と別個かカメラ本体内蔵のいずれか一方の測光計により与えられた表示または示度に応じてカメラ上の目盛部分を設定することにより行なう制御
G03B7/04	内蔵せる光感応装置の指示に合わせて部材を手動調整しておこなう制御，例．固定の関連結合記号に指針を合わせ直すもの
G03B7/06	関連結合記号を指針に追跡動作させるもの
G03B7/08	カメラにより受けられる光に対し内蔵光感応装置の応答だけにより行なう制御
G03B7/0805	優先モードの切換
G03B7/081	アナログ回路
G03B7/083	露出時間を制御するもの
G03B7/085	絞りを制御するもの
G03B7/087	露出時間と絞りを共に制御するもの
G03B7/089	レフックスカメラにおける露出値を記憶するもの
G03B7/091	デジタル回路
G03B7/093	露出時間を制御するもの
G03B7/095	絞り口径を制御するもの
G03B7/097	露出時間と絞りを共に制御するもの
G03B7/099	カメラ内のあるいはカメラに取付けられた光電素子の配置
G03B7/09908	｛カメラにまたは対物レンズに｝
G03B7/0993	カメラ内
G03B7/0997	ＴＴＬ方式による測定
G03B7/09971	｛リフレックスカメラ内に（Ｇ０３Ｂ７／０９９７９が優先）｝
G03B7/09972	｛鏡をセンサ光の反射または伝送部材として用いるもの｝
G03B7/09973	｛鏡をセンサとして用いるもの｝
G03B7/09974	｛フィルムまたはシャッタをセンサ光の反射部材として用いるもの｝
G03B7/09976	｛センサがポロプリズムの中，前，または後に装着されるもの｝
G03B7/09977	｛可動の光測定要素をもつもの｝
G03B7/09978	｛ビュアーのバックライトまたはビュアー光の測定光への統合に対する保護｝
G03B7/09979	｛マルチゾーン光の測定｝
G03B7/10	設定部材を動かすエネルギーを与えるサーボモーター
G03B7/12	設定部材を動かすエネルギーを与えながら一つの位置から他の位置に動かされる手動作動部材，例．シャッターレリーズ釦の押下げ光感応装置の指針と共働する段状部の接触部材をして絞りを設定させ，その後でシャッターをレリーズするもの
G03B7/14	焦点深度と露出不足との間の最適な妥協を与えるようにしたシャッター速度と絞り開口の両者の設定
G03B7/16	閃光光源の強度と被写体から閃光光源までの距離との両者に適合するもの，例．閃光電球のガイドナンバーとカメラの焦点調節とによるもの
G03B7/17	閃光撮影モードと他の撮影モードとの切換
G03B7/18	フィルターその他カメラのレンズと共にまたはレンズに取り付けて用いられる他の減光体による減光係数に適合するもの
G03B7/20	レンズの交換に適合するもの
G03B7/22	温度または高度に適合するもの，例．航空機用
G03B7/24	カメラに装置されたフィルムマガジンのフィルム感度または種類を示す，マークまたは他の手段に自動的に適合するもの
G03B7/26	電源；電源におけるスイッチ回路または配置；電源電圧のチェック回路
G03B7/28	被写体コントラストの測定あるいはそれを考慮する回路
G03B7/30	露出制御のための安全装置
G03B9/00	露出を行なうシャッター；絞り
G03B9/02	絞り
G03B9/04	大きさが階段的に変化する二つ以上の開口を有する摺動式または旋回式の単一の可動板，例．摺動板，旋回板
G03B9/06	共働し旋回しうる二枚またはそれ以上の羽根，例．アイリス型（開口の範囲を制限して絞りの機能を有するシャッターＧ０３Ｂ９／０８）
G03B9/07	絞りをあらかじめ設定する手段を持つもの
G03B9/08	シャッター
G03B9/10	その平面に対する垂直軸の周りに回転または旋回しうる羽根または円板
G03B9/12	単一体として動き相対的に調節しうる二つの開口決定部材
G03B9/14	反対方向に動きうる二つの分離した部材
G03B9/16	同方向に動きうる二つの分離した部材
G03B9/18	三つ以上の部材
G03B9/20	各部材がそれぞれ特定の一方向に動いて先ず開き，そして次に再び閉じるもの
G03B9/22	各部材がそれぞれ特定の一方向に動いて開き次に反対方向に動いて閉じるもの，例．アイリス型
G03B9/24	調節により実質上の絞りを構成するように，完全に開いたとき部材によって形成される開口の大きさを調節するもの
G03B9/26	一枚または複数の遮光羽根を組み込んだもの
G03B9/28	ローラー・ブラインドまたは可撓性の板
G03B9/30	複数の細溝その他の開口を有する単一ブラインド
G03B9/32	二つのブラインド
G03B9/34	調節できる細溝を持つもの；細溝を形成するためのブラインドの相対動作を制御する機構を持つもの
G03B9/36	摺動剛板
G03B9/38	複数の細溝その他の開口を有する単一の剛板
G03B9/40	二つの剛板
G03B9/42	調節できる細溝を持つもの；細溝を形成するための剛板の相対動作を制御する機構を持つもの
G03B9/44	湾曲した走路と剛板
G03B9/46	フラップ面内の軸の回りに旋回しうるフラップシャッター
G03B9/48	二つのフラップ
G03B9/50	ルーバー型
G03B9/52	円筒型シャッター
G03B9/54	円錐形シャッター；シャッターの光軸に対して傾斜した回転軸を有する回転板
G03B9/58	シャッターの開き時間の長さを変えるための装置
G03B9/60	遮光部材の運動速度を変えうるもの
G03B9/62	開き動作の終端と閉じ動作の始端との間の時間間隔を変化しうるもの
G03B9/64	シャッターの開きを遅延させるための機構（シャッターから分離されたものＧ０３Ｂ１７／３８）
G03B9/66	シャッターをレリーズするための装置から分離したシャッターをコッキングさせるための装置
G03B9/68	フイルムの送りによって行なわれるコッキング
G03B9/70	閃光同期接点をもつもの
G03B11/00	特に写真用として使われるフィルターまたはその他の遮光物
G03B11/02	スカイマスク
G03B11/04	レンズ，ファインダー，または焦点調節補助部材に対して望ましくない光の侵入を除くためのフードまたはキャップ
G03B11/041	｛別体の付属装置としてのレンズキャップ（付属装置一般Ｇ０３Ｂ１７／５６）｝
G03B11/043	｛レンズの保護囲いまたはカメラに組み込まれたレンズキャップ｝
G03B11/045	｛レンズのフードまたは覆い｝
G03B11/046	｛ファインダーまたは対物レンズ用｝
G03B11/06	露出を行うためのレンズキャップ
G03B13/00	フアインダ；カメラ用の焦点調節補助部材；カメラ用の焦点調節のための手段；カメラ用の自動焦点調節システム
G03B13/02	ファインダー
G03B13/04	直視型のもの，例．枠，視野標識
G03B13/06	反射鏡の有無にかかわらずレンズをもつもの
