G10D1/00	弦楽器の全体構造（ピアノ又は鍵盤を有する類似の楽器G10C）
G10D1/02	バイオリン，ビオラ，チェロ又はコントラバス
G10D1/04	ハープ又はリラ
G10D1/05	
G10D1/06	マンドリン
G10D1/08	ギター
G10D1/085	｛エレキギターの機械構造（電気的又は電機機械的特徴G10H3/18）｝
G10D1/10	バンジョー
G10D1/12	チター〔例．オートハープ〕
G10D1/14	
G10D3/00	弦楽器の細部又は付属品〔例．スライドバー〕
G10D3/01	
G10D3/02	共鳴手段，ホーン又は振動板
G10D3/04	駒，弱音器又はカポタスト
G10D3/046	｛弱音器；弱音器保持具｝
G10D3/053	
G10D3/06	指板；ネック
G10D3/08	鍵盤状のもの（楽器用鍵盤一般G10C3/12）
G10D3/09	
G10D3/095	
G10D3/10	弦
G10D3/12	弦の係止装置〔例．テールピース又はヒッチピン〕
G10D3/13	
G10D3/14	調弦装置〔例．糸巻，ピン又は摩擦車〕
G10D3/147	
G10D3/153	
G10D3/16	弓；弓のガイド；ばち又は類似の演奏用具
G10D3/166	｛弓のガイド｝
G10D3/173	
G10D3/18	楽器の部分としての，あご当て，手かけ又は保護具（分離した補助具又は支持具G10G）
G10D3/20	
G10D3/22	
G10D7/00	気鳴楽器の全体構造（アコーディオン又はコンサーティーナG10D11/00；オルガン又はハーモニウムG10B；ホイッスルG10K）
G10D7/02	気流が傾斜したエッジにふきつけられる型式のもの〔例．フルート又はリコーダー〕
G10D7/026	｛フルート；ピッコロ；横笛｝
G10D7/03	
G10D7/04	オカリナ
G10D7/06	１枚又は２枚のリードをもつ型式のもの〔例．オーボエ，クラリネット，バスーン又はバグパイプ〕
G10D7/063	｛オーボエ；バスーン；バグパイプ｝
G10D7/066	｛クラリネット｝
G10D7/08	サキソフォン
G10D7/10	カップ状の吹口をもつ型式のもの〔例．コルネット，トランペット又はトロンボーン〕
G10D7/12	フリーリードをもつ型式のもの〔例．ハーモニカ，子供用のラッパ〕
G10D7/14	
G10D7/15	
G10D7/16	
G10D9/00	気鳴楽器の細部又は付属品
G10D9/01	
G10D9/02	吹口；リード；リガチュア
G10D9/025	
G10D9/03	
G10D9/035	
G10D9/04	バルブ；バルブ操作子
G10D9/047	
G10D9/053	
G10D9/06	弱音器
G10D9/08	
G10D9/10	
G10D9/11	
G10D11/00	アコーディオン，コンサーティーナ又は類似のもの；そのための鍵盤（楽器用鍵盤一般Ｇ１０Ｃ３／１２）
G10D11/02	アクション
G10D13/00	打楽器；細部又は付属品
G10D13/01	
G10D13/02	ドラム；ヘッドを有するタンバリン
G10D13/03	
G10D13/04	ティンパニ
G10D13/06	カスタネット，シンバル，トライアングル又は他の単音打楽器（ベルＧ１０Ｋ)；ヘッドを有しないタンバリン
G10D13/063	
G10D13/065	｛ハイハット｝
G10D13/08	発音体としての棒，ブロック，フォーク，ゴング，板，ロッド又は歯をもつ多音楽器
G10D13/09	
G10D13/10	
G10D13/11	
G10D13/12	
G10D13/14	
G10D13/16	
G10D13/18	
G10D13/20	
G10D13/22	
G10D13/24	
G10D13/25	
G10D13/26	
G10D13/28	
G10D15/00	異なる楽器の組合せ（ピアノ，ハープシコード，スピネット又は鍵盤を有する類似の弦楽器との組合せＧ１０Ｃ５／００） 
G10D17/00	先行するいずれのグループにも分類されない楽器〔例．エオリアンハープ，シンギングフレイムによる楽器〕
G10D99/00	
